onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap	keep_self_diff
†	ir	erß	†irerßik	tyirerszik	†irerß	TRUE	TRUE	TRUE
m	omb	orz	momborzik	momborzik	momborz	TRUE	TRUE	TRUE
b	őr	öd	bőrödik	bőrödik	bőröd	TRUE	TRUE	TRUE
h	esk	egß	heskegßik	heskegszik	heskegß	TRUE	TRUE	TRUE
m	ámk	á¥l	mámká¥lik	mámkánylik	mámká¥l	TRUE	TRUE	TRUE
fl	ult	oz	flultozik	flultozik	flultoz	TRUE	TRUE	TRUE
Ω	ab	ágl	Ωabáglik	zsabáglik	Ωabágl	TRUE	TRUE	FALSE
c	űt	úz	cűtúzik	cűtúzik	cűtúz	TRUE	TRUE	TRUE
ß	arj	ajl	ßarjajlik	szarjajlik	ßarjajl	TRUE	TRUE	TRUE
t	urj	uz	turjuzik	turjuzik	turjuz	TRUE	TRUE	TRUE
l	úz	osl	lúzoslik	lúzoslik	lúzosl	TRUE	TRUE	TRUE
j	étk	iz	jétkizik	jétkizik	jétkiz	TRUE	TRUE	TRUE
†	ók	úd	†ókúdik	tyókúdik	†ókúd	TRUE	TRUE	FALSE
h	őrl	ösl	hőrlöslik	hőrlöslik	hőrlösl	TRUE	TRUE	TRUE
s	ol	oz	solozik	solozik	soloz	TRUE	TRUE	TRUE
c	eng	étl	cengétlik	cengétlik	cengétl	TRUE	TRUE	TRUE
r	ap	agz	rapagzik	rapagzik	rapagz	TRUE	TRUE	TRUE
ßt	oh	orz	ßtohorzik	sztohorzik	ßtohorz	TRUE	TRUE	TRUE
sm	í©	eml	smí©emlik	smígyemlik	smí©eml	TRUE	TRUE	TRUE
fl	il	ekß	flilekßik	flilekszik	flilekß	TRUE	TRUE	TRUE
©	öl	öd	©ölödik	gyölödik	©ölöd	TRUE	TRUE	TRUE
k	u†	ód	ku†ódik	kutyódik	ku†ód	TRUE	TRUE	TRUE
NA	óg	uz	óguzik	óguzik	óguz	TRUE	TRUE	TRUE
pl	ám	iz	plámizik	plámizik	plámiz	TRUE	TRUE	FALSE
ß	ík	edz	ßíkedzik	szíkedzik	ßíkedz	TRUE	FALSE	TRUE
l	er	epß	lerepßik	lerepszik	lerepß	TRUE	TRUE	FALSE
ßt	e¥	égß	ßte¥égßik	sztenyégszik	ßte¥égß	TRUE	TRUE	TRUE
©	áßt	at	©áßtatik	gyásztatik	©áßtat	TRUE	FALSE	TRUE
sn	at	agß	snatagßik	snatagszik	snatagß	TRUE	TRUE	TRUE
dΩ	öt	űz	dΩötűzik	dzsötűzik	dΩötűz	TRUE	FALSE	TRUE
v	odr	ud	vodrudik	vodrudik	vodrud	TRUE	TRUE	TRUE
g	ag	amz	gagamzik	gagamzik	gagamz	TRUE	TRUE	TRUE
l	űv	őd	lűvődik	lűvődik	lűvőd	FALSE	TRUE	TRUE
r	of	ud	rofudik	rofudik	rofud	TRUE	TRUE	TRUE
¥	iv	ágz	¥ivágzik	nyivágzik	¥ivágz	TRUE	TRUE	TRUE
pl	uml	ud	plumludik	plumludik	plumlud	TRUE	TRUE	TRUE
pl	ar	agß	plaragßik	plaragszik	plaragß	TRUE	TRUE	TRUE
NA	el	én	elénik	elénik	elén	FALSE	FALSE	FALSE
sk	am	arz	skamarzik	skamarzik	skamarz	TRUE	TRUE	FALSE
n	obr	úd	nobrúdik	nobrúdik	nobrúd	TRUE	FALSE	TRUE
tr	áv	adz	trávadzik	trávadzik	trávadz	TRUE	TRUE	TRUE
z	ágt	ád	zágtádik	zágtádik	zágtád	TRUE	TRUE	FALSE
ßt	ip	á¥z	ßtipá¥zik	sztipányzik	ßtipá¥z	TRUE	TRUE	TRUE
ç	ark	ajl	çarkajlik	csarkajlik	çarkajl	TRUE	TRUE	TRUE
g	áç	az	gáçazik	gácsazik	gáçaz	TRUE	TRUE	TRUE
h	az	ádz	hazádzik	hazádzik	hazádz	TRUE	FALSE	TRUE
br	o¬	oz	bro¬ozik	brolyozik	bro¬oz	TRUE	TRUE	TRUE
pr	of	úz	profúzik	profúzik	profúz	TRUE	TRUE	TRUE
s	i©	ánz	si©ánzik	sigyánzik	si©ánz	TRUE	TRUE	TRUE
r	ark	agz	rarkagzik	rarkagzik	rarkagz	TRUE	TRUE	TRUE
k	elp	égß	kelpégßik	kelpégszik	kelpégß	TRUE	TRUE	FALSE
f	el	ékz	felékzik	felékzik	felékz	TRUE	TRUE	TRUE
br	idr	et	bridretik	bridretik	bridret	TRUE	TRUE	TRUE
sp	ánk	at	spánkatik	spánkatik	spánkat	TRUE	TRUE	TRUE
n	eßk	erß	neßkerßik	neszkerszik	neßkerß	TRUE	TRUE	TRUE
n	áç	aml	náçamlik	nácsamlik	náçaml	TRUE	TRUE	TRUE
bl	ás	arz	blásarzik	blásarzik	blásarz	TRUE	TRUE	TRUE
r	al	ádz	raládzik	raládzik	raládz	TRUE	FALSE	TRUE
d	irk	ágz	dirkágzik	dirkágzik	dirkágz	TRUE	TRUE	TRUE
¥	alh	ajl	¥alhajlik	nyalhajlik	¥alhajl	TRUE	TRUE	FALSE
pr	uçk	űz	pruçkűzik	prucskűzik	pruçkűz	TRUE	TRUE	TRUE
t	ár	ádz	tárádzik	tárádzik	tárádz	TRUE	FALSE	TRUE
s	usk	o¥l	susko¥lik	suskonylik	susko¥l	TRUE	TRUE	TRUE
©	iml	á¥z	©imlá¥zik	gyimlányzik	©imlá¥z	TRUE	TRUE	TRUE
br	ek	érl	brekérlik	brekérlik	brekérl	TRUE	TRUE	TRUE
k	idr	az	kidrazik	kidrazik	kidraz	TRUE	FALSE	TRUE
f	imb	erß	fimberßik	fimberszik	fimberß	TRUE	TRUE	TRUE
bl	ámk	az	blámkazik	blámkazik	blámkaz	TRUE	TRUE	TRUE
g	uk	od	gukodik	gukodik	gukod	TRUE	TRUE	TRUE
pr	ámp	ak	prámpakik	prámpakik	prámpak	TRUE	TRUE	TRUE
b	í¥l	ajl	bí¥lajlik	bínylajlik	bí¥lajl	TRUE	TRUE	TRUE
p	ism	á¥l	pismá¥lik	pismánylik	pismá¥l	TRUE	TRUE	TRUE
d	ápr	ak	dáprakik	dáprakik	dáprak	TRUE	TRUE	TRUE
l	otr	onl	lotronlik	lotronlik	lotronl	TRUE	TRUE	TRUE
s	ó¬	o¥l	só¬o¥lik	sólyonylik	só¬o¥l	TRUE	TRUE	TRUE
s	onz	os	sonzosik	sonzosik	sonzos	TRUE	TRUE	TRUE
bl	o†	okl	blo†oklik	blotyoklik	blo†okl	TRUE	TRUE	TRUE
j	usk	űz	juskűzik	juskűzik	juskűz	TRUE	TRUE	TRUE
fl	ajç	áz	flajçázik	flajcsázik	flajçáz	TRUE	TRUE	TRUE
ç	a†	ágl	ça†áglik	csatyáglik	ça†ágl	TRUE	TRUE	TRUE
h	ajl	áz	hajlázik	hajlázik	hajláz	FALSE	FALSE	TRUE
†	ag	ádz	†agádzik	tyagádzik	†agádz	TRUE	TRUE	TRUE
f	ür	űz	fürűzik	fürűzik	fürűz	TRUE	TRUE	FALSE
pl	ap	akl	plapaklik	plapaklik	plapakl	TRUE	TRUE	TRUE
pl	uld	od	pluldodik	pluldodik	pluldod	TRUE	FALSE	TRUE
p	akn	á¥l	pakná¥lik	paknánylik	pakná¥l	TRUE	TRUE	TRUE
n	ók	úd	nókúdik	nókúdik	nókúd	TRUE	TRUE	FALSE
¥	űt	óz	¥űtózik	nyűtózik	¥űtóz	TRUE	TRUE	TRUE
¥	o†	űdz	¥o†űdzik	nyotyűdzik	¥o†űdz	TRUE	TRUE	TRUE
©	inc	ak	©incakik	gyincakik	©incak	TRUE	TRUE	TRUE
tr	iv	ád	trivádik	trivádik	trivád	TRUE	TRUE	TRUE
h	and	agß	handagßik	handagszik	handagß	TRUE	TRUE	TRUE
c	ikr	atl	cikratlik	cikratlik	cikratl	TRUE	TRUE	TRUE
j	en	esl	jeneslik	jeneslik	jenesl	TRUE	TRUE	TRUE
s	ók	űdz	sókűdzik	sókűdzik	sókűdz	TRUE	FALSE	TRUE
†	ic	egz	†icegzik	tyicegzik	†icegz	TRUE	TRUE	TRUE
d	áç	áΩl	dáçáΩlik	dácsázslik	dáçáΩl	TRUE	TRUE	TRUE
s	ifj	á¥z	sifjá¥zik	sifjányzik	sifjá¥z	TRUE	TRUE	TRUE
¥	inc	ekß	¥incekßik	nyincekszik	¥incekß	TRUE	TRUE	TRUE
br	iΩ	éz	briΩézik	brizsézik	briΩéz	TRUE	TRUE	TRUE
g	ór	onl	góronlik	góronlik	góronl	TRUE	TRUE	TRUE
z	étk	eng	zétkengik	zétkengik	zétkeng	TRUE	TRUE	TRUE
pr	u¥	orz	pru¥orzik	prunyorzik	pru¥orz	TRUE	TRUE	TRUE
sk	áç	adz	skáçadzik	skácsadzik	skáçadz	TRUE	TRUE	TRUE
z	ifl	eml	ziflemlik	ziflemlik	zifleml	TRUE	TRUE	TRUE
f	én	eng	fénengik	fénengik	féneng	TRUE	TRUE	FALSE
c	ald	apß	caldapßik	caldapszik	caldapß	TRUE	TRUE	TRUE
d	ev	epß	devepßik	devepszik	devepß	TRUE	TRUE	TRUE
©	űn	o¥l	©űno¥lik	gyűnonylik	©űno¥l	TRUE	TRUE	TRUE
ßt	ot	úd	ßtotúdik	sztotúdik	ßtotúd	TRUE	TRUE	TRUE
fl	ib	á¥l	flibá¥lik	flibánylik	flibá¥l	TRUE	TRUE	TRUE
tr	ív	ekß	trívekßik	trívekszik	trívekß	TRUE	TRUE	FALSE
z	és	érß	zésérßik	zésérszik	zésérß	TRUE	TRUE	TRUE
b	ír	ád	bírádik	bírádik	bírád	TRUE	FALSE	TRUE
h	úç	ódz	húçódzik	húcsódzik	húçódz	TRUE	TRUE	TRUE
m	ukl	os	muklosik	muklosik	muklos	TRUE	TRUE	TRUE
n	or	óz	norózik	norózik	noróz	TRUE	TRUE	TRUE
t	eml	egz	temlegzik	temlegzik	temlegz	TRUE	TRUE	FALSE
p	áç	arz	páçarzik	pácsarzik	páçarz	TRUE	TRUE	TRUE
l	ißt	erß	lißterßik	liszterszik	lißterß	TRUE	TRUE	FALSE
f	e©	edz	fe©edzik	fegyedzik	fe©edz	TRUE	TRUE	FALSE
©	óg	óz	©ógózik	gyógózik	©ógóz	TRUE	TRUE	FALSE
NA	and	ánz	andánzik	andánzik	andánz	TRUE	TRUE	TRUE
l	ev	et	levetik	levetik	levet	TRUE	FALSE	TRUE
h	id	at	hidatik	hidatik	hidat	TRUE	TRUE	TRUE
r	iΩg	apß	riΩgapßik	rizsgapszik	riΩgapß	TRUE	TRUE	TRUE
d	org	os	dorgosik	dorgosik	dorgos	FALSE	TRUE	TRUE
sn	ív	ékß	snívékßik	snívékszik	snívékß	TRUE	TRUE	TRUE
NA	o©	űdz	o©űdzik	ogyűdzik	o©űdz	TRUE	TRUE	TRUE
Ω	ögl	őd	Ωöglődik	zsöglődik	Ωöglőd	FALSE	TRUE	TRUE
n	ilm	apß	nilmapßik	nilmapszik	nilmapß	TRUE	TRUE	TRUE
sk	áßt	áz	skáßtázik	skásztázik	skáßtáz	TRUE	TRUE	TRUE
g	ac	agz	gacagzik	gacagzik	gacagz	TRUE	TRUE	FALSE
tr	á¥	iz	trá¥izik	trányizik	trá¥iz	TRUE	TRUE	TRUE
sm	ér	ejl	smérejlik	smérejlik	smérejl	TRUE	TRUE	TRUE
g	obr	űdz	gobrűdzik	gobrűdzik	gobrűdz	TRUE	TRUE	TRUE
NA	uld	úz	uldúzik	uldúzik	uldúz	TRUE	TRUE	TRUE
bl	őr	önl	blőrönlik	blőrönlik	blőrönl	TRUE	TRUE	TRUE
m	omp	o¥l	mompo¥lik	momponylik	mompo¥l	TRUE	TRUE	TRUE
NA	alm	aml	almamlik	almamlik	almaml	TRUE	TRUE	TRUE
s	ib	ágz	sibágzik	sibágzik	sibágz	TRUE	TRUE	FALSE
m	űr	orz	műrorzik	műrorzik	műrorz	TRUE	TRUE	TRUE
r	ip	es	ripesik	ripesik	ripes	TRUE	TRUE	TRUE
g	ik	asl	gikaslik	gikaslik	gikasl	TRUE	TRUE	TRUE
n	op	osl	noposlik	noposlik	noposl	TRUE	TRUE	TRUE
z	á¥k	aml	zá¥kamlik	zánykamlik	zá¥kaml	TRUE	TRUE	TRUE
sm	ám	akz	smámakzik	smámakzik	smámakz	TRUE	TRUE	TRUE
Ω	í©	ágz	Ωí©ágzik	zsígyágzik	Ωí©ágz	TRUE	TRUE	TRUE
v	usk	orz	vuskorzik	vuskorzik	vuskorz	TRUE	TRUE	TRUE
pr	as	adz	prasadzik	prasadzik	prasadz	TRUE	TRUE	TRUE
p	ip	et	pipetik	pipetik	pipet	TRUE	TRUE	FALSE
ßt	u†	úd	ßtu†údik	sztutyúdik	ßtu†úd	TRUE	TRUE	TRUE
n	ic	agl	nicaglik	nicaglik	nicagl	TRUE	TRUE	TRUE
sp	és	ez	spésezik	spésezik	spésez	TRUE	TRUE	TRUE
ß	ob	oz	ßobozik	szobozik	ßoboz	FALSE	TRUE	TRUE
sn	e¥	egß	sne¥egßik	snenyegszik	sne¥egß	TRUE	TRUE	FALSE
k	ib	éß	kibéßik	kibészik	kibéß	TRUE	FALSE	FALSE
v	eß	egß	veßegßik	veszegszik	veßegß	FALSE	TRUE	TRUE
pr	edv	ez	predvezik	predvezik	predvez	TRUE	TRUE	TRUE
NA	ágt	at	ágtatik	ágtatik	ágtat	TRUE	FALSE	TRUE
s	al	áß	saláßik	salászik	saláß	FALSE	TRUE	TRUE
fl	ib	étl	flibétlik	flibétlik	flibétl	TRUE	TRUE	TRUE
m	esk	eng	meskengik	meskengik	meskeng	TRUE	TRUE	TRUE
v	ögb	ődz	vögbődzik	vögbődzik	vögbődz	TRUE	FALSE	FALSE
br	ív	epß	brívepßik	brívepszik	brívepß	TRUE	TRUE	TRUE
h	ih	amz	hihamzik	hihamzik	hihamz	TRUE	TRUE	TRUE
sm	ip	ek	smipekik	smipekik	smipek	TRUE	TRUE	TRUE
b	or†	úd	bor†údik	bortyúdik	bor†úd	TRUE	TRUE	TRUE
©	űnh	ökl	©űnhöklik	gyűnhöklik	©űnhökl	TRUE	TRUE	TRUE
p	urj	ód	purjódik	purjódik	purjód	TRUE	TRUE	TRUE
fl	ép	ékß	flépékßik	flépékszik	flépékß	TRUE	TRUE	TRUE
h	aç	á¬l	haçá¬lik	hacsálylik	haçá¬l	TRUE	TRUE	TRUE
ç	ókl	űz	çóklűzik	csóklűzik	çóklűz	TRUE	FALSE	TRUE
†	e©	iz	†e©izik	tyegyizik	†e©iz	TRUE	TRUE	TRUE
z	ip	agz	zipagzik	zipagzik	zipagz	TRUE	TRUE	TRUE
l	iΩg	áz	liΩgázik	lizsgázik	liΩgáz	FALSE	TRUE	TRUE
z	ism	ed	zismedik	zismedik	zismed	TRUE	TRUE	TRUE
NA	ünd	ökl	ündöklik	ündöklik	ündökl	TRUE	TRUE	TRUE
z	edz	esl	zedzeslik	zedzeslik	zedzesl	TRUE	TRUE	TRUE
fl	olk	úd	flolkúdik	flolkúdik	flolkúd	TRUE	TRUE	TRUE
pr	az	á¥l	prazá¥lik	prazánylik	prazá¥l	TRUE	TRUE	TRUE
NA	iv	ánz	ivánzik	ivánzik	ivánz	TRUE	TRUE	TRUE
fl	ém	eng	flémengik	flémengik	flémeng	TRUE	TRUE	TRUE
h	irt	éz	hirtézik	hirtézik	hirtéz	TRUE	TRUE	TRUE
h	imb	é¥l	himbé¥lik	himbénylik	himbé¥l	TRUE	TRUE	TRUE
l	omp	űdz	lompűdzik	lompűdzik	lompűdz	TRUE	FALSE	TRUE
ßt	urh	oz	ßturhozik	szturhozik	ßturhoz	TRUE	TRUE	TRUE
v	ál	áz	válázik	válázik	váláz	TRUE	FALSE	TRUE
sp	új	ódz	spújódzik	spújódzik	spújódz	TRUE	TRUE	TRUE
ß	áç	ánz	ßáçánzik	szácsánzik	ßáçánz	TRUE	TRUE	TRUE
ß	ét	eng	ßétengik	szétengik	ßéteng	TRUE	FALSE	TRUE
ç	ém	ejl	çémejlik	csémejlik	çémejl	TRUE	TRUE	FALSE
bl	ör	üß	blörüßik	blörüszik	blörüß	TRUE	TRUE	TRUE
Ω	ajl	ágl	Ωajláglik	zsajláglik	Ωajlágl	TRUE	TRUE	TRUE
v	öz	űdz	vözűdzik	vözűdzik	vözűdz	TRUE	FALSE	TRUE
h	ilm	érl	hilmérlik	hilmérlik	hilmérl	TRUE	TRUE	TRUE
b	énh	ek	bénhekik	bénhekik	bénhek	TRUE	TRUE	TRUE
fl	ak	at	flakatik	flakatik	flakat	TRUE	TRUE	TRUE
v	uml	onl	vumlonlik	vumlonlik	vumlonl	TRUE	TRUE	TRUE
s	eg	étl	segétlik	segétlik	segétl	TRUE	TRUE	FALSE
n	iç	egß	niçegßik	nicsegszik	niçegß	TRUE	TRUE	TRUE
f	und	úd	fundúdik	fundúdik	fundúd	TRUE	TRUE	TRUE
b	ódl	orz	bódlorzik	bódlorzik	bódlorz	TRUE	TRUE	TRUE
ß	edv	ékß	ßedvékßik	szedvékszik	ßedvékß	TRUE	TRUE	TRUE
d	ütk	űdz	dütkűdzik	dütkűdzik	dütkűdz	TRUE	TRUE	TRUE
©	űnh	onl	©űnhonlik	gyűnhonlik	©űnhonl	TRUE	TRUE	FALSE
¥	alt	agz	¥altagzik	nyaltagzik	¥altagz	TRUE	TRUE	TRUE
fl	í©	eng	flí©engik	flígyengik	flí©eng	TRUE	TRUE	TRUE
†	űt	o¥l	†űto¥lik	tyűtonylik	†űto¥l	TRUE	TRUE	TRUE
l	est	érß	lestérßik	lestérszik	lestérß	TRUE	TRUE	FALSE
j	ütk	öz	jütközik	jütközik	jütköz	FALSE	TRUE	TRUE
l	a†	ajl	la†ajlik	latyajlik	la†ajl	TRUE	TRUE	TRUE
l	ind	esl	lindeslik	lindeslik	lindesl	TRUE	TRUE	TRUE
pl	űn	önl	plűnönlik	plűnönlik	plűnönl	TRUE	TRUE	TRUE
j	ald	áz	jaldázik	jaldázik	jaldáz	TRUE	TRUE	TRUE
k	iml	ád	kimládik	kimládik	kimlád	TRUE	TRUE	TRUE
t	urj	osl	turjoslik	turjoslik	turjosl	TRUE	TRUE	TRUE
Ω	a©	akl	Ωa©aklik	zsagyaklik	Ωa©akl	TRUE	TRUE	TRUE
g	üf	öz	güfözik	güfözik	güföz	TRUE	TRUE	TRUE
sm	ap	agl	smapaglik	smapaglik	smapagl	TRUE	TRUE	TRUE
br	űt	oz	brűtozik	brűtozik	brűtoz	TRUE	TRUE	TRUE
g	apl	ágz	gaplágzik	gaplágzik	gaplágz	TRUE	TRUE	TRUE
t	a©	á¥z	ta©á¥zik	tagyányzik	ta©á¥z	TRUE	TRUE	TRUE
dΩ	őrl	űz	dΩőrlűzik	dzsőrlűzik	dΩőrlűz	TRUE	FALSE	TRUE
d	orj	űz	dorjűzik	dorjűzik	dorjűz	TRUE	TRUE	TRUE
b	ejl	et	bejletik	bejletik	bejlet	TRUE	TRUE	TRUE
fl	iv	éz	flivézik	flivézik	flivéz	TRUE	TRUE	TRUE
l	imb	agß	limbagßik	limbagszik	limbagß	TRUE	TRUE	TRUE
ß	ás	agl	ßásaglik	szásaglik	ßásagl	TRUE	TRUE	TRUE
c	ack	ajl	cackajlik	cackajlik	cackajl	TRUE	TRUE	TRUE
br	örv	öz	brörvözik	brörvözik	brörvöz	TRUE	TRUE	TRUE
v	ajh	á¬l	vajhá¬lik	vajhálylik	vajhá¬l	TRUE	TRUE	TRUE
j	ünd	űz	jündűzik	jündűzik	jündűz	TRUE	TRUE	TRUE
f	ond	óz	fondózik	fondózik	fondóz	TRUE	TRUE	FALSE
¥	aç	at	¥açatik	nyacsatik	¥açat	TRUE	TRUE	FALSE
v	őn	öz	vőnözik	vőnözik	vőnöz	TRUE	TRUE	TRUE
ç	úç	o¥l	çúço¥lik	csúcsonylik	çúço¥l	TRUE	TRUE	FALSE
NA	iç	asl	içaslik	icsaslik	içasl	TRUE	TRUE	FALSE
h	űz	örl	hűzörlik	hűzörlik	hűzörl	TRUE	TRUE	TRUE
b	ark	agl	barkaglik	barkaglik	barkagl	TRUE	TRUE	TRUE
k	ißt	epß	kißtepßik	kisztepszik	kißtepß	TRUE	TRUE	TRUE
l	ép	ed	lépedik	lépedik	léped	TRUE	FALSE	TRUE
s	ind	ajl	sindajlik	sindajlik	sindajl	TRUE	TRUE	TRUE
ç	ór	orz	çórorzik	csórorzik	çórorz	TRUE	TRUE	TRUE
Ω	ók	ud	Ωókudik	zsókudik	Ωókud	TRUE	TRUE	TRUE
ç	ajt	árz	çajtárzik	csajtárzik	çajtárz	TRUE	TRUE	TRUE
NA	ih	agz	ihagzik	ihagzik	ihagz	TRUE	TRUE	TRUE
pl	ám	ádz	plámádzik	plámádzik	plámádz	TRUE	FALSE	TRUE
pr	ám	arz	prámarzik	prámarzik	prámarz	TRUE	TRUE	TRUE
dΩ	ö¬k	üß	dΩö¬küßik	dzsölyküszik	dΩö¬küß	TRUE	FALSE	TRUE
Ω	eg	étl	Ωegétlik	zsegétlik	Ωegétl	TRUE	TRUE	FALSE
p	i©	et	pi©etik	pigyetik	pi©et	TRUE	TRUE	FALSE
d	ánt	á¥z	dántá¥zik	dántányzik	dántá¥z	TRUE	TRUE	TRUE
g	úç	o¥l	gúço¥lik	gúcsonylik	gúço¥l	TRUE	TRUE	FALSE
d	üh	ökl	dühöklik	dühöklik	dühökl	TRUE	TRUE	TRUE
g	el	érl	gelérlik	gelérlik	gelérl	TRUE	TRUE	FALSE
Ω	irt	áz	Ωirtázik	zsirtázik	Ωirtáz	TRUE	TRUE	TRUE
t	épz	éß	tépzéßik	tépzészik	tépzéß	TRUE	FALSE	TRUE
t	ip	éz	tipézik	tipézik	tipéz	TRUE	TRUE	TRUE
ßt	av	agß	ßtavagßik	sztavagszik	ßtavagß	TRUE	TRUE	TRUE
br	el	iz	brelizik	brelizik	breliz	TRUE	TRUE	TRUE
ç	ant	amz	çantamzik	csantamzik	çantamz	TRUE	TRUE	TRUE
sm	ürk	őz	smürkőzik	smürkőzik	smürkőz	TRUE	TRUE	TRUE
z	újh	od	zújhodik	zújhodik	zújhod	FALSE	TRUE	TRUE
NA	e†	éß	e†éßik	etyészik	e†éß	FALSE	TRUE	TRUE
†	údb	ud	†údbudik	tyúdbudik	†údbud	TRUE	TRUE	TRUE
g	ás	ágz	gáságzik	gáságzik	gáságz	TRUE	TRUE	TRUE
v	ajr	ajl	vajrajlik	vajrajlik	vajrajl	TRUE	TRUE	TRUE
p	uld	óz	puldózik	puldózik	puldóz	TRUE	TRUE	TRUE
sp	apc	ád	spapcádik	spapcádik	spapcád	TRUE	TRUE	TRUE
dΩ	ig	áß	dΩigáßik	dzsigászik	dΩigáß	TRUE	FALSE	TRUE
sm	iç	atl	smiçatlik	smicsatlik	smiçatl	TRUE	TRUE	TRUE
n	őzk	őrz	nőzkőrzik	nőzkőrzik	nőzkőrz	TRUE	TRUE	TRUE
tr	ikr	at	trikratik	trikratik	trikrat	TRUE	TRUE	TRUE
d	úç	óz	dúçózik	dúcsózik	dúçóz	TRUE	TRUE	TRUE
tr	emp	ek	trempekik	trempekik	trempek	TRUE	TRUE	TRUE
t	ek	eml	tekemlik	tekemlik	tekeml	TRUE	TRUE	TRUE
dΩ	ár	adz	dΩáradzik	dzsáradzik	dΩáradz	TRUE	FALSE	TRUE
n	átl	á¥l	nátlá¥lik	nátlánylik	nátlá¥l	TRUE	TRUE	TRUE
v	ad	agl	vadaglik	vadaglik	vadagl	TRUE	TRUE	FALSE
p	ánt	akß	pántakßik	pántakszik	pántakß	TRUE	TRUE	TRUE
sm	eß	egz	smeßegzik	smeszegzik	smeßegz	TRUE	TRUE	TRUE
bl	átß	iz	blátßizik	blátszizik	blátßiz	TRUE	TRUE	TRUE
f	ab	ád	fabádik	fabádik	fabád	TRUE	TRUE	TRUE
sp	ev	es	spevesik	spevesik	speves	TRUE	TRUE	FALSE
ß	av	arz	ßavarzik	szavarzik	ßavarz	TRUE	TRUE	TRUE
Ω	az	at	Ωazatik	zsazatik	Ωazat	TRUE	TRUE	TRUE
Ω	id	apß	Ωidapßik	zsidapszik	Ωidapß	TRUE	TRUE	TRUE
t	áts	ajl	tátsajlik	tátsajlik	tátsajl	TRUE	TRUE	TRUE
Ω	őr	őz	Ωőrőzik	zsőrőzik	Ωőrőz	TRUE	TRUE	TRUE
¥	ögl	űdz	¥öglűdzik	nyöglűdzik	¥öglűdz	TRUE	FALSE	TRUE
ç	ar	akß	çarakßik	csarakszik	çarakß	FALSE	TRUE	TRUE
ç	ih	eng	çihengik	csihengik	çiheng	TRUE	TRUE	TRUE
k	orz	orz	korzorzik	korzorzik	korzorz	TRUE	TRUE	TRUE
z	ölt	ökl	zöltöklik	zöltöklik	zöltökl	TRUE	TRUE	TRUE
c	átß	asl	cátßaslik	cátszaslik	cátßasl	TRUE	TRUE	FALSE
NA	id	áz	idázik	idázik	idáz	FALSE	TRUE	TRUE
ç	iç	ejl	çiçejlik	csicsejlik	çiçejl	TRUE	TRUE	TRUE
pr	alm	az	pralmazik	pralmazik	pralmaz	TRUE	TRUE	TRUE
g	öls	űdz	gölsűdzik	gölsűdzik	gölsűdz	TRUE	TRUE	TRUE
h	u¥	úz	hu¥úzik	hunyúzik	hu¥úz	TRUE	FALSE	TRUE
f	üt	űz	fütűzik	fütűzik	fütűz	TRUE	TRUE	FALSE
©	ót	óz	©ótózik	gyótózik	©ótóz	TRUE	TRUE	FALSE
ß	ól	űdz	ßólűdzik	szólűdzik	ßólűdz	TRUE	FALSE	TRUE
sn	őg	őrz	snőgőrzik	snőgőrzik	snőgőrz	TRUE	TRUE	TRUE
pr	op	űz	propűzik	propűzik	propűz	TRUE	FALSE	TRUE
v	áv	amz	vávamzik	vávamzik	vávamz	TRUE	TRUE	TRUE
k	ól	úz	kólúzik	kólúzik	kólúz	TRUE	TRUE	FALSE
¥	őr	üd	¥őrüdik	nyőrüdik	¥őrüd	TRUE	TRUE	TRUE
v	ét	étl	vététlik	vététlik	vététl	TRUE	TRUE	FALSE
l	áts	ádz	látsádzik	látsádzik	látsádz	TRUE	FALSE	TRUE
l	ajt	apß	lajtapßik	lajtapszik	lajtapß	TRUE	TRUE	TRUE
k	um	osl	kumoslik	kumoslik	kumosl	TRUE	TRUE	TRUE
g	ér	érß	gérérßik	gérérszik	gérérß	TRUE	TRUE	TRUE
pl	ujd	uz	plujduzik	plujduzik	plujduz	TRUE	TRUE	TRUE
r	iml	akl	rimlaklik	rimlaklik	rimlakl	TRUE	TRUE	TRUE
sp	ál	apß	spálapßik	spálapszik	spálapß	TRUE	TRUE	TRUE
sk	or	űdz	skorűdzik	skorűdzik	skorűdz	TRUE	TRUE	TRUE
br	és	ékz	brésékzik	brésékzik	brésékz	TRUE	TRUE	TRUE
b	eg	esl	begeslik	begeslik	begesl	TRUE	TRUE	TRUE
NA	ápr	á¬l	áprá¬lik	áprálylik	áprá¬l	TRUE	TRUE	TRUE
b	ajt	ágz	bajtágzik	bajtágzik	bajtágz	TRUE	TRUE	TRUE
br	id	akß	bridakßik	bridakszik	bridakß	TRUE	TRUE	TRUE
¥	üßk	ösl	¥üßköslik	nyüszköslik	¥üßkösl	TRUE	TRUE	TRUE
pr	int	áz	printázik	printázik	printáz	TRUE	TRUE	TRUE
dΩ	am	á¥l	dΩamá¥lik	dzsamánylik	dΩamá¥l	TRUE	TRUE	TRUE
†	ic	adz	†icadzik	tyicadzik	†icadz	TRUE	TRUE	TRUE
p	úrl	os	púrlosik	púrlosik	púrlos	TRUE	FALSE	TRUE
NA	ik	amz	ikamzik	ikamzik	ikamz	TRUE	TRUE	TRUE
sk	ih	eng	skihengik	skihengik	skiheng	TRUE	TRUE	TRUE
