prompt	target_k	target_m
húcsódzik	húcsódzok	húcsódzom
muklosik	muklosok	muklosom
norózik	norózok	norózom
pácsarzik	pácsarzok	pácsarzom
andánzik	andánzok	andánzom
hidatik	hidatok	hidatom
rizsgapszik	rizsgapszok	rizsgapszom
snívékszik	snívékszek	snívékszem
ogyűdzik	ogyűdzök	ogyűdzöm
nilmapszik	nilmapszok	nilmapszom
skásztázik	skásztázok	skásztázom
trányizik	trányizok	trányizom
smérejlik	smérejlek	smérejlem
gobrűdzik	gobrűdzök	gobrűdzöm
uldúzik	uldúzok	uldúzom
blőrönlik	blőrönlök	blőrönlöm
momponylik	momponylok	momponylom
almamlik	almamlok	almamlom
műrorzik	műrorzok	műrorzom
ripesik	ripesek	ripesem
gikaslik	gokaslik	gomaslik
noposlik	noposlok	noposlom
zánykamlik	zánykamlok	zánykamlom
smámakzik	smámakzok	smámakzom
zsígyágzik	zsígyágzok	zsígyágzom
vuskorzik	vuskorzok	vuskorzom
prasadzik	prasadzok	prasadzom
sztutyúdik	sztutyúdok	sztutyúdom
nicaglik	nicaglok	nicaglom
spésezik	spésezek	spésezem
predvezik	predvezek	predvezem
flibétlik	flibétlek	flibétlem
meskengik	meskengek	meskengem
brívepszik	brívepszek	brívepszem
hihamzik	hihamzok	hihamzom
smipekik	smipekek	smipekem
bortyúdik	bortyúdok	bortyúdom
gyűnhöklik	gyűnhöklök	gyűnhöklöm
purjódik	purjódok	purjódom
flépékszik	flépékszek	flépékszem
hacsálylik	hacsálylok	hacsálylom
tyegyizik	tyegyizok	tyegyizom
zipagzik	zipagzok	zipagzom
zismedik	zismedek	zismedem
ündöklik	ündöklök	ündöklöm
zedzeslik	zedzeslek	zedzeslem
flolkúdik	flolkúdok	flolkúdom
