prompt	tr	nsyl	ending	target_k	target_m
spibejlik	spibejlik	2	lik	spibejlek	spibejlem
prohódzik	prohódzik	2	zik	prohódzok	prohódzom
tribékszik	tribékßik	2	zik	tribékszek	tribékszem
piragszik	piragßik	2	zik	piragszok	piragszom
kibagzik	kibagzik	2	zik	kibagzok	kibagzom
nyihakszik	¥ihakßik	2	zik	nyihakszok	nyihakszom
poródzik	poródzik	2	zik	poródzok	poródzom
dágarzik	dágarzik	2	zik	dágarzok	dágarzom
miregszik	miregßik	2	zik	miregszek	miregszem
flirapszik	flirapßik	2	zik	flirapszok	flirapszom
tiregzik	tiregzik	2	zik	tiregzek	tiregzem
spéledzik	spéledzik	2	zik	spéledzek	spéledzem
vurjoslik	vurjoslik	2	lik	vurjoslok	vurjoslom
dihékszik	dihékßik	2	zik	dihékszek	dihékszem
tilegszik	tilegßik	2	zik	tilegszek	tilegszem
klibegszik	klibegßik	2	zik	klibegszek	klibegszem
drilénylik	drilé¥lik	2	lik	drilénylek	drilénylem
gerénylik	geré¥lik	2	lik	gerénylek	gerénylem
trilejlik	trilejlik	2	lik	trilejlek	trilejlem
tileglik	tileglik	2	lik	tileglek	tileglem
irejlik	irejlik	2	lik	irejlek	irejlem
türűdzik	türűdzik	2	zik	türűdzök	türűdzöm
trivedzik	trivedzik	2	zik	trivedzek	trivedzem
spagánylik	spagá¥lik	2	lik	spagánylok	spagánylom
siredzik	siredzik	2	zik	siredzek	siredzem
gyiváglik	©iváglik	2	lik	gyiváglok	gyiváglom
délekszik	délekßik	2	zik	délekszek	délekszem
milemlik	milemlik	2	lik	milemlek	milemlem
flagánylik	flagá¥lik	2	lik	flagánylok	flagánylom
pelékszik	pelékßik	2	zik	pelékszek	pelékszem
kehégszik	kehégßik	2	zik	kehégszek	kehégszem
fálagszik	fálagßik	2	zik	fálagszok	fálagszom
csólonylik	çólo¥lik	2	lik	csólonylok	csólonylom
gyibárzik	©ibárzik	2	zik	gyibárzok	gyibárzom
frágapszik	frágapßik	2	zik	frágapszok	frágapszom
