onset	v1c1c2	v2c3c4	tr	word	vowel_skeleton	consonant_skeleton
br	iv	árz	brivárzik	brivárzik	iái	brvrzk
br	iv	asl	brivaslik	brivaslik	iai	brvslk
br	iv	é¥l	brivé¥lik	brivénylik	iéi	brv¥lk
br	iv	edz	brivedzik	brivedzik	iei	brvdzk
br	iv	egl	briveglik	briveglik	iei	brvglk
br	iv	egß	brivegßik	brivegszik	iei	brvgßk
br	iv	égß	brivégßik	brivégszik	iéi	brvgßk
br	iv	egz	brivegzik	brivegzik	iei	brvgzk
br	iv	ejl	brivejlik	brivejlik	iei	brvjlk
br	iv	ekß	brivekßik	brivekszik	iei	brvkßk
br	iv	ékß	brivékßik	brivékszik	iéi	brvkßk
br	iv	eml	brivemlik	brivemlik	iei	brvmlk
br	iv	epß	brivepßik	brivepszik	iei	brvpßk
br	iv	esl	briveslik	briveslik	iei	brvslk
br	ob	ódz	brobódzik	brobódzik	oói	brbdzk
br	og	ódz	brogódzik	brogódzik	oói	brgdzk
br	oh	ódz	brohódzik	brohódzik	oói	brhdzk
br	ol	ódz	brolódzik	brolódzik	oói	brldzk
br	ól	o¥l	brólo¥lik	brólonylik	óoi	brl¥lk
br	ól	okl	bróloklik	bróloklik	óoi	brlklk
br	ól	orz	brólorzik	brólorzik	óoi	brlrzk
br	ól	osl	bróloslik	bróloslik	óoi	brlslk
br	öt	ődz	brötődzik	brötődzik	öői	brtdzk
br	öt	őrz	brötőrzik	brötőrzik	öői	brtrzk
br	öt	űdz	brötűdzik	brötűdzik	öűi	brtdzk
br	öv	ődz	brövődzik	brövődzik	öői	brvdzk
br	öv	őrz	brövőrzik	brövőrzik	öői	brvrzk
br	öv	űdz	brövűdzik	brövűdzik	öűi	brvdzk
br	ub	o¥l	brubo¥lik	brubonylik	uoi	brb¥lk
br	ub	ódz	brubódzik	brubódzik	uói	brbdzk
br	ub	okl	bruboklik	bruboklik	uoi	brbklk
br	ub	orz	bruborzik	bruborzik	uoi	brbrzk
br	ub	osl	bruboslik	bruboslik	uoi	brbslk
br	ug	o¥l	brugo¥lik	brugonylik	uoi	brg¥lk
br	ug	ódz	brugódzik	brugódzik	uói	brgdzk
br	ug	okl	brugoklik	brugoklik	uoi	brgklk
br	ug	orz	brugorzik	brugorzik	uoi	brgrzk
br	ug	osl	brugoslik	brugoslik	uoi	brgslk
br	ül	ődz	brülődzik	brülődzik	üői	brldzk
br	ül	ökl	brülöklik	brülöklik	üöi	brlklk
br	ül	őrz	brülőrzik	brülőrzik	üői	brlrzk
br	ül	ösl	brülöslik	brülöslik	üöi	brlslk
br	ül	űdz	brülűdzik	brülűdzik	üűi	brldzk
ç	ag	á¥l	çagá¥lik	csagánylik	aái	çg¥lk
ç	ag	ádz	çagádzik	csagádzik	aái	çgdzk
ç	ag	árz	çagárzik	csagárzik	aái	çgrzk
ç	ág	adz	çágadzik	cságadzik	áai	çgdzk
ç	ág	ajl	çágajlik	cságajlik	áai	çgjlk
ç	ág	akl	çágaklik	cságaklik	áai	çgklk
ç	ág	aml	çágamlik	cságamlik	áai	çgmlk
ç	ág	arz	çágarzik	cságarzik	áai	çgrzk
ç	al	á¥l	çalá¥lik	csalánylik	aái	çl¥lk
ç	al	ádz	çaládzik	családzik	aái	çldzk
ç	al	ágl	çaláglik	csaláglik	aái	çlglk
ç	al	ágz	çalágzik	csalágzik	aái	çlgzk
ç	al	árz	çalárzik	csalárzik	aái	çlrzk
ç	ál	adz	çáladzik	csáladzik	áai	çldzk
ç	ál	agl	çálaglik	csálaglik	áai	çlglk
ç	ál	agz	çálagzik	csálagzik	áai	çlgzk
ç	ál	ajl	çálajlik	csálajlik	áai	çljlk
ç	ál	akl	çálaklik	csálaklik	áai	çlklk
ç	ál	aml	çálamlik	csálamlik	áai	çlmlk
ç	ál	arz	çálarzik	csálarzik	áai	çlrzk
ç	ar	á¥l	çará¥lik	csaránylik	aái	çr¥lk
ç	ar	ádz	çarádzik	csarádzik	aái	çrdzk
ç	ar	ágl	çaráglik	csaráglik	aái	çrglk
ç	ar	ágz	çarágzik	csarágzik	aái	çrgzk
ç	ár	adz	çáradzik	csáradzik	áai	çrdzk
ç	ár	agl	çáraglik	csáraglik	áai	çrglk
ç	ár	agz	çáragzik	csáragzik	áai	çrgzk
ç	ár	ajl	çárajlik	csárajlik	áai	çrjlk
ç	ár	akl	çáraklik	csáraklik	áai	çrklk
ç	ár	aml	çáramlik	csáramlik	áai	çrmlk
ç	arj	á¥l	çarjá¥lik	csarjánylik	aái	çrj¥lk
ç	arj	ádz	çarjádzik	csarjádzik	aái	çrjdzk
ç	arj	ágl	çarjáglik	csarjáglik	aái	çrjglk
ç	arj	ágz	çarjágzik	csarjágzik	aái	çrjgzk
ç	arj	árz	çarjárzik	csarjárzik	aái	çrjrzk
ç	at	á¥l	çatá¥lik	csatánylik	aái	çt¥lk
ç	at	ádz	çatádzik	csatádzik	aái	çtdzk
ç	at	ágl	çatáglik	csatáglik	aái	çtglk
ç	at	ágz	çatágzik	csatágzik	aái	çtgzk
ç	at	árz	çatárzik	csatárzik	aái	çtrzk
ç	eh	é¥l	çehé¥lik	csehénylik	eéi	çh¥lk
ç	el	é¥l	çelé¥lik	cselénylik	eéi	çl¥lk
ç	él	edz	çéledzik	cséledzik	éei	çldzk
ç	él	egl	çéleglik	cséleglik	éei	çlglk
ç	él	egz	çélegzik	csélegzik	éei	çlgzk
ç	él	ejl	çélejlik	csélejlik	éei	çljlk
ç	él	eml	çélemlik	csélemlik	éei	çlmlk
ç	er	é¥l	çeré¥lik	cserénylik	eéi	çr¥lk
ç	ér	edz	çéredzik	cséredzik	éei	çrdzk
ç	ér	egl	çéreglik	cséreglik	éei	çrglk
ç	ér	egz	çéregzik	cséregzik	éei	çrgzk
ç	ér	ejl	çérejlik	csérejlik	éei	çrjlk
ç	ér	eml	çéremlik	cséremlik	éei	çrmlk
ç	et	é¥l	çeté¥lik	cseténylik	eéi	çt¥lk
ç	ib	á¥l	çibá¥lik	csibánylik	iái	çb¥lk
ç	ib	adz	çibadzik	csibadzik	iai	çbdzk
ç	ib	ádz	çibádzik	csibádzik	iái	çbdzk
ç	ib	agl	çibaglik	csibaglik	iai	çbglk
ç	ib	ágl	çibáglik	csibáglik	iái	çbglk
ç	ib	agz	çibagzik	csibagzik	iai	çbgzk
ç	ib	ágz	çibágzik	csibágzik	iái	çbgzk
ç	ib	ajl	çibajlik	csibajlik	iai	çbjlk
ç	ib	akl	çibaklik	csibaklik	iai	çbklk
ç	ib	aml	çibamlik	csibamlik	iai	çbmlk
ç	ib	arz	çibarzik	csibarzik	iai	çbrzk
ç	ib	árz	çibárzik	csibárzik	iái	çbrzk
ç	ib	é¥l	çibé¥lik	csibénylik	iéi	çb¥lk
ç	ib	edz	çibedzik	csibedzik	iei	çbdzk
ç	ib	egl	çibeglik	csibeglik	iei	çbglk
ç	ib	egz	çibegzik	csibegzik	iei	çbgzk
ç	ib	ejl	çibejlik	csibejlik	iei	çbjlk
ç	ib	eml	çibemlik	csibemlik	iei	çbmlk
ç	ih	á¥l	çihá¥lik	csihánylik	iái	çh¥lk
ç	ih	adz	çihadzik	csihadzik	iai	çhdzk
ç	ih	ádz	çihádzik	csihádzik	iái	çhdzk
ç	ih	agl	çihaglik	csihaglik	iai	çhglk
ç	ih	ágl	çiháglik	csiháglik	iái	çhglk
ç	ih	agz	çihagzik	csihagzik	iai	çhgzk
ç	ih	ágz	çihágzik	csihágzik	iái	çhgzk
ç	ih	ajl	çihajlik	csihajlik	iai	çhjlk
ç	ih	akl	çihaklik	csihaklik	iai	çhklk
ç	ih	aml	çihamlik	csihamlik	iai	çhmlk
ç	ih	arz	çiharzik	csiharzik	iai	çhrzk
ç	ih	árz	çihárzik	csihárzik	iái	çhrzk
ç	ih	é¥l	çihé¥lik	csihénylik	iéi	çh¥lk
ç	ih	edz	çihedzik	csihedzik	iei	çhdzk
ç	ih	egl	çiheglik	csiheglik	iei	çhglk
ç	ih	egz	çihegzik	csihegzik	iei	çhgzk
ç	ih	ejl	çihejlik	csihejlik	iei	çhjlk
ç	ih	eml	çihemlik	csihemlik	iei	çhmlk
ç	il	á¥l	çilá¥lik	csilánylik	iái	çl¥lk
ç	il	adz	çiladzik	csiladzik	iai	çldzk
ç	il	ádz	çiládzik	csiládzik	iái	çldzk
ç	il	agl	çilaglik	csilaglik	iai	çlglk
ç	il	ágl	çiláglik	csiláglik	iái	çlglk
ç	il	agz	çilagzik	csilagzik	iai	çlgzk
ç	il	ágz	çilágzik	csilágzik	iái	çlgzk
ç	il	ajl	çilajlik	csilajlik	iai	çljlk
ç	il	akl	çilaklik	csilaklik	iai	çlklk
ç	il	aml	çilamlik	csilamlik	iai	çlmlk
ç	il	arz	çilarzik	csilarzik	iai	çlrzk
ç	il	árz	çilárzik	csilárzik	iái	çlrzk
ç	il	é¥l	çilé¥lik	csilénylik	iéi	çl¥lk
ç	il	edz	çiledzik	csiledzik	iei	çldzk
ç	il	egl	çileglik	csileglik	iei	çlglk
ç	il	egz	çilegzik	csilegzik	iei	çlgzk
ç	il	ejl	çilejlik	csilejlik	iei	çljlk
ç	il	eml	çilemlik	csilemlik	iei	çlmlk
ç	ir	á¥l	çirá¥lik	csiránylik	iái	çr¥lk
ç	ir	adz	çiradzik	csiradzik	iai	çrdzk
ç	ir	ádz	çirádzik	csirádzik	iái	çrdzk
ç	ir	agl	çiraglik	csiraglik	iai	çrglk
ç	ir	ágl	çiráglik	csiráglik	iái	çrglk
ç	ir	agz	çiragzik	csiragzik	iai	çrgzk
ç	ir	ágz	çirágzik	csirágzik	iái	çrgzk
ç	ir	ajl	çirajlik	csirajlik	iai	çrjlk
ç	ir	akl	çiraklik	csiraklik	iai	çrklk
ç	ir	aml	çiramlik	csiramlik	iai	çrmlk
ç	ir	é¥l	çiré¥lik	csirénylik	iéi	çr¥lk
ç	ir	edz	çiredzik	csiredzik	iei	çrdzk
ç	ir	egl	çireglik	csireglik	iei	çrglk
ç	ir	egz	çiregzik	csiregzik	iei	çrgzk
ç	ir	ejl	çirejlik	csirejlik	iei	çrjlk
ç	ir	eml	çiremlik	csiremlik	iei	çrmlk
ç	iv	á¥l	çivá¥lik	csiványlik	iái	çv¥lk
ç	iv	adz	çivadzik	csivadzik	iai	çvdzk
ç	iv	ádz	çivádzik	csivádzik	iái	çvdzk
ç	iv	agl	çivaglik	csivaglik	iai	çvglk
ç	iv	ágl	çiváglik	csiváglik	iái	çvglk
ç	iv	agz	çivagzik	csivagzik	iai	çvgzk
ç	iv	ágz	çivágzik	csivágzik	iái	çvgzk
ç	iv	ajl	çivajlik	csivajlik	iai	çvjlk
ç	iv	akl	çivaklik	csivaklik	iai	çvklk
ç	iv	aml	çivamlik	csivamlik	iai	çvmlk
ç	iv	arz	çivarzik	csivarzik	iai	çvrzk
ç	iv	árz	çivárzik	csivárzik	iái	çvrzk
ç	iv	é¥l	çivé¥lik	csivénylik	iéi	çv¥lk
ç	iv	edz	çivedzik	csivedzik	iei	çvdzk
ç	iv	egl	çiveglik	csiveglik	iei	çvglk
ç	iv	egz	çivegzik	csivegzik	iei	çvgzk
ç	iv	ejl	çivejlik	csivejlik	iei	çvjlk
ç	iv	eml	çivemlik	csivemlik	iei	çvmlk
ç	ob	ódz	çobódzik	csobódzik	oói	çbdzk
ç	og	ódz	çogódzik	csogódzik	oói	çgdzk
ç	oh	ódz	çohódzik	csohódzik	oói	çhdzk
ç	ol	ódz	çolódzik	csolódzik	oói	çldzk
ç	ól	o¥l	çólo¥lik	csólonylik	óoi	çl¥lk
ç	ól	okl	çóloklik	csóloklik	óoi	çlklk
ç	ól	orz	çólorzik	csólorzik	óoi	çlrzk
ç	or	ódz	çoródzik	csoródzik	oói	çrdzk
ç	ör	ődz	çörődzik	csörődzik	öői	çrdzk
ç	ör	űdz	çörűdzik	csörűdzik	öűi	çrdzk
ç	orj	ódz	çorjódzik	csorjódzik	oói	çrjdzk
ç	öt	ődz	çötődzik	csötődzik	öői	çtdzk
ç	öt	őrz	çötőrzik	csötőrzik	öői	çtrzk
ç	öt	űdz	çötűdzik	csötűdzik	öűi	çtdzk
ç	öv	ődz	çövődzik	csövődzik	öői	çvdzk
ç	öv	őrz	çövőrzik	csövőrzik	öői	çvrzk
ç	öv	űdz	çövűdzik	csövűdzik	öűi	çvdzk
ç	ub	o¥l	çubo¥lik	csubonylik	uoi	çb¥lk
ç	ub	ódz	çubódzik	csubódzik	uói	çbdzk
ç	ub	okl	çuboklik	csuboklik	uoi	çbklk
ç	ub	orz	çuborzik	csuborzik	uoi	çbrzk
ç	ug	o¥l	çugo¥lik	csugonylik	uoi	çg¥lk
ç	ug	ódz	çugódzik	csugódzik	uói	çgdzk
ç	ug	okl	çugoklik	csugoklik	uoi	çgklk
ç	ug	orz	çugorzik	csugorzik	uoi	çgrzk
ç	ül	ődz	çülődzik	csülődzik	üői	çldzk
ç	ül	ökl	çülöklik	csülöklik	üöi	çlklk
ç	ül	őrz	çülőrzik	csülőrzik	üői	çlrzk
ç	ül	űdz	çülűdzik	csülűdzik	üűi	çldzk
ç	ur	o¥l	çuro¥lik	csuronylik	uoi	çr¥lk
ç	ur	ódz	çuródzik	csuródzik	uói	çrdzk
ç	ur	okl	çuroklik	csuroklik	uoi	çrklk
ç	ür	ődz	çürődzik	csürődzik	üői	çrdzk
ç	ür	ökl	çüröklik	csüröklik	üöi	çrklk
ç	ür	űdz	çürűdzik	csürűdzik	üűi	çrdzk
ç	űr	ődz	çűrődzik	csűrődzik	űői	çrdzk
ç	űr	ökl	çűröklik	csűröklik	űöi	çrklk
ç	urj	o¥l	çurjo¥lik	csurjonylik	uoi	çrj¥lk
ç	urj	ódz	çurjódzik	csurjódzik	uói	çrjdzk
ç	urj	okl	çurjoklik	csurjoklik	uoi	çrjklk
ç	urj	orz	çurjorzik	csurjorzik	uoi	çrjrzk
d	ag	á¥l	dagá¥lik	dagánylik	aái	dg¥lk
d	ag	ádz	dagádzik	dagádzik	aái	dgdzk
d	ag	árz	dagárzik	dagárzik	aái	dgrzk
d	ág	adz	dágadzik	dágadzik	áai	dgdzk
d	ág	ajl	dágajlik	dágajlik	áai	dgjlk
d	ág	akl	dágaklik	dágaklik	áai	dgklk
d	ág	akß	dágakßik	dágakszik	áai	dgkßk
d	ág	aml	dágamlik	dágamlik	áai	dgmlk
d	ág	apß	dágapßik	dágapszik	áai	dgpßk
d	ág	arz	dágarzik	dágarzik	áai	dgrzk
d	ág	asl	dágaslik	dágaslik	áai	dgslk
d	al	á¥l	dalá¥lik	dalánylik	aái	dl¥lk
d	al	ádz	daládzik	daládzik	aái	dldzk
d	al	ágl	daláglik	daláglik	aái	dlglk
d	al	ágz	dalágzik	dalágzik	aái	dlgzk
d	al	árz	dalárzik	dalárzik	aái	dlrzk
d	ál	adz	dáladzik	dáladzik	áai	dldzk
d	ál	agl	dálaglik	dálaglik	áai	dlglk
d	ál	agß	dálagßik	dálagszik	áai	dlgßk
d	ál	agz	dálagzik	dálagzik	áai	dlgzk
d	ál	ajl	dálajlik	dálajlik	áai	dljlk
d	ál	akl	dálaklik	dálaklik	áai	dlklk
d	ál	akß	dálakßik	dálakszik	áai	dlkßk
d	ál	aml	dálamlik	dálamlik	áai	dlmlk
d	ál	apß	dálapßik	dálapszik	áai	dlpßk
d	ál	arz	dálarzik	dálarzik	áai	dlrzk
d	ál	asl	dálaslik	dálaslik	áai	dlslk
d	ar	á¥l	dará¥lik	daránylik	aái	dr¥lk
d	ar	ádz	darádzik	darádzik	aái	drdzk
d	ar	ágl	daráglik	daráglik	aái	drglk
d	ar	ágz	darágzik	darágzik	aái	drgzk
d	ár	adz	dáradzik	dáradzik	áai	drdzk
d	ár	agl	dáraglik	dáraglik	áai	drglk
d	ár	agß	dáragßik	dáragszik	áai	drgßk
d	ár	agz	dáragzik	dáragzik	áai	drgzk
d	ár	ajl	dárajlik	dárajlik	áai	drjlk
d	ár	akl	dáraklik	dáraklik	áai	drklk
d	ár	akß	dárakßik	dárakszik	áai	drkßk
d	ár	aml	dáramlik	dáramlik	áai	drmlk
d	ár	apß	dárapßik	dárapszik	áai	drpßk
d	ár	asl	dáraslik	dáraslik	áai	drslk
d	arj	á¥l	darjá¥lik	darjánylik	aái	drj¥lk
d	arj	ádz	darjádzik	darjádzik	aái	drjdzk
d	arj	ágl	darjáglik	darjáglik	aái	drjglk
d	arj	ágz	darjágzik	darjágzik	aái	drjgzk
d	arj	árz	darjárzik	darjárzik	aái	drjrzk
d	at	á¥l	datá¥lik	datánylik	aái	dt¥lk
d	at	ádz	datádzik	datádzik	aái	dtdzk
d	at	ágl	datáglik	datáglik	aái	dtglk
d	at	ágz	datágzik	datágzik	aái	dtgzk
d	at	árz	datárzik	datárzik	aái	dtrzk
d	eh	é¥l	dehé¥lik	dehénylik	eéi	dh¥lk
d	eh	égß	dehégßik	dehégszik	eéi	dhgßk
d	eh	ékß	dehékßik	dehékszik	eéi	dhkßk
d	el	é¥l	delé¥lik	delénylik	eéi	dl¥lk
d	el	égß	delégßik	delégszik	eéi	dlgßk
d	el	ékß	delékßik	delékszik	eéi	dlkßk
d	él	edz	déledzik	déledzik	éei	dldzk
d	él	egl	déleglik	déleglik	éei	dlglk
d	él	egß	délegßik	délegszik	éei	dlgßk
d	él	egz	délegzik	délegzik	éei	dlgzk
d	él	ejl	délejlik	délejlik	éei	dljlk
d	él	ekß	délekßik	délekszik	éei	dlkßk
d	él	eml	délemlik	délemlik	éei	dlmlk
d	él	epß	délepßik	délepszik	éei	dlpßk
d	él	esl	déleslik	déleslik	éei	dlslk
d	er	é¥l	deré¥lik	derénylik	eéi	dr¥lk
d	er	égß	derégßik	derégszik	eéi	drgßk
d	er	ékß	derékßik	derékszik	eéi	drkßk
d	ér	edz	déredzik	déredzik	éei	drdzk
d	ér	egl	déreglik	déreglik	éei	drglk
d	ér	egß	déregßik	déregszik	éei	drgßk
d	ér	egz	déregzik	déregzik	éei	drgzk
d	ér	ejl	dérejlik	dérejlik	éei	drjlk
d	ér	ekß	dérekßik	dérekszik	éei	drkßk
d	ér	eml	déremlik	déremlik	éei	drmlk
d	ér	epß	dérepßik	dérepszik	éei	drpßk
d	ér	esl	déreslik	déreslik	éei	drslk
d	et	é¥l	deté¥lik	deténylik	eéi	dt¥lk
d	et	égß	detégßik	detégszik	eéi	dtgßk
d	et	ékß	detékßik	detékszik	eéi	dtkßk
d	ib	á¥l	dibá¥lik	dibánylik	iái	db¥lk
d	ib	adz	dibadzik	dibadzik	iai	dbdzk
d	ib	ádz	dibádzik	dibádzik	iái	dbdzk
d	ib	agl	dibaglik	dibaglik	iai	dbglk
d	ib	ágl	dibáglik	dibáglik	iái	dbglk
d	ib	agß	dibagßik	dibagszik	iai	dbgßk
d	ib	agz	dibagzik	dibagzik	iai	dbgzk
d	ib	ágz	dibágzik	dibágzik	iái	dbgzk
d	ib	ajl	dibajlik	dibajlik	iai	dbjlk
d	ib	akl	dibaklik	dibaklik	iai	dbklk
d	ib	akß	dibakßik	dibakszik	iai	dbkßk
d	ib	aml	dibamlik	dibamlik	iai	dbmlk
d	ib	apß	dibapßik	dibapszik	iai	dbpßk
d	ib	arz	dibarzik	dibarzik	iai	dbrzk
d	ib	árz	dibárzik	dibárzik	iái	dbrzk
d	ib	asl	dibaslik	dibaslik	iai	dbslk
d	ib	é¥l	dibé¥lik	dibénylik	iéi	db¥lk
d	ib	edz	dibedzik	dibedzik	iei	dbdzk
d	ib	egl	dibeglik	dibeglik	iei	dbglk
d	ib	egß	dibegßik	dibegszik	iei	dbgßk
d	ib	égß	dibégßik	dibégszik	iéi	dbgßk
d	ib	egz	dibegzik	dibegzik	iei	dbgzk
d	ib	ejl	dibejlik	dibejlik	iei	dbjlk
d	ib	ekß	dibekßik	dibekszik	iei	dbkßk
d	ib	ékß	dibékßik	dibékszik	iéi	dbkßk
d	ib	eml	dibemlik	dibemlik	iei	dbmlk
d	ib	epß	dibepßik	dibepszik	iei	dbpßk
d	ib	esl	dibeslik	dibeslik	iei	dbslk
d	ih	á¥l	dihá¥lik	dihánylik	iái	dh¥lk
d	ih	adz	dihadzik	dihadzik	iai	dhdzk
d	ih	ádz	dihádzik	dihádzik	iái	dhdzk
d	ih	agl	dihaglik	dihaglik	iai	dhglk
d	ih	ágl	diháglik	diháglik	iái	dhglk
d	ih	agß	dihagßik	dihagszik	iai	dhgßk
d	ih	agz	dihagzik	dihagzik	iai	dhgzk
d	ih	ágz	dihágzik	dihágzik	iái	dhgzk
d	ih	ajl	dihajlik	dihajlik	iai	dhjlk
d	ih	akl	dihaklik	dihaklik	iai	dhklk
d	ih	akß	dihakßik	dihakszik	iai	dhkßk
d	ih	aml	dihamlik	dihamlik	iai	dhmlk
d	ih	apß	dihapßik	dihapszik	iai	dhpßk
d	ih	arz	diharzik	diharzik	iai	dhrzk
d	ih	árz	dihárzik	dihárzik	iái	dhrzk
d	ih	asl	dihaslik	dihaslik	iai	dhslk
d	ih	é¥l	dihé¥lik	dihénylik	iéi	dh¥lk
d	ih	edz	dihedzik	dihedzik	iei	dhdzk
d	ih	egl	diheglik	diheglik	iei	dhglk
d	ih	egß	dihegßik	dihegszik	iei	dhgßk
d	ih	égß	dihégßik	dihégszik	iéi	dhgßk
d	ih	egz	dihegzik	dihegzik	iei	dhgzk
d	ih	ejl	dihejlik	dihejlik	iei	dhjlk
d	ih	ekß	dihekßik	dihekszik	iei	dhkßk
d	ih	ékß	dihékßik	dihékszik	iéi	dhkßk
d	ih	eml	dihemlik	dihemlik	iei	dhmlk
d	ih	epß	dihepßik	dihepszik	iei	dhpßk
d	ih	esl	diheslik	diheslik	iei	dhslk
d	il	á¥l	dilá¥lik	dilánylik	iái	dl¥lk
d	il	adz	diladzik	diladzik	iai	dldzk
d	il	ádz	diládzik	diládzik	iái	dldzk
d	il	agl	dilaglik	dilaglik	iai	dlglk
d	il	ágl	diláglik	diláglik	iái	dlglk
d	il	agß	dilagßik	dilagszik	iai	dlgßk
d	il	agz	dilagzik	dilagzik	iai	dlgzk
d	il	ágz	dilágzik	dilágzik	iái	dlgzk
d	il	ajl	dilajlik	dilajlik	iai	dljlk
d	il	akl	dilaklik	dilaklik	iai	dlklk
d	il	akß	dilakßik	dilakszik	iai	dlkßk
d	il	aml	dilamlik	dilamlik	iai	dlmlk
d	il	apß	dilapßik	dilapszik	iai	dlpßk
d	il	arz	dilarzik	dilarzik	iai	dlrzk
d	il	árz	dilárzik	dilárzik	iái	dlrzk
d	il	asl	dilaslik	dilaslik	iai	dlslk
d	il	é¥l	dilé¥lik	dilénylik	iéi	dl¥lk
d	il	edz	diledzik	diledzik	iei	dldzk
d	il	egl	dileglik	dileglik	iei	dlglk
d	il	egß	dilegßik	dilegszik	iei	dlgßk
d	il	égß	dilégßik	dilégszik	iéi	dlgßk
d	il	egz	dilegzik	dilegzik	iei	dlgzk
d	il	ejl	dilejlik	dilejlik	iei	dljlk
d	il	ekß	dilekßik	dilekszik	iei	dlkßk
d	il	ékß	dilékßik	dilékszik	iéi	dlkßk
d	il	eml	dilemlik	dilemlik	iei	dlmlk
d	il	epß	dilepßik	dilepszik	iei	dlpßk
d	il	esl	dileslik	dileslik	iei	dlslk
d	ir	á¥l	dirá¥lik	diránylik	iái	dr¥lk
d	ir	adz	diradzik	diradzik	iai	drdzk
d	ir	ádz	dirádzik	dirádzik	iái	drdzk
d	ir	agl	diraglik	diraglik	iai	drglk
d	ir	ágl	diráglik	diráglik	iái	drglk
d	ir	agß	diragßik	diragszik	iai	drgßk
d	ir	agz	diragzik	diragzik	iai	drgzk
d	ir	ágz	dirágzik	dirágzik	iái	drgzk
d	ir	ajl	dirajlik	dirajlik	iai	drjlk
d	ir	akl	diraklik	diraklik	iai	drklk
d	ir	akß	dirakßik	dirakszik	iai	drkßk
d	ir	aml	diramlik	diramlik	iai	drmlk
d	ir	apß	dirapßik	dirapszik	iai	drpßk
d	ir	asl	diraslik	diraslik	iai	drslk
d	ir	é¥l	diré¥lik	dirénylik	iéi	dr¥lk
d	ir	edz	diredzik	diredzik	iei	drdzk
d	ir	egl	direglik	direglik	iei	drglk
d	ir	egß	diregßik	diregszik	iei	drgßk
d	ir	égß	dirégßik	dirégszik	iéi	drgßk
d	ir	egz	diregzik	diregzik	iei	drgzk
d	ir	ejl	direjlik	direjlik	iei	drjlk
d	ir	ekß	direkßik	direkszik	iei	drkßk
d	ir	ékß	dirékßik	dirékszik	iéi	drkßk
d	ir	eml	diremlik	diremlik	iei	drmlk
d	ir	epß	direpßik	direpszik	iei	drpßk
d	ir	esl	direslik	direslik	iei	drslk
d	iv	á¥l	divá¥lik	diványlik	iái	dv¥lk
d	iv	adz	divadzik	divadzik	iai	dvdzk
d	iv	ádz	divádzik	divádzik	iái	dvdzk
d	iv	agl	divaglik	divaglik	iai	dvglk
d	iv	ágl	diváglik	diváglik	iái	dvglk
d	iv	agß	divagßik	divagszik	iai	dvgßk
d	iv	agz	divagzik	divagzik	iai	dvgzk
d	iv	ágz	divágzik	divágzik	iái	dvgzk
d	iv	ajl	divajlik	divajlik	iai	dvjlk
d	iv	akl	divaklik	divaklik	iai	dvklk
d	iv	akß	divakßik	divakszik	iai	dvkßk
d	iv	aml	divamlik	divamlik	iai	dvmlk
d	iv	apß	divapßik	divapszik	iai	dvpßk
d	iv	arz	divarzik	divarzik	iai	dvrzk
d	iv	árz	divárzik	divárzik	iái	dvrzk
d	iv	asl	divaslik	divaslik	iai	dvslk
d	iv	é¥l	divé¥lik	divénylik	iéi	dv¥lk
d	iv	edz	divedzik	divedzik	iei	dvdzk
d	iv	egl	diveglik	diveglik	iei	dvglk
d	iv	egß	divegßik	divegszik	iei	dvgßk
d	iv	égß	divégßik	divégszik	iéi	dvgßk
d	iv	egz	divegzik	divegzik	iei	dvgzk
d	iv	ejl	divejlik	divejlik	iei	dvjlk
d	iv	ekß	divekßik	divekszik	iei	dvkßk
d	iv	ékß	divékßik	divékszik	iéi	dvkßk
d	iv	eml	divemlik	divemlik	iei	dvmlk
d	iv	epß	divepßik	divepszik	iei	dvpßk
d	iv	esl	diveslik	diveslik	iei	dvslk
d	ob	ódz	dobódzik	dobódzik	oói	dbdzk
d	og	ódz	dogódzik	dogódzik	oói	dgdzk
d	oh	ódz	dohódzik	dohódzik	oói	dhdzk
d	ol	ódz	dolódzik	dolódzik	oói	dldzk
d	ól	o¥l	dólo¥lik	dólonylik	óoi	dl¥lk
d	ól	okl	dóloklik	dóloklik	óoi	dlklk
d	ól	orz	dólorzik	dólorzik	óoi	dlrzk
d	ól	osl	dóloslik	dóloslik	óoi	dlslk
d	or	ódz	doródzik	doródzik	oói	drdzk
d	ör	ődz	dörődzik	dörődzik	öői	drdzk
d	ör	űdz	dörűdzik	dörűdzik	öűi	drdzk
d	orj	ódz	dorjódzik	dorjódzik	oói	drjdzk
d	öt	ődz	dötődzik	dötődzik	öői	dtdzk
d	öt	őrz	dötőrzik	dötőrzik	öői	dtrzk
d	öt	űdz	dötűdzik	dötűdzik	öűi	dtdzk
d	öv	ődz	dövődzik	dövődzik	öői	dvdzk
d	öv	őrz	dövőrzik	dövőrzik	öői	dvrzk
d	öv	űdz	dövűdzik	dövűdzik	öűi	dvdzk
d	ub	o¥l	dubo¥lik	dubonylik	uoi	db¥lk
d	ub	ódz	dubódzik	dubódzik	uói	dbdzk
d	ub	okl	duboklik	duboklik	uoi	dbklk
d	ub	orz	duborzik	duborzik	uoi	dbrzk
d	ub	osl	duboslik	duboslik	uoi	dbslk
d	ug	o¥l	dugo¥lik	dugonylik	uoi	dg¥lk
d	ug	ódz	dugódzik	dugódzik	uói	dgdzk
d	ug	okl	dugoklik	dugoklik	uoi	dgklk
