prompt	tr	nsyl	ending	target_k	target_m	keep_enough_distance	keep_no_overlap
direglik	direglik	2	lik	direglek	direglem	TRUE	TRUE
spülőrzik	spülőrzik	2	zik	spülőrzök	spülőrzöm	TRUE	TRUE
flivemlik	flivemlik	2	lik	flivemlek	flivemlem	TRUE	TRUE
mihaklik	mihaklik	2	lik	mihaklok	mihaklom	TRUE	FALSE
friványlik	frivá¥lik	2	lik	friványlok	friványlom	TRUE	TRUE
guródzik	guródzik	2	zik	guródzok	guródzom	FALSE	TRUE
ilaslik	ilaslik	2	lik	ilaslok	ilaslom	TRUE	TRUE
lihadzik	lihadzik	2	zik	lihadzok	lihadzom	TRUE	TRUE
pireslik	pireslik	2	lik	pireslek	pireslem	FALSE	TRUE
kélegzik	kélegzik	2	zik	kélegzek	kélegzem	FALSE	TRUE
kivagszik	kivagßik	2	zik	kivagszok	kivagszom	TRUE	FALSE
driheglik	driheglik	2	lik	driheglek	driheglem	TRUE	FALSE
plarádzik	plarádzik	2	zik	plarádzok	plarádzom	TRUE	TRUE
fihaglik	fihaglik	2	lik	fihaglok	fihaglom	TRUE	TRUE
miveslik	miveslik	2	lik	miveslek	miveslem	TRUE	FALSE
pugoslik	pugoslik	2	lik	pugoslok	pugoslom	TRUE	TRUE
trágarzik	trágarzik	2	zik	trágarzok	trágarzom	TRUE	TRUE
drálajlik	drálajlik	2	lik	drálajlok	drálajlom	TRUE	FALSE
véreglik	véreglik	2	lik	véreglek	véreglem	TRUE	FALSE
bivejlik	bivejlik	2	lik	bivejlek	bivejlem	TRUE	TRUE
gyáramlik	©áramlik	2	lik	gyáramlok	gyáramlom	FALSE	FALSE
dretégszik	dretégßik	2	zik	dretégszek	dretégszem	TRUE	FALSE
csurjonylik	çurjo¥lik	2	lik	csurjonylok	csurjonylom	TRUE	TRUE
frilegszik	frilegßik	2	zik	frilegszek	frilegszem	TRUE	TRUE
drövőrzik	drövőrzik	2	zik	drövőrzök	drövőrzöm	TRUE	TRUE
vagánylik	vagá¥lik	2	lik	vagánylok	vagánylom	TRUE	FALSE
truborzik	truborzik	2	zik	truborzok	truborzom	TRUE	TRUE
frülöklik	frülöklik	2	lik	frülöklök	frülöklöm	TRUE	TRUE
malánylik	malá¥lik	2	lik	malánylok	malánylom	TRUE	FALSE
nehékszik	nehékßik	2	zik	nehékszek	nehékszem	TRUE	FALSE
drülöslik	drülöslik	2	lik	drülöslök	drülöslöm	TRUE	FALSE
flerégszik	flerégßik	2	zik	flerégszek	flerégszem	TRUE	TRUE
pliháglik	pliháglik	2	lik	pliháglok	pliháglom	TRUE	FALSE
piharzik	piharzik	2	zik	piharzok	piharzom	FALSE	TRUE
ribegzik	ribegzik	2	zik	ribegzek	ribegzem	TRUE	TRUE
trágaslik	trágaslik	2	lik	trágaslok	trágaslom	TRUE	TRUE
klogódzik	klogódzik	2	zik	klogódzok	klogódzom	TRUE	TRUE
gyibeslik	©ibeslik	2	lik	gyibeslek	gyibeslem	TRUE	TRUE
firemlik	firemlik	2	lik	firemlek	firemlem	TRUE	TRUE
drihegszik	drihegßik	2	zik	drihegszek	drihegszem	TRUE	FALSE
néleglik	néleglik	2	lik	néleglek	néleglem	TRUE	FALSE
vülöklik	vülöklik	2	lik	vülöklök	vülöklöm	TRUE	TRUE
turjódzik	turjódzik	2	zik	turjódzok	turjódzom	TRUE	TRUE
frugoklik	frugoklik	2	lik	frugoklok	frugoklom	TRUE	TRUE
furoklik	furoklik	2	lik	furoklok	furoklom	TRUE	TRUE
kihénylik	kihé¥lik	2	lik	kihénylek	kihénylem	TRUE	FALSE
géremlik	géremlik	2	lik	géremlek	géremlem	TRUE	TRUE
élegszik	élegßik	2	zik	élegszek	élegszem	TRUE	FALSE
spibaklik	spibaklik	2	lik	spibaklok	spibaklom	TRUE	TRUE
vágaslik	vágaslik	2	lik	vágaslok	vágaslom	TRUE	FALSE
tribepszik	tribepßik	2	zik	tribepszek	tribepszem	TRUE	TRUE
mötőrzik	mötőrzik	2	zik	mötőrzök	mötőrzöm	TRUE	TRUE
niheglik	niheglik	2	lik	niheglek	niheglem	TRUE	FALSE
brivarzik	brivarzik	2	zik	brivarzok	brivarzom	TRUE	TRUE
héredzik	héredzik	2	zik	héredzek	héredzem	FALSE	FALSE
vűröslik	vűröslik	2	lik	vűröslök	vűröslöm	FALSE	TRUE
gyihamlik	©ihamlik	2	lik	gyihamlok	gyihamlom	TRUE	TRUE
féregszik	féregßik	2	zik	féregszek	féregszem	TRUE	FALSE
sehénylik	sehé¥lik	2	lik	sehénylek	sehénylem	TRUE	FALSE
prugonylik	prugo¥lik	2	lik	prugonylok	prugonylom	TRUE	TRUE
lurjoklik	lurjoklik	2	lik	lurjoklok	lurjoklom	TRUE	TRUE
péleslik	péleslik	2	lik	péleslek	péleslem	TRUE	TRUE
móloklik	móloklik	2	lik	móloklok	móloklom	TRUE	FALSE
kihedzik	kihedzik	2	zik	kihedzek	kihedzem	TRUE	FALSE
flürődzik	flürődzik	2	zik	flürődzök	flürődzöm	TRUE	TRUE
drihedzik	drihedzik	2	zik	drihedzek	drihedzem	TRUE	FALSE
ibékszik	ibékßik	2	zik	ibékszek	ibékszem	TRUE	TRUE
spáraklik	spáraklik	2	lik	spáraklok	spáraklom	TRUE	TRUE
fléregzik	fléregzik	2	zik	fléregzek	fléregzem	TRUE	TRUE
sogódzik	sogódzik	2	zik	sogódzok	sogódzom	FALSE	TRUE
trehégszik	trehégßik	2	zik	trehégszek	trehégszem	TRUE	TRUE
klárajlik	klárajlik	2	lik	klárajlok	klárajlom	TRUE	TRUE
preténylik	preté¥lik	2	lik	preténylek	preténylem	TRUE	TRUE
plibégszik	plibégßik	2	zik	plibégszek	plibégszem	TRUE	FALSE
siladzik	siladzik	2	zik	siladzok	siladzom	TRUE	TRUE
flivékszik	flivékßik	2	zik	flivékszek	flivékszem	TRUE	TRUE
kluroslik	kluroslik	2	lik	kluroslok	kluroslom	TRUE	TRUE
gyilekszik	©ilekßik	2	zik	gyilekszek	gyilekszem	TRUE	TRUE
merékszik	merékßik	2	zik	merékszek	merékszem	TRUE	FALSE
fibedzik	fibedzik	2	zik	fibedzek	fibedzem	TRUE	TRUE
dribekszik	dribekßik	2	zik	dribekszek	dribekszem	TRUE	FALSE
kléreglik	kléreglik	2	lik	kléreglek	kléreglem	TRUE	TRUE
tibénylik	tibé¥lik	2	lik	tibénylek	tibénylem	TRUE	FALSE
vihepszik	vihepßik	2	zik	vihepszek	vihepszem	TRUE	TRUE
giványlik	givá¥lik	2	lik	giványlok	giványlom	TRUE	TRUE
flehékszik	flehékßik	2	zik	flehékszek	flehékszem	TRUE	TRUE
spűrődzik	spűrődzik	2	zik	spűrődzök	spűrődzöm	TRUE	TRUE
csivamlik	çivamlik	2	lik	csivamlok	csivamlom	TRUE	TRUE
trivagszik	trivagßik	2	zik	trivagszok	trivagszom	TRUE	TRUE
brálagszik	brálagßik	2	zik	brálagszok	brálagszom	TRUE	TRUE
brülőrzik	brülőrzik	2	zik	brülőrzök	brülőrzöm	TRUE	TRUE
ibáglik	ibáglik	2	lik	ibáglok	ibáglom	TRUE	TRUE
mihárzik	mihárzik	2	zik	mihárzok	mihárzom	TRUE	TRUE
lérekszik	lérekßik	2	zik	lérekszek	lérekszem	TRUE	FALSE
tuboklik	tuboklik	2	lik	tuboklok	tuboklom	TRUE	TRUE
kliremlik	kliremlik	2	lik	kliremlek	kliremlem	TRUE	TRUE
prilaslik	prilaslik	2	lik	prilaslok	prilaslom	TRUE	TRUE
csirajlik	çirajlik	2	lik	csirajlok	csirajlom	TRUE	FALSE
brövűdzik	brövűdzik	2	zik	brövűdzök	brövűdzöm	TRUE	TRUE
plibaklik	plibaklik	2	lik	plibaklok	plibaklom	TRUE	FALSE
flibekszik	flibekßik	2	zik	flibekszek	flibekszem	TRUE	TRUE
láragszik	láragßik	2	zik	láragszok	láragszom	TRUE	TRUE
küröslik	küröslik	2	lik	küröslök	küröslöm	TRUE	TRUE
déreslik	déreslik	2	lik	déreslek	déreslem	TRUE	FALSE
vágapszik	vágapßik	2	zik	vágapszok	vágapszom	TRUE	FALSE
gövődzik	gövődzik	2	zik	gövődzök	gövődzöm	TRUE	TRUE
dalágzik	dalágzik	2	zik	dalágzok	dalágzom	TRUE	TRUE
vülődzik	vülődzik	2	zik	vülődzök	vülődzöm	TRUE	TRUE
drilégszik	drilégßik	2	zik	drilégszek	drilégszem	TRUE	FALSE
bágamlik	bágamlik	2	lik	bágamlok	bágamlom	TRUE	TRUE
brágaklik	brágaklik	2	lik	brágaklok	brágaklom	TRUE	TRUE
tibádzik	tibádzik	2	zik	tibádzok	tibádzom	FALSE	TRUE
spülűdzik	spülűdzik	2	zik	spülűdzök	spülűdzöm	TRUE	TRUE
csilagzik	çilagzik	2	zik	csilagzok	csilagzom	TRUE	TRUE
givaglik	givaglik	2	lik	givaglok	givaglom	TRUE	TRUE
hóloslik	hóloslik	2	lik	hóloslok	hóloslom	TRUE	FALSE
spilénylik	spilé¥lik	2	lik	spilénylek	spilénylem	TRUE	TRUE
nyilégszik	¥ilégßik	2	zik	nyilégszek	nyilégszem	TRUE	TRUE
gálaklik	gálaklik	2	lik	gálaklok	gálaklom	TRUE	FALSE
plaránylik	plará¥lik	2	lik	plaránylok	plaránylom	TRUE	FALSE
mibadzik	mibadzik	2	zik	mibadzok	mibadzom	TRUE	TRUE
ratáglik	ratáglik	2	lik	ratáglok	ratáglom	TRUE	FALSE
dribejlik	dribejlik	2	lik	dribejlek	dribejlem	TRUE	FALSE
spibánylik	spibá¥lik	2	lik	spibánylok	spibánylom	TRUE	TRUE
flüröslik	flüröslik	2	lik	flüröslök	flüröslöm	TRUE	TRUE
spihegzik	spihegzik	2	zik	spihegzek	spihegzem	TRUE	TRUE
dragádzik	dragádzik	2	zik	dragádzok	dragádzom	TRUE	TRUE
bruboslik	bruboslik	2	lik	bruboslok	bruboslom	TRUE	TRUE
givágzik	givágzik	2	zik	givágzok	givágzom	TRUE	TRUE
sörődzik	sörődzik	2	zik	sörődzök	sörődzöm	TRUE	TRUE
spibejlik	spibejlik	2	lik	spibejlek	spibejlem	TRUE	TRUE
prohódzik	prohódzik	2	zik	prohódzok	prohódzom	TRUE	TRUE
tribékszik	tribékßik	2	zik	tribékszek	tribékszem	TRUE	TRUE
piragszik	piragßik	2	zik	piragszok	piragszom	TRUE	TRUE
kibagzik	kibagzik	2	zik	kibagzok	kibagzom	TRUE	TRUE
nyihakszik	¥ihakßik	2	zik	nyihakszok	nyihakszom	TRUE	TRUE
poródzik	poródzik	2	zik	poródzok	poródzom	TRUE	TRUE
dágarzik	dágarzik	2	zik	dágarzok	dágarzom	TRUE	TRUE
miregszik	miregßik	2	zik	miregszek	miregszem	TRUE	FALSE
flirapszik	flirapßik	2	zik	flirapszok	flirapszom	TRUE	TRUE
tiregzik	tiregzik	2	zik	tiregzek	tiregzem	TRUE	TRUE
spéledzik	spéledzik	2	zik	spéledzek	spéledzem	TRUE	TRUE
vurjoslik	vurjoslik	2	lik	vurjoslok	vurjoslom	TRUE	TRUE
dihékszik	dihékßik	2	zik	dihékszek	dihékszem	TRUE	TRUE
tilegszik	tilegßik	2	zik	tilegszek	tilegszem	TRUE	FALSE
klibegszik	klibegßik	2	zik	klibegszek	klibegszem	TRUE	TRUE
drilénylik	drilé¥lik	2	lik	drilénylek	drilénylem	TRUE	FALSE
gerénylik	geré¥lik	2	lik	gerénylek	gerénylem	TRUE	TRUE
trilejlik	trilejlik	2	lik	trilejlek	trilejlem	TRUE	TRUE
tileglik	tileglik	2	lik	tileglek	tileglem	TRUE	FALSE
irejlik	irejlik	2	lik	irejlek	irejlem	FALSE	TRUE
türűdzik	türűdzik	2	zik	türűdzök	türűdzöm	TRUE	TRUE
trivedzik	trivedzik	2	zik	trivedzek	trivedzem	TRUE	TRUE
spagánylik	spagá¥lik	2	lik	spagánylok	spagánylom	TRUE	TRUE
siredzik	siredzik	2	zik	siredzek	siredzem	TRUE	TRUE
gyiváglik	©iváglik	2	lik	gyiváglok	gyiváglom	TRUE	TRUE
délekszik	délekßik	2	zik	délekszek	délekszem	TRUE	FALSE
milemlik	milemlik	2	lik	milemlek	milemlem	TRUE	FALSE
flagánylik	flagá¥lik	2	lik	flagánylok	flagánylom	TRUE	TRUE
pelékszik	pelékßik	2	zik	pelékszek	pelékszem	TRUE	TRUE
kehégszik	kehégßik	2	zik	kehégszek	kehégszem	TRUE	FALSE
fálagszik	fálagßik	2	zik	fálagszok	fálagszom	TRUE	TRUE
csólonylik	çólo¥lik	2	lik	csólonylok	csólonylom	TRUE	TRUE
gyibárzik	©ibárzik	2	zik	gyibárzok	gyibárzom	TRUE	TRUE
frágapszik	frágapßik	2	zik	frágapszok	frágapszom	TRUE	TRUE
