prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl	tr	keep_enough_distance	keep_no_overlap
bomlik	bomozik	nek	bomlanak	bomoznak	bom	lik	bomlik	1	bomlik	FALSE	TRUE
bomlik	bomozik	tek	bomlotok	bomoztok	bom	lik	bomlik	1	bomlik	FALSE	TRUE
bomlik	bomozik	ünk	bomlunk	bomozunk	bom	lik	bomlik	1	bomlik	FALSE	TRUE
sponylik	sponyozik	nek	sponylanak	sponyoznak	spo¥	lik	spo¥lik	1	spo¥lik	TRUE	TRUE
sponylik	sponyozik	tek	sponylotok	sponyoztok	spo¥	lik	spo¥lik	1	spo¥lik	TRUE	TRUE
sponylik	sponyozik	ünk	sponylunk	sponyozunk	spo¥	lik	spo¥lik	1	spo¥lik	TRUE	TRUE
tibarzik	tibarozik	nek	tibarzanak	tibaroznak	tibar	zik	tibarzik	2	tibarzik	TRUE	TRUE
tibarzik	tibarozik	tek	tibarzotok	tibaroztok	tibar	zik	tibarzik	2	tibarzik	TRUE	TRUE
tibarzik	tibarozik	ünk	tibarzunk	tibarozunk	tibar	zik	tibarzik	2	tibarzik	TRUE	TRUE
jaslik	jasozik	nek	jaslanak	jasoznak	jas	lik	jaslik	1	jaslik	TRUE	FALSE
jaslik	jasozik	tek	jaslotok	jasoztok	jas	lik	jaslik	1	jaslik	TRUE	FALSE
jaslik	jasozik	ünk	jaslunk	jasozunk	jas	lik	jaslik	1	jaslik	TRUE	FALSE
trugoklik	trugokozik	nek	trugoklanak	trugokoznak	trugok	lik	trugoklik	2	trugoklik	TRUE	TRUE
trugoklik	trugokozik	tek	trugoklotok	trugokoztok	trugok	lik	trugoklik	2	trugoklik	TRUE	TRUE
trugoklik	trugokozik	ünk	trugoklunk	trugokozunk	trugok	lik	trugoklik	2	trugoklik	TRUE	TRUE
prehékszik	prehékedik	nek	prehékszenek	prehékednek	prehék	ßik	prehékßik	2	prehékßik	TRUE	TRUE
prehékszik	prehékedik	tek	prehékszetek	prehékedtek	prehék	ßik	prehékßik	2	prehékßik	TRUE	TRUE
prehékszik	prehékedik	ünk	prehékszünk	prehékedünk	prehék	ßik	prehékßik	2	prehékßik	TRUE	TRUE
nerékszik	nerékedik	nek	nerékszenek	nerékednek	nerék	ßik	nerékßik	2	nerékßik	TRUE	FALSE
nerékszik	nerékedik	tek	nerékszetek	nerékedtek	nerék	ßik	nerékßik	2	nerékßik	TRUE	FALSE
nerékszik	nerékedik	ünk	nerékszünk	nerékedünk	nerék	ßik	nerékßik	2	nerékßik	TRUE	FALSE
brűklik	brűközik	nek	brűklenek	brűköznek	brűk	lik	brűklik	1	brűklik	TRUE	TRUE
brűklik	brűközik	tek	brűklötök	brűköztök	brűk	lik	brűklik	1	brűklik	TRUE	TRUE
brűklik	brűközik	ünk	brűklünk	brűközünk	brűk	lik	brűklik	1	brűklik	TRUE	TRUE
guboslik	gubosozik	nek	guboslanak	gubosoznak	gubos	lik	guboslik	2	guboslik	TRUE	TRUE
guboslik	gubosozik	tek	guboslotok	gubosoztok	gubos	lik	guboslik	2	guboslik	TRUE	TRUE
guboslik	gubosozik	ünk	guboslunk	gubosozunk	gubos	lik	guboslik	2	guboslik	TRUE	TRUE
csüröklik	csüröközik	nek	csüröklenek	csürököznek	çürök	lik	çüröklik	2	çüröklik	TRUE	TRUE
csüröklik	csüröközik	tek	csüröklötök	csürököztök	çürök	lik	çüröklik	2	çüröklik	TRUE	TRUE
csüröklik	csüröközik	ünk	csüröklünk	csüröközünk	çürök	lik	çüröklik	2	çüröklik	TRUE	TRUE
tretlik	tretezik	nek	tretlenek	treteznek	tret	lik	tretlik	1	tretlik	TRUE	TRUE
tretlik	tretezik	tek	tretletek	treteztek	tret	lik	tretlik	1	tretlik	TRUE	TRUE
tretlik	tretezik	ünk	tretlünk	tretezünk	tret	lik	tretlik	1	tretlik	TRUE	TRUE
frivamlik	frivamozik	nek	frivamlanak	frivamoznak	frivam	lik	frivamlik	2	frivamlik	TRUE	TRUE
frivamlik	frivamozik	tek	frivamlotok	frivamoztok	frivam	lik	frivamlik	2	frivamlik	TRUE	TRUE
frivamlik	frivamozik	ünk	frivamlunk	frivamozunk	frivam	lik	frivamlik	2	frivamlik	TRUE	TRUE
spiráglik	spirágozik	nek	spiráglanak	spirágoznak	spirág	lik	spiráglik	2	spiráglik	TRUE	TRUE
spiráglik	spirágozik	tek	spiráglotok	spirágoztok	spirág	lik	spiráglik	2	spiráglik	TRUE	TRUE
spiráglik	spirágozik	ünk	spiráglunk	spirágozunk	spirág	lik	spiráglik	2	spiráglik	TRUE	TRUE
pibékszik	pibékedik	nek	pibékszenek	pibékednek	pibék	ßik	pibékßik	2	pibékßik	TRUE	TRUE
pibékszik	pibékedik	tek	pibékszetek	pibékedtek	pibék	ßik	pibékßik	2	pibékßik	TRUE	TRUE
pibékszik	pibékedik	ünk	pibékszünk	pibékedünk	pibék	ßik	pibékßik	2	pibékßik	TRUE	TRUE
kuglik	kugozik	nek	kuglanak	kugoznak	kug	lik	kuglik	1	kuglik	TRUE	FALSE
kuglik	kugozik	tek	kuglotok	kugoztok	kug	lik	kuglik	1	kuglik	TRUE	FALSE
kuglik	kugozik	ünk	kuglunk	kugozunk	kug	lik	kuglik	1	kuglik	TRUE	FALSE
töglik	tögözik	nek	töglenek	tögöznek	tög	lik	töglik	1	töglik	TRUE	TRUE
töglik	tögözik	tek	töglötök	tögöztök	tög	lik	töglik	1	töglik	TRUE	TRUE
töglik	tögözik	ünk	töglünk	tögözünk	tög	lik	töglik	1	töglik	TRUE	TRUE
gyűröklik	gyűröközik	nek	gyűröklenek	gyűrököznek	©űrök	lik	©űröklik	2	©űröklik	TRUE	FALSE
gyűröklik	gyűröközik	tek	gyűröklötök	gyűrököztök	©űrök	lik	©űröklik	2	©űröklik	TRUE	FALSE
gyűröklik	gyűröközik	ünk	gyűröklünk	gyűröközünk	©űrök	lik	©űröklik	2	©űröklik	TRUE	FALSE
ilamlik	ilamozik	nek	ilamlanak	ilamoznak	ilam	lik	ilamlik	2	ilamlik	FALSE	TRUE
ilamlik	ilamozik	tek	ilamlotok	ilamoztok	ilam	lik	ilamlik	2	ilamlik	FALSE	TRUE
ilamlik	ilamozik	ünk	ilamlunk	ilamozunk	ilam	lik	ilamlik	2	ilamlik	FALSE	TRUE
fatlik	fatozik	nek	fatlanak	fatoznak	fat	lik	fatlik	1	fatlik	TRUE	FALSE
fatlik	fatozik	tek	fatlotok	fatoztok	fat	lik	fatlik	1	fatlik	TRUE	FALSE
fatlik	fatozik	ünk	fatlunk	fatozunk	fat	lik	fatlik	1	fatlik	TRUE	FALSE
flaslik	flasozik	nek	flaslanak	flasoznak	flas	lik	flaslik	1	flaslik	TRUE	TRUE
flaslik	flasozik	tek	flaslotok	flasoztok	flas	lik	flaslik	1	flaslik	TRUE	TRUE
flaslik	flasozik	ünk	flaslunk	flasozunk	flas	lik	flaslik	1	flaslik	TRUE	TRUE
prazlik	prazozik	nek	prazlanak	prazoznak	praz	lik	prazlik	1	prazlik	TRUE	TRUE
prazlik	prazozik	tek	prazlotok	prazoztok	praz	lik	prazlik	1	prazlik	TRUE	TRUE
prazlik	prazozik	ünk	prazlunk	prazozunk	praz	lik	prazlik	1	prazlik	TRUE	TRUE
églik	égezik	nek	églenek	égeznek	ég	lik	églik	1	églik	TRUE	FALSE
églik	égezik	tek	égletek	égeztek	ég	lik	églik	1	églik	TRUE	FALSE
églik	égezik	ünk	églünk	égezünk	ég	lik	églik	1	églik	TRUE	FALSE
frálagzik	frálagozik	nek	frálagzanak	frálagoznak	frálag	zik	frálagzik	2	frálagzik	TRUE	TRUE
frálagzik	frálagozik	tek	frálagzotok	frálagoztok	frálag	zik	frálagzik	2	frálagzik	TRUE	TRUE
frálagzik	frálagozik	ünk	frálagzunk	frálagozunk	frálag	zik	frálagzik	2	frálagzik	TRUE	TRUE
aláglik	alágozik	nek	aláglanak	alágoznak	alág	lik	aláglik	2	aláglik	TRUE	FALSE
aláglik	alágozik	tek	aláglotok	alágoztok	alág	lik	aláglik	2	aláglik	TRUE	FALSE
aláglik	alágozik	ünk	aláglunk	alágozunk	alág	lik	aláglik	2	aláglik	TRUE	FALSE
flerékszik	flerékedik	nek	flerékszenek	flerékednek	flerék	ßik	flerékßik	2	flerékßik	TRUE	TRUE
flerékszik	flerékedik	tek	flerékszetek	flerékedtek	flerék	ßik	flerékßik	2	flerékßik	TRUE	TRUE
flerékszik	flerékedik	ünk	flerékszünk	flerékedünk	flerék	ßik	flerékßik	2	flerékßik	TRUE	TRUE
dugoklik	dugokozik	nek	dugoklanak	dugokoznak	dugok	lik	dugoklik	2	dugoklik	TRUE	FALSE
dugoklik	dugokozik	tek	dugoklotok	dugokoztok	dugok	lik	dugoklik	2	dugoklik	TRUE	FALSE
dugoklik	dugokozik	ünk	dugoklunk	dugokozunk	dugok	lik	dugoklik	2	dugoklik	TRUE	FALSE
tászlik	tászozik	nek	tászlanak	tászoznak	táß	lik	táßlik	1	táßlik	TRUE	TRUE
tászlik	tászozik	tek	tászlotok	tászoztok	táß	lik	táßlik	1	táßlik	TRUE	TRUE
tászlik	tászozik	ünk	tászlunk	tászozunk	táß	lik	táßlik	1	táßlik	TRUE	TRUE
dozlik	dozozik	nek	dozlanak	dozoznak	doz	lik	dozlik	1	dozlik	TRUE	TRUE
dozlik	dozozik	tek	dozlotok	dozoztok	doz	lik	dozlik	1	dozlik	TRUE	TRUE
dozlik	dozozik	ünk	dozlunk	dozozunk	doz	lik	dozlik	1	dozlik	TRUE	TRUE
spámlik	spámozik	nek	spámlanak	spámoznak	spám	lik	spámlik	1	spámlik	TRUE	TRUE
spámlik	spámozik	tek	spámlotok	spámoztok	spám	lik	spámlik	1	spámlik	TRUE	TRUE
spámlik	spámozik	ünk	spámlunk	spámozunk	spám	lik	spámlik	1	spámlik	TRUE	TRUE
bribaslik	bribasozik	nek	bribaslanak	bribasoznak	bribas	lik	bribaslik	2	bribaslik	TRUE	TRUE
bribaslik	bribasozik	tek	bribaslotok	bribasoztok	bribas	lik	bribaslik	2	bribaslik	TRUE	TRUE
bribaslik	bribasozik	ünk	bribaslunk	bribasozunk	bribas	lik	bribaslik	2	bribaslik	TRUE	TRUE
dabzik	dabozik	nek	dabzanak	daboznak	dab	zik	dabzik	1	dabzik	TRUE	TRUE
dabzik	dabozik	tek	dabzotok	daboztok	dab	zik	dabzik	1	dabzik	TRUE	TRUE
dabzik	dabozik	ünk	dabzunk	dabozunk	dab	zik	dabzik	1	dabzik	TRUE	TRUE
hülöslik	hülösözik	nek	hülöslenek	hülösöznek	hülös	lik	hülöslik	2	hülöslik	TRUE	TRUE
hülöslik	hülösözik	tek	hülöslötök	hülösöztök	hülös	lik	hülöslik	2	hülöslik	TRUE	TRUE
hülöslik	hülösözik	ünk	hülöslünk	hülösözünk	hülös	lik	hülöslik	2	hülöslik	TRUE	TRUE
szoklik	szokozik	nek	szoklanak	szokoznak	ßok	lik	ßoklik	1	ßoklik	TRUE	TRUE
szoklik	szokozik	tek	szoklotok	szokoztok	ßok	lik	ßoklik	1	ßoklik	TRUE	TRUE
szoklik	szokozik	ünk	szoklunk	szokozunk	ßok	lik	ßoklik	1	ßoklik	TRUE	TRUE
ribegszik	ribegedik	nek	ribegszenek	ribegednek	ribeg	ßik	ribegßik	2	ribegßik	TRUE	TRUE
ribegszik	ribegedik	tek	ribegszetek	ribegedtek	ribeg	ßik	ribegßik	2	ribegßik	TRUE	TRUE
ribegszik	ribegedik	ünk	ribegszünk	ribegedünk	ribeg	ßik	ribegßik	2	ribegßik	TRUE	TRUE
diveglik	divegezik	nek	diveglenek	divegeznek	diveg	lik	diveglik	2	diveglik	TRUE	TRUE
diveglik	divegezik	tek	divegletek	divegeztek	diveg	lik	diveglik	2	diveglik	TRUE	TRUE
diveglik	divegezik	ünk	diveglünk	divegezünk	diveg	lik	diveglik	2	diveglik	TRUE	TRUE
pluboslik	plubosozik	nek	pluboslanak	plubosoznak	plubos	lik	pluboslik	2	pluboslik	TRUE	FALSE
pluboslik	plubosozik	tek	pluboslotok	plubosoztok	plubos	lik	pluboslik	2	pluboslik	TRUE	FALSE
pluboslik	plubosozik	ünk	pluboslunk	plubosozunk	plubos	lik	pluboslik	2	pluboslik	TRUE	FALSE
trülőrzik	trülőrözik	nek	trülőrzenek	trülőröznek	trülőr	zik	trülőrzik	2	trülőrzik	TRUE	TRUE
trülőrzik	trülőrözik	tek	trülőrzötök	trülőröztök	trülőr	zik	trülőrzik	2	trülőrzik	TRUE	TRUE
trülőrzik	trülőrözik	ünk	trülőrzünk	trülőrözünk	trülőr	zik	trülőrzik	2	trülőrzik	TRUE	TRUE
fivékszik	fivékedik	nek	fivékszenek	fivékednek	fivék	ßik	fivékßik	2	fivékßik	TRUE	TRUE
fivékszik	fivékedik	tek	fivékszetek	fivékedtek	fivék	ßik	fivékßik	2	fivékßik	TRUE	TRUE
fivékszik	fivékedik	ünk	fivékszünk	fivékedünk	fivék	ßik	fivékßik	2	fivékßik	TRUE	TRUE
nyakszik	nyakodik	nek	nyakszanak	nyakodnak	¥ak	ßik	¥akßik	1	¥akßik	TRUE	FALSE
nyakszik	nyakodik	tek	nyakszotok	nyakodtok	¥ak	ßik	¥akßik	1	¥akßik	TRUE	FALSE
nyakszik	nyakodik	ünk	nyakszunk	nyakodunk	¥ak	ßik	¥akßik	1	¥akßik	TRUE	FALSE
gövőrzik	gövőrözik	nek	gövőrzenek	gövőröznek	gövőr	zik	gövőrzik	2	gövőrzik	TRUE	TRUE
gövőrzik	gövőrözik	tek	gövőrzötök	gövőröztök	gövőr	zik	gövőrzik	2	gövőrzik	TRUE	TRUE
gövőrzik	gövőrözik	ünk	gövőrzünk	gövőrözünk	gövőr	zik	gövőrzik	2	gövőrzik	TRUE	TRUE
brüszlik	brüszözik	nek	brüszlenek	brüszöznek	brüß	lik	brüßlik	1	brüßlik	TRUE	TRUE
brüszlik	brüszözik	tek	brüszlötök	brüszöztök	brüß	lik	brüßlik	1	brüßlik	TRUE	TRUE
brüszlik	brüszözik	ünk	brüszlünk	brüszözünk	brüß	lik	brüßlik	1	brüßlik	TRUE	TRUE
űrzik	űrözik	nek	űrzenek	űröznek	űr	zik	űrzik	1	űrzik	TRUE	TRUE
űrzik	űrözik	tek	űrzötök	űröztök	űr	zik	űrzik	1	űrzik	TRUE	TRUE
űrzik	űrözik	ünk	űrzünk	űrözünk	űr	zik	űrzik	1	űrzik	TRUE	TRUE
szálaglik	szálagozik	nek	szálaglanak	szálagoznak	ßálag	lik	ßálaglik	2	ßálaglik	TRUE	FALSE
szálaglik	szálagozik	tek	szálaglotok	szálagoztok	ßálag	lik	ßálaglik	2	ßálaglik	TRUE	FALSE
szálaglik	szálagozik	ünk	szálaglunk	szálagozunk	ßálag	lik	ßálaglik	2	ßálaglik	TRUE	FALSE
sparánylik	sparányozik	nek	sparánylanak	sparányoznak	spará¥	lik	spará¥lik	2	spará¥lik	TRUE	TRUE
sparánylik	sparányozik	tek	sparánylotok	sparányoztok	spará¥	lik	spará¥lik	2	spará¥lik	TRUE	TRUE
sparánylik	sparányozik	ünk	sparánylunk	sparányozunk	spará¥	lik	spará¥lik	2	spará¥lik	TRUE	TRUE
frélegzik	frélegezik	nek	frélegzenek	frélegeznek	fréleg	zik	frélegzik	2	frélegzik	TRUE	TRUE
frélegzik	frélegezik	tek	frélegzetek	frélegeztek	fréleg	zik	frélegzik	2	frélegzik	TRUE	TRUE
frélegzik	frélegezik	ünk	frélegzünk	frélegezünk	fréleg	zik	frélegzik	2	frélegzik	TRUE	TRUE
sprarzik	sprarozik	nek	sprarzanak	spraroznak	sprar	zik	sprarzik	1	sprarzik	TRUE	TRUE
sprarzik	sprarozik	tek	sprarzotok	spraroztok	sprar	zik	sprarzik	1	sprarzik	TRUE	TRUE
sprarzik	sprarozik	ünk	sprarzunk	sprarozunk	sprar	zik	sprarzik	1	sprarzik	TRUE	TRUE
piraklik	pirakozik	nek	piraklanak	pirakoznak	pirak	lik	piraklik	2	piraklik	TRUE	TRUE
piraklik	pirakozik	tek	piraklotok	pirakoztok	pirak	lik	piraklik	2	piraklik	TRUE	TRUE
piraklik	pirakozik	ünk	piraklunk	pirakozunk	pirak	lik	piraklik	2	piraklik	TRUE	TRUE
semlik	semezik	nek	semlenek	semeznek	sem	lik	semlik	1	semlik	TRUE	FALSE
semlik	semezik	tek	semletek	semeztek	sem	lik	semlik	1	semlik	TRUE	FALSE
semlik	semezik	ünk	semlünk	semezünk	sem	lik	semlik	1	semlik	TRUE	FALSE
kliveslik	klivesezik	nek	kliveslenek	kliveseznek	klives	lik	kliveslik	2	kliveslik	TRUE	TRUE
kliveslik	klivesezik	tek	klivesletek	kliveseztek	klives	lik	kliveslik	2	kliveslik	TRUE	TRUE
kliveslik	klivesezik	ünk	kliveslünk	klivesezünk	klives	lik	kliveslik	2	kliveslik	TRUE	TRUE
spélejlik	spélejezik	nek	spélejlenek	spélejeznek	spélej	lik	spélejlik	2	spélejlik	TRUE	TRUE
spélejlik	spélejezik	tek	spélejletek	spélejeztek	spélej	lik	spélejlik	2	spélejlik	TRUE	TRUE
spélejlik	spélejezik	ünk	spélejlünk	spélejezünk	spélej	lik	spélejlik	2	spélejlik	TRUE	TRUE
brilegzik	brilegezik	nek	brilegzenek	brilegeznek	brileg	zik	brilegzik	2	brilegzik	TRUE	TRUE
brilegzik	brilegezik	tek	brilegzetek	brilegeztek	brileg	zik	brilegzik	2	brilegzik	TRUE	TRUE
brilegzik	brilegezik	ünk	brilegzünk	brilegezünk	brileg	zik	brilegzik	2	brilegzik	TRUE	TRUE
hetlik	hetezik	nek	hetlenek	heteznek	het	lik	hetlik	1	hetlik	TRUE	TRUE
hetlik	hetezik	tek	hetletek	heteztek	het	lik	hetlik	1	hetlik	TRUE	TRUE
hetlik	hetezik	ünk	hetlünk	hetezünk	het	lik	hetlik	1	hetlik	TRUE	TRUE
plihamlik	plihamozik	nek	plihamlanak	plihamoznak	pliham	lik	plihamlik	2	plihamlik	TRUE	FALSE
plihamlik	plihamozik	tek	plihamlotok	plihamoztok	pliham	lik	plihamlik	2	plihamlik	TRUE	FALSE
plihamlik	plihamozik	ünk	plihamlunk	plihamozunk	pliham	lik	plihamlik	2	plihamlik	TRUE	FALSE
csiglik	csigozik	nek	csiglanak	csigoznak	çig	lik	çiglik	1	çiglik	TRUE	TRUE
csiglik	csigozik	tek	csiglotok	csigoztok	çig	lik	çiglik	1	çiglik	TRUE	TRUE
csiglik	csigozik	ünk	csiglunk	csigozunk	çig	lik	çiglik	1	çiglik	TRUE	TRUE
torlik	torozik	nek	torlanak	toroznak	tor	lik	torlik	1	torlik	TRUE	FALSE
torlik	torozik	tek	torlotok	toroztok	tor	lik	torlik	1	torlik	TRUE	FALSE
torlik	torozik	ünk	torlunk	torozunk	tor	lik	torlik	1	torlik	TRUE	FALSE
fárapszik	fárapodik	nek	fárapszanak	fárapodnak	fárap	ßik	fárapßik	2	fárapßik	TRUE	TRUE
fárapszik	fárapodik	tek	fárapszotok	fárapodtok	fárap	ßik	fárapßik	2	fárapßik	TRUE	TRUE
fárapszik	fárapodik	ünk	fárapszunk	fárapodunk	fárap	ßik	fárapßik	2	fárapßik	TRUE	TRUE
klihepszik	klihepedik	nek	klihepszenek	klihepednek	klihep	ßik	klihepßik	2	klihepßik	TRUE	TRUE
klihepszik	klihepedik	tek	klihepszetek	klihepedtek	klihep	ßik	klihepßik	2	klihepßik	TRUE	TRUE
klihepszik	klihepedik	ünk	klihepszünk	klihepedünk	klihep	ßik	klihepßik	2	klihepßik	TRUE	TRUE
tribamlik	tribamozik	nek	tribamlanak	tribamoznak	tribam	lik	tribamlik	2	tribamlik	TRUE	TRUE
tribamlik	tribamozik	tek	tribamlotok	tribamoztok	tribam	lik	tribamlik	2	tribamlik	TRUE	TRUE
tribamlik	tribamozik	ünk	tribamlunk	tribamozunk	tribam	lik	tribamlik	2	tribamlik	TRUE	TRUE
klivarzik	klivarozik	nek	klivarzanak	klivaroznak	klivar	zik	klivarzik	2	klivarzik	TRUE	TRUE
klivarzik	klivarozik	tek	klivarzotok	klivaroztok	klivar	zik	klivarzik	2	klivarzik	TRUE	TRUE
klivarzik	klivarozik	ünk	klivarzunk	klivarozunk	klivar	zik	klivarzik	2	klivarzik	TRUE	TRUE
gyivepszik	gyivepedik	nek	gyivepszenek	gyivepednek	©ivep	ßik	©ivepßik	2	©ivepßik	TRUE	TRUE
gyivepszik	gyivepedik	tek	gyivepszetek	gyivepedtek	©ivep	ßik	©ivepßik	2	©ivepßik	TRUE	TRUE
gyivepszik	gyivepedik	ünk	gyivepszünk	gyivepedünk	©ivep	ßik	©ivepßik	2	©ivepßik	TRUE	TRUE
plárakszik	plárakodik	nek	plárakszanak	plárakodnak	plárak	ßik	plárakßik	2	plárakßik	TRUE	FALSE
plárakszik	plárakodik	tek	plárakszotok	plárakodtok	plárak	ßik	plárakßik	2	plárakßik	TRUE	FALSE
plárakszik	plárakodik	ünk	plárakszunk	plárakodunk	plárak	ßik	plárakßik	2	plárakßik	TRUE	FALSE
sprimlik	sprimozik	nek	sprimlanak	sprimoznak	sprim	lik	sprimlik	1	sprimlik	TRUE	TRUE
sprimlik	sprimozik	tek	sprimlotok	sprimoztok	sprim	lik	sprimlik	1	sprimlik	TRUE	TRUE
sprimlik	sprimozik	ünk	sprimlunk	sprimozunk	sprim	lik	sprimlik	1	sprimlik	TRUE	TRUE
flulszik	flulodik	nek	flulszanak	flulodnak	flul	ßik	flulßik	1	flulßik	TRUE	TRUE
flulszik	flulodik	tek	flulszotok	flulodtok	flul	ßik	flulßik	1	flulßik	TRUE	TRUE
flulszik	flulodik	ünk	flulszunk	flulodunk	flul	ßik	flulßik	1	flulßik	TRUE	TRUE
fökszik	föködik	nek	fökszenek	föködnek	fök	ßik	fökßik	1	fökßik	TRUE	TRUE
fökszik	föködik	tek	fökszötök	föködtök	fök	ßik	fökßik	1	fökßik	TRUE	TRUE
fökszik	föködik	ünk	fökszünk	föködünk	fök	ßik	fökßik	1	fökßik	TRUE	TRUE
bügzik	bügözik	nek	bügzenek	bügöznek	büg	zik	bügzik	1	bügzik	TRUE	TRUE
bügzik	bügözik	tek	bügzötök	bügöztök	büg	zik	bügzik	1	bügzik	TRUE	TRUE
bügzik	bügözik	ünk	bügzünk	bügözünk	büg	zik	bügzik	1	bügzik	TRUE	TRUE
traszlik	traszozik	nek	traszlanak	traszoznak	traß	lik	traßlik	1	traßlik	TRUE	TRUE
traszlik	traszozik	tek	traszlotok	traszoztok	traß	lik	traßlik	1	traßlik	TRUE	TRUE
traszlik	traszozik	ünk	traszlunk	traszozunk	traß	lik	traßlik	1	traßlik	TRUE	TRUE
flugonylik	flugonyozik	nek	flugonylanak	flugonyoznak	flugo¥	lik	flugo¥lik	2	flugo¥lik	TRUE	TRUE
flugonylik	flugonyozik	tek	flugonylotok	flugonyoztok	flugo¥	lik	flugo¥lik	2	flugo¥lik	TRUE	TRUE
flugonylik	flugonyozik	ünk	flugonylunk	flugonyozunk	flugo¥	lik	flugo¥lik	2	flugo¥lik	TRUE	TRUE
kűdlik	kűdözik	nek	kűdlenek	kűdöznek	kűd	lik	kűdlik	1	kűdlik	TRUE	TRUE
kűdlik	kűdözik	tek	kűdlötök	kűdöztök	kűd	lik	kűdlik	1	kűdlik	TRUE	TRUE
kűdlik	kűdözik	ünk	kűdlünk	kűdözünk	kűd	lik	kűdlik	1	kűdlik	TRUE	TRUE
tiraglik	tiragozik	nek	tiraglanak	tiragoznak	tirag	lik	tiraglik	2	tiraglik	TRUE	FALSE
tiraglik	tiragozik	tek	tiraglotok	tiragoztok	tirag	lik	tiraglik	2	tiraglik	TRUE	FALSE
tiraglik	tiragozik	ünk	tiraglunk	tiragozunk	tirag	lik	tiraglik	2	tiraglik	TRUE	FALSE
plűjzik	plűjözik	nek	plűjzenek	plűjöznek	plűj	zik	plűjzik	1	plűjzik	TRUE	TRUE
plűjzik	plűjözik	tek	plűjzötök	plűjöztök	plűj	zik	plűjzik	1	plűjzik	TRUE	TRUE
plűjzik	plűjözik	ünk	plűjzünk	plűjözünk	plűj	zik	plűjzik	1	plűjzik	TRUE	TRUE
lírlik	lírozik	nek	lírlanak	líroznak	lír	lik	lírlik	1	lírlik	TRUE	TRUE
lírlik	lírozik	tek	lírlotok	líroztok	lír	lik	lírlik	1	lírlik	TRUE	TRUE
lírlik	lírozik	ünk	lírlunk	lírozunk	lír	lik	lírlik	1	lírlik	TRUE	TRUE
trabzik	trabozik	nek	trabzanak	traboznak	trab	zik	trabzik	1	trabzik	TRUE	TRUE
trabzik	trabozik	tek	trabzotok	traboztok	trab	zik	trabzik	1	trabzik	TRUE	TRUE
trabzik	trabozik	ünk	trabzunk	trabozunk	trab	zik	trabzik	1	trabzik	TRUE	TRUE
trálaklik	trálakozik	nek	trálaklanak	trálakoznak	trálak	lik	trálaklik	2	trálaklik	TRUE	TRUE
trálaklik	trálakozik	tek	trálaklotok	trálakoztok	trálak	lik	trálaklik	2	trálaklik	TRUE	TRUE
trálaklik	trálakozik	ünk	trálaklunk	trálakozunk	trálak	lik	trálaklik	2	trálaklik	TRUE	TRUE
pleglik	plegezik	nek	pleglenek	plegeznek	pleg	lik	pleglik	1	pleglik	TRUE	FALSE
pleglik	plegezik	tek	plegletek	plegeztek	pleg	lik	pleglik	1	pleglik	TRUE	FALSE
pleglik	plegezik	ünk	pleglünk	plegezünk	pleg	lik	pleglik	1	pleglik	TRUE	FALSE
spuboklik	spubokozik	nek	spuboklanak	spubokoznak	spubok	lik	spuboklik	2	spuboklik	TRUE	TRUE
spuboklik	spubokozik	tek	spuboklotok	spubokoztok	spubok	lik	spuboklik	2	spuboklik	TRUE	TRUE
spuboklik	spubokozik	ünk	spuboklunk	spubokozunk	spubok	lik	spuboklik	2	spuboklik	TRUE	TRUE
móloslik	mólosozik	nek	móloslanak	mólosoznak	mólos	lik	móloslik	2	móloslik	TRUE	FALSE
móloslik	mólosozik	tek	móloslotok	mólosoztok	mólos	lik	móloslik	2	móloslik	TRUE	FALSE
móloslik	mólosozik	ünk	móloslunk	mólosozunk	mólos	lik	móloslik	2	móloslik	TRUE	FALSE
vibaklik	vibakozik	nek	vibaklanak	vibakoznak	vibak	lik	vibaklik	2	vibaklik	TRUE	TRUE
vibaklik	vibakozik	tek	vibaklotok	vibakoztok	vibak	lik	vibaklik	2	vibaklik	TRUE	TRUE
vibaklik	vibakozik	ünk	vibaklunk	vibakozunk	vibak	lik	vibaklik	2	vibaklik	TRUE	TRUE
jurlik	jurozik	nek	jurlanak	juroznak	jur	lik	jurlik	1	jurlik	TRUE	TRUE
jurlik	jurozik	tek	jurlotok	juroztok	jur	lik	jurlik	1	jurlik	TRUE	TRUE
jurlik	jurozik	ünk	jurlunk	jurozunk	jur	lik	jurlik	1	jurlik	TRUE	TRUE
kliheglik	klihegezik	nek	kliheglenek	klihegeznek	kliheg	lik	kliheglik	2	kliheglik	TRUE	TRUE
kliheglik	klihegezik	tek	klihegletek	klihegeztek	kliheg	lik	kliheglik	2	kliheglik	TRUE	TRUE
kliheglik	klihegezik	ünk	kliheglünk	klihegezünk	kliheg	lik	kliheglik	2	kliheglik	TRUE	TRUE
műrlik	műrözik	nek	műrlenek	műröznek	műr	lik	műrlik	1	műrlik	TRUE	FALSE
műrlik	műrözik	tek	műrlötök	műröztök	műr	lik	műrlik	1	műrlik	TRUE	FALSE
műrlik	műrözik	ünk	műrlünk	műrözünk	műr	lik	műrlik	1	műrlik	TRUE	FALSE
flihagzik	flihagozik	nek	flihagzanak	flihagoznak	flihag	zik	flihagzik	2	flihagzik	TRUE	TRUE
