prompt_cc	prompt_cvc	suffix_ep	target_cc	target_cvc	tr_stem	tr_end	prompt_cc_tr	nsyl
dabzik	dabozik	ünk	dabzunk	dabozunk	dab	zik	dabzik	1
hülöslik	hülösözik	nek	hülöslenek	hülösöznek	hülös	lik	hülöslik	2
hülöslik	hülösözik	tek	hülöslötök	hülösöztök	hülös	lik	hülöslik	2
hülöslik	hülösözik	ünk	hülöslünk	hülösözünk	hülös	lik	hülöslik	2
szoklik	szokozik	nek	szoklanak	szokoznak	ßok	lik	ßoklik	1
szoklik	szokozik	tek	szoklotok	szokoztok	ßok	lik	ßoklik	1
szoklik	szokozik	ünk	szoklunk	szokozunk	ßok	lik	ßoklik	1
ribegszik	ribegedik	nek	ribegszenek	ribegednek	ribeg	ßik	ribegßik	2
ribegszik	ribegedik	tek	ribegszetek	ribegedtek	ribeg	ßik	ribegßik	2
ribegszik	ribegedik	ünk	ribegszünk	ribegedünk	ribeg	ßik	ribegßik	2
diveglik	divegezik	nek	diveglenek	divegeznek	diveg	lik	diveglik	2
diveglik	divegezik	tek	divegletek	divegeztek	diveg	lik	diveglik	2
diveglik	divegezik	ünk	diveglünk	divegezünk	diveg	lik	diveglik	2
pluboslik	plubosozik	nek	pluboslanak	plubosoznak	plubos	lik	pluboslik	2
pluboslik	plubosozik	tek	pluboslotok	plubosoztok	plubos	lik	pluboslik	2
pluboslik	plubosozik	ünk	pluboslunk	plubosozunk	plubos	lik	pluboslik	2
trülőrzik	trülőrözik	nek	trülőrzenek	trülőröznek	trülőr	zik	trülőrzik	2
trülőrzik	trülőrözik	tek	trülőrzötök	trülőröztök	trülőr	zik	trülőrzik	2
trülőrzik	trülőrözik	ünk	trülőrzünk	trülőrözünk	trülőr	zik	trülőrzik	2
fivékszik	fivékedik	nek	fivékszenek	fivékednek	fivék	ßik	fivékßik	2
fivékszik	fivékedik	tek	fivékszetek	fivékedtek	fivék	ßik	fivékßik	2
fivékszik	fivékedik	ünk	fivékszünk	fivékedünk	fivék	ßik	fivékßik	2
nyakszik	nyakodik	nek	nyakszanak	nyakodnak	¥ak	ßik	¥akßik	1
nyakszik	nyakodik	tek	nyakszotok	nyakodtok	¥ak	ßik	¥akßik	1
nyakszik	nyakodik	ünk	nyakszunk	nyakodunk	¥ak	ßik	¥akßik	1
gövőrzik	gövőrözik	nek	gövőrzenek	gövőröznek	gövőr	zik	gövőrzik	2
gövőrzik	gövőrözik	tek	gövőrzötök	gövőröztök	gövőr	zik	gövőrzik	2
gövőrzik	gövőrözik	ünk	gövőrzünk	gövőrözünk	gövőr	zik	gövőrzik	2
brüszlik	brüszözik	nek	brüszlenek	brüszöznek	brüß	lik	brüßlik	1
brüszlik	brüszözik	tek	brüszlötök	brüszöztök	brüß	lik	brüßlik	1
brüszlik	brüszözik	ünk	brüszlünk	brüszözünk	brüß	lik	brüßlik	1
űrzik	űrözik	nek	űrzenek	űröznek	űr	zik	űrzik	1
űrzik	űrözik	tek	űrzötök	űröztök	űr	zik	űrzik	1
űrzik	űrözik	ünk	űrzünk	űrözünk	űr	zik	űrzik	1
szálaglik	szálagozik	nek	szálaglanak	szálagoznak	ßálag	lik	ßálaglik	2
szálaglik	szálagozik	tek	szálaglotok	szálagoztok	ßálag	lik	ßálaglik	2
szálaglik	szálagozik	ünk	szálaglunk	szálagozunk	ßálag	lik	ßálaglik	2
sparánylik	sparányozik	nek	sparánylanak	sparányoznak	spará¥	lik	spará¥lik	2
sparánylik	sparányozik	tek	sparánylotok	sparányoztok	spará¥	lik	spará¥lik	2
sparánylik	sparányozik	ünk	sparánylunk	sparányozunk	spará¥	lik	spará¥lik	2
frélegzik	frélegezik	nek	frélegzenek	frélegeznek	fréleg	zik	frélegzik	2
frélegzik	frélegezik	tek	frélegzetek	frélegeztek	fréleg	zik	frélegzik	2
frélegzik	frélegezik	ünk	frélegzünk	frélegezünk	fréleg	zik	frélegzik	2
sprarzik	sprarozik	nek	sprarzanak	spraroznak	sprar	zik	sprarzik	1
sprarzik	sprarozik	tek	sprarzotok	spraroztok	sprar	zik	sprarzik	1
sprarzik	sprarozik	ünk	sprarzunk	sprarozunk	sprar	zik	sprarzik	1
piraklik	pirakozik	nek	piraklanak	pirakoznak	pirak	lik	piraklik	2
piraklik	pirakozik	tek	piraklotok	pirakoztok	pirak	lik	piraklik	2
piraklik	pirakozik	ünk	piraklunk	pirakozunk	pirak	lik	piraklik	2
semlik	semezik	nek	semlenek	semeznek	sem	lik	semlik	1
semlik	semezik	tek	semletek	semeztek	sem	lik	semlik	1
semlik	semezik	ünk	semlünk	semezünk	sem	lik	semlik	1
kliveslik	klivesezik	nek	kliveslenek	kliveseznek	klives	lik	kliveslik	2
kliveslik	klivesezik	tek	klivesletek	kliveseztek	klives	lik	kliveslik	2
kliveslik	klivesezik	ünk	kliveslünk	klivesezünk	klives	lik	kliveslik	2
spélejlik	spélejezik	nek	spélejlenek	spélejeznek	spélej	lik	spélejlik	2
spélejlik	spélejezik	tek	spélejletek	spélejeztek	spélej	lik	spélejlik	2
spélejlik	spélejezik	ünk	spélejlünk	spélejezünk	spélej	lik	spélejlik	2
brilegzik	brilegezik	nek	brilegzenek	brilegeznek	brileg	zik	brilegzik	2
brilegzik	brilegezik	tek	brilegzetek	brilegeztek	brileg	zik	brilegzik	2
brilegzik	brilegezik	ünk	brilegzünk	brilegezünk	brileg	zik	brilegzik	2
hetlik	hetezik	nek	hetlenek	heteznek	het	lik	hetlik	1
hetlik	hetezik	tek	hetletek	heteztek	het	lik	hetlik	1
hetlik	hetezik	ünk	hetlünk	hetezünk	het	lik	hetlik	1
plihamlik	plihamozik	nek	plihamlanak	plihamoznak	pliham	lik	plihamlik	2
plihamlik	plihamozik	tek	plihamlotok	plihamoztok	pliham	lik	plihamlik	2
plihamlik	plihamozik	ünk	plihamlunk	plihamozunk	pliham	lik	plihamlik	2
csiglik	csigozik	nek	csiglanak	csigoznak	çig	lik	çiglik	1
csiglik	csigozik	tek	csiglotok	csigoztok	çig	lik	çiglik	1
csiglik	csigozik	ünk	csiglunk	csigozunk	çig	lik	çiglik	1
torlik	torozik	nek	torlanak	toroznak	tor	lik	torlik	1
torlik	torozik	tek	torlotok	toroztok	tor	lik	torlik	1
torlik	torozik	ünk	torlunk	torozunk	tor	lik	torlik	1
fárapszik	fárapodik	nek	fárapszanak	fárapodnak	fárap	ßik	fárapßik	2
fárapszik	fárapodik	tek	fárapszotok	fárapodtok	fárap	ßik	fárapßik	2
fárapszik	fárapodik	ünk	fárapszunk	fárapodunk	fárap	ßik	fárapßik	2
klihepszik	klihepedik	nek	klihepszenek	klihepednek	klihep	ßik	klihepßik	2
klihepszik	klihepedik	tek	klihepszetek	klihepedtek	klihep	ßik	klihepßik	2
klihepszik	klihepedik	ünk	klihepszünk	klihepedünk	klihep	ßik	klihepßik	2
tribamlik	tribamozik	nek	tribamlanak	tribamoznak	tribam	lik	tribamlik	2
tribamlik	tribamozik	tek	tribamlotok	tribamoztok	tribam	lik	tribamlik	2
tribamlik	tribamozik	ünk	tribamlunk	tribamozunk	tribam	lik	tribamlik	2
klivarzik	klivarozik	nek	klivarzanak	klivaroznak	klivar	zik	klivarzik	2
klivarzik	klivarozik	tek	klivarzotok	klivaroztok	klivar	zik	klivarzik	2
klivarzik	klivarozik	ünk	klivarzunk	klivarozunk	klivar	zik	klivarzik	2
gyivepszik	gyivepedik	nek	gyivepszenek	gyivepednek	©ivep	ßik	©ivepßik	2
gyivepszik	gyivepedik	tek	gyivepszetek	gyivepedtek	©ivep	ßik	©ivepßik	2
gyivepszik	gyivepedik	ünk	gyivepszünk	gyivepedünk	©ivep	ßik	©ivepßik	2
plárakszik	plárakodik	nek	plárakszanak	plárakodnak	plárak	ßik	plárakßik	2
plárakszik	plárakodik	tek	plárakszotok	plárakodtok	plárak	ßik	plárakßik	2
plárakszik	plárakodik	ünk	plárakszunk	plárakodunk	plárak	ßik	plárakßik	2
sprimlik	sprimozik	nek	sprimlanak	sprimoznak	sprim	lik	sprimlik	1
sprimlik	sprimozik	tek	sprimlotok	sprimoztok	sprim	lik	sprimlik	1
sprimlik	sprimozik	ünk	sprimlunk	sprimozunk	sprim	lik	sprimlik	1
flulszik	flulodik	nek	flulszanak	flulodnak	flul	ßik	flulßik	1
flulszik	flulodik	tek	flulszotok	flulodtok	flul	ßik	flulßik	1
flulszik	flulodik	ünk	flulszunk	flulodunk	flul	ßik	flulßik	1
fökszik	föködik	nek	fökszenek	föködnek	fök	ßik	fökßik	1
fökszik	föködik	tek	fökszötök	föködtök	fök	ßik	fökßik	1
fökszik	föködik	ünk	fökszünk	föködünk	fök	ßik	fökßik	1
bügzik	bügözik	nek	bügzenek	bügöznek	büg	zik	bügzik	1
bügzik	bügözik	tek	bügzötök	bügöztök	büg	zik	bügzik	1
bügzik	bügözik	ünk	bügzünk	bügözünk	büg	zik	bügzik	1
traszlik	traszozik	nek	traszlanak	traszoznak	traß	lik	traßlik	1
traszlik	traszozik	tek	traszlotok	traszoztok	traß	lik	traßlik	1
traszlik	traszozik	ünk	traszlunk	traszozunk	traß	lik	traßlik	1
flugonylik	flugonyozik	nek	flugonylanak	flugonyoznak	flugo¥	lik	flugo¥lik	2
flugonylik	flugonyozik	tek	flugonylotok	flugonyoztok	flugo¥	lik	flugo¥lik	2
flugonylik	flugonyozik	ünk	flugonylunk	flugonyozunk	flugo¥	lik	flugo¥lik	2
kűdlik	kűdözik	nek	kűdlenek	kűdöznek	kűd	lik	kűdlik	1
kűdlik	kűdözik	tek	kűdlötök	kűdöztök	kűd	lik	kűdlik	1
kűdlik	kűdözik	ünk	kűdlünk	kűdözünk	kűd	lik	kűdlik	1
tiraglik	tiragozik	nek	tiraglanak	tiragoznak	tirag	lik	tiraglik	2
tiraglik	tiragozik	tek	tiraglotok	tiragoztok	tirag	lik	tiraglik	2
tiraglik	tiragozik	ünk	tiraglunk	tiragozunk	tirag	lik	tiraglik	2
plűjzik	plűjözik	nek	plűjzenek	plűjöznek	plűj	zik	plűjzik	1
plűjzik	plűjözik	tek	plűjzötök	plűjöztök	plűj	zik	plűjzik	1
plűjzik	plűjözik	ünk	plűjzünk	plűjözünk	plűj	zik	plűjzik	1
lírlik	lírozik	nek	lírlanak	líroznak	lír	lik	lírlik	1
lírlik	lírozik	tek	lírlotok	líroztok	lír	lik	lírlik	1
lírlik	lírozik	ünk	lírlunk	lírozunk	lír	lik	lírlik	1
trabzik	trabozik	nek	trabzanak	traboznak	trab	zik	trabzik	1
trabzik	trabozik	tek	trabzotok	traboztok	trab	zik	trabzik	1
trabzik	trabozik	ünk	trabzunk	trabozunk	trab	zik	trabzik	1
trálaklik	trálakozik	nek	trálaklanak	trálakoznak	trálak	lik	trálaklik	2
trálaklik	trálakozik	tek	trálaklotok	trálakoztok	trálak	lik	trálaklik	2
trálaklik	trálakozik	ünk	trálaklunk	trálakozunk	trálak	lik	trálaklik	2
pleglik	plegezik	nek	pleglenek	plegeznek	pleg	lik	pleglik	1
pleglik	plegezik	tek	plegletek	plegeztek	pleg	lik	pleglik	1
pleglik	plegezik	ünk	pleglünk	plegezünk	pleg	lik	pleglik	1
spuboklik	spubokozik	nek	spuboklanak	spubokoznak	spubok	lik	spuboklik	2
spuboklik	spubokozik	tek	spuboklotok	spubokoztok	spubok	lik	spuboklik	2
spuboklik	spubokozik	ünk	spuboklunk	spubokozunk	spubok	lik	spuboklik	2
móloslik	mólosozik	nek	móloslanak	mólosoznak	mólos	lik	móloslik	2
móloslik	mólosozik	tek	móloslotok	mólosoztok	mólos	lik	móloslik	2
móloslik	mólosozik	ünk	móloslunk	mólosozunk	mólos	lik	móloslik	2
vibaklik	vibakozik	nek	vibaklanak	vibakoznak	vibak	lik	vibaklik	2
vibaklik	vibakozik	tek	vibaklotok	vibakoztok	vibak	lik	vibaklik	2
vibaklik	vibakozik	ünk	vibaklunk	vibakozunk	vibak	lik	vibaklik	2
jurlik	jurozik	nek	jurlanak	juroznak	jur	lik	jurlik	1
jurlik	jurozik	tek	jurlotok	juroztok	jur	lik	jurlik	1
jurlik	jurozik	ünk	jurlunk	jurozunk	jur	lik	jurlik	1
kliheglik	klihegezik	nek	kliheglenek	klihegeznek	kliheg	lik	kliheglik	2
kliheglik	klihegezik	tek	klihegletek	klihegeztek	kliheg	lik	kliheglik	2
kliheglik	klihegezik	ünk	kliheglünk	klihegezünk	kliheg	lik	kliheglik	2
műrlik	műrözik	nek	műrlenek	műröznek	műr	lik	műrlik	1
műrlik	műrözik	tek	műrlötök	műröztök	műr	lik	műrlik	1
műrlik	műrözik	ünk	műrlünk	műrözünk	műr	lik	műrlik	1
flihagzik	flihagozik	nek	flihagzanak	flihagoznak	flihag	zik	flihagzik	2
flihagzik	flihagozik	tek	flihagzotok	flihagoztok	flihag	zik	flihagzik	2
flihagzik	flihagozik	ünk	flihagzunk	flihagozunk	flihag	zik	flihagzik	2
véregzik	véregezik	nek	véregzenek	véregeznek	véreg	zik	véregzik	2
véregzik	véregezik	tek	véregzetek	véregeztek	véreg	zik	véregzik	2
véregzik	véregezik	ünk	véregzünk	véregezünk	véreg	zik	véregzik	2
trelékszik	trelékedik	nek	trelékszenek	trelékednek	trelék	ßik	trelékßik	2
trelékszik	trelékedik	tek	trelékszetek	trelékedtek	trelék	ßik	trelékßik	2
trelékszik	trelékedik	ünk	trelékszünk	trelékedünk	trelék	ßik	trelékßik	2
farágzik	farágozik	nek	farágzanak	farágoznak	farág	zik	farágzik	2
farágzik	farágozik	tek	farágzotok	farágoztok	farág	zik	farágzik	2
farágzik	farágozik	ünk	farágzunk	farágozunk	farág	zik	farágzik	2
tűgzik	tűgözik	nek	tűgzenek	tűgöznek	tűg	zik	tűgzik	1
tűgzik	tűgözik	tek	tűgzötök	tűgöztök	tűg	zik	tűgzik	1
tűgzik	tűgözik	ünk	tűgzünk	tűgözünk	tűg	zik	tűgzik	1
plágaklik	plágakozik	nek	plágaklanak	plágakoznak	plágak	lik	plágaklik	2
plágaklik	plágakozik	tek	plágaklotok	plágakoztok	plágak	lik	plágaklik	2
plágaklik	plágakozik	ünk	plágaklunk	plágakozunk	plágak	lik	plágaklik	2
klibaglik	klibagozik	nek	klibaglanak	klibagoznak	klibag	lik	klibaglik	2
klibaglik	klibagozik	tek	klibaglotok	klibagoztok	klibag	lik	klibaglik	2
klibaglik	klibagozik	ünk	klibaglunk	klibagozunk	klibag	lik	klibaglik	2
szireglik	sziregezik	nek	szireglenek	sziregeznek	ßireg	lik	ßireglik	2
szireglik	sziregezik	tek	sziregletek	sziregeztek	ßireg	lik	ßireglik	2
szireglik	sziregezik	ünk	szireglünk	sziregezünk	ßireg	lik	ßireglik	2
bríglik	brígozik	nek	bríglanak	brígoznak	bríg	lik	bríglik	1
bríglik	brígozik	tek	bríglotok	brígoztok	bríg	lik	bríglik	1
bríglik	brígozik	ünk	bríglunk	brígozunk	bríg	lik	bríglik	1
gyivaslik	gyivasozik	nek	gyivaslanak	gyivasoznak	©ivas	lik	©ivaslik	2
gyivaslik	gyivasozik	tek	gyivaslotok	gyivasoztok	©ivas	lik	©ivaslik	2
gyivaslik	gyivasozik	ünk	gyivaslunk	gyivasozunk	©ivas	lik	©ivaslik	2
pehégszik	pehégedik	nek	pehégszenek	pehégednek	pehég	ßik	pehégßik	2
pehégszik	pehégedik	tek	pehégszetek	pehégedtek	pehég	ßik	pehégßik	2
pehégszik	pehégedik	ünk	pehégszünk	pehégedünk	pehég	ßik	pehégßik	2
sprozlik	sprozozik	nek	sprozlanak	sprozoznak	sproz	lik	sprozlik	1
sprozlik	sprozozik	tek	sprozlotok	sprozoztok	sproz	lik	sprozlik	1
sprozlik	sprozozik	ünk	sprozlunk	sprozozunk	sproz	lik	sprozlik	1
nivárzik	nivározik	nek	nivárzanak	nivároznak	nivár	zik	nivárzik	2
nivárzik	nivározik	tek	nivárzotok	nivároztok	nivár	zik	nivárzik	2
nivárzik	nivározik	ünk	nivárzunk	nivározunk	nivár	zik	nivárzik	2
plorzik	plorozik	nek	plorzanak	ploroznak	plor	zik	plorzik	1
plorzik	plorozik	tek	plorzotok	ploroztok	plor	zik	plorzik	1
plorzik	plorozik	ünk	plorzunk	plorozunk	plor	zik	plorzik	1
játlik	játozik	nek	játlanak	játoznak	ját	lik	játlik	1
játlik	játozik	tek	játlotok	játoztok	ját	lik	játlik	1
játlik	játozik	ünk	játlunk	játozunk	ját	lik	játlik	1
fliveglik	flivegezik	nek	fliveglenek	flivegeznek	fliveg	lik	fliveglik	2
fliveglik	flivegezik	tek	flivegletek	flivegeztek	fliveg	lik	fliveglik	2
fliveglik	flivegezik	ünk	fliveglünk	flivegezünk	fliveg	lik	fliveglik	2
trihénylik	trihényezik	nek	trihénylenek	trihényeznek	trihé¥	lik	trihé¥lik	2
trihénylik	trihényezik	tek	trihényletek	trihényeztek	trihé¥	lik	trihé¥lik	2
trihénylik	trihényezik	ünk	trihénylünk	trihényezünk	trihé¥	lik	trihé¥lik	2
flurzik	flurozik	nek	flurzanak	fluroznak	flur	zik	flurzik	1
flurzik	flurozik	tek	flurzotok	fluroztok	flur	zik	flurzik	1
flurzik	flurozik	ünk	flurzunk	flurozunk	flur	zik	flurzik	1
sálamlik	sálamozik	nek	sálamlanak	sálamoznak	sálam	lik	sálamlik	2
sálamlik	sálamozik	tek	sálamlotok	sálamoztok	sálam	lik	sálamlik	2
sálamlik	sálamozik	ünk	sálamlunk	sálamozunk	sálam	lik	sálamlik	2
mágamlik	mágamozik	nek	mágamlanak	mágamoznak	mágam	lik	mágamlik	2
mágamlik	mágamozik	tek	mágamlotok	mágamoztok	mágam	lik	mágamlik	2
mágamlik	mágamozik	ünk	mágamlunk	mágamozunk	mágam	lik	mágamlik	2
prilepszik	prilepedik	nek	prilepszenek	prilepednek	prilep	ßik	prilepßik	2
prilepszik	prilepedik	tek	prilepszetek	prilepedtek	prilep	ßik	prilepßik	2
prilepszik	prilepedik	ünk	prilepszünk	prilepedünk	prilep	ßik	prilepßik	2
kögzik	kögözik	nek	kögzenek	kögöznek	kög	zik	kögzik	1
kögzik	kögözik	tek	kögzötök	kögöztök	kög	zik	kögzik	1
kögzik	kögözik	ünk	kögzünk	kögözünk	kög	zik	kögzik	1
tibánylik	tibányozik	nek	tibánylanak	tibányoznak	tibá¥	lik	tibá¥lik	2
tibánylik	tibányozik	tek	tibánylotok	tibányoztok	tibá¥	lik	tibá¥lik	2
tibánylik	tibányozik	ünk	tibánylunk	tibányozunk	tibá¥	lik	tibá¥lik	2
pilégszik	pilégedik	nek	pilégszenek	pilégednek	pilég	ßik	pilégßik	2
pilégszik	pilégedik	tek	pilégszetek	pilégedtek	pilég	ßik	pilégßik	2
pilégszik	pilégedik	ünk	pilégszünk	pilégedünk	pilég	ßik	pilégßik	2
brileglik	brilegezik	nek	brileglenek	brilegeznek	brileg	lik	brileglik	2
brileglik	brilegezik	tek	brilegletek	brilegeztek	brileg	lik	brileglik	2
brileglik	brilegezik	ünk	brileglünk	brilegezünk	brileg	lik	brileglik	2
náragzik	náragozik	nek	náragzanak	náragoznak	nárag	zik	náragzik	2
náragzik	náragozik	tek	náragzotok	náragoztok	nárag	zik	náragzik	2
náragzik	náragozik	ünk	náragzunk	náragozunk	nárag	zik	náragzik	2
dirlik	dirozik	nek	dirlanak	diroznak	dir	lik	dirlik	1
dirlik	dirozik	tek	dirlotok	diroztok	dir	lik	dirlik	1
dirlik	dirozik	ünk	dirlunk	dirozunk	dir	lik	dirlik	1
gibemlik	gibemezik	nek	gibemlenek	gibemeznek	gibem	lik	gibemlik	2
gibemlik	gibemezik	tek	gibemletek	gibemeztek	gibem	lik	gibemlik	2
gibemlik	gibemezik	ünk	gibemlünk	gibemezünk	gibem	lik	gibemlik	2
flűgzik	flűgözik	nek	flűgzenek	flűgöznek	flűg	zik	flűgzik	1
flűgzik	flűgözik	tek	flűgzötök	flűgöztök	flűg	zik	flűgzik	1
flűgzik	flűgözik	ünk	flűgzünk	flűgözünk	flűg	zik	flűgzik	1
léregszik	léregedik	nek	léregszenek	léregednek	léreg	ßik	léregßik	2
léregszik	léregedik	tek	léregszetek	léregedtek	léreg	ßik	léregßik	2
léregszik	léregedik	ünk	léregszünk	léregedünk	léreg	ßik	léregßik	2
plihapszik	plihapodik	nek	plihapszanak	plihapodnak	plihap	ßik	plihapßik	2
plihapszik	plihapodik	tek	plihapszotok	plihapodtok	plihap	ßik	plihapßik	2
plihapszik	plihapodik	ünk	plihapszunk	plihapodunk	plihap	ßik	plihapßik	2
jínylik	jínyozik	nek	jínylanak	jínyoznak	jí¥	lik	jí¥lik	1
jínylik	jínyozik	tek	jínylotok	jínyoztok	jí¥	lik	jí¥lik	1
jínylik	jínyozik	ünk	jínylunk	jínyozunk	jí¥	lik	jí¥lik	1
dronylik	dronyozik	nek	dronylanak	dronyoznak	dro¥	lik	dro¥lik	1
dronylik	dronyozik	tek	dronylotok	dronyoztok	dro¥	lik	dro¥lik	1
dronylik	dronyozik	ünk	dronylunk	dronyozunk	dro¥	lik	dro¥lik	1
riványlik	riványozik	nek	riványlanak	riványoznak	rivá¥	lik	rivá¥lik	2
riványlik	riványozik	tek	riványlotok	riványoztok	rivá¥	lik	rivá¥lik	2
riványlik	riványozik	ünk	riványlunk	riványozunk	rivá¥	lik	rivá¥lik	2
szajlik	szajozik	nek	szajlanak	szajoznak	ßaj	lik	ßajlik	1
szajlik	szajozik	tek	szajlotok	szajoztok	ßaj	lik	ßajlik	1
szajlik	szajozik	ünk	szajlunk	szajozunk	ßaj	lik	ßajlik	1
rilagzik	rilagozik	nek	rilagzanak	rilagoznak	rilag	zik	rilagzik	2
rilagzik	rilagozik	tek	rilagzotok	rilagoztok	rilag	zik	rilagzik	2
rilagzik	rilagozik	ünk	rilagzunk	rilagozunk	rilag	zik	rilagzik	2
spilajlik	spilajozik	nek	spilajlanak	spilajoznak	spilaj	lik	spilajlik	2
spilajlik	spilajozik	tek	spilajlotok	spilajoztok	spilaj	lik	spilajlik	2
spilajlik	spilajozik	ünk	spilajlunk	spilajozunk	spilaj	lik	spilajlik	2
frihekszik	frihekedik	nek	frihekszenek	frihekednek	frihek	ßik	frihekßik	2
frihekszik	frihekedik	tek	frihekszetek	frihekedtek	frihek	ßik	frihekßik	2
frihekszik	frihekedik	ünk	frihekszünk	frihekedünk	frihek	ßik	frihekßik	2
csilárzik	csilározik	nek	csilárzanak	csilároznak	çilár	zik	çilárzik	2
csilárzik	csilározik	tek	csilárzotok	csilároztok	çilár	zik	çilárzik	2
csilárzik	csilározik	ünk	csilárzunk	csilározunk	çilár	zik	çilárzik	2
spivejlik	spivejezik	nek	spivejlenek	spivejeznek	spivej	lik	spivejlik	2
spivejlik	spivejezik	tek	spivejletek	spivejeztek	spivej	lik	spivejlik	2
spivejlik	spivejezik	ünk	spivejlünk	spivejezünk	spivej	lik	spivejlik	2
ihagszik	ihagodik	nek	ihagszanak	ihagodnak	ihag	ßik	ihagßik	2
ihagszik	ihagodik	tek	ihagszotok	ihagodtok	ihag	ßik	ihagßik	2
ihagszik	ihagodik	ünk	ihagszunk	ihagodunk	ihag	ßik	ihagßik	2
tágarzik	tágarozik	nek	tágarzanak	tágaroznak	tágar	zik	tágarzik	2
tágarzik	tágarozik	tek	tágarzotok	tágaroztok	tágar	zik	tágarzik	2
tágarzik	tágarozik	ünk	tágarzunk	tágarozunk	tágar	zik	tágarzik	2
bratárzik	bratározik	nek	bratárzanak	bratároznak	bratár	zik	bratárzik	2
bratárzik	bratározik	tek	bratárzotok	bratároztok	bratár	zik	bratárzik	2
bratárzik	bratározik	ünk	bratárzunk	bratározunk	bratár	zik	bratárzik	2
kléglik	klégezik	nek	kléglenek	klégeznek	klég	lik	kléglik	1
kléglik	klégezik	tek	klégletek	klégeztek	klég	lik	kléglik	1
kléglik	klégezik	ünk	kléglünk	klégezünk	klég	lik	kléglik	1
fréslik	frésezik	nek	fréslenek	fréseznek	frés	lik	fréslik	1
fréslik	frésezik	tek	frésletek	fréseztek	frés	lik	fréslik	1
fréslik	frésezik	ünk	fréslünk	frésezünk	frés	lik	fréslik	1
trálagszik	trálagodik	nek	trálagszanak	trálagodnak	trálag	ßik	trálagßik	2
trálagszik	trálagodik	tek	trálagszotok	trálagodtok	trálag	ßik	trálagßik	2
trálagszik	trálagodik	ünk	trálagszunk	trálagodunk	trálag	ßik	trálagßik	2
fröjzik	fröjözik	nek	fröjzenek	fröjöznek	fröj	zik	fröjzik	1
fröjzik	fröjözik	tek	fröjzötök	fröjöztök	fröj	zik	fröjzik	1
fröjzik	fröjözik	ünk	fröjzünk	fröjözünk	fröj	zik	fröjzik	1
bejzik	bejezik	nek	bejzenek	bejeznek	bej	zik	bejzik	1
bejzik	bejezik	tek	bejzetek	bejeztek	bej	zik	bejzik	1
bejzik	bejezik	ünk	bejzünk	bejezünk	bej	zik	bejzik	1
brözlik	brözözik	nek	brözlenek	brözöznek	bröz	lik	brözlik	1
brözlik	brözözik	tek	brözlötök	brözöztök	bröz	lik	brözlik	1
brözlik	brözözik	ünk	brözlünk	brözözünk	bröz	lik	brözlik	1
szehénylik	szehényezik	nek	szehénylenek	szehényeznek	ßehé¥	lik	ßehé¥lik	2
szehénylik	szehényezik	tek	szehényletek	szehényeztek	ßehé¥	lik	ßehé¥lik	2
szehénylik	szehényezik	ünk	szehénylünk	szehényezünk	ßehé¥	lik	ßehé¥lik	2
hibaglik	hibagozik	nek	hibaglanak	hibagoznak	hibag	lik	hibaglik	2
hibaglik	hibagozik	tek	hibaglotok	hibagoztok	hibag	lik	hibaglik	2
hibaglik	hibagozik	ünk	hibaglunk	hibagozunk	hibag	lik	hibaglik	2
gyihékszik	gyihékedik	nek	gyihékszenek	gyihékednek	©ihék	ßik	©ihékßik	2
gyihékszik	gyihékedik	tek	gyihékszetek	gyihékedtek	©ihék	ßik	©ihékßik	2
gyihékszik	gyihékedik	ünk	gyihékszünk	gyihékedünk	©ihék	ßik	©ihékßik	2
gyérepszik	gyérepedik	nek	gyérepszenek	gyérepednek	©érep	ßik	©érepßik	2
gyérepszik	gyérepedik	tek	gyérepszetek	gyérepedtek	©érep	ßik	©érepßik	2
gyérepszik	gyérepedik	ünk	gyérepszünk	gyérepedünk	©érep	ßik	©érepßik	2
klirégszik	klirégedik	nek	klirégszenek	klirégednek	klirég	ßik	klirégßik	2
klirégszik	klirégedik	tek	klirégszetek	klirégedtek	klirég	ßik	klirégßik	2
klirégszik	klirégedik	ünk	klirégszünk	klirégedünk	klirég	ßik	klirégßik	2
trojlik	trojozik	nek	trojlanak	trojoznak	troj	lik	trojlik	1
trojlik	trojozik	tek	trojlotok	trojoztok	troj	lik	trojlik	1
trojlik	trojozik	ünk	trojlunk	trojozunk	troj	lik	trojlik	1
klehénylik	klehényezik	nek	klehénylenek	klehényeznek	klehé¥	lik	klehé¥lik	2
klehénylik	klehényezik	tek	klehényletek	klehényeztek	klehé¥	lik	klehé¥lik	2
klehénylik	klehényezik	ünk	klehénylünk	klehényezünk	klehé¥	lik	klehé¥lik	2
vibeglik	vibegezik	nek	vibeglenek	vibegeznek	vibeg	lik	vibeglik	2
vibeglik	vibegezik	tek	vibegletek	vibegeztek	vibeg	lik	vibeglik	2
vibeglik	vibegezik	ünk	vibeglünk	vibegezünk	vibeg	lik	vibeglik	2
brólorzik	brólorozik	nek	brólorzanak	bróloroznak	brólor	zik	brólorzik	2
brólorzik	brólorozik	tek	brólorzotok	bróloroztok	brólor	zik	brólorzik	2
brólorzik	brólorozik	ünk	brólorzunk	brólorozunk	brólor	zik	brólorzik	2
máragszik	máragodik	nek	máragszanak	máragodnak	márag	ßik	máragßik	2
máragszik	máragodik	tek	máragszotok	máragodtok	márag	ßik	máragßik	2
