tr	prompt	vowel_e	suffix_back	suffix_front	target_front	target_back
murdes	murdes	TRUE	ban	ben	murdesben	murdesban
murdes	murdes	TRUE	nak	nek	murdesnek	murdesnak
murdes	murdes	TRUE	nál	nél	murdesnél	murdesnál
horßed	horszed	TRUE	ban	ben	horszedben	horszedban
horßed	horszed	TRUE	nak	nek	horszednek	horszednak
horßed	horszed	TRUE	nál	nél	horszednél	horszednál
gaßék	gaszék	FALSE	ban	ben	gaszékben	gaszékban
gaßék	gaszék	FALSE	nak	nek	gaszéknek	gaszéknak
gaßék	gaszék	FALSE	nál	nél	gaszéknél	gaszéknál
turnég	turnég	FALSE	ban	ben	turnégben	turnégban
turnég	turnég	FALSE	nak	nek	turnégnek	turnégnak
turnég	turnég	FALSE	nál	nél	turnégnél	turnégnál
fonvél	fonvél	FALSE	ban	ben	fonvélben	fonvélban
fonvél	fonvél	FALSE	nak	nek	fonvélnek	fonvélnak
fonvél	fonvél	FALSE	nál	nél	fonvélnél	fonvélnál
kaßép	kaszép	FALSE	ban	ben	kaszépben	kaszépban
kaßép	kaszép	FALSE	nak	nek	kaszépnek	kaszépnak
kaßép	kaszép	FALSE	nál	nél	kaszépnél	kaszépnál
spravé¬	spravély	FALSE	ban	ben	spravélyben	spravélyban
spravé¬	spravély	FALSE	nak	nek	spravélynek	spravélynak
spravé¬	spravély	FALSE	nál	nél	spravélynél	spravélynál
pordéß	pordész	FALSE	ban	ben	pordészben	pordészban
pordéß	pordész	FALSE	nak	nek	pordésznek	pordésznak
pordéß	pordész	FALSE	nál	nél	pordésznél	pordésznál
fidet	fidet	TRUE	ban	ben	fidetben	fidetban
fidet	fidet	TRUE	nak	nek	fidetnek	fidetnak
fidet	fidet	TRUE	nál	nél	fidetnél	fidetnál
spidét	spidét	FALSE	ban	ben	spidétben	spidétban
spidét	spidét	FALSE	nak	nek	spidétnek	spidétnak
spidét	spidét	FALSE	nál	nél	spidétnél	spidétnál
bonßé¬	bonszély	FALSE	ban	ben	bonszélyben	bonszélyban
bonßé¬	bonszély	FALSE	nak	nek	bonszélynek	bonszélynak
bonßé¬	bonszély	FALSE	nál	nél	bonszélynél	bonszélynál
pítend	pítend	TRUE	ban	ben	pítendben	pítendban
pítend	pítend	TRUE	nak	nek	pítendnek	pítendnak
pítend	pítend	TRUE	nál	nél	pítendnél	pítendnál
çajrelt	csajrelt	TRUE	ban	ben	csajreltben	csajreltban
çajrelt	csajrelt	TRUE	nak	nek	csajreltnek	csajreltnak
çajrelt	csajrelt	TRUE	nál	nél	csajreltnél	csajreltnál
matéz	matéz	FALSE	ban	ben	matézben	matézban
matéz	matéz	FALSE	nak	nek	matéznek	matéznak
matéz	matéz	FALSE	nál	nél	matéznél	matéznál
tranék	tranék	FALSE	ban	ben	tranékben	tranékban
tranék	tranék	FALSE	nak	nek	tranéknek	tranéknak
tranék	tranék	FALSE	nál	nél	tranéknél	tranéknál
kihéj	kihéj	FALSE	ban	ben	kihéjben	kihéjban
kihéj	kihéj	FALSE	nak	nek	kihéjnek	kihéjnak
kihéj	kihéj	FALSE	nál	nél	kihéjnél	kihéjnál
gábéd	gábéd	FALSE	ban	ben	gábédben	gábédban
gábéd	gábéd	FALSE	nak	nek	gábédnek	gábédnak
gábéd	gábéd	FALSE	nál	nél	gábédnél	gábédnál
prißkenc	priszkenc	TRUE	ban	ben	priszkencben	priszkencban
prißkenc	priszkenc	TRUE	nak	nek	priszkencnek	priszkencnak
prißkenc	priszkenc	TRUE	nál	nél	priszkencnél	priszkencnál
bopelt	bopelt	TRUE	ban	ben	bopeltben	bopeltban
bopelt	bopelt	TRUE	nak	nek	bopeltnek	bopeltnak
bopelt	bopelt	TRUE	nál	nél	bopeltnél	bopeltnál
spribez	spribez	TRUE	ban	ben	spribezben	spribezban
spribez	spribez	TRUE	nak	nek	spribeznek	spribeznak
spribez	spribez	TRUE	nál	nél	spribeznél	spribeznál
vodép	vodép	FALSE	ban	ben	vodépben	vodépban
vodép	vodép	FALSE	nak	nek	vodépnek	vodépnak
vodép	vodép	FALSE	nál	nél	vodépnél	vodépnál
pivent	pivent	TRUE	ban	ben	piventben	piventban
pivent	pivent	TRUE	nak	nek	piventnek	piventnak
pivent	pivent	TRUE	nál	nél	piventnél	piventnál
jonver	jonver	TRUE	ban	ben	jonverben	jonverban
jonver	jonver	TRUE	nak	nek	jonvernek	jonvernak
jonver	jonver	TRUE	nál	nél	jonvernél	jonvernál
protek	protek	TRUE	ban	ben	protekben	protekban
protek	protek	TRUE	nak	nek	proteknek	proteknak
protek	protek	TRUE	nál	nél	proteknél	proteknál
burdé¬	burdély	FALSE	ban	ben	burdélyben	burdélyban
burdé¬	burdély	FALSE	nak	nek	burdélynek	burdélynak
burdé¬	burdély	FALSE	nál	nél	burdélynél	burdélynál
çindert	csindert	TRUE	ban	ben	csindertben	csindertban
çindert	csindert	TRUE	nak	nek	csindertnek	csindertnak
çindert	csindert	TRUE	nál	nél	csindertnél	csindertnál
ralfek	ralfek	TRUE	ban	ben	ralfekben	ralfekban
ralfek	ralfek	TRUE	nak	nek	ralfeknek	ralfeknak
ralfek	ralfek	TRUE	nál	nél	ralfeknél	ralfeknál
puhél	puhél	FALSE	ban	ben	puhélben	puhélban
puhél	puhél	FALSE	nak	nek	puhélnek	puhélnak
puhél	puhél	FALSE	nál	nél	puhélnél	puhélnál
prublév	prublév	FALSE	ban	ben	prublévben	prublévban
prublév	prublév	FALSE	nak	nek	prublévnek	prublévnak
prublév	prublév	FALSE	nál	nél	prublévnél	prublévnál
hinçed	hincsed	TRUE	ban	ben	hincsedben	hincsedban
hinçed	hincsed	TRUE	nak	nek	hincsednek	hincsednak
hinçed	hincsed	TRUE	nál	nél	hincsednél	hincsednál
içez	icsez	TRUE	ban	ben	icsezben	icsezban
içez	icsez	TRUE	nak	nek	icseznek	icseznak
içez	icsez	TRUE	nál	nél	icseznél	icseznál
dijé¥	dijény	FALSE	ban	ben	dijényben	dijényban
dijé¥	dijény	FALSE	nak	nek	dijénynek	dijénynak
dijé¥	dijény	FALSE	nál	nél	dijénynél	dijénynál
hivek	hivek	TRUE	ban	ben	hivekben	hivekban
hivek	hivek	TRUE	nak	nek	hiveknek	hiveknak
hivek	hivek	TRUE	nál	nél	hiveknél	hiveknál
norzék	norzék	FALSE	ban	ben	norzékben	norzékban
norzék	norzék	FALSE	nak	nek	norzéknek	norzéknak
norzék	norzék	FALSE	nál	nél	norzéknél	norzéknál
darcéß	darcész	FALSE	ban	ben	darcészben	darcészban
darcéß	darcész	FALSE	nak	nek	darcésznek	darcésznak
darcéß	darcész	FALSE	nál	nél	darcésznél	darcésznál
çamén	csamén	FALSE	ban	ben	csaménben	csaménban
çamén	csamén	FALSE	nak	nek	csaménnek	csaménnak
çamén	csamén	FALSE	nál	nél	csaménnél	csaménnál
bródeß	bródesz	TRUE	ban	ben	bródeszben	bródeszban
bródeß	bródesz	TRUE	nak	nek	bródesznek	bródesznak
bródeß	bródesz	TRUE	nál	nél	bródesznél	bródesznál
píne¬	pínely	TRUE	ban	ben	pínelyben	pínelyban
píne¬	pínely	TRUE	nak	nek	pínelynek	pínelynak
píne¬	pínely	TRUE	nál	nél	pínelynél	pínelynál
trágeß	trágesz	TRUE	ban	ben	trágeszben	trágeszban
trágeß	trágesz	TRUE	nak	nek	trágesznek	trágesznak
trágeß	trágesz	TRUE	nál	nél	trágesznél	trágesznál
spanél	spanél	FALSE	ban	ben	spanélben	spanélban
spanél	spanél	FALSE	nak	nek	spanélnek	spanélnak
spanél	spanél	FALSE	nál	nél	spanélnél	spanélnál
tráné¬	tránély	FALSE	ban	ben	tránélyben	tránélyban
tráné¬	tránély	FALSE	nak	nek	tránélynek	tránélynak
tráné¬	tránély	FALSE	nál	nél	tránélynél	tránélynál
salfeg	salfeg	TRUE	ban	ben	salfegben	salfegban
salfeg	salfeg	TRUE	nak	nek	salfegnek	salfegnak
salfeg	salfeg	TRUE	nál	nél	salfegnél	salfegnál
Ωalfép	zsalfép	FALSE	ban	ben	zsalfépben	zsalfépban
Ωalfép	zsalfép	FALSE	nak	nek	zsalfépnek	zsalfépnak
Ωalfép	zsalfép	FALSE	nál	nél	zsalfépnél	zsalfépnál
klajrén	klajrén	FALSE	ban	ben	klajrénben	klajrénban
klajrén	klajrén	FALSE	nak	nek	klajrénnek	klajrénnak
klajrén	klajrén	FALSE	nál	nél	klajrénnél	klajrénnál
nisked	nisked	TRUE	ban	ben	niskedben	niskedban
nisked	nisked	TRUE	nak	nek	niskednek	niskednak
nisked	nisked	TRUE	nál	nél	niskednél	niskednál
narem	narem	TRUE	ban	ben	naremben	naremban
narem	narem	TRUE	nak	nek	naremnek	naremnak
narem	narem	TRUE	nál	nél	naremnél	naremnál
surnelt	surnelt	TRUE	ban	ben	surneltben	surneltban
surnelt	surnelt	TRUE	nak	nek	surneltnek	surneltnak
surnelt	surnelt	TRUE	nál	nél	surneltnél	surneltnál
balhéz	balhéz	FALSE	ban	ben	balhézben	balhézban
balhéz	balhéz	FALSE	nak	nek	balhéznek	balhéznak
balhéz	balhéz	FALSE	nál	nél	balhéznél	balhéznál
ßátég	szátég	FALSE	ban	ben	szátégben	szátégban
ßátég	szátég	FALSE	nak	nek	szátégnek	szátégnak
ßátég	szátég	FALSE	nál	nél	szátégnél	szátégnál
Ωuméj	zsuméj	FALSE	ban	ben	zsuméjben	zsuméjban
Ωuméj	zsuméj	FALSE	nak	nek	zsuméjnek	zsuméjnak
Ωuméj	zsuméj	FALSE	nál	nél	zsuméjnél	zsuméjnál
klarhét	klarhét	FALSE	ban	ben	klarhétben	klarhétban
klarhét	klarhét	FALSE	nak	nek	klarhétnek	klarhétnak
klarhét	klarhét	FALSE	nál	nél	klarhétnél	klarhétnál
gilert	gilert	TRUE	ban	ben	gilertben	gilertban
gilert	gilert	TRUE	nak	nek	gilertnek	gilertnak
gilert	gilert	TRUE	nál	nél	gilertnél	gilertnál
rínem	rínem	TRUE	ban	ben	rínemben	rínemban
rínem	rínem	TRUE	nak	nek	rínemnek	rínemnak
rínem	rínem	TRUE	nál	nél	rínemnél	rínemnál
dáleßt	dáleszt	TRUE	ban	ben	dálesztben	dálesztban
dáleßt	dáleszt	TRUE	nak	nek	dálesztnek	dálesztnak
dáleßt	dáleszt	TRUE	nál	nél	dálesztnél	dálesztnál
hivép	hivép	FALSE	ban	ben	hivépben	hivépban
hivép	hivép	FALSE	nak	nek	hivépnek	hivépnak
hivép	hivép	FALSE	nál	nél	hivépnél	hivépnál
Ωamec	zsamec	TRUE	ban	ben	zsamecben	zsamecban
Ωamec	zsamec	TRUE	nak	nek	zsamecnek	zsamecnak
Ωamec	zsamec	TRUE	nál	nél	zsamecnél	zsamecnál
síle©	sílegy	TRUE	ban	ben	sílegyben	sílegyban
síle©	sílegy	TRUE	nak	nek	sílegynek	sílegynak
síle©	sílegy	TRUE	nál	nél	sílegynél	sílegynál
míßler	míszler	TRUE	ban	ben	míszlerben	míszlerban
míßler	míszler	TRUE	nak	nek	míszlernek	míszlernak
míßler	míszler	TRUE	nál	nél	míszlernél	míszlernál
zortend	zortend	TRUE	ban	ben	zortendben	zortendban
zortend	zortend	TRUE	nak	nek	zortendnek	zortendnak
zortend	zortend	TRUE	nál	nél	zortendnél	zortendnál
porßelt	porszelt	TRUE	ban	ben	porszeltben	porszeltban
porßelt	porszelt	TRUE	nak	nek	porszeltnek	porszeltnak
porßelt	porszelt	TRUE	nál	nél	porszeltnél	porszeltnál
Ωibelt	zsibelt	TRUE	ban	ben	zsibeltben	zsibeltban
Ωibelt	zsibelt	TRUE	nak	nek	zsibeltnek	zsibeltnak
Ωibelt	zsibelt	TRUE	nál	nél	zsibeltnél	zsibeltnál
¥alféd	nyalféd	FALSE	ban	ben	nyalfédben	nyalfédban
¥alféd	nyalféd	FALSE	nak	nek	nyalfédnek	nyalfédnak
¥alféd	nyalféd	FALSE	nál	nél	nyalfédnél	nyalfédnál
pismec	pismec	TRUE	ban	ben	pismecben	pismecban
pismec	pismec	TRUE	nak	nek	pismecnek	pismecnak
pismec	pismec	TRUE	nál	nél	pismecnél	pismecnál
nace¬	nacely	TRUE	ban	ben	nacelyben	nacelyban
nace¬	nacely	TRUE	nak	nek	nacelynek	nacelynak
nace¬	nacely	TRUE	nál	nél	nacelynél	nacelynál
juté¬	jutély	FALSE	ban	ben	jutélyben	jutélyban
juté¬	jutély	FALSE	nak	nek	jutélynek	jutélynak
juté¬	jutély	FALSE	nál	nél	jutélynél	jutélynál
sortem	sortem	TRUE	ban	ben	sortemben	sortemban
sortem	sortem	TRUE	nak	nek	sortemnek	sortemnak
sortem	sortem	TRUE	nál	nél	sortemnél	sortemnál
truméj	truméj	FALSE	ban	ben	truméjben	truméjban
truméj	truméj	FALSE	nak	nek	truméjnek	truméjnak
truméj	truméj	FALSE	nál	nél	truméjnél	truméjnál
hapen	hapen	TRUE	ban	ben	hapenben	hapenban
hapen	hapen	TRUE	nak	nek	hapennek	hapennak
hapen	hapen	TRUE	nál	nél	hapennél	hapennál
zampév	zampév	FALSE	ban	ben	zampévben	zampévban
zampév	zampév	FALSE	nak	nek	zampévnek	zampévnak
zampév	zampév	FALSE	nál	nél	zampévnél	zampévnál
trájeg	trájeg	TRUE	ban	ben	trájegben	trájegban
trájeg	trájeg	TRUE	nak	nek	trájegnek	trájegnak
trájeg	trájeg	TRUE	nál	nél	trájegnél	trájegnál
brúdeßt	brúdeszt	TRUE	ban	ben	brúdesztben	brúdesztban
brúdeßt	brúdeszt	TRUE	nak	nek	brúdesztnek	brúdesztnak
brúdeßt	brúdeszt	TRUE	nál	nél	brúdesztnél	brúdesztnál
spráne©	spránegy	TRUE	ban	ben	spránegyben	spránegyban
spráne©	spránegy	TRUE	nak	nek	spránegynek	spránegynak
spráne©	spránegy	TRUE	nál	nél	spránegynél	spránegynál
spivél	spivél	FALSE	ban	ben	spivélben	spivélban
spivél	spivél	FALSE	nak	nek	spivélnek	spivélnak
spivél	spivél	FALSE	nál	nél	spivélnél	spivélnál
kipes	kipes	TRUE	ban	ben	kipesben	kipesban
kipes	kipes	TRUE	nak	nek	kipesnek	kipesnak
kipes	kipes	TRUE	nál	nél	kipesnél	kipesnál
¥opec	nyopec	TRUE	ban	ben	nyopecben	nyopecban
¥opec	nyopec	TRUE	nak	nek	nyopecnek	nyopecnak
¥opec	nyopec	TRUE	nál	nél	nyopecnél	nyopecnál
jáger	jáger	TRUE	ban	ben	jágerben	jágerban
jáger	jáger	TRUE	nak	nek	jágernek	jágernak
jáger	jáger	TRUE	nál	nél	jágernél	jágernál
triçez	tricsez	TRUE	ban	ben	tricsezben	tricsezban
triçez	tricsez	TRUE	nak	nek	tricseznek	tricseznak
triçez	tricsez	TRUE	nál	nél	tricseznél	tricseznál
çodeg	csodeg	TRUE	ban	ben	csodegben	csodegban
çodeg	csodeg	TRUE	nak	nek	csodegnek	csodegnak
çodeg	csodeg	TRUE	nál	nél	csodegnél	csodegnál
bókend	bókend	TRUE	ban	ben	bókendben	bókendban
bókend	bókend	TRUE	nak	nek	bókendnek	bókendnak
bókend	bókend	TRUE	nál	nél	bókendnél	bókendnál
braßelt	braszelt	TRUE	ban	ben	braszeltben	braszeltban
braßelt	braszelt	TRUE	nak	nek	braszeltnek	braszeltnak
braßelt	braszelt	TRUE	nál	nél	braszeltnél	braszeltnál
bupéz	bupéz	FALSE	ban	ben	bupézben	bupézban
bupéz	bupéz	FALSE	nak	nek	bupéznek	bupéznak
bupéz	bupéz	FALSE	nál	nél	bupéznél	bupéznál
fiskend	fiskend	TRUE	ban	ben	fiskendben	fiskendban
fiskend	fiskend	TRUE	nak	nek	fiskendnek	fiskendnak
fiskend	fiskend	TRUE	nál	nél	fiskendnél	fiskendnál
ízend	ízend	TRUE	ban	ben	ízendben	ízendban
ízend	ízend	TRUE	nak	nek	ízendnek	ízendnak
ízend	ízend	TRUE	nál	nél	ízendnél	ízendnál
spódek	spódek	TRUE	ban	ben	spódekben	spódekban
spódek	spódek	TRUE	nak	nek	spódeknek	spódeknak
spódek	spódek	TRUE	nál	nél	spódeknél	spódeknál
pisé¬	pisély	FALSE	ban	ben	pisélyben	pisélyban
pisé¬	pisély	FALSE	nak	nek	pisélynek	pisélynak
pisé¬	pisély	FALSE	nál	nél	pisélynél	pisélynál
brigeßt	brigeszt	TRUE	ban	ben	brigesztben	brigesztban
brigeßt	brigeszt	TRUE	nak	nek	brigesztnek	brigesztnak
brigeßt	brigeszt	TRUE	nál	nél	brigesztnél	brigesztnál
hißél	hiszél	FALSE	ban	ben	hiszélben	hiszélban
hißél	hiszél	FALSE	nak	nek	hiszélnek	hiszélnak
hißél	hiszél	FALSE	nál	nél	hiszélnél	hiszélnál
munkév	munkév	FALSE	ban	ben	munkévben	munkévban
munkév	munkév	FALSE	nak	nek	munkévnek	munkévnak
munkév	munkév	FALSE	nál	nél	munkévnél	munkévnál
sprukév	sprukév	FALSE	ban	ben	sprukévben	sprukévban
sprukév	sprukév	FALSE	nak	nek	sprukévnek	sprukévnak
sprukév	sprukév	FALSE	nál	nél	sprukévnél	sprukévnál
ílez	ílez	TRUE	ban	ben	ílezben	ílezban
ílez	ílez	TRUE	nak	nek	íleznek	íleznak
ílez	ílez	TRUE	nál	nél	íleznél	íleznál
dalhec	dalhec	TRUE	ban	ben	dalhecben	dalhecban
dalhec	dalhec	TRUE	nak	nek	dalhecnek	dalhecnak
dalhec	dalhec	TRUE	nál	nél	dalhecnél	dalhecnál
viçéd	vicséd	FALSE	ban	ben	vicsédben	vicsédban
viçéd	vicséd	FALSE	nak	nek	vicsédnek	vicsédnak
viçéd	vicséd	FALSE	nál	nél	vicsédnél	vicsédnál
Ωalrén	zsalrén	FALSE	ban	ben	zsalrénben	zsalrénban
Ωalrén	zsalrén	FALSE	nak	nek	zsalrénnek	zsalrénnak
Ωalrén	zsalrén	FALSE	nál	nél	zsalrénnél	zsalrénnál
lupez	lupez	TRUE	ban	ben	lupezben	lupezban
lupez	lupez	TRUE	nak	nek	lupeznek	lupeznak
lupez	lupez	TRUE	nál	nél	lupeznél	lupeznál
forzéd	forzéd	FALSE	ban	ben	forzédben	forzédban
forzéd	forzéd	FALSE	nak	nek	forzédnek	forzédnak
forzéd	forzéd	FALSE	nál	nél	forzédnél	forzédnál
nojlék	nojlék	FALSE	ban	ben	nojlékben	nojlékban
nojlék	nojlék	FALSE	nak	nek	nojléknek	nojléknak
nojlék	nojlék	FALSE	nál	nél	nojléknél	nojléknál
jukél	jukél	FALSE	ban	ben	jukélben	jukélban
jukél	jukél	FALSE	nak	nek	jukélnek	jukélnak
jukél	jukél	FALSE	nál	nél	jukélnél	jukélnál
gapßen	gapszen	TRUE	ban	ben	gapszenben	gapszenban
gapßen	gapszen	TRUE	nak	nek	gapszennek	gapszennak
gapßen	gapszen	TRUE	nál	nél	gapszennél	gapszennál
zonvép	zonvép	FALSE	ban	ben	zonvépben	zonvépban
zonvép	zonvép	FALSE	nak	nek	zonvépnek	zonvépnak
zonvép	zonvép	FALSE	nál	nél	zonvépnél	zonvépnál
kaßem	kaszem	TRUE	ban	ben	kaszemben	kaszemban
kaßem	kaszem	TRUE	nak	nek	kaszemnek	kaszemnak
kaßem	kaszem	TRUE	nál	nél	kaszemnél	kaszemnál
igéd	igéd	FALSE	ban	ben	igédben	igédban
igéd	igéd	FALSE	nak	nek	igédnek	igédnak
igéd	igéd	FALSE	nál	nél	igédnél	igédnál
luméz	luméz	FALSE	ban	ben	lumézben	lumézban
luméz	luméz	FALSE	nak	nek	luméznek	luméznak
luméz	luméz	FALSE	nál	nél	luméznél	luméznál
brapßék	brapszék	FALSE	ban	ben	brapszékben	brapszékban
brapßék	brapszék	FALSE	nak	nek	brapszéknek	brapszéknak
brapßék	brapszék	FALSE	nál	nél	brapszéknél	brapszéknál
ki¬eß	kilyesz	TRUE	ban	ben	kilyeszben	kilyeszban
ki¬eß	kilyesz	TRUE	nak	nek	kilyesznek	kilyesznak
ki¬eß	kilyesz	TRUE	nál	nél	kilyesznél	kilyesznál
pavég	pavég	FALSE	ban	ben	pavégben	pavégban
pavég	pavég	FALSE	nak	nek	pavégnek	pavégnak
pavég	pavég	FALSE	nál	nél	pavégnél	pavégnál
trapße©	trapszegy	TRUE	ban	ben	trapszegyben	trapszegyban
trapße©	trapszegy	TRUE	nak	nek	trapszegynek	trapszegynak
trapße©	trapszegy	TRUE	nál	nél	trapszegynél	trapszegynál
kalréz	kalréz	FALSE	ban	ben	kalrézben	kalrézban
kalréz	kalréz	FALSE	nak	nek	kalréznek	kalréznak
kalréz	kalréz	FALSE	nál	nél	kalréznél	kalréznál
podéz	podéz	FALSE	ban	ben	podézben	podézban
podéz	podéz	FALSE	nak	nek	podéznek	podéznak
podéz	podéz	FALSE	nál	nél	podéznél	podéznál
springéd	springéd	FALSE	ban	ben	springédben	springédban
springéd	springéd	FALSE	nak	nek	springédnek	springédnak
springéd	springéd	FALSE	nál	nél	springédnél	springédnál
singéd	singéd	FALSE	ban	ben	singédben	singédban
singéd	singéd	FALSE	nak	nek	singédnek	singédnak
singéd	singéd	FALSE	nál	nél	singédnél	singédnál
sanék	sanék	FALSE	ban	ben	sanékben	sanékban
sanék	sanék	FALSE	nak	nek	sanéknek	sanéknak
sanék	sanék	FALSE	nál	nél	sanéknél	sanéknál
sólem	sólem	TRUE	ban	ben	sólemben	sólemban
sólem	sólem	TRUE	nak	nek	sólemnek	sólemnak
sólem	sólem	TRUE	nál	nél	sólemnél	sólemnál
spintéj	spintéj	FALSE	ban	ben	spintéjben	spintéjban
spintéj	spintéj	FALSE	nak	nek	spintéjnek	spintéjnak
spintéj	spintéj	FALSE	nál	nél	spintéjnél	spintéjnál
¥írek	nyírek	TRUE	ban	ben	nyírekben	nyírekban
¥írek	nyírek	TRUE	nak	nek	nyíreknek	nyíreknak
¥írek	nyírek	TRUE	nál	nél	nyíreknél	nyíreknál
trijek	trijek	TRUE	ban	ben	trijekben	trijekban
trijek	trijek	TRUE	nak	nek	trijeknek	trijeknak
trijek	trijek	TRUE	nál	nél	trijeknél	trijeknál
sidek	sidek	TRUE	ban	ben	sidekben	sidekban
sidek	sidek	TRUE	nak	nek	sideknek	sideknak
sidek	sidek	TRUE	nál	nél	sideknél	sideknál
spicet	spicet	TRUE	ban	ben	spicetben	spicetban
spicet	spicet	TRUE	nak	nek	spicetnek	spicetnak
spicet	spicet	TRUE	nál	nél	spicetnél	spicetnál
harcen	harcen	TRUE	ban	ben	harcenben	harcenban
harcen	harcen	TRUE	nak	nek	harcennek	harcennak
harcen	harcen	TRUE	nál	nél	harcennél	harcennál
tódenc	tódenc	TRUE	ban	ben	tódencben	tódencban
tódenc	tódenc	TRUE	nak	nek	tódencnek	tódencnak
tódenc	tódenc	TRUE	nál	nél	tódencnél	tódencnál
trinçeg	trincseg	TRUE	ban	ben	trincsegben	trincsegban
trinçeg	trincseg	TRUE	nak	nek	trincsegnek	trincsegnak
trinçeg	trincseg	TRUE	nál	nél	trincsegnél	trincsegnál
prinkez	prinkez	TRUE	ban	ben	prinkezben	prinkezban
prinkez	prinkez	TRUE	nak	nek	prinkeznek	prinkeznak
prinkez	prinkez	TRUE	nál	nél	prinkeznél	prinkeznál
princé¬	princély	FALSE	ban	ben	princélyben	princélyban
princé¬	princély	FALSE	nak	nek	princélynek	princélynak
princé¬	princély	FALSE	nál	nél	princélynél	princélynál
dajrens	dajrens	TRUE	ban	ben	dajrensben	dajrensban
dajrens	dajrens	TRUE	nak	nek	dajrensnek	dajrensnak
dajrens	dajrens	TRUE	nál	nél	dajrensnél	dajrensnál
kaled	kaled	TRUE	ban	ben	kaledben	kaledban
kaled	kaled	TRUE	nak	nek	kalednek	kalednak
kaled	kaled	TRUE	nál	nél	kalednél	kalednál
¥imelt	nyimelt	TRUE	ban	ben	nyimeltben	nyimeltban
¥imelt	nyimelt	TRUE	nak	nek	nyimeltnek	nyimeltnak
¥imelt	nyimelt	TRUE	nál	nél	nyimeltnél	nyimeltnál
bájez	bájez	TRUE	ban	ben	bájezben	bájezban
bájez	bájez	TRUE	nak	nek	bájeznek	bájeznak
bájez	bájez	TRUE	nál	nél	bájeznél	bájeznál
facéz	facéz	FALSE	ban	ben	facézben	facézban
facéz	facéz	FALSE	nak	nek	facéznek	facéznak
facéz	facéz	FALSE	nál	nél	facéznél	facéznál
ikßert	ikszert	TRUE	ban	ben	ikszertben	ikszertban
ikßert	ikszert	TRUE	nak	nek	ikszertnek	ikszertnak
ikßert	ikszert	TRUE	nál	nél	ikszertnél	ikszertnál
pívem	pívem	TRUE	ban	ben	pívemben	pívemban
pívem	pívem	TRUE	nak	nek	pívemnek	pívemnak
pívem	pívem	TRUE	nál	nél	pívemnél	pívemnál
brapek	brapek	TRUE	ban	ben	brapekben	brapekban
brapek	brapek	TRUE	nak	nek	brapeknek	brapeknak
brapek	brapek	TRUE	nál	nél	brapeknél	brapeknál
valfend	valfend	TRUE	ban	ben	valfendben	valfendban
valfend	valfend	TRUE	nak	nek	valfendnek	valfendnak
valfend	valfend	TRUE	nál	nél	valfendnél	valfendnál
gajréz	gajréz	FALSE	ban	ben	gajrézben	gajrézban
gajréz	gajréz	FALSE	nak	nek	gajréznek	gajréznak
gajréz	gajréz	FALSE	nál	nél	gajréznél	gajréznál
klosét	klosét	FALSE	ban	ben	klosétben	klosétban
klosét	klosét	FALSE	nak	nek	klosétnek	klosétnak
klosét	klosét	FALSE	nál	nél	klosétnél	klosétnál
Ωodent	zsodent	TRUE	ban	ben	zsodentben	zsodentban
Ωodent	zsodent	TRUE	nak	nek	zsodentnek	zsodentnak
Ωodent	zsodent	TRUE	nál	nél	zsodentnél	zsodentnál
mißken	miszken	TRUE	ban	ben	miszkenben	miszkenban
mißken	miszken	TRUE	nak	nek	miszkennek	miszkennak
mißken	miszken	TRUE	nál	nél	miszkennél	miszkennál
palrév	palrév	FALSE	ban	ben	palrévben	palrévban
palrév	palrév	FALSE	nak	nek	palrévnek	palrévnak
palrév	palrév	FALSE	nál	nél	palrévnél	palrévnál
¥ókel	nyókel	TRUE	ban	ben	nyókelben	nyókelban
¥ókel	nyókel	TRUE	nak	nek	nyókelnek	nyókelnak
¥ókel	nyókel	TRUE	nál	nél	nyókelnél	nyókelnál
çinték	csinték	FALSE	ban	ben	csintékben	csintékban
çinték	csinték	FALSE	nak	nek	csintéknek	csintéknak
çinték	csinték	FALSE	nál	nél	csintéknél	csintéknál
gaßtér	gasztér	FALSE	ban	ben	gasztérben	gasztérban
gaßtér	gasztér	FALSE	nak	nek	gasztérnek	gasztérnak
gaßtér	gasztér	FALSE	nál	nél	gasztérnél	gasztérnál
briçent	bricsent	TRUE	ban	ben	bricsentben	bricsentban
briçent	bricsent	TRUE	nak	nek	bricsentnek	bricsentnak
briçent	bricsent	TRUE	nál	nél	bricsentnél	bricsentnál
kádert	kádert	TRUE	ban	ben	kádertben	kádertban
kádert	kádert	TRUE	nak	nek	kádertnek	kádertnak
kádert	kádert	TRUE	nál	nél	kádertnél	kádertnál
bißkert	biszkert	TRUE	ban	ben	biszkertben	biszkertban
bißkert	biszkert	TRUE	nak	nek	biszkertnek	biszkertnak
bißkert	biszkert	TRUE	nál	nél	biszkertnél	biszkertnál
konßép	konszép	FALSE	ban	ben	konszépben	konszépban
konßép	konszép	FALSE	nak	nek	konszépnek	konszépnak
konßép	konszép	FALSE	nál	nél	konszépnél	konszépnál
podez	podez	TRUE	ban	ben	podezben	podezban
podez	podez	TRUE	nak	nek	podeznek	podeznak
podez	podez	TRUE	nál	nél	podeznél	podeznál
básrék	básrék	FALSE	ban	ben	básrékben	básrékban
básrék	básrék	FALSE	nak	nek	básréknek	básréknak
básrék	básrék	FALSE	nál	nél	básréknél	básréknál
