cvc	cc	type	cselekednek	cselekszenek
titögiröközik	titögirökszik	cselekedtek	titögirököztek	titögirökszettek
mupikodik	mupikdik	cselekedne	mupodikne	mupdikene
delíködik	delíkszik	cselekedne	delíködne	delíkszene
podakodik	podakdik	cselekednek	podakodnak	podakdanak
sankoguszik	sankogszik	cselekedtek	sankogusztok	sankogszotok
drartirtirudik	drartirtirdik	cselekedtek	drartirtirudtek	drartirtirdettek
lűgyöszelik	lűgyöszlik	cselekedtek	lűgyöszeltek	lűgyöszlettek
pószulik	pószlik	cselekedne	pószulna	pószlana
szozsalik	szozslik	cselekedtek	szozsaltak	szozslottak
fézsilik	fézslik	cselekedtek	fézsiltek	fézslettek
düzölik	düzlik	cselekednek	düzölnek	düzlenek
drartirtirudik	drartirtirdik	cselekedne	drartirtirudne	drartirtirdene
szérökizik	szérökszik	cselekednek	szérökiznek	szérökszenek
pűrödik	pűrdik	cselekedtek	pűrödtek	pűrdettek
púlanozik	púlanzik	cselekedne	púlanozna	púlanzana
püvügidik	püvügszik	cselekedtek	püvügidtek	püvügszettek
gukalik	guklik	cselekedni	gukalni	guklani
tünyözölik	tünyözlik	cselekednek	tünyözölnek	tünyözlenek
strökedik	strökszik	cselekedtek	strökedtek	strökszettek
titögiröközik	titögirökszik	cselekednek	titögirököznek	titögirökszenek
kígöpidik	kígöpdik	cselekedtek	kígöpidtek	kígöpdettek
kerögedik	kerögszik	cselekedne	kerögedne	kerögszene
mödebözik	mödebzik	cselekednek	mödeböznek	mödebzenek
kálodik	kálszik	cselekedtek	kálodtok	kálszotok
süzsilik	süzslik	cselekedne	süzsilne	süzslene
vukalik	vuklik	cselekedtek	vukaltak	vuklottak
főnyezik	főnyzik	cselekedni	főnyezni	főnyzeni
jorikuzik	jorikszik	cselekedni	joruzikni	jorszikeni
tíndapodik	tíndapdik	cselekedtek	tíndapodtok	tíndapdotok
meközik	mekzik	cselekedne	meközne	mekzene
pétögiszik	pétögszik	cselekednek	pétögisznek	pétögszenek
betübözik	betübzik	cselekedtek	betüböztek	betübzettek
redübülkíjelik	redübülkíjlik	cselekedtek	redübülkíjeltek	redübülkíjlettek
vőjözik	vőjzik	cselekednek	vőjöznek	vőjzenek
pigelödik	pigelszik	cselekedni	pigelödni	pigelszeni
dűplünizik	dűplünzik	cselekedtek	dűplüniztek	dűplünzettek
kübetelik	kübetlik	cselekedtek	kübeteltek	kübetlettek
lántokuzik	lántokszik	cselekedtek	lántokuztak	lántokszottak
szurtamúpudik	szurtamúpdik	cselekedni	szurtamúpudni	szurtamúpdani
girzenögdeközik	girzenögdekzik	cselekedtek	girzenögdeköztek	girzenögdekzettek
vöpödik	vöpszik	cselekedtek	vöpödtek	vöpszettek
tenigtélíszölik	tenigtélíszlik	cselekedni	tenigtélíszölni	tenigtélíszleni
müszölik	müszlik	cselekedni	müszölni	müszleni
szuloszik	szulszik	cselekednek	szulosznak	szulszanak
betübözik	betübzik	cselekedni	betübözni	betübzeni
szujuzik	szujzik	cselekedtek	szujuztok	szujzotok
szurtamúpudik	szurtamúpdik	cselekedtek	szurtamúpudtok	szurtamúpdotok
vövímölik	vövímlik	cselekedtek	vövímöltek	vövímlettek
tönölőtilik	tönölőtlik	cselekedtek	tönölőtiltek	tönölőtlettek
vövímölik	vövímlik	cselekednek	vövímölnek	vövímlenek
lédeközik	lédekzik	cselekedtek	lédeköztek	lédekzettek
fúpanulik	fúpanlik	cselekedni	fúpanulni	fúpanlani
kupozsolik	kupozslik	cselekedtek	kupozsoltok	kupozslotok
remörüzilik	remörüzlik	cselekedtek	remörüziltek	remörüzlettek
vözügezik	vözügzik	cselekednek	vözügeznek	vözügzenek
süzölik	süzlik	cselekedtek	süzöltek	süzlettek
lerökizik	lerökzik	cselekedtek	lerökiztek	lerökzettek
kőmelik	kőmlik	cselekedni	kőmelni	kőmleni
vőpödik	vőpszik	cselekedtek	vőpödtek	vőpszettek
köndünölik	köndünlik	cselekedni	köndünölni	köndünleni
küjözik	küjzik	cselekedne	küjözne	küjzene
vőfekedik	vőfekszik	cselekedni	vőfekedni	vőfekszeni
lávopodik	lávopszik	cselekednek	lávopodnak	lávopszanak
gosolik	goslik	cselekednek	gosolnak	goslanak
dujozik	dujzik	cselekedni	dujozni	dujzani
tákozik	tákzik	cselekednek	tákoznak	tákzanak
düzölik	düzlik	cselekedne	düzölne	düzlene
tükömezik	tükömzik	cselekedtek	tükömeztek	tükömzettek
gísilik	gíslik	cselekedni	gísilni	gísleni
tőgüszik	tőgszik	cselekednek	tőgüsznek	tőgszenek
kőnyepedik	kőnyepdik	cselekedne	kőnyepedne	kőnyepdene
lűgürik	lűgrik	cselekedni	lűgürni	lűgreni
pűnyözik	pűnyzik	cselekedni	pűnyözni	pűnyzeni
vókasudik	vókaslik	cselekedni	vókasudni	vókaslani
jödírökizik	jödírökzik	cselekedtek	jödírökiztek	jödírökzettek
naskikúrodik	naskikúrdik	cselekedtek	naskúrodiktak	naskúrdikottak
ránuzik	ránzik	cselekedtek	ránuztak	ránzottak
kőgürik	kőgrik	cselekedtek	kőgürtek	kőgrettek
réfebűzegeszik	réfebűzegszik	cselekednek	réfebűzegesznek	réfebűzegszenek
tögödik	tögszik	cselekedtek	tögödtek	tögszettek
szűtiködik	szűtikdik	cselekedtek	szűtödiktek	szűtdikettek
szüszölik	szüszlik	cselekedtek	szüszöltek	szüszlettek
zortíkalik	zortíklik	cselekednek	zortíkalnek	zortíklenek
fuzsajulik	fuzsajlik	cselekednek	fuzsajulnak	fuzsajlanak
tipödik	tipdik	cselekedne	tipödne	tipdene
rötömözik	rötömzik	cselekedni	rötömözni	rötömzeni
püködik	pükdik	cselekedtek	püködtek	pükdettek
lumozik	lumzik	cselekedne	lumozna	lumzana
szömíjígürik	szömíjígrik	cselekedni	szömíjígürni	szömíjígreni
fozganozik	fozganzik	cselekedni	fozganozni	fozganzani
tünyözölik	tünyözlik	cselekedtek	tünyözöltek	tünyözlettek
kéfívübékölik	kéfívübéklik	cselekedne	kéfívübékölne	kéfívübéklene
beveködik	bevekdik	cselekednek	beveködnek	bevekdenek
tészödíközik	tészödíkzik	cselekedtek	tészödíköztek	tészödíkzettek
báduluszik	bádulszik	cselekedtek	bádulusztok	bádulszotok
fuzsajulik	fuzsajlik	cselekedne	fuzsajulna	fuzsajlana
kugozik	kugzik	cselekednek	kugoznak	kugzanak
kavigoszik	kavigszik	cselekednek	kavigosznek	kavigszenek
műröneszéliszik	műröneszélszik	cselekedtek	műröneszélisztek	műröneszélszettek
vűbözik	vűbzik	cselekedtek	vűböztek	vűbzettek
kipörödik	kipördik	cselekedtek	kipörödtek	kipördettek
kekizik	kekzik	cselekednek	kekiznek	kekzenek
stűtibizik	stűtibzik	cselekedne	stűtibizne	stűtibzene
röszölik	röszlik	cselekedtek	röszöltek	röszlettek
lópodik	lópdik	cselekedni	lópodni	lópdani
kilüszik	kilszik	cselekedtek	kilüsztek	kilszettek
szürjeköriködik	szürjekörikdik	cselekednek	szürjekörödiknek	szürjekördikenek
pigugaszik	pigugszik	cselekedtek	pigugasztak	pigugszottak
sküszüdölik	sküszüdlik	cselekedni	sküszüdölni	sküszüdleni
rónolik	rónlik	cselekednek	rónolnak	rónlanak
büsüzőfűlöszik	büsüzőfűlszik	cselekedne	büsüzőfűlöszne	büsüzőfűlszene
fukuzik	fukzik	cselekedne	fukuzna	fukzana
büsüzőfűlöszik	büsüzőfűlszik	cselekedni	büsüzőfűlöszni	büsüzőfűlszeni
bovupudik	bovupszik	cselekednek	bovupudnak	bovupszanak
kíkuzik	kíkzik	cselekedtek	kíkuztek	kíkzettek
kázolik	kázlik	cselekednek	kázolnak	kázlanak
reközik	rekzik	cselekedtek	reköztek	rekzettek
szürjeköriködik	szürjekörikdik	cselekedtek	szürjekörödiktek	szürjekördikettek
biveködik	bivekdik	cselekedtek	biveködtek	bivekdettek
tónozik	tónzik	cselekedtek	tónoztok	tónzotok
sűszünizik	sűszünzik	cselekedtek	sűszüniztek	sűszünzettek
fórulik	fórlik	cselekedni	fórulni	fórlani
szűtiködik	szűtikdik	cselekedne	szűtödikne	szűtdikene
bűdöszenösedik	bűdöszenöslik	cselekedni	bűdöszenösedni	bűdöszenösleni
szugozik	szugzik	cselekedtek	szugoztok	szugzotok
szevimezik	szevimzik	cselekedtek	szevimeztek	szevimzettek
sögyürödik	sögyürdik	cselekednek	sögyürödnek	sögyürdenek
tázasódulik	tázasódlik	cselekednek	tázasódulnak	tázasódlanak
vobozik	vobzik	cselekedne	vobozna	vobzana
virdezelik	virdezlik	cselekednek	virdezelnek	virdezlenek
fúpanulik	fúpanlik	cselekedtek	fúpanultak	fúpanlottak
sekümezik	sekümzik	cselekedtek	sekümeztek	sekümzettek
vözsödilik	vözsödlik	cselekedni	vözsödilni	vözsödleni
bölödik	bölszik	cselekedtek	bölödtek	bölszettek
zikizik	zikszik	cselekedne	zizikne	zszikene
dolanozik	dolanzik	cselekedtek	dolanoztak	dolanzottak
kejözik	kejzik	cselekedne	kejözne	kejzene
mépökiszik	mépökszik	cselekedtek	mépökisztek	mépökszettek
fűdötenyelik	fűdötenylik	cselekedtek	fűdötenyeltek	fűdötenylettek
gísilik	gíslik	cselekedne	gísilne	gíslene
kiguvabózsolik	kiguvabózslik	cselekednek	kiguvabózsolnak	kiguvabózslanak
laszunolik	laszunlik	cselekednek	laszunolnak	laszunlanak
legörik	legrik	cselekedne	legörne	legrene
sőszöböfülidik	sőszöböfülszik	cselekedni	sőszöböfülidni	sőszöböfülszeni
künvísűkénezik	künvísűkénzik	cselekedne	künvísűkénezne	künvísűkénzene
kátkirdínduzsulik	kátkirdínduzslik	cselekedtek	kátkirdínduzsultok	kátkirdínduzslotok
gérmenyelik	gérmenylik	cselekedtek	gérmenyeltek	gérmenylettek
lumozik	lumzik	cselekedtek	lumoztak	lumzottak
betsögirik	betsögrik	cselekedne	betsögirne	betsögrene
pozsalik	pozslik	cselekedtek	pozsaltak	pozslottak
jénömíbügezik	jénömíbügzik	cselekedne	jénömíbügezne	jénömíbügzene
denözik	denzik	cselekedni	denözni	denzeni
pőtölik	pőtlik	cselekedtek	pőtöltek	pőtlettek
kúruszízulik	kúruszízlik	cselekednek	kúruszízulnek	kúruszízlenek
rukudik	rukdik	cselekednek	rukudnak	rukdanak
fálodik	fálszik	cselekedni	fálodni	fálszani
szonyulik	szonylik	cselekednek	szonyulnak	szonylanak
götegödik	götegdik	cselekedni	götegödni	götegdeni
mupikodik	mupikdik	cselekedni	mupodikni	mupdikeni
müzötégirik	müzötégrik	cselekedtek	müzötégirtek	müzötégrettek
büröszésedik	büröszéslik	cselekedtek	büröszésedtek	büröszéslettek
rekösőküszik	rekösőkszik	cselekedne	rekösőküszne	rekösőkszene
dárodik	dárdik	cselekednek	dárodnak	dárdanak
vónyozik	vónyzik	cselekedtek	vónyoztok	vónyzotok
mekvemizik	mekvemzik	cselekedtek	mekvemiztek	mekvemzettek
fukuzik	fukzik	cselekednek	fukuznak	fukzanak
töginezik	töginzik	cselekedtek	tögineztek	töginzettek
mötírgepűkölik	mötírgepűklik	cselekednek	mötírgepűkölnek	mötírgepűklenek
vobozik	vobzik	cselekedni	vobozni	vobzani
lórudik	lórdik	cselekedtek	lórudtak	lórdottak
mósudik	móslik	cselekedni	mósudni	móslani
súszulik	súszlik	cselekedni	súszulni	súszlani
kümígyenyilik	kümígyenylik	cselekedtek	kümígyenyiltek	kümígyenylettek
síszelöbözik	síszelöbzik	cselekedni	síszelöbözni	síszelöbzeni
fiskümölik	fiskümlik	cselekedtek	fiskümöltek	fiskümlettek
fépüdelik	fépüdlik	cselekedni	fépüdelni	fépüdleni
ripdürilik	ripdürlik	cselekednek	ripdürilnek	ripdürlenek
vúzusztúnalik	vúzusztúnlik	cselekedtek	vúzusztúnaltok	vúzusztúnlotok
kómozágodik	kómozágszik	cselekedtek	kómozágodtok	kómozágszotok
fuvosolik	fuvoslik	cselekednek	fuvosolnak	fuvoslanak
lűgyöszelik	lűgyöszlik	cselekedtek	lűgyöszeltek	lűgyöszlettek
vísolik	víslik	cselekednek	vísolnek	víslenek
szűlverödik	szűlverdik	cselekedni	szűlverödni	szűlverdeni
főkeközik	főkekszik	cselekedtek	főkeköztek	főkekszettek
redübülkíjelik	redübülkíjlik	cselekedtek	redübülkíjeltek	redübülkíjlettek
rütigyűvipidik	rütigyűvipdik	cselekednek	rütigyűvipidnek	rütigyűvipdenek
pölmödűbézölik	pölmödűbézlik	cselekedtek	pölmödűbézöltek	pölmödűbézlettek
lűmözilik	lűmözlik	cselekednek	lűmözilnek	lűmözlenek
szugozik	szugzik	cselekedne	szugozna	szugzana
manukodik	manukszik	cselekedtek	manukodtok	manukszotok
reközik	rekzik	cselekedni	reközni	rekzeni
bígorik	bígrik	cselekedni	bígorni	bígreni
bűmözik	bűmzik	cselekednek	bűmöznek	bűmzenek
zsütüpidik	zsütüpszik	cselekedne	zsütüpidne	zsütüpszene
nűpzelőlödik	nűpzelőlszik	cselekedtek	nűpzelőlödtek	nűpzelőlszettek
rőkijűföjölik	rőkijűföjlik	cselekedtek	rőkijűföjöltek	rőkijűföjlettek
kőgürik	kőgrik	cselekedne	kőgürne	kőgrene
bigalik	biglik	cselekedne	bigalne	biglene
sögyürödik	sögyürdik	cselekedni	sögyürödni	sögyürdeni
dibunuzik	dibunzik	cselekedtek	dibunuztak	dibunzottak
dozsalik	dozslik	cselekedtek	dozsaltok	dozslotok
púmanyíruzik	púmanyírzik	cselekedtek	púmanyíruztek	púmanyírzettek
léselik	léslik	cselekedtek	léseltek	léslettek
sűrüridik	sűrürdik	cselekedne	sűrüridne	sűrürdene
kíkuzik	kíkzik	cselekednek	kíkuznek	kíkzenek
prigerik	prigrik	cselekedtek	prigertek	prigrettek
túguszik	túgszik	cselekedtek	túgusztak	túgszottak
vobozik	vobzik	cselekednek	voboznak	vobzanak
tükömezik	tükömzik	cselekedtek	tükömeztek	tükömzettek
rűlríküszik	rűlríkszik	cselekedtek	rűlríküsztek	rűlríkszettek
vulugarik	vulugrik	cselekedtek	vulugartok	vulugrotok
milekebüridik	milekebürdik	cselekedni	milekebüridni	milekebürdeni
tákiszojolik	tákiszojlik	cselekedne	tákiszojolna	tákiszojlana
burukákolik	burukáklik	cselekedne	burukákolna	burukáklana
kavukozik	kavukzik	cselekedne	kavukozna	kavukzana
fizböküszik	fizbökszik	cselekednek	fizböküsznek	fizbökszenek
mizsolik	mizslik	cselekedni	mizsolni	mizsleni
pútulik	pútlik	cselekedni	pútulni	pútlani
mödebözik	mödebzik	cselekedtek	mödeböztek	mödebzettek
krűsesidik	krűseslik	cselekedtek	krűsesidtek	krűseslettek
vónyozik	vónyzik	cselekedne	vónyozna	vónyzana
tünjütütegödik	tünjütütegdik	cselekedtek	tünjütütegödtek	tünjütütegdettek
kögiszik	kögszik	cselekedtek	kögisztek	kögszettek
ránozik	ránzik	cselekedtek	ránoztak	ránzottak
sakoguszik	sakogszik	cselekedtek	sakogusztok	sakogszotok
kűrtígizik	kűrtígzik	cselekedni	kűrtígizni	kűrtígzeni
tírajtógoszik	tírajtógszik	cselekedtek	tírajtógosztak	tírajtógszottak
tríkulik	tríklik	cselekedtek	tríkultek	tríklettek
vünyildikidik	vünyildikdik	cselekedne	vünyildidikne	vünyilddikene
timozik	timzik	cselekedtek	timoztek	timzettek
szosikudik	szosikszik	cselekedtek	szosudiktek	szosszikettek
kigodik	kigdik	cselekedtek	kigodtek	kigdettek
motudulik	motudlik	cselekedne	motudulna	motudlana
púfokalik	púfoklik	cselekedni	púfokalni	púfoklani
vügiszékögilik	vügiszéköglik	cselekedne	vügiszékögilne	vügiszéköglene
káskamkoralik	káskamkorlik	cselekedne	káskamkoralna	káskamkorlana
kőselőközik	kőselőkzik	cselekedtek	kőselőköztek	kőselőkzettek
vagodik	vagdik	cselekedtek	vagodtak	vagdottak
köleközik	kölekzik	cselekedtek	köleköztek	kölekzettek
kinezik	kinzik	cselekedni	kinezni	kinzeni
kütinölik	kütinlik	cselekedtek	kütinöltek	kütinlettek
bészügölik	bészüglik	cselekedtek	bészügöltek	bészüglettek
kívinelik	kívinlik	cselekedtek	kívineltek	kívinlettek
kekirödik	kekirdik	cselekedtek	kekirödtek	kekirdettek
vúdasodolik	vúdasodlik	cselekedne	vúdasodolna	vúdasodlana
szönyelik	szönylik	cselekedtek	szönyeltek	szönylettek
szömíjígürik	szömíjígrik	cselekedtek	szömíjígürtek	szömíjígrettek
vapísodik	vapíslik	cselekedtek	vapísodtek	vapíslettek
kátíprápokoszik	kátíprápokszik	cselekedtek	kátíprápokosztok	kátíprápokszotok
mötírgepűkölik	mötírgepűklik	cselekedni	mötírgepűkölni	mötírgepűkleni
fizböküszik	fizbökszik	cselekedne	fizböküszne	fizbökszene
fúpumúluszik	fúpumúlszik	cselekedtek	fúpumúlusztak	fúpumúlszottak
lígödik	lígszik	cselekedtek	lígödtek	lígszettek
múkaszik	múkszik	cselekedtek	múkasztak	múkszottak
sízinozik	sízinzik	cselekedni	sízinozni	sízinzeni
tőgüszik	tőgszik	cselekedtek	tőgüsztek	tőgszettek
nasijozik	nasijzik	cselekedtek	nasijoztek	nasijzettek
dőzimilik	dőzimlik	cselekedtek	dőzimiltek	dőzimlettek
gúrgokozik	gúrgokzik	cselekedtek	gúrgokoztok	gúrgokzotok
sugidolik	sugidlik	cselekedni	sugidolni	sugidleni
kúlpugudik	kúlpugszik	cselekedni	kúlpugudni	kúlpugszani
kígedik	kígdik	cselekedne	kígedne	kígdene
sapidabuzik	sapidabzik	cselekedtek	sapidabuztak	sapidabzottak
kíkuzik	kíkzik	cselekedne	kíkuzne	kíkzene
livokúloguszik	livokúlogszik	cselekedtek	livokúlogusztak	livokúlogszottak
redöködik	redökdik	cselekedni	redöködni	redökdeni
mojozik	mojzik	cselekedne	mojozna	mojzana
mőnyözik	mőnyzik	cselekedne	mőnyözne	mőnyzene
ruzsalik	ruzslik	cselekedni	ruzsalni	ruzslani
turísalik	turíslik	cselekedne	turísalne	turíslene
figzütegödik	figzütegszik	cselekedni	figzütegödni	figzütegszeni
mógudik	mógszik	cselekedtek	mógudtok	mógszotok
búfagorik	búfagrik	cselekedne	búfagorna	búfagrana
tofunozik	tofunzik	cselekedtek	tofunoztak	tofunzottak
lígyokodik	lígyokszik	cselekedni	lígyokodni	lígyokszani
sőszöböfülidik	sőszöböfülszik	cselekedtek	sőszöböfülidtek	sőszöböfülszettek
mekvemizik	mekvemzik	cselekedni	mekvemizni	mekvemzeni
tirotulik	tirotlik	cselekedne	tirotulna	tirotlana
filenölik	filenlik	cselekedtek	filenöltek	filenlettek
kálodik	kálszik	cselekednek	kálodnak	kálszanak
mövezsenyözik	mövezsenyzik	cselekedtek	mövezsenyöztek	mövezsenyzettek
zsütüpidik	zsütüpszik	cselekedtek	zsütüpidtek	zsütüpszettek
spimatolik	spimatlik	cselekedtek	spimatoltak	spimatlottak
fúpumúluszik	fúpumúlszik	cselekednek	fúpumúlusznak	fúpumúlszanak
púzitszójolik	púzitszójlik	cselekednek	púzitszójolnak	púzitszójlanak
kőselőközik	kőselőkzik	cselekedni	kőselőközni	kőselőkzeni
nebögedik	nebögdik	cselekedtek	nebögedtek	nebögdettek
főtenölik	főtenlik	cselekedtek	főtenöltek	főtenlettek
búdalik	búdlik	cselekedne	búdalna	búdlana
tómolókozik	tómolókszik	cselekedni	tómolókozni	tómolókszani
forokuszik	forokszik	cselekedtek	forokusztak	forokszottak
metölik	metlik	cselekedtek	metöltek	metlettek
füpönyözik	füpönyzik	cselekedtek	füpönyöztek	füpönyzettek
bűlírménözik	bűlírménzik	cselekedni	bűlírménözni	bűlírménzeni
mímözik	mímzik	cselekedtek	mímöztek	mímzettek
vüjelik	vüjlik	cselekedtek	vüjeltek	vüjlettek
memizik	memzik	cselekedtek	memiztek	memzettek
tűkedik	tűkszik	cselekedtek	tűkedtek	tűkszettek
vagodik	vagdik	cselekedne	vagodna	vagdana
püködik	pükdik	cselekedtek	püködtek	pükdettek
dibarozik	dibarzik	cselekedtek	dibaroztak	dibarzottak
sűrüridik	sűrürdik	cselekednek	sűrüridnek	sűrürdenek
pimörilik	pimörlik	cselekednek	pimörilnek	pimörlenek
delíködik	delíkszik	cselekedtek	delíködtek	delíkszettek
tófamozik	tófamzik	cselekedtek	tófamoztak	tófamzottak
rozimulik	rozimlik	cselekedtek	rozimultek	rozimlettek
kúrzutkukíkuszik	kúrzutkukíkszik	cselekedni	kúrzutkukíkuszni	kúrzutkukíkszeni
filenölik	filenlik	cselekedtek	filenöltek	filenlettek
dösügűselik	dösügűslik	cselekednek	dösügűselnek	dösügűslenek
filszízalik	filszízlik	cselekednek	filszízalnek	filszízlenek
szönyelik	szönylik	cselekedni	szönyelni	szönyleni
solazulik	solazlik	cselekedne	solazulna	solazlana
besziséngyőgelik	besziséngyőglik	cselekedne	besziséngyőgelne	besziséngyőglene
dinalik	dinlik	cselekedtek	dinaltek	dinlettek
süzölik	süzlik	cselekedtek	süzöltek	süzlettek
vőleszik	vőlszik	cselekedni	vőleszni	vőlszeni
kőnümezik	kőnümzik	cselekedni	kőnümezni	kőnümzeni
vúrusalik	vúruslik	cselekedtek	vúrusaltok	vúruslotok
szonyínulik	szonyínlik	cselekedtek	szonyínultek	szonyínlettek
fátíludik	fátílszik	cselekednek	fátíludnek	fátílszenek
szonyínulik	szonyínlik	cselekedne	szonyínulne	szonyínlene
kőnümezik	kőnümzik	cselekedtek	kőnümeztek	kőnümzettek
dibarozik	dibarzik	cselekedni	dibarozni	dibarzani
jorikuzik	jorikszik	cselekedne	joruzikne	jorszikene
sígolik	síglik	cselekedni	sígolni	sígleni
mizsolik	mizslik	cselekedtek	mizsoltek	mizslettek
vőleszik	vőlszik	cselekednek	vőlesznek	vőlszenek
mizsolik	mizslik	cselekedtek	mizsoltek	mizslettek
rőkijűföjölik	rőkijűföjlik	cselekedni	rőkijűföjölni	rőkijűföjleni
kagupkálanulik	kagupkálanlik	cselekedne	kagupkálanulna	kagupkálanlana
ponyalik	ponylik	cselekedtek	ponyaltak	ponylottak
kűszöszéküszik	kűszöszékszik	cselekedtek	kűszöszéküsztek	kűszöszékszettek
lávopodik	lávopszik	cselekedni	lávopodni	lávopszani
tuguzik	tugzik	cselekedtek	tuguztok	tugzotok
tósolik	tóslik	cselekedne	tósolna	tóslana
bögüzseríszölik	bögüzseríszlik	cselekedtek	bögüzseríszöltek	bögüzseríszlettek
jűvíntetölik	jűvíntetlik	cselekedtek	jűvíntetöltek	jűvíntetlettek
kúfulikozik	kúfulikszik	cselekedne	kúfulozikne	kúfulszikene
dáfakozik	dáfakzik	cselekedni	dáfakozni	dáfakzani
dígünyölik	dígünylik	cselekedni	dígünyölni	dígünyleni
tofunozik	tofunzik	cselekedni	tofunozni	tofunzani
lironúdalik	lironúdlik	cselekedne	lironúdalna	lironúdlana
vőzíszőgeszik	vőzíszőgszik	cselekedtek	vőzíszőgesztek	vőzíszőgszettek
túkodik	túkszik	cselekednek	túkodnak	túkszanak
báztíszulik	báztíszlik	cselekedtek	báztíszultek	báztíszlettek
lögödik	lögszik	cselekedne	lögödne	lögszene
kászugodik	kászugdik	cselekednek	kászugodnak	kászugdanak
kígedik	kígdik	cselekedni	kígedni	kígdeni
bővegyefébezik	bővegyefébzik	cselekedtek	bővegyefébeztek	bővegyefébzettek
szalodik	szalszik	cselekedni	szalodni	szalszani
forunyóguszik	forunyógszik	cselekednek	forunyógusznak	forunyógszanak
kőpümilik	kőpümlik	cselekedtek	kőpümiltek	kőpümlettek
kűbrítölik	kűbrítlik	cselekedtek	kűbrítöltek	kűbrítlettek
pútulik	pútlik	cselekednek	pútulnak	pútlanak
kőnyepedik	kőnyepdik	cselekednek	kőnyepednek	kőnyepdenek
motudulik	motudlik	cselekedtek	motudultok	motudlotok
lópodik	lópdik	cselekedtek	lópodtok	lópdotok
sázuramalik	sázuramlik	cselekedne	sázuramalna	sázuramlana
tészödíközik	tészödíkzik	cselekedni	tészödíközni	tészödíkzeni
sízinozik	sízinzik	cselekedne	sízinozne	sízinzene
vűsödik	vűslik	cselekedtek	vűsödtek	vűslettek
dülüszik	dülszik	cselekedni	dülüszni	dülszeni
pagodik	pagszik	cselekedni	pagodni	pagszani
rukamulik	rukamlik	cselekednek	rukamulnak	rukamlanak
vapodik	vapdik	cselekednek	vapodnak	vapdanak
vápudik	vápdik	cselekednek	vápudnak	vápdanak
süpínyőrödik	süpínyőrdik	cselekedtek	süpínyőrödtek	süpínyőrdettek
rekösőküszik	rekösőkszik	cselekedni	rekösőküszni	rekösőkszeni
bublulodik	bublulszik	cselekedtek	bublulodtak	bublulszottak
ziszigurik	ziszigrik	cselekednek	ziszigurnek	ziszigrenek
dőzimilik	dőzimlik	cselekednek	dőzimilnek	dőzimlenek
kógapudik	kógapszik	cselekedni	kógapudni	kógapszani
sziszkesidik	sziszkeslik	cselekedtek	sziszkesidtek	sziszkeslettek
szönyelik	szönylik	cselekednek	szönyelnek	szönylenek
pümbömizik	pümbömzik	cselekednek	pümbömiznek	pümbömzenek
léselik	léslik	cselekedni	léselni	lésleni
szijulik	szijlik	cselekedtek	szijultek	szijlettek
vísolik	víslik	cselekedtek	vísoltek	víslettek
sidönözik	sidönzik	cselekedne	sidönözne	sidönzene
mibakozik	mibakszik	cselekedni	mibakozni	mibakszani
fübígűselik	fübígűslik	cselekedni	fübígűselni	fübígűsleni
vóbirudik	vóbirdik	cselekednek	vóbirudnek	vóbirdenek
fukulik	fuklik	cselekedtek	fukultak	fuklottak
tűkedik	tűkszik	cselekedtek	tűkedtek	tűkszettek
lüpödik	lüpszik	cselekedni	lüpödni	lüpszeni
tizalaszik	tizalszik	cselekedtek	tizalasztak	tizalszottak
kászugodik	kászugdik	cselekedtek	kászugodtak	kászugdottak
bünyölik	bünylik	cselekedni	bünyölni	bünyleni
szérökizik	szérökszik	cselekedne	szérökizne	szérökszene
néntrelémőközik	néntrelémőkzik	cselekedni	néntrelémőközni	néntrelémőkzeni
lűrölik	lűrlik	cselekedtek	lűröltek	lűrlettek
büvíjezik	büvíjzik	cselekednek	büvíjeznek	büvíjzenek
ríkomárulik	ríkomárlik	cselekednek	ríkomárulnak	ríkomárlanak
sűtebezik	sűtebzik	cselekedne	sűtebezne	sűtebzene
laralik	larlik	cselekedtek	laraltak	larlottak
nugínyozik	nugínyzik	cselekednek	nugínyoznek	nugínyzenek
rekösőküszik	rekösőkszik	cselekednek	rekösőküsznek	rekösőkszenek
kizígürik	kizígrik	cselekedtek	kizígürtek	kizígrettek
bekízsölik	bekízslik	cselekedtek	bekízsöltek	bekízslettek
kókarodik	kókardik	cselekedni	kókarodni	kókardani
bűbügöszik	bűbügszik	cselekedne	bűbügöszne	bűbügszene
tuguzik	tugzik	cselekedne	tuguzna	tugzana
jőgökidik	jőgökdik	cselekedtek	jőgökidtek	jőgökdettek
vúzusztúnalik	vúzusztúnlik	cselekedne	vúzusztúnalna	vúzusztúnlana
kúlpugudik	kúlpugszik	cselekedtek	kúlpugudtok	kúlpugszotok
szozsalik	szozslik	cselekedni	szozsalni	szozslani
rűlödik	rűlszik	cselekedtek	rűlödtek	rűlszettek
tíkuzik	tíkszik	cselekedne	tíkuzne	tíkszene
fórulik	fórlik	cselekednek	fórulnak	fórlanak
kigürik	kigrik	cselekedtek	kigürtek	kigrettek
nipszoszulik	nipszoszlik	cselekednek	nipszoszulnak	nipszoszlanak
főpözilik	főpözlik	cselekedni	főpözilni	főpözleni
redelébezik	redelébzik	cselekedni	redelébezni	redelébzeni
kranugolik	kranuglik	cselekednek	kranugolnak	kranuglanak
vúzusztúnalik	vúzusztúnlik	cselekedtek	vúzusztúnaltak	vúzusztúnlottak
