base	base_tr	variation	type	target1	target2	target1_resp	target2_resp	log_odds	derivational	nsyl	vowel	suffix
kaszép	kaßép	hotelban/hotelben	nonce word response	kaszépnek	kaszépnak	15	11	-0.28768207245178085	NA	NA	é	nak
kátéd	kátéd	hotelban/hotelben	nonce word response	kátédnél	kátédnál	9	19	0.6931471805599453	NA	NA	é	nál
kátel	kátel	hotelban/hotelben	nonce word response	kátelnek	kátelnak	22	4	-1.5260563034950492	NA	NA	e	nak
klajrén	klajrén	hotelban/hotelben	nonce word response	klajrénnek	klajrénnak	11	17	0.40546510810816444	NA	NA	é	nak
klaráglik	klaráglik	lakom/lakok	nonce word response	klaráglok	klaráglom	19	7	0.9162907318741551	-lik	2	NA	NA
kláragszik / kláragodik	kláragßik / kláragodik	cselekszenek/cselekednek	nonce word response	kláragszotok	kláragodtok	15	11	0.28768207245178085	-szik	2	NA	tek
klarágzik / klarágozik	klarágzik / klarágozik	cselekszenek/cselekednek	nonce word response	klarágzotok	klarágoztok	7	19	-0.916290731874155	-zik	2	NA	tek
klárzik	klárzik	lakom/lakok	nonce word response	klárzok	klárzom	13	13	0	-zik	1	NA	NA
klazér	klazér	hotelban/hotelben	nonce word response	klazérben	klazérban	13	15	0.13353139262452263	NA	NA	é	ban
kléglik / klégezik	kléglik / klégezik	cselekszenek/cselekednek	nonce word response	kléglünk	klégezünk	16	10	0.4353180712578455	-lik	1	NA	ünk
klehénylik / klehényezik	klehé¥lik / klehé¥ezik	cselekszenek/cselekednek	nonce word response	klehényletek	klehényeztek	16	12	0.26826398659467937	-lik	2	NA	tek
klétszik	klétßik	lakom/lakok	nonce word response	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	NA	NA
klibamlik	klibamlik	lakom/lakok	nonce word response	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	NA	NA
klidlik	klidlik	lakom/lakok	nonce word response	klidlok	klidlom	20	8	0.8472978603872037	-lik	1	NA	NA
klihaslik / klihasozik	klihaslik / klihasozik	cselekszenek/cselekednek	nonce word response	klihaslotok	klihasoztok	11	15	-0.2876820724517809	-lik	2	NA	tek
klingesz	klingeß	hotelban/hotelben	nonce word response	klingeszben	klingeszban	25	3	-1.8718021769015913	NA	NA	e	ban
kliszer	klißer	hotelban/hotelben	nonce word response	kliszernél	kliszernál	23	3	-1.791759469228055	NA	NA	e	nál
klítegy	klíte©	hotelban/hotelben	nonce word response	klítegynél	klítegynál	24	4	-1.6094379124341003	NA	NA	e	nál
klivaslik	klivaslik	lakom/lakok	nonce word response	klivaslok	klivaslom	19	7	0.9162907318741551	-lik	2	NA	NA
klordény	klordé¥	hotelban/hotelben	nonce word response	klordénynek	klordénynak	12	14	0.1431008436406733	NA	NA	é	nak
klörlik	klörlik	lakom/lakok	nonce word response	klörlök	klörlöm	17	9	0.5877866649021191	-lik	1	NA	NA
klosét	klosét	hotelban/hotelben	nonce word response	klosétnek	klosétnak	8	18	0.7472144018302211	NA	NA	é	nak
kluhéj	kluhéj	hotelban/hotelben	nonce word response	kluhéjnél	kluhéjnál	9	19	0.6931471805599453	NA	NA	é	nál
klűmlik / klűmözik	klűmlik / klűmözik	cselekszenek/cselekednek	nonce word response	klűmlötök	klűmöztök	11	17	-0.40546510810816444	-lik	1	NA	tek
kluzlik / kluzozik	kluzlik / kluzozik	cselekszenek/cselekednek	nonce word response	kluzlotok	kluzoztok	12	16	-0.2682639865946794	-lik	1	NA	tek
köszlik / köszözik	kößlik / kößözik	cselekszenek/cselekednek	nonce word response	köszlötök	köszöztök	10	16	-0.4353180712578455	-lik	1	NA	tek
kűdlik / kűdözik	kűdlik / kűdözik	cselekszenek/cselekednek	nonce word response	kűdlenek	kűdöznek	18	8	0.7472144018302211	-lik	1	NA	nek
kumlik	kumlik	lakom/lakok	nonce word response	kumlok	kumlom	24	4	1.6094379124341003	-lik	1	NA	NA
küslik / küsözik	küslik / küsözik	cselekszenek/cselekednek	nonce word response	küslünk	küsözünk	17	9	0.5877866649021191	-lik	1	NA	ünk
lájzik / lájozik	lájzik / lájozik	cselekszenek/cselekednek	nonce word response	lájzotok	lájoztok	16	10	0.4353180712578455	-zik	1	NA	tek
licegy	lice©	hotelban/hotelben	nonce word response	licegyben	licegyban	24	2	-2.120263536200091	NA	NA	e	ban
lihadzik	lihadzik	lakom/lakok	nonce word response	lihadzok	lihadzom	16	12	0.26826398659467937	-zik	2	NA	NA
lihény	lihé¥	hotelban/hotelben	nonce word response	lihénynek	lihénynak	24	2	-2.120263536200091	NA	NA	é	nak
lijez	lijez	hotelban/hotelben	nonce word response	lijeznek	lijeznak	26	2	-2.1972245773362196	NA	NA	e	nak
lingék	lingék	hotelban/hotelben	nonce word response	lingéknél	lingéknál	25	3	-1.8718021769015913	NA	NA	é	nál
lírlik / lírozik	lírlik / lírozik	cselekszenek/cselekednek	nonce word response	lírlanak	líroznak	13	15	-0.13353139262452263	-lik	1	NA	nek
lismév	lismév	hotelban/hotelben	nonce word response	lismévben	lismévban	23	3	-1.791759469228055	NA	NA	é	ban
livaklik	livaklik	lakom/lakok	nonce word response	livaklok	livaklom	7	19	-0.916290731874155	-lik	2	NA	NA
livénylik / livényezik	livé¥lik / livé¥ezik	cselekszenek/cselekednek	nonce word response	livénylünk	livényezünk	18	10	0.5465437063680699	-lik	2	NA	ünk
lorjódzik	lorjódzik	lakom/lakok	nonce word response	lorjódzok	lorjódzom	13	15	-0.13353139262452263	-zik	2	NA	NA
lörűdzik	lörűdzik	lakom/lakok	nonce word response	lörűdzök	lörűdzöm	12	14	-0.1431008436406733	-zik	2	NA	NA
lorzens	lorzens	hotelban/hotelben	nonce word response	lorzensnél	lorzensnál	22	4	-1.5260563034950492	NA	NA	e	nál
lűklik / lűközik	lűklik / lűközik	cselekszenek/cselekednek	nonce word response	lűklenek	lűköznek	11	15	-0.2876820724517809	-lik	1	NA	nek
luméz	luméz	hotelban/hotelben	nonce word response	lumézben	lumézban	12	14	0.1431008436406733	NA	NA	é	ban
lumlik / lumozik	lumlik / lumozik	cselekszenek/cselekednek	nonce word response	lumlotok	lumoztok	11	15	-0.2876820724517809	-lik	1	NA	tek
mádép	mádép	hotelban/hotelben	nonce word response	mádépnél	mádépnál	9	17	0.587786664902119	NA	NA	é	nál
mágamlik / mágamozik	mágamlik / mágamozik	cselekszenek/cselekednek	nonce word response	mágamlunk	mágamozunk	17	9	0.5877866649021191	-lik	2	NA	ünk
málapszik	málapßik	lakom/lakok	nonce word response	málapszok	málapszom	13	13	0	-szik	2	NA	NA
marzik	marzik	lakom/lakok	nonce word response	marzok	marzom	19	7	0.9162907318741551	-zik	1	NA	NA
matéz	matéz	hotelban/hotelben	nonce word response	matézben	matézban	9	17	0.587786664902119	NA	NA	é	ban
mékszik	mékßik	lakom/lakok	nonce word response	mékszek	mékszem	12	14	-0.1431008436406733	-szik	1	NA	NA
metégszik / metégedik	metégßik / metégedik	cselekszenek/cselekednek	nonce word response	metégszenek	metégednek	14	14	0	-szik	2	NA	nek
mihágzik / mihágozik	mihágzik / mihágozik	cselekszenek/cselekednek	nonce word response	mihágzotok	mihágoztok	8	20	-0.8472978603872037	-zik	2	NA	tek
míjzik / míjozik	míjzik / míjozik	cselekszenek/cselekednek	nonce word response	míjzunk	míjozunk	15	13	0.13353139262452257	-zik	1	NA	ünk
míslik / mísozik	míslik / mísozik	cselekszenek/cselekednek	nonce word response	míslunk	mísozunk	15	11	0.28768207245178085	-lik	1	NA	ünk
molszik / molodik	molßik / molodik	cselekszenek/cselekednek	nonce word response	molszotok	molodtok	20	8	0.8472978603872037	-szik	1	NA	tek
monveg	monveg	hotelban/hotelben	nonce word response	monvegnél	monvegnál	22	4	-1.5260563034950492	NA	NA	e	nál
mülőrzik / mülőrözik	mülőrzik / mülőrözik	cselekszenek/cselekednek	nonce word response	mülőrzünk	mülőrözünk	15	11	0.28768207245178085	-zik	2	NA	ünk
murdes	murdes	hotelban/hotelben	nonce word response	murdesnél	murdesnál	17	9	-0.5877866649021191	NA	NA	e	nál
nágapszik / nágapodik	nágapßik / nágapodik	cselekszenek/cselekednek	nonce word response	nágapszanak	nágapodnak	15	11	0.28768207245178085	-szik	2	NA	nek
narádzik	narádzik	lakom/lakok	nonce word response	narádzok	narádzom	9	17	-0.587786664902119	-zik	2	NA	NA
narem	narem	hotelban/hotelben	nonce word response	naremben	naremban	17	9	-0.5877866649021191	NA	NA	e	ban
narjárzik	narjárzik	lakom/lakok	nonce word response	narjárzok	narjárzom	13	13	0	-zik	2	NA	NA
navec	navec	hotelban/hotelben	nonce word response	navecben	navecban	16	12	-0.26826398659467937	NA	NA	e	ban
nidét	nidét	hotelban/hotelben	nonce word response	nidétben	nidétban	25	3	-1.8718021769015913	NA	NA	é	ban
nivárzik / nivározik	nivárzik / nivározik	cselekszenek/cselekednek	nonce word response	nivárzotok	nivároztok	7	19	-0.916290731874155	-zik	2	NA	tek
nuhét	nuhét	hotelban/hotelben	nonce word response	nuhétnél	nuhétnál	15	11	-0.28768207245178085	NA	NA	é	nál
nűröklik	nűröklik	lakom/lakok	nonce word response	nűröklök	nűröklöm	12	16	-0.2682639865946794	-lik	2	NA	NA
nuroklik / nurokozik	nuroklik / nurokozik	cselekszenek/cselekednek	nonce word response	nuroklunk	nurokozunk	19	9	0.6931471805599453	-lik	2	NA	ünk
nyábét	¥ábét	hotelban/hotelben	nonce word response	nyábétben	nyábétban	12	16	0.2682639865946794	NA	NA	é	ban
nyádlik / nyádozik	¥ádlik / ¥ádozik	cselekszenek/cselekednek	nonce word response	nyádlanak	nyádoznak	17	11	0.4054651081081644	-lik	1	NA	nek
nyamet	¥amet	hotelban/hotelben	nonce word response	nyametben	nyametban	18	10	-0.5465437063680699	NA	NA	e	ban
nyarcéj	¥arcéj	hotelban/hotelben	nonce word response	nyarcéjnek	nyarcéjnak	13	13	-0	NA	NA	é	nak
nyáslik	¥áslik	lakom/lakok	nonce word response	nyáslok	nyáslom	17	9	0.5877866649021191	-lik	1	NA	NA
nyítem	¥ítem	hotelban/hotelben	nonce word response	nyítemben	nyítemban	25	1	-2.5649493574615367	NA	NA	e	ban
nyivágzik / nyivágozik	¥ivágzik / ¥ivágozik	cselekszenek/cselekednek	nonce word response	nyivágzunk	nyivágozunk	19	7	0.9162907318741551	-zik	2	NA	ünk
nyizlik / nyizozik	¥izlik / ¥izozik	cselekszenek/cselekednek	nonce word response	nyizlunk	nyizozunk	17	9	0.5877866649021191	-lik	1	NA	ünk
nyöbzik / nyöbözik	¥öbzik / ¥öbözik	cselekszenek/cselekednek	nonce word response	nyöbzenek	nyöböznek	13	15	-0.13353139262452263	-zik	1	NA	nek
nyülöklik / nyülöközik	¥ülöklik / ¥ülöközik	cselekszenek/cselekednek	nonce word response	nyülöklenek	nyülököznek	15	11	0.28768207245178085	-lik	2	NA	nek
nyupér	¥upér	hotelban/hotelben	nonce word response	nyupérnél	nyupérnál	13	13	-0	NA	NA	é	nál
nyürzik / nyürözik	¥ürzik / ¥ürözik	cselekszenek/cselekednek	nonce word response	nyürzenek	nyüröznek	13	15	-0.13353139262452263	-zik	1	NA	nek
pazév	pazév	hotelban/hotelben	nonce word response	pazévnél	pazévnál	13	13	-0	NA	NA	é	nál
pebzik	pebzik	lakom/lakok	nonce word response	pebzek	pebzem	17	9	0.5877866649021191	-zik	1	NA	NA
pehégszik / pehégedik	pehégßik / pehégedik	cselekszenek/cselekednek	nonce word response	pehégszetek	pehégedtek	16	10	0.4353180712578455	-szik	2	NA	tek
pekszik / pekedik	pekßik / pekedik	cselekszenek/cselekednek	nonce word response	pekszünk	pekedünk	18	8	0.7472144018302211	-szik	1	NA	ünk
péleslik	péleslik	lakom/lakok	nonce word response	péleslek	péleslem	19	9	0.6931471805599453	-lik	2	NA	NA
pibegzik / pibegezik	pibegzik / pibegezik	cselekszenek/cselekednek	nonce word response	pibegzenek	pibegeznek	8	18	-0.7472144018302211	-zik	2	NA	nek
pijél	pijél	hotelban/hotelben	nonce word response	pijélnél	pijélnál	24	2	-2.120263536200091	NA	NA	é	nál
píjlik	píjlik	lakom/lakok	nonce word response	píjlok	píjlom	17	9	0.5877866649021191	-lik	1	NA	NA
pilégszik / pilégedik	pilégßik / pilégedik	cselekszenek/cselekednek	nonce word response	pilégszenek	pilégednek	17	9	0.5877866649021191	-szik	2	NA	nek
piragszik	piragßik	lakom/lakok	nonce word response	piragszok	piragszom	9	17	-0.587786664902119	-szik	2	NA	NA
pisély	pisé¬	hotelban/hotelben	nonce word response	pisélyben	pisélyban	23	3	-1.791759469228055	NA	NA	é	ban
pítend	pítend	hotelban/hotelben	nonce word response	pítendben	pítendban	25	3	-1.8718021769015913	NA	NA	e	ban
pítszik	pítßik	lakom/lakok	nonce word response	pítszok	pítszom	10	16	-0.4353180712578455	-szik	1	NA	NA
pivéd	pivéd	hotelban/hotelben	nonce word response	pivédben	pivédban	19	7	-0.9162907318741551	NA	NA	é	ban
pivegszik	pivegßik	lakom/lakok	nonce word response	pivegszek	pivegszem	8	20	-0.8472978603872037	-szik	2	NA	NA
plágadzik	plágadzik	lakom/lakok	nonce word response	plágadzok	plágadzom	10	16	-0.4353180712578455	-zik	2	NA	NA
plibzik / plibozik	plibzik / plibozik	cselekszenek/cselekednek	nonce word response	plibzotok	pliboztok	10	16	-0.4353180712578455	-zik	1	NA	tek
plövőrzik	plövőrzik	lakom/lakok	nonce word response	plövőrzök	plövőrzöm	14	12	0.14310084364067324	-zik	2	NA	NA
plűbzik	plűbzik	lakom/lakok	nonce word response	plűbzök	plűbzöm	17	9	0.5877866649021191	-zik	1	NA	NA
plugzik	plugzik	lakom/lakok	nonce word response	plugzok	plugzom	12	16	-0.2682639865946794	-zik	1	NA	NA
pörzik / pörözik	pörzik / pörözik	cselekszenek/cselekednek	nonce word response	pörzötök	pöröztök	11	15	-0.2876820724517809	-zik	1	NA	tek
poslik / posozik	poslik / posozik	cselekszenek/cselekednek	nonce word response	poslotok	posoztok	19	9	0.6931471805599453	-lik	1	NA	tek
pragánylik / pragányozik	pragá¥lik / pragá¥ozik	cselekszenek/cselekednek	nonce word response	pragánylotok	pragányoztok	13	13	0	-lik	2	NA	tek
praslik	praslik	lakom/lakok	nonce word response	praslok	praslom	23	5	1.3862943611198906	-lik	1	NA	NA
pratánylik	pratá¥lik	lakom/lakok	nonce word response	pratánylok	pratánylom	22	6	1.1895840668738364	-lik	2	NA	NA
prately	prate¬	hotelban/hotelben	nonce word response	pratelynek	pratelynak	22	6	-1.1895840668738364	NA	NA	e	nak
prazlik / prazozik	prazlik / prazozik	cselekszenek/cselekednek	nonce word response	prazlunk	prazozunk	12	16	-0.2682639865946794	-lik	1	NA	ünk
préleglik	préleglik	lakom/lakok	nonce word response	préleglek	préleglem	17	9	0.5877866649021191	-lik	2	NA	NA
prélemlik / prélemezik	prélemlik / prélemezik	cselekszenek/cselekednek	nonce word response	prélemlenek	prélemeznek	15	11	0.28768207245178085	-lik	2	NA	nek
prezlik	prezlik	lakom/lakok	nonce word response	prezlek	prezlem	19	7	0.9162907318741551	-lik	1	NA	NA
pribagszik	pribagßik	lakom/lakok	nonce word response	pribagszok	pribagszom	9	17	-0.587786664902119	-szik	2	NA	NA
pribemlik	pribemlik	lakom/lakok	nonce word response	pribemlek	pribemlem	25	3	1.8718021769015913	-lik	2	NA	NA
prihegszik / prihegedik	prihegßik / prihegedik	cselekszenek/cselekednek	nonce word response	prihegszenek	prihegednek	13	15	-0.13353139262452263	-szik	2	NA	nek
prihekszik	prihekßik	lakom/lakok	nonce word response	prihekszek	prihekszem	13	15	-0.13353139262452263	-szik	2	NA	NA
prilegzik	prilegzik	lakom/lakok	nonce word response	prilegzek	prilegzem	11	15	-0.2876820724517809	-zik	2	NA	NA
prilepszik / prilepedik	prilepßik / prilepedik	cselekszenek/cselekednek	nonce word response	prilepszünk	prilepedünk	20	8	0.8472978603872037	-szik	2	NA	ünk
prínylik	prí¥lik	lakom/lakok	nonce word response	prínylok	prínylom	17	9	0.5877866649021191	-lik	1	NA	NA
pristél	pristél	hotelban/hotelben	nonce word response	pristélben	pristélban	24	2	-2.120263536200091	NA	NA	é	ban
priszec	prißec	hotelban/hotelben	nonce word response	priszecben	priszecban	25	1	-2.5649493574615367	NA	NA	e	ban
priszkenc	prißkenc	hotelban/hotelben	nonce word response	priszkencnek	priszkencnak	24	2	-2.120263536200091	NA	NA	e	nak
privékszik / privékedik	privékßik / privékedik	cselekszenek/cselekednek	nonce word response	privékszenek	privékednek	13	13	0	-szik	2	NA	nek
prögzik / prögözik	prögzik / prögözik	cselekszenek/cselekednek	nonce word response	prögzötök	prögöztök	8	18	-0.7472144018302211	-zik	1	NA	tek
prohódzik	prohódzik	lakom/lakok	nonce word response	prohódzok	prohódzom	7	21	-1.0116009116784799	-zik	2	NA	NA
prugorzik / prugorozik	prugorzik / prugorozik	cselekszenek/cselekednek	nonce word response	prugorzotok	prugoroztok	8	18	-0.7472144018302211	-zik	2	NA	tek
prűrlik	prűrlik	lakom/lakok	nonce word response	prűrlök	prűrlöm	19	7	0.9162907318741551	-lik	1	NA	NA
pugoslik	pugoslik	lakom/lakok	nonce word response	pugoslok	pugoslom	20	6	1.0986122886681098	-lik	2	NA	NA
püzlik / püzözik	püzlik / püzözik	cselekszenek/cselekednek	nonce word response	püzlötök	püzöztök	13	13	0	-lik	1	NA	tek
rájzik	rájzik	lakom/lakok	nonce word response	rájzok	rájzom	13	13	0	-zik	1	NA	NA
rapszek	rapßek	hotelban/hotelben	nonce word response	rapszeknél	rapszeknál	22	6	-1.1895840668738364	NA	NA	e	nál
ribegszik / ribegedik	ribegßik / ribegedik	cselekszenek/cselekednek	nonce word response	ribegszetek	ribegedtek	11	15	-0.2876820724517809	-szik	2	NA	tek
ribegzik	ribegzik	lakom/lakok	nonce word response	ribegzek	ribegzem	13	15	-0.13353139262452263	-zik	2	NA	NA
ribzik	ribzik	lakom/lakok	nonce word response	ribzok	ribzom	10	18	-0.5465437063680699	-zik	1	NA	NA
riványlik / riványozik	rivá¥lik / rivá¥ozik	cselekszenek/cselekednek	nonce word response	riványlotok	riványoztok	13	13	0	-lik	2	NA	tek
rokszik	rokßik	lakom/lakok	nonce word response	rokszok	rokszom	11	15	-0.2876820724517809	-szik	1	NA	NA
ronszek	ronßek	hotelban/hotelben	nonce word response	ronszekben	ronszekban	20	6	-1.0986122886681098	NA	NA	e	ban
ronvet	ronvet	hotelban/hotelben	nonce word response	ronvetnek	ronvetnak	23	5	-1.3862943611198906	NA	NA	e	nak
ruslik	ruslik	lakom/lakok	nonce word response	ruslok	ruslom	20	8	0.8472978603872037	-lik	1	NA	NA
salárzik	salárzik	lakom/lakok	nonce word response	salárzok	salárzom	15	11	0.28768207245178085	-zik	2	NA	NA
sartely	sarte¬	hotelban/hotelben	nonce word response	sartelyben	sartelyban	17	9	-0.5877866649021191	NA	NA	e	ban
sihen	sihen	hotelban/hotelben	nonce word response	sihennél	sihennál	25	1	-2.5649493574615367	NA	NA	e	nál
siladzik	siladzik	lakom/lakok	nonce word response	siladzok	siladzom	10	16	-0.4353180712578455	-zik	2	NA	NA
sojzik	sojzik	lakom/lakok	nonce word response	sojzok	sojzom	10	18	-0.5465437063680699	-zik	1	NA	NA
sortem	sortem	hotelban/hotelben	nonce word response	sortemnél	sortemnál	24	4	-1.6094379124341003	NA	NA	e	nál
spábét	spábét	hotelban/hotelben	nonce word response	spábétben	spábétban	6	20	1.0986122886681098	NA	NA	é	ban
spalárzik / spalározik	spalárzik / spalározik	cselekszenek/cselekednek	nonce word response	spalárzanak	spalároznak	12	14	-0.1431008436406733	-zik	2	NA	nek
spanél	spanél	hotelban/hotelben	nonce word response	spanélnél	spanélnál	9	17	0.587786664902119	NA	NA	é	nál
spáraklik	spáraklik	lakom/lakok	nonce word response	spáraklok	spáraklom	17	11	0.4054651081081644	-lik	2	NA	NA
spatárzik	spatárzik	lakom/lakok	nonce word response	spatárzok	spatárzom	14	14	0	-zik	2	NA	NA
spatel	spatel	hotelban/hotelben	nonce word response	spatelnek	spatelnak	22	4	-1.5260563034950492	NA	NA	e	nak
spáten	spáten	hotelban/hotelben	nonce word response	spátennek	spátennak	19	9	-0.6931471805599453	NA	NA	e	nak
spatszik	spatßik	lakom/lakok	nonce word response	spatszok	spatszom	10	16	-0.4353180712578455	-szik	1	NA	NA
spélszik	spélßik	lakom/lakok	nonce word response	spélszek	spélszem	16	10	0.4353180712578455	-szik	1	NA	NA
spéslik	spéslik	lakom/lakok	nonce word response	spéslek	spéslem	20	6	1.0986122886681098	-lik	1	NA	NA
spibádzik	spibádzik	lakom/lakok	nonce word response	spibádzok	spibádzom	12	14	-0.1431008436406733	-zik	2	NA	NA
spibaklik	spibaklik	lakom/lakok	nonce word response	spibaklok	spibaklom	14	12	0.14310084364067324	-lik	2	NA	NA
spibamlik / spibamozik	spibamlik / spibamozik	cselekszenek/cselekednek	nonce word response	spibamlanak	spibamoznak	17	9	0.5877866649021191	-lik	2	NA	nek
spibeglik / spibegezik	spibeglik / spibegezik	cselekszenek/cselekednek	nonce word response	spibeglünk	spibegezünk	18	10	0.5465437063680699	-lik	2	NA	ünk
spicet	spicet	hotelban/hotelben	nonce word response	spicetnek	spicetnak	24	2	-2.120263536200091	NA	NA	e	nak
spiharzik / spiharozik	spiharzik / spiharozik	cselekszenek/cselekednek	nonce word response	spiharzotok	spiharoztok	10	18	-0.5465437063680699	-zik	2	NA	tek
spihegzik	spihegzik	lakom/lakok	nonce word response	spihegzek	spihegzem	14	14	0	-zik	2	NA	NA
spihemlik	spihemlik	lakom/lakok	nonce word response	spihemlek	spihemlem	24	2	2.120263536200091	-lik	2	NA	NA
spilágzik	spilágzik	lakom/lakok	nonce word response	spilágzok	spilágzom	7	19	-0.916290731874155	-zik	2	NA	NA
spiráglik / spirágozik	spiráglik / spirágozik	cselekszenek/cselekednek	nonce word response	spiráglotok	spirágoztok	11	15	-0.2876820724517809	-lik	2	NA	tek
spírzik	spírzik	lakom/lakok	nonce word response	spírzok	spírzom	13	13	0	-zik	1	NA	NA
spivejlik / spivejezik	spivejlik / spivejezik	cselekszenek/cselekednek	nonce word response	spivejlenek	spivejeznek	10	16	-0.4353180712578455	-lik	2	NA	nek
spivél	spivél	hotelban/hotelben	nonce word response	spivélnek	spivélnak	23	5	-1.3862943611198906	NA	NA	é	nak
spizec	spizec	hotelban/hotelben	nonce word response	spizecnek	spizecnak	25	3	-1.8718021769015913	NA	NA	e	nak
spöklik / spöközik	spöklik / spöközik	cselekszenek/cselekednek	nonce word response	spöklünk	spöközünk	18	10	0.5465437063680699	-lik	1	NA	ünk
sponylik / sponyozik	spo¥lik / spo¥ozik	cselekszenek/cselekednek	nonce word response	sponylanak	sponyoznak	19	9	0.6931471805599453	-lik	1	NA	nek
sporzem	sporzem	hotelban/hotelben	nonce word response	sporzemnek	sporzemnak	24	4	-1.6094379124341003	NA	NA	e	nak
sprálszik	sprálßik	lakom/lakok	nonce word response	sprálszok	sprálszom	11	15	-0.2876820724517809	-szik	1	NA	NA
sprebzik / sprebezik	sprebzik / sprebezik	cselekszenek/cselekednek	nonce word response	sprebzenek	sprebeznek	15	13	0.13353139262452257	-zik	1	NA	nek
sprédlik	sprédlik	lakom/lakok	nonce word response	sprédlek	sprédlem	24	2	2.120263536200091	-lik	1	NA	NA
sprigzik / sprigozik	sprigzik / sprigozik	cselekszenek/cselekednek	nonce word response	sprigzotok	sprigoztok	4	24	-1.6094379124341003	-zik	1	NA	tek
sprimlik / sprimozik	sprimlik / sprimozik	cselekszenek/cselekednek	nonce word response	sprimlunk	sprimozunk	14	12	0.14310084364067324	-lik	1	NA	ünk
sprivenc	sprivenc	hotelban/hotelben	nonce word response	sprivencnél	sprivencnál	23	3	-1.791759469228055	NA	NA	e	nál
sprízem	sprízem	hotelban/hotelben	nonce word response	sprízemnél	sprízemnál	25	3	-1.8718021769015913	NA	NA	e	nál
spröbzik	spröbzik	lakom/lakok	nonce word response	spröbzök	spröbzöm	15	11	0.28768207245178085	-zik	1	NA	NA
sprogzik	sprogzik	lakom/lakok	nonce word response	sprogzok	sprogzom	9	19	-0.6931471805599453	-zik	1	NA	NA
sprökszik	sprökßik	lakom/lakok	nonce word response	sprökszök	sprökszöm	11	15	-0.2876820724517809	-szik	1	NA	NA
sprozlik / sprozozik	sprozlik / sprozozik	cselekszenek/cselekednek	nonce word response	sprozlanak	sprozoznak	14	12	0.14310084364067324	-lik	1	NA	nek
sprudlik / sprudozik	sprudlik / sprudozik	cselekszenek/cselekednek	nonce word response	sprudlunk	sprudozunk	11	15	-0.2876820724517809	-lik	1	NA	ünk
sprűrlik / sprűrözik	sprűrlik / sprűrözik	cselekszenek/cselekednek	nonce word response	sprűrlenek	sprűröznek	15	13	0.13353139262452257	-lik	1	NA	nek
spubonylik	spubo¥lik	lakom/lakok	nonce word response	spubonylok	spubonylom	22	6	1.1895840668738364	-lik	2	NA	NA
spuborzik / spuborozik	spuborzik / spuborozik	cselekszenek/cselekednek	nonce word response	spuborzanak	spuboroznak	10	16	-0.4353180712578455	-zik	2	NA	nek
spügzik / spügözik	spügzik / spügözik	cselekszenek/cselekednek	nonce word response	spügzünk	spügözünk	18	10	0.5465437063680699	-zik	1	NA	ünk
spüjzik	spüjzik	lakom/lakok	nonce word response	spüjzök	spüjzöm	21	7	1.0116009116784799	-zik	1	NA	NA
spülöklik	spülöklik	lakom/lakok	nonce word response	spülöklök	spülöklöm	15	11	0.28768207245178085	-lik	2	NA	NA
spülőrzik	spülőrzik	lakom/lakok	nonce word response	spülőrzök	spülőrzöm	17	9	0.5877866649021191	-zik	2	NA	NA
spülűdzik	spülűdzik	lakom/lakok	nonce word response	spülűdzök	spülűdzöm	12	16	-0.2682639865946794	-zik	2	NA	NA
spumény	spumé¥	hotelban/hotelben	nonce word response	spuménynek	spuménynak	17	9	-0.5877866649021191	NA	NA	é	nak
spűmlik	spűmlik	lakom/lakok	nonce word response	spűmlök	spűmlöm	22	4	1.5260563034950492	-lik	1	NA	NA
spüszlik	spüßlik	lakom/lakok	nonce word response	spüszlök	spüszlöm	14	12	0.14310084364067324	-lik	1	NA	NA
sűjlik / sűjözik	sűjlik / sűjözik	cselekszenek/cselekednek	nonce word response	sűjlünk	sűjözünk	17	9	0.5877866649021191	-lik	1	NA	ünk
surnegy	surne©	hotelban/hotelben	nonce word response	surnegynél	surnegynál	17	9	-0.5877866649021191	NA	NA	e	nál
sűzlik	sűzlik	lakom/lakok	nonce word response	sűzlök	sűzlöm	14	12	0.14310084364067324	-lik	1	NA	NA
szanéj	ßanéj	hotelban/hotelben	nonce word response	szanéjnek	szanéjnak	13	15	0.13353139262452263	NA	NA	é	nak
szibánylik	ßibá¥lik	lakom/lakok	nonce word response	szibánylok	szibánylom	19	7	0.9162907318741551	-lik	2	NA	NA
szibed	ßibed	hotelban/hotelben	nonce word response	szibedben	szibedban	24	2	-2.120263536200091	NA	NA	e	ban
szihét	ßihét	hotelban/hotelben	nonce word response	szihétnek	szihétnak	24	2	-2.120263536200091	NA	NA	é	nak
szirlik	ßirlik	lakom/lakok	nonce word response	szirlok	szirlom	19	9	0.6931471805599453	-lik	1	NA	NA
sztrajlik / sztrajozik	ßtrajlik / ßtrajozik	cselekszenek/cselekednek	nonce word response	sztrajlanak	sztrajoznak	17	9	0.5877866649021191	-lik	1	NA	nek
sztredlik / sztredezik	ßtredlik / ßtredezik	cselekszenek/cselekednek	nonce word response	sztredletek	sztredeztek	15	11	0.28768207245178085	-lik	1	NA	tek
sztremlik	ßtremlik	lakom/lakok	nonce word response	sztremlek	sztremlem	21	5	1.2992829841302609	-lik	1	NA	NA
