word	category	variation	szo
értekezik	tilt_freq1	lakok/lakom	értekezik
türelmetlenkedik	tilt_freq1	lakok/lakom	türelmetlenkedik
lepődik	tilt_freq1	lakok/lakom	lepődik
hintázik	tilt_freq1	lakok/lakom	hintázik
olvadozik	tilt_freq1	lakok/lakom	olvadozik
rendezkedik	tilt_freq1	lakok/lakom	rendezkedik
forgolódik	tilt_freq1	lakok/lakom	forgolódik
kosarazik	tilt_freq1	lakok/lakom	kosarazik
túlórázik	tilt_freq1	lakok/lakom	túlórázik
kutakodik	tilt_freq1	lakok/lakom	kutakodik
ßeretkezik	tilt_freq1	lakok/lakom	szeretkezik
bohóckodik	tilt_freq1	lakok/lakom	bohóckodik
ßökik	tilt_freq1	lakok/lakom	szökik
feldobódik	tilt_freq1	lakok/lakom	feldobódik
ßerződik	tilt_freq1	lakok/lakom	szerződik
ßabá¬talankodik	tilt_freq1	lakok/lakom	szabálytalankodik
kerékpározik	tilt_freq1	lakok/lakom	kerékpározik
harmonikázik	tilt_freq1	lakok/lakom	harmonikázik
ellenkezik	tilt_freq1	lakok/lakom	ellenkezik
játßódik	tilt_freq1	lakok/lakom	játszódik
engedelmeskedik	tilt_freq1	lakok/lakom	engedelmeskedik
bűvéßkedik	tilt_freq1	lakok/lakom	bűvészkedik
perlekedik	tilt_freq1	lakok/lakom	perlekedik
fo©ókúrázik	tilt_freq1	lakok/lakom	fogyókúrázik
ßaporodik	tilt_freq1	lakok/lakom	szaporodik
çalódik	tilt_freq1	lakok/lakom	csalódik
pompázik	tilt_freq1	lakok/lakom	pompázik
hangoskodik	tilt_freq1	lakok/lakom	hangoskodik
ü©etlenkedik	tilt_freq1	lakok/lakom	ügyetlenkedik
költekezik	tilt_freq1	lakok/lakom	költekezik
küßködik	tilt_freq1	lakok/lakom	küszködik
kapálódzik	tilt_freq1	lakok/lakom	kapálódzik
kézimunkázik	tilt_freq1	lakok/lakom	kézimunkázik
informálódik	tilt_freq1	lakok/lakom	informálódik
vágódik	tilt_freq1	lakok/lakom	vágódik
ü©eskedik	tilt_freq1	lakok/lakom	ügyeskedik
hajózik	tilt_freq1	lakok/lakom	hajózik
fejlődik	tilt_freq1	lakok/lakom	fejlődik
ßomorodik	tilt_freq1	lakok/lakom	szomorodik
regenerálódik	tilt_freq1	lakok/lakom	regenerálódik
autókázik	tilt_freq1	lakok/lakom	autókázik
harangozik	tilt_freq1	lakok/lakom	harangozik
tökölődik	tilt_freq1	lakok/lakom	tökölődik
ßáguldozik	tilt_freq1	lakok/lakom	száguldozik
réßesedik	tilt_freq1	lakok/lakom	részesedik
tántorodik	tilt_freq1	lakok/lakom	tántorodik
alaço¥odik	tilt_freq1	lakok/lakom	alacsonyodik
ta¥ázik	tilt_freq1	lakok/lakom	tanyázik
haldoklik	tilt_freq1	lakok/lakom	haldoklik
hitetlenkedik	tilt_freq1	lakok/lakom	hitetlenkedik
kerekedik	tilt_freq1	lakok/lakom	kerekedik
¥áladzik	tilt_freq1	lakok/lakom	nyáladzik
çapódik	tilt_freq1	lakok/lakom	csapódik
vetemedik	tilt_freq1	lakok/lakom	vetemedik
ökörködik	tilt_freq1	lakok/lakom	ökörködik
verejtékezik	tilt_freq1	lakok/lakom	verejtékezik
nekiveselkedik	tilt_freq1	lakok/lakom	nekiveselkedik
bakizik	tilt_freq1	lakok/lakom	bakizik
bújóçkázik	tilt_freq1	lakok/lakom	bújócskázik
mentegetőzik	tilt_freq1	lakok/lakom	mentegetőzik
pingpongozik	tilt_freq1	lakok/lakom	pingpongozik
kávézik	tilt_freq1	lakok/lakom	kávézik
gú¥olódik	tilt_freq1	lakok/lakom	gúnyolódik
lélegzik	tilt_freq1	lakok/lakom	lélegzik
kár†ázik	tilt_freq1	lakok/lakom	kártyázik
kereskedik	tilt_freq1	lakok/lakom	kereskedik
fa¥alodik	tilt_freq1	lakok/lakom	fanyalodik
poénkodik	tilt_freq1	lakok/lakom	poénkodik
terpeßkedik	tilt_freq1	lakok/lakom	terpeszkedik
furu¬ázik	tilt_freq1	lakok/lakom	furulyázik
hatódik	tilt_freq1	lakok/lakom	hatódik
levegőzik	tilt_freq1	lakok/lakom	levegőzik
ejtőzik	tilt_freq1	lakok/lakom	ejtőzik
pereskedik	tilt_freq1	lakok/lakom	pereskedik
pipázik	tilt_freq1	lakok/lakom	pipázik
kérkedik	tilt_freq1	lakok/lakom	kérkedik
éhezik	tilt_freq1	lakok/lakom	éhezik
elégedetlenkedik	tilt_freq1	lakok/lakom	elégedetlenkedik
vélekedik	tilt_freq1	lakok/lakom	vélekedik
háborodik	tilt_freq1	lakok/lakom	háborodik
hízik	tilt_freq1	lakok/lakom	hízik
értetlenkedik	tilt_freq1	lakok/lakom	értetlenkedik
Ωírosodik	tilt_freq1	lakok/lakom	zsírosodik
morfondírozik	tilt_freq1	lakok/lakom	morfondírozik
művéßkedik	tilt_freq1	lakok/lakom	művészkedik
kínlódik	tilt_freq1	lakok/lakom	kínlódik
pá¬ázik	tilt_freq1	lakok/lakom	pályázik
húzódzkodik	tilt_freq1	lakok/lakom	húzódzkodik
taktikázik	tilt_freq1	lakok/lakom	taktikázik
ordítozik	tilt_freq1	lakok/lakom	ordítozik
kekeckedik	tilt_freq1	lakok/lakom	kekeckedik
veselkedik	tilt_freq1	lakok/lakom	veselkedik
időzik	tilt_freq1	lakok/lakom	időzik
közeledik	tilt_freq1	lakok/lakom	közeledik
tempózik	tilt_freq1	lakok/lakom	tempózik
vitorlázik	tilt_freq1	lakok/lakom	vitorlázik
çúßik	tilt_freq1	lakok/lakom	csúszik
pofátlankodik	tilt_freq1	lakok/lakom	pofátlankodik
rohangáßik	tilt_freq1	lakok/lakom	rohangászik
oldódik	tilt_freq1	lakok/lakom	oldódik
kotoráßik	tilt_freq1	lakok/lakom	kotorászik
teljesedik	tilt_freq1	lakok/lakom	teljesedik
çavarodik	tilt_freq1	lakok/lakom	csavarodik
idegeskedik	tilt_freq1	lakok/lakom	idegeskedik
kerekezik	tilt_freq1	lakok/lakom	kerekezik
vetkőzik	tilt_freq1	lakok/lakom	vetkőzik
karikázik	tilt_freq1	lakok/lakom	karikázik
káßálódik	tilt_freq1	lakok/lakom	kászálódik
mélázik	tilt_freq1	lakok/lakom	mélázik
morgolódik	tilt_freq1	lakok/lakom	morgolódik
törölközik	tilt_freq1	lakok/lakom	törölközik
ßivarozik	tilt_freq1	lakok/lakom	szivarozik
hibázik	tilt_freq1	lakok/lakom	hibázik
ele©edik	tilt_freq1	lakok/lakom	elegyedik
ßerençétlenkedik	tilt_freq1	lakok/lakom	szerencsétlenkedik
káromkodik	tilt_freq1	lakok/lakom	káromkodik
hazudozik	tilt_freq1	lakok/lakom	hazudozik
kedveskedik	tilt_freq1	lakok/lakom	kedveskedik
táborozik	tilt_freq1	lakok/lakom	táborozik
élősködik	tilt_freq1	lakok/lakom	élősködik
ßarakodik	tilt_freq1	lakok/lakom	szarakodik
bujdosik	tilt_freq1	lakok/lakom	bujdosik
futamodik	tilt_freq1	lakok/lakom	futamodik
nedvesedik	tilt_freq1	lakok/lakom	nedvesedik
çuklik	tilt_freq1	lakok/lakom	csuklik
háborúzik	tilt_freq1	lakok/lakom	háborúzik
futkározik	tilt_freq1	lakok/lakom	futkározik
koçikázik	tilt_freq1	lakok/lakom	kocsikázik
cipekedik	tilt_freq1	lakok/lakom	cipekedik
e©ezik	tilt_freq1	lakok/lakom	egyezik
kezdődik	tilt_freq1	lakok/lakom	kezdődik
elmélázik	tilt_freq1	lakok/lakom	elmélázik
napozik	tilt_freq1	lakok/lakom	napozik
sütkérezik	tilt_freq1	lakok/lakom	sütkérezik
haverkodik	tilt_freq1	lakok/lakom	haverkodik
ébredezik	tilt_freq1	lakok/lakom	ébredezik
jóllakik	tilt_freq1	lakok/lakom	jóllakik
érdeklődik	tilt_freq1	lakok/lakom	érdeklődik
vizesedik	tilt_freq1	lakok/lakom	vizesedik
lelkendezik	tilt_freq1	lakok/lakom	lelkendezik
aßik	tilt_freq1	lakok/lakom	aszik
kön¥ezik	tilt_freq1	lakok/lakom	könnyezik
kétségbeesik	tilt_freq1	lakok/lakom	kétségbeesik
ßemé¬eskedik	tilt_freq1	lakok/lakom	személyeskedik
botlik	tilt_freq1	lakok/lakom	botlik
©őzködik	tilt_freq1	lakok/lakom	győzködik
tenißezik	tilt_freq1	lakok/lakom	teniszezik
féltéke¥kedik	tilt_freq1	lakok/lakom	féltékenykedik
örvendezik	tilt_freq1	lakok/lakom	örvendezik
hü¬éskedik	tilt_freq1	lakok/lakom	hülyéskedik
emlékezik	tilt_freq1	lakok/lakom	emlékezik
tartozik	tilt_freq1	lakok/lakom	tartozik
történik	cvcik	cselekszenek/cselekednek	történik
működik	cvcik	cselekszenek/cselekednek	működik
tűnik	cvcik	cselekszenek/cselekednek	tűnik
tartozik	cvcik	cselekszenek/cselekednek	tartozik
válik	cvcik	cselekszenek/cselekednek	válik
látßik	ccik	cselekszenek/cselekednek	látszik
létezik	cvcik	cselekszenek/cselekednek	létezik
dolgozik	cvcik	cselekszenek/cselekednek	dolgozik
tetßik	ccik	cselekszenek/cselekednek	tetszik
kezdődik	cvcik	cselekszenek/cselekednek	kezdődik
érkezik	cvcik	cselekszenek/cselekednek	érkezik
jelenik	cvcik	cselekszenek/cselekednek	jelenik
játßik	ccik	cselekszenek/cselekednek	játszik
változik	cvcik	cselekszenek/cselekednek	változik
¥ílik	cvcik	cselekszenek/cselekednek	nyílik
fo¬ik	cvcik	cselekszenek/cselekednek	folyik
ßármazik	cvcik	cselekszenek/cselekednek	származik
múlik	cvcik	cselekszenek/cselekednek	múlik
emelkedik	cvcik	cselekszenek/cselekednek	emelkedik
ßületik	cvcik	cselekszenek/cselekednek	születik
rejlik	ccik	cselekszenek/cselekednek	rejlik
adódik	cvcik	cselekszenek/cselekednek	adódik
lakik	cvcik	cselekszenek/cselekednek	lakik
vá©ik	cvcik	cselekszenek/cselekednek	vágyik
fejlődik	cvcik	cselekszenek/cselekednek	fejlődik
telik	cvcik	cselekszenek/cselekednek	telik
játßódik	cvcik	cselekszenek/cselekednek	játszódik
kötődik	cvcik	cselekszenek/cselekednek	kötődik
utazik	cvcik	cselekszenek/cselekednek	utazik
fűződik	cvcik	cselekszenek/cselekednek	fűződik
bízik	cvcik	cselekszenek/cselekednek	bízik
húzódik	cvcik	cselekszenek/cselekednek	húzódik
távozik	cvcik	cselekszenek/cselekednek	távozik
közeledik	cvcik	cselekszenek/cselekednek	közeledik
ütközik	cvcik	cselekszenek/cselekednek	ütközik
¥úlik	cvcik	cselekszenek/cselekednek	nyúlik
e©ezik	cvcik	cselekszenek/cselekednek	egyezik
uralkodik	cvcik	cselekszenek/cselekednek	uralkodik
ßűnik	cvcik	cselekszenek/cselekednek	szűnik
erősödik	cvcik	cselekszenek/cselekednek	erősödik
alapßik	ccik	cselekszenek/cselekednek	alapszik
fokozódik	cvcik	cselekszenek/cselekednek	fokozódik
çúßik	cvcik	cselekszenek/cselekednek	csúszik
igazodik	cvcik	cselekszenek/cselekednek	igazodik
keveredik	cvcik	cselekszenek/cselekednek	keveredik
érződik	cvcik	cselekszenek/cselekednek	érződik
veßik	cvcik	cselekszenek/cselekednek	veszik
ígérkezik	cvcik	cselekszenek/cselekednek	ígérkezik
hazudik	cvcik	cselekszenek/cselekednek	hazudik
végződik	cvcik	cselekszenek/cselekednek	végződik
késik	cvcik	cselekszenek/cselekednek	késik
törődik	cvcik	cselekszenek/cselekednek	törődik
aggódik	cvcik	cselekszenek/cselekednek	aggódik
oldódik	cvcik	cselekszenek/cselekednek	oldódik
fejeződik	cvcik	cselekszenek/cselekednek	fejeződik
bújik	cvcik	cselekszenek/cselekednek	bújik
képződik	cvcik	cselekszenek/cselekednek	képződik
árulkodik	cvcik	cselekszenek/cselekednek	árulkodik
bánik	cvcik	cselekszenek/cselekednek	bánik
tevődik	cvcik	cselekszenek/cselekednek	tevődik
rejtőzik	cvcik	cselekszenek/cselekednek	rejtőzik
bukik	cvcik	cselekszenek/cselekednek	bukik
jólesik	cvcik	cselekszenek/cselekednek	jólesik
adatik	cvcik	cselekszenek/cselekednek	adatik
hajlik	ccik	cselekszenek/cselekednek	hajlik
vélekedik	cvcik	cselekszenek/cselekednek	vélekedik
©űlik	cvcik	cselekszenek/cselekednek	gyűlik
rémlik	ccik	cselekszenek/cselekednek	rémlik
lakozik	cvcik	cselekszenek/cselekednek	lakozik
álmodik	cvcik	cselekszenek/cselekednek	álmodik
ßívódik	cvcik	cselekszenek/cselekednek	szívódik
pá¬ázik	cvcik	cselekszenek/cselekednek	pályázik
nehezedik	cvcik	cselekszenek/cselekednek	nehezedik
imádkozik	cvcik	cselekszenek/cselekednek	imádkozik
íródik	cvcik	cselekszenek/cselekednek	íródik
búçúzik	cvcik	cselekszenek/cselekednek	búcsúzik
hibázik	cvcik	cselekszenek/cselekednek	hibázik
máßik	cvcik	cselekszenek/cselekednek	mászik
költözik	cvcik	cselekszenek/cselekednek	költözik
törlődik	cvcik	cselekszenek/cselekednek	törlődik
oßtozik	cvcik	cselekszenek/cselekednek	osztozik
kopik	cvcik	cselekszenek/cselekednek	kopik
védekezik	cvcik	cselekszenek/cselekednek	védekezik
építkezik	cvcik	cselekszenek/cselekednek	építkezik
öregßik	ccik	cselekszenek/cselekednek	öregszik
esküßik	cvcik	cselekszenek/cselekednek	esküszik
küßködik	cvcik	cselekszenek/cselekednek	küszködik
törik	cvcik	cselekszenek/cselekednek	törik
ingadozik	cvcik	cselekszenek/cselekednek	ingadozik
tolódik	cvcik	cselekszenek/cselekednek	tolódik
kerekedik	cvcik	cselekszenek/cselekednek	kerekedik
várakozik	cvcik	cselekszenek/cselekednek	várakozik
töltődik	cvcik	cselekszenek/cselekednek	töltődik
çapódik	cvcik	cselekszenek/cselekednek	csapódik
záródik	cvcik	cselekszenek/cselekednek	záródik
vadáßik	cvcik	cselekszenek/cselekednek	vadászik
vonzódik	cvcik	cselekszenek/cselekednek	vonzódik
vetődik	cvcik	cselekszenek/cselekednek	vetődik
pompázik	cvcik	cselekszenek/cselekednek	pompázik
éhezik	cvcik	cselekszenek/cselekednek	éhezik
fázik	cvcik	cselekszenek/cselekednek	fázik
kúßik	cvcik	cselekszenek/cselekednek	kúszik
adózik	cvcik	cselekszenek/cselekednek	adózik
károsodik	cvcik	cselekszenek/cselekednek	károsodik
ßökik	cvcik	cselekszenek/cselekednek	szökik
akadozik	cvcik	cselekszenek/cselekednek	akadozik
sodródik	cvcik	cselekszenek/cselekednek	sodródik
tagolódik	cvcik	cselekszenek/cselekednek	tagolódik
sorakozik	cvcik	cselekszenek/cselekednek	sorakozik
unatkozik	cvcik	cselekszenek/cselekednek	unatkozik
távolodik	cvcik	cselekszenek/cselekednek	távolodik
fáradozik	cvcik	cselekszenek/cselekednek	fáradozik
izzik	ccik	cselekszenek/cselekednek	izzik
avatkozik	cvcik	cselekszenek/cselekednek	avatkozik
hízik	cvcik	cselekszenek/cselekednek	hízik
álmodozik	cvcik	cselekszenek/cselekednek	álmodozik
rakódik	cvcik	cselekszenek/cselekednek	rakódik
ülésezik	cvcik	cselekszenek/cselekednek	ülésezik
turnézik	cvcik	cselekszenek/cselekednek	turnézik
bűzlik	ccik	cselekszenek/cselekednek	bűzlik
sűrűsödik	cvcik	cselekszenek/cselekednek	sűrűsödik
öröklődik	cvcik	cselekszenek/cselekednek	öröklődik
tárolódik	cvcik	cselekszenek/cselekednek	tárolódik
sötétedik	cvcik	cselekszenek/cselekednek	sötétedik
porosodik	cvcik	cselekszenek/cselekednek	porosodik
fonódik	cvcik	cselekszenek/cselekednek	fonódik
vergődik	cvcik	cselekszenek/cselekednek	vergődik
ítélkezik	cvcik	cselekszenek/cselekednek	ítélkezik
zárkózik	cvcik	cselekszenek/cselekednek	zárkózik
ötvöződik	cvcik	cselekszenek/cselekednek	ötvöződik
havazik	cvcik	cselekszenek/cselekednek	havazik
ta¥ázik	cvcik	cselekszenek/cselekednek	tanyázik
ßopik	cvcik	cselekszenek/cselekednek	szopik
értetődik	cvcik	cselekszenek/cselekednek	értetődik
ßegődik	cvcik	cselekszenek/cselekednek	szegődik
birkózik	cvcik	cselekszenek/cselekednek	birkózik
dívik	cvcik	cselekszenek/cselekednek	dívik
étkezik	cvcik	cselekszenek/cselekednek	étkezik
ßarik	cvcik	cselekszenek/cselekednek	szarik
értekezik	cvcik	cselekszenek/cselekednek	értekezik
terelődik	cvcik	cselekszenek/cselekednek	terelődik
ha¥atlik	ccik	cselekszenek/cselekednek	hanyatlik
ágazik	cvcik	cselekszenek/cselekednek	ágazik
felsejlik	ccik	cselekszenek/cselekednek	felsejlik
ismerßik	ccik	cselekszenek/cselekednek	ismerszik
tetőzik	cvcik	cselekszenek/cselekednek	tetőzik
gitározik	cvcik	cselekszenek/cselekednek	gitározik
őrködik	cvcik	cselekszenek/cselekednek	őrködik
çalódik	cvcik	cselekszenek/cselekednek	csalódik
ßerződik	cvcik	cselekszenek/cselekednek	szerződik
ßomjazik	cvcik	cselekszenek/cselekednek	szomjazik
kamatozik	cvcik	cselekszenek/cselekednek	kamatozik
lepődik	cvcik	cselekszenek/cselekednek	lepődik
ingázik	cvcik	cselekszenek/cselekednek	ingázik
ßövődik	cvcik	cselekszenek/cselekednek	szövődik
időzik	cvcik	cselekszenek/cselekednek	időzik
hißtizik	cvcik	cselekszenek/cselekednek	hisztizik
focizik	cvcik	cselekszenek/cselekednek	focizik
vétkezik	cvcik	cselekszenek/cselekednek	vétkezik
bajlódik	cvcik	cselekszenek/cselekednek	bajlódik
érlelődik	cvcik	cselekszenek/cselekednek	érlelődik
élesedik	cvcik	cselekszenek/cselekednek	élesedik
mérkőzik	cvcik	cselekszenek/cselekednek	mérkőzik
irtózik	cvcik	cselekszenek/cselekednek	irtózik
erőlködik	cvcik	cselekszenek/cselekednek	erőlködik
telítődik	cvcik	cselekszenek/cselekednek	telítődik
viΩgázik	cvcik	cselekszenek/cselekednek	vizsgázik
állapodik	cvcik	cselekszenek/cselekednek	állapodik
vitázik	cvcik	cselekszenek/cselekednek	vitázik
ßűrődik	cvcik	cselekszenek/cselekednek	szűrődik
tojik	cvcik	cselekszenek/cselekednek	tojik
nézelődik	cvcik	cselekszenek/cselekednek	nézelődik
iratkozik	cvcik	cselekszenek/cselekednek	iratkozik
sejlik	ccik	cselekszenek/cselekednek	sejlik
ßóródik	cvcik	cselekszenek/cselekednek	szóródik
te¥éßik	cvcik	cselekszenek/cselekednek	tenyészik
ódzkodik	cvcik	cselekszenek/cselekednek	ódzkodik
autózik	cvcik	cselekszenek/cselekednek	autózik
betegßik	ccik	cselekszenek/cselekednek	betegszik
öltözik	cvcik	cselekszenek/cselekednek	öltözik
okoskodik	cvcik	cselekszenek/cselekednek	okoskodik
ßikrázik	cvcik	cselekszenek/cselekednek	szikrázik
akarózik	cvcik	cselekszenek/cselekednek	akarózik
tagozódik	cvcik	cselekszenek/cselekednek	tagozódik
vonakodik	cvcik	cselekszenek/cselekednek	vonakodik
házasodik	cvcik	cselekszenek/cselekednek	házasodik
vá©ódik	cvcik	cselekszenek/cselekednek	vágyódik
datálódik	cvcik	cselekszenek/cselekednek	datálódik
ele©edik	cvcik	cselekszenek/cselekednek	elegyedik
vetkezik	cvcik	cselekszenek/cselekednek	vetkezik
verődik	cvcik	cselekszenek/cselekednek	verődik
ßokik	cvcik	cselekszenek/cselekednek	szokik
ü©ködik	cvcik	cselekszenek/cselekednek	ügyködik
kínlódik	cvcik	cselekszenek/cselekednek	kínlódik
vetemedik	cvcik	cselekszenek/cselekednek	vetemedik
baßik	cvcik	cselekszenek/cselekednek	baszik
böngéßik	cvcik	cselekszenek/cselekednek	böngészik
kérkedik	cvcik	cselekszenek/cselekednek	kérkedik
lábadozik	cvcik	cselekszenek/cselekednek	lábadozik
ará¥lik	ccik	cselekszenek/cselekednek	aránylik
lobbizik	cvcik	cselekszenek/cselekednek	lobbizik
horgáßik	cvcik	cselekszenek/cselekednek	horgászik
viaskodik	cvcik	cselekszenek/cselekednek	viaskodik
tekeredik	cvcik	cselekszenek/cselekednek	tekeredik
oßtódik	cvcik	cselekszenek/cselekednek	osztódik
tobzódik	cvcik	cselekszenek/cselekednek	tobzódik
rejtezik	cvcik	cselekszenek/cselekednek	rejtezik
hadakozik	cvcik	cselekszenek/cselekednek	hadakozik
cikázik	cvcik	cselekszenek/cselekednek	cikázik
hajózik	cvcik	cselekszenek/cselekednek	hajózik
ólálkodik	cvcik	cselekszenek/cselekednek	ólálkodik
tengődik	cvcik	cselekszenek/cselekednek	tengődik
ékelődik	cvcik	cselekszenek/cselekednek	ékelődik
élősködik	cvcik	cselekszenek/cselekednek	élősködik
hazudozik	cvcik	cselekszenek/cselekednek	hazudozik
illatozik	cvcik	cselekszenek/cselekednek	illatozik
tűnődik	cvcik	cselekszenek/cselekednek	tűnődik
kön¥ezik	cvcik	cselekszenek/cselekednek	könnyezik
çukódik	cvcik	cselekszenek/cselekednek	csukódik
©űrődik	cvcik	cselekszenek/cselekednek	gyűrődik
çírázik	cvcik	cselekszenek/cselekednek	csírázik
sértődik	cvcik	cselekszenek/cselekednek	sértődik
áhítozik	cvcik	cselekszenek/cselekednek	áhítozik
rágódik	cvcik	cselekszenek/cselekednek	rágódik
motorozik	cvcik	cselekszenek/cselekednek	motorozik
meghajlik	ccik	cselekszenek/cselekednek	meghajlik
undorodik	cvcik	cselekszenek/cselekednek	undorodik
rugózik	cvcik	cselekszenek/cselekednek	rugózik
çatázik	cvcik	cselekszenek/cselekednek	csatázik
iparkodik	cvcik	cselekszenek/cselekednek	iparkodik
kí©ózik	cvcik	cselekszenek/cselekednek	kígyózik
bókláßik	cvcik	cselekszenek/cselekednek	bóklászik
á©azódik	cvcik	cselekszenek/cselekednek	ágyazódik
diétázik	cvcik	cselekszenek/cselekednek	diétázik
őrlődik	cvcik	cselekszenek/cselekednek	őrlődik
jóllakik	cvcik	cselekszenek/cselekednek	jóllakik
díßlik	ccik	cselekszenek/cselekednek	díszlik
bizakodik	cvcik	cselekszenek/cselekednek	bizakodik
¥omódik	cvcik	cselekszenek/cselekednek	nyomódik
randizik	cvcik	cselekszenek/cselekednek	randizik
kenődik	cvcik	cselekszenek/cselekednek	kenődik
¥újtózik	cvcik	cselekszenek/cselekednek	nyújtózik
mosódik	cvcik	cselekszenek/cselekednek	mosódik
fűlik	cvcik	cselekszenek/cselekednek	fűlik
kávézik	cvcik	cselekszenek/cselekednek	kávézik
búvik	cvcik	cselekszenek/cselekednek	búvik
esteledik	cvcik	cselekszenek/cselekednek	esteledik
sikeredik	cvcik	cselekszenek/cselekednek	sikeredik
cigizik	cvcik	cselekszenek/cselekednek	cigizik
rázkódik	cvcik	cselekszenek/cselekednek	rázkódik
alkudik	cvcik	cselekszenek/cselekednek	alkudik
vetkőzik	cvcik	cselekszenek/cselekednek	vetkőzik
pofázik	cvcik	cselekszenek/cselekednek	pofázik
ékeskedik	cvcik	cselekszenek/cselekednek	ékeskedik
nemesedik	cvcik	cselekszenek/cselekednek	nemesedik
túrázik	cvcik	cselekszenek/cselekednek	túrázik
hibásodik	cvcik	cselekszenek/cselekednek	hibásodik
jógázik	cvcik	cselekszenek/cselekednek	jógázik
ßellőzik	cvcik	cselekszenek/cselekednek	szellőzik
fotózik	cvcik	cselekszenek/cselekednek	fotózik
té¥kedik	cvcik	cselekszenek/cselekednek	ténykedik
áradozik	cvcik	cselekszenek/cselekednek	áradozik
bánkódik	cvcik	cselekszenek/cselekednek	bánkódik
adakozik	cvcik	cselekszenek/cselekednek	adakozik
tornázik	cvcik	cselekszenek/cselekednek	tornázik
vívódik	cvcik	cselekszenek/cselekednek	vívódik
fehérlik	ccik	cselekszenek/cselekednek	fehérlik
kémkedik	cvcik	cselekszenek/cselekednek	kémkedik
káprázik	cvcik	cselekszenek/cselekednek	káprázik
finomodik	cvcik	cselekszenek/cselekednek	finomodik
dobálózik	cvcik	cselekszenek/cselekednek	dobálózik
kutakodik	cvcik	cselekszenek/cselekednek	kutakodik
hajtódik	cvcik	cselekszenek/cselekednek	hajtódik
melózik	cvcik	cselekszenek/cselekednek	melózik
©ötrődik	cvcik	cselekszenek/cselekednek	gyötrődik
tétovázik	cvcik	cselekszenek/cselekednek	tétovázik
párolódik	cvcik	cselekszenek/cselekednek	párolódik
ágaskodik	cvcik	cselekszenek/cselekednek	ágaskodik
elhajlik	ccik	cselekszenek/cselekednek	elhajlik
napozik	cvcik	cselekszenek/cselekednek	napozik
kallódik	cvcik	cselekszenek/cselekednek	kallódik
©őződik	cvcik	cselekszenek/cselekednek	győződik
vágódik	cvcik	cselekszenek/cselekednek	vágódik
bűnhődik	cvcik	cselekszenek/cselekednek	bűnhődik
sakkozik	cvcik	cselekszenek/cselekednek	sakkozik
alkudozik	cvcik	cselekszenek/cselekednek	alkudozik
idősödik	cvcik	cselekszenek/cselekednek	idősödik
hintázik	cvcik	cselekszenek/cselekednek	hintázik
ébredezik	cvcik	cselekszenek/cselekednek	ébredezik
torlódik	cvcik	cselekszenek/cselekednek	torlódik
furikázik	cvcik	cselekszenek/cselekednek	furikázik
háborúzik	cvcik	cselekszenek/cselekednek	háborúzik
paráΩlik	ccik	cselekszenek/cselekednek	parázslik
parádézik	cvcik	cselekszenek/cselekednek	parádézik
fúródik	cvcik	cselekszenek/cselekednek	fúródik
avasodik	cvcik	cselekszenek/cselekednek	avasodik
haláßik	cvcik	cselekszenek/cselekednek	halászik
vajúdik	cvcik	cselekszenek/cselekednek	vajúdik
döglődik	cvcik	cselekszenek/cselekednek	döglődik
fehéredik	cvcik	cselekszenek/cselekednek	fehéredik
kiérződik	cvcik	cselekszenek/cselekednek	kiérződik
¥elődik	cvcik	cselekszenek/cselekednek	nyelődik
e¥éßik	cvcik	cselekszenek/cselekednek	enyészik
sí¥lődik	cvcik	cselekszenek/cselekednek	sínylődik
táborozik	cvcik	cselekszenek/cselekednek	táborozik
erősködik	cvcik	cselekszenek/cselekednek	erősködik
háborodik	cvcik	cselekszenek/cselekednek	háborodik
férkőzik	cvcik	cselekszenek/cselekednek	férkőzik
vakarózik	cvcik	cselekszenek/cselekednek	vakarózik
vizesedik	cvcik	cselekszenek/cselekednek	vizesedik
bíbelődik	cvcik	cselekszenek/cselekednek	bíbelődik
örvé¥lik	ccik	cselekszenek/cselekednek	örvénylik
bénázik	cvcik	cselekszenek/cselekednek	bénázik
piroslik	ccik	cselekszenek/cselekednek	piroslik
porlik	ccik	cselekszenek/cselekednek	porlik
merevedik	cvcik	cselekszenek/cselekednek	merevedik
falatozik	cvcik	cselekszenek/cselekednek	falatozik
kamuzik	cvcik	cselekszenek/cselekednek	kamuzik
kár†ázik	cvcik	cselekszenek/cselekednek	kártyázik
túlórázik	cvcik	cselekszenek/cselekednek	túlórázik
parázik	cvcik	cselekszenek/cselekednek	parázik
pirosodik	cvcik	cselekszenek/cselekednek	pirosodik
óvakodik	cvcik	cselekszenek/cselekednek	óvakodik
párásodik	cvcik	cselekszenek/cselekednek	párásodik
ölelkezik	cvcik	cselekszenek/cselekednek	ölelkezik
ivódik	cvcik	cselekszenek/cselekednek	ivódik
omladozik	cvcik	cselekszenek/cselekednek	omladozik
állítódik	cvcik	cselekszenek/cselekednek	állítódik
cikkezik	cvcik	cselekszenek/cselekednek	cikkezik
éleződik	cvcik	cselekszenek/cselekednek	éleződik
vágtázik	cvcik	cselekszenek/cselekednek	vágtázik
poénkodik	cvcik	cselekszenek/cselekednek	poénkodik
tévézik	cvcik	cselekszenek/cselekednek	tévézik
okosodik	cvcik	cselekszenek/cselekednek	okosodik
morajlik	ccik	cselekszenek/cselekednek	morajlik
çajozik	cvcik	cselekszenek/cselekednek	csajozik
