cc	gcm_weight	word	cvc	nsyl	ending1	suffix2	linking_vowel	suffix1	gcm_decile
fopszik	0.8995339962695892		fopodik	1	odik	szik	o	dik	9
tíkvomlik	0.9380615070598833		tíkvomolik	2	olik	lik	o	lik	10
tóporugrik	0.9455222543937226		tóporugorik	3	orik	rik	o	rik	10
sekümömlik	0.9371911333242278		sekümömölik	3	ölik	lik	ö	lik	10
nomlik	0.9972411703107622		nomolik	1	olik	lik	o	lik	10
kójtíboszlik	0.9465852623143189		kójtíboszolik	3	olik	lik	o	lik	10
vönlik	0.9556318592930458		vönölik	1	ölik	lik	ö	lik	10
kárgyotlik	0.9755749006365101		kárgyotolik	2	olik	lik	o	lik	10
kőrdeglik	0.9671319204733145		kőrdegelik	2	elik	lik	e	lik	10
dotlik	0.9959523169619638		dotolik	1	olik	lik	o	lik	10
vüföszörlik	0.9328407992512813		vüföszörülik	3	ülik	lik	ü	lik	10
trúvomlik	0.979892639501017		trúvomolik	2	olik	lik	o	lik	10
kepímördik	0.9301994509311123		kepímörödik	3	ödik	dik	ö	dik	10
blomlik	0.9980518423950988		blomolik	1	olik	lik	o	lik	10
szúromlik	0.9336027142734938		szúromolik	2	olik	lik	o	lik	10
tömlik	0.9934924274617104		tömölik	1	ölik	lik	ö	lik	10
moszlik	0.995012367488659		moszolik	1	olik	lik	o	lik	10
töklik	0.9535571471455023		tökölik	1	ölik	lik	ö	lik	10
múburomlik	0.9859309457462977		múburomolik	3	olik	lik	o	lik	10
toszlik	0.9982312290231999		toszolik	1	olik	lik	o	lik	10
jomzik	0.9535163273726155		jomozik	1	ozik	zik	o	zik	10
bóripotlik	0.9844988128797202		bóripotolik	3	olik	lik	o	lik	10
sörlik	0.9397077640504774		sörülik	1	ülik	lik	ü	lik	10
voglik	0.9572041805297276		vogolik	1	olik	lik	o	lik	10
sotlik	0.9910513840912912		sotolik	1	olik	lik	o	lik	10
doklik	0.9740634926270666		dokolik	1	olik	lik	o	lik	10
rokzik	0.929650512710058		rokozik	1	ozik	zik	o	zik	10
torkibomlik	0.9858907383033855		torkibomolik	3	olik	lik	o	lik	10
gömlik	0.9934672333881773		gömölik	1	ölik	lik	ö	lik	10
domlik	0.9971405770693073		domolik	1	olik	lik	o	lik	10
somlik	0.9936709082792613		somolik	1	olik	lik	o	lik	10
kotomlik	0.9931467819218405		kotomolik	2	olik	lik	o	lik	10
bűströmlik	0.9626553385478063		bűströmölik	2	ölik	lik	ö	lik	10
sotobomlik	0.982045730056973		sotobomolik	3	olik	lik	o	lik	10
fromlik	0.9929735606515593		fromolik	1	olik	lik	o	lik	10
vovloglik	0.9716723057102726		vovlogolik	2	olik	lik	o	lik	10
bomukomlik	0.9714558565625414		bomukomolik	3	olik	lik	o	lik	10
kojutomlik	0.982411600175752		kojutomolik	3	olik	lik	o	lik	10
soklik	0.9850744871684342		sokolik	1	olik	lik	o	lik	10
kúkozomlik	0.9443505434777739		kúkozomolik	3	olik	lik	o	lik	10
dótipomlik	0.9401427426405029		dótipomolik	3	olik	lik	o	lik	10
