base	baseline_log_odds	dat_id	record_date	part_id	part_gender	part_yob	part_edu	list_number	trial_kind	trial_index	stimulus	choice1	choice2	response	response_string	esp_response	esp_match	rt	time_elapsed	file_name	variation	column	log_odds	variant1	variant2	nsyl	suffix	sample_number	word_rank	top_20	bottom_20	reg_rate	reg_dist	picked_left	picked_v1	esp_v1	picked_majority	i
flérlik	1.5686159179138452	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_11h36.07.341.csv	2023-06-20T11:36:00Z	5df97fcd11d8796fd29e85e3	NA	NA	NA	8	second posttest trial	11	Te bizony sokat flérlesz. Én is sokat...	flérlek	flérlem	0	flérlek	NA	NA	4136	84053	lakok_3_high_reversed	lakok/lakom	33	1.5686159179138452	flérlek	flérlem	1	NA	3	4	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
flözlik	0.965080896043587	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_15h13.44.238.csv	2023-06-20T15:13:00Z	5e1dff99f0b71e166a571d7f	NA	NA	NA	8	second posttest trial	11	Te bizony sokat flözlesz. Én is sokat...	flözlöm	flözlök	0	flözlöm	NA	NA	1080	70971	lakok_3_high_reversed	lakok/lakom	33	0.965080896043587	flözlök	flözlöm	1	NA	3	9	TRUE	FALSE	NA	NA	TRUE	FALSE	NA	NA	6
flözlik	0.965080896043587	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_17h13.50.637.csv	2023-06-20T17:13:00Z	5ef5f78600093427dfd5e120	NA	NA	NA	8	second posttest trial	11	Te bizony sokat flözlesz. Én is sokat...	flözlök	flözlöm	0	flözlök	NA	NA	2818	111048	lakok_3_high_reversed	lakok/lakom	33	0.965080896043587	flözlök	flözlöm	1	NA	3	9	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
flűröklik	0.32542240043462795	hungarian-esp_esp_participant_SESSION_2023-06-19_17h24.08.75.csv	2023-06-19T17:24:00Z	605896a739d40fa144496f26	férfi	1999	16	2	esp trial	11	Te bizony sokat flűröklesz. Én is sokat...	flűröklöm	flűröklök	1	flűröklök	flűröklöm	FALSE	7177	235258	lakok_1_low_reversed	lakok/lakom	27	0.32542240043462795	flűröklök	flűröklöm	2	NA	1	26	FALSE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE	1
frilegszik	-0.2876820724517809	hungarian-esp_esp_participant_SESSION_2023-06-19_17h25.05.820.csv	2023-06-19T17:25:00Z	608adf0cc8637f7f395352b1	férfi	2000	145	2	esp trial	11	Te bizony sokat frilegszel. Én is sokat...	frilegszek	frilegszem	0	frilegszek	frilegszek	TRUE	7422	178465	lakok_1_low_reversed	lakok/lakom	27	-0.2876820724517809	frilegszek	frilegszem	2	NA	1	40	FALSE	TRUE	low	reversed	TRUE	TRUE	TRUE	FALSE	1
friszlik	0.06453852113757116	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_08h56.52.861.csv	2023-06-20T08:56:00Z	60bf79a315a10bd3d21b3a96	NA	NA	NA	8	second posttest trial	11	Te bizony sokat friszlasz. Én is sokat...	friszlom	friszlok	1	friszlok	NA	NA	2498	70101	lakok_3_high_reversed	lakok/lakom	33	0.06453852113757116	friszlok	friszlom	1	NA	3	31	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	5
frivamlik / frivamozik	0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h59.24.738.csv	2023-06-21T11:59:00Z	6044cde18ec25456d2bd9d99	NA	NA	NA	8	second posttest trial	11	János imád frivamozni, ezért sokat frivamlik. Mi ritkán...	frivamlunk	frivamozunk	0	frivamlunk	NA	NA	2009	346566	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.7419373447293773	frivamlunk	frivamozunk	2	ünk	3	4	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
gihamlik / gihamozik	0.32542240043462795	hungarian-esp_esp_participant_SESSION_2023-06-20_18h56.11.750.csv	2023-06-20T18:56:00Z	60da38f17aa096bb17c836e5	férfi	2003	14	2	esp trial	11	János imád gihamozni, ezért sokat gihamlik. Ők ritkán...	gihamlanak	gihamoznak	0	gihamlanak	gihamoznak	FALSE	8704	145980	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.32542240043462795	gihamlanak	gihamoznak	2	nek	1	19	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
gyivepszik / gyivepedik	0.20763936477824457	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h42.05.689.csv	2023-06-21T08:42:00Z	6139181353b6c04cb2d95d8d	NA	NA	NA	8	second posttest trial	11	János imád gyivepedni, ezért sokat gyivepszik. Ők ritkán...	gyivepednek	gyivepszenek	1	gyivepszenek	NA	NA	3969	49372	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.20763936477824457	gyivepszenek	gyivepednek	2	nek	3	21	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
hilarzik	0.06899287148695142	hungarian-esp_esp_participant_SESSION_2023-06-19_17h22.40.51.csv	2023-06-19T17:22:00Z	5f632ea32e85353d93872c67	Férfi	1999	13	2	esp trial	11	Te bizony sokat hilarzol. Én is sokat...	hilarzom	hilarzok	1	hilarzok	hilarzom	FALSE	4443	227613	lakok_1_low_reversed	lakok/lakom	27	0.06899287148695142	hilarzok	hilarzom	2	NA	1	30	FALSE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE	1
ibáglik	0.6418538861723947	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h28.04.251.csv	2023-06-20T16:28:00Z	5ca9f1578d77140001bac8dc	NA	NA	NA	8	second posttest trial	11	Te bizony sokat ibáglasz. Én is sokat...	ibáglok	ibáglom	0	ibáglok	NA	NA	3533	56940	lakok_3_high_reversed	lakok/lakom	33	0.6418538861723947	ibáglok	ibáglom	2	NA	3	18	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
jurlik / jurozik	0.06899287148695142	hungarian-esp_esp_participant_SESSION_2023-06-20_21h04.43.810.csv	2023-06-20T21:04:00Z	61717173748006894b2b54ff	Férfi	2003	12	2	esp trial	11	János imád jurozni, ezért sokat jurlik. Mi ritkán...	jurlunk	jurozunk	0	jurlunk	jurozunk	FALSE	11347	112322	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.06899287148695142	jurlunk	jurozunk	1	ünk	1	28	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
jüslik	0.965080896043587	hungarian-esp_esp_participant_SESSION_2023-06-19_17h21.19.780.csv	2023-06-19T17:21:00Z	607cabdfb9addc46d23a0f19	férfi	1997	16	2	esp trial	11	Te bizony sokat jüslesz. Én is sokat...	jüslök	jüslöm	0	jüslök	jüslöm	FALSE	9062	151772	lakok_1_low_reversed	lakok/lakom	27	0.965080896043587	jüslök	jüslöm	1	NA	1	10	TRUE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
klárzik	0	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h28.37.951.csv	2023-06-20T13:28:00Z	605896a739d40fa144496f26	NA	NA	NA	8	second posttest trial	11	Te bizony sokat klárzol. Én is sokat...	klárzom	klárzok	1	klárzok	NA	NA	2057	95852	lakok_3_high_reversed	lakok/lakom	33	0	klárzok	klárzom	1	NA	3	33	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
klidlik	0.8938178760220965	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h31.46.693.csv	2023-06-20T16:31:00Z	60d3acd071e98de7a42743ac	NA	NA	NA	8	second posttest trial	11	Te bizony sokat klidlasz. Én is sokat...	klidlom	klidlok	1	klidlok	NA	NA	4050	97361	lakok_3_high_reversed	lakok/lakom	33	0.8938178760220965	klidlok	klidlom	1	NA	3	12	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	5
klihaslik / klihasozik	-0.2076393647782445	hungarian-esp_esp_participant_SESSION_2023-06-20_21h15.51.957.csv	2023-06-20T21:15:00Z	61080f315a313dab03ea1cde	Férfi	1997	12	2	esp trial	11	János imád klihasozni, ezért sokat klihaslik. Ti ritkán...	klihasoztok	klihaslotok	0	klihasoztok	klihaslotok	FALSE	11201	125881	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.2076393647782445	klihaslotok	klihasoztok	2	tek	1	40	FALSE	TRUE	low	reversed	TRUE	FALSE	TRUE	TRUE	1
kluzlik / kluzozik	-0.325422400434628	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h37.17.295.csv	2023-06-21T11:37:00Z	5f452661c5a1b50a817ab094	NA	NA	NA	8	second posttest trial	11	János imád kluzozni, ezért sokat kluzlik. Ti ritkán...	kluzoztok	kluzlotok	0	kluzoztok	NA	NA	5098	51883	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.325422400434628	kluzlotok	kluzoztok	1	tek	3	43	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	6
lírlik / lírozik	-0.06453852113757118	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h04.54.575.csv	2023-06-21T08:04:00Z	6151b07ac0d164fdd7e53100	NA	NA	NA	8	second posttest trial	11	János imád lírozni, ezért sokat lírlik. Ők ritkán...	líroznak	lírlanak	1	lírlanak	NA	NA	1206	35531	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06453852113757118	lírlanak	líroznak	1	nek	3	33	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
livaklik	-0.9650808960435872	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h41.55.226.csv	2023-06-20T12:41:00Z	5df2235d5a34251266ea645e	NA	NA	NA	8	second posttest trial	11	Te bizony sokat livaklasz. Én is sokat...	livaklok	livaklom	1	livaklom	NA	NA	979	46904	lakok_3_high_reversed	lakok/lakom	33	-0.9650808960435872	livaklok	livaklom	2	NA	3	53	FALSE	TRUE	NA	NA	FALSE	FALSE	NA	NA	5
málapszik	-0.06899287148695143	hungarian-esp_esp_participant_SESSION_2023-06-19_17h19.19.189.csv	2023-06-19T17:19:00Z	5df2235d5a34251266ea645e	férfi	1997	16	2	esp trial	11	Te bizony sokat málapszol. Én is sokat...	málapszok	málapszom	0	málapszok	málapszom	FALSE	8907	195850	lakok_1_low_reversed	lakok/lakom	27	-0.06899287148695143	málapszok	málapszom	2	NA	1	36	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
málapszik	-0.06899287148695143	hungarian-esp_esp_participant_SESSION_2023-06-19_17h21.25.415.csv	2023-06-19T17:21:00Z	5f325435f0fc671a7434cabe	férfi	1995	12	2	esp trial	11	Te bizony sokat málapszol. Én is sokat...	málapszok	málapszom	0	málapszok	málapszom	FALSE	5003	108090	lakok_1_low_reversed	lakok/lakom	27	-0.06899287148695143	málapszok	málapszom	2	NA	1	36	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
marzik	0.7985076962177716	hungarian-esp_esp_participant_SESSION_2023-06-19_17h33.43.402.csv	2023-06-19T17:33:00Z	5ca9f1578d77140001bac8dc	Férfi	2003	12	2	esp trial	11	Te bizony sokat marzol. Én is sokat...	marzom	marzok	1	marzok	marzom	FALSE	6341	215135	lakok_1_low_reversed	lakok/lakom	27	0.7985076962177716	marzok	marzom	1	NA	1	14	TRUE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE	1
mihágzik / mihágozik	-0.7419373447293773	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_12h11.19.959.csv	2023-06-21T12:11:00Z	5c7cf1adc8c9920015d0bc60	NA	NA	NA	8	second posttest trial	11	János imád mihágozni, ezért sokat mihágzik. Ti ritkán...	mihágoztok	mihágzotok	0	mihágoztok	NA	NA	6241	73368	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.7419373447293773	mihágzotok	mihágoztok	2	tek	3	51	FALSE	TRUE	NA	NA	TRUE	FALSE	NA	NA	5
míslik / mísozik	0.3483066942682158	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_08h12.22.832.csv	2023-06-21T08:12:00Z	5f338ba6ea047119dbd6e49e	NA	NA	NA	8	second posttest trial	11	János imád mísozni, ezért sokat míslik. Mi ritkán...	mísozunk	míslunk	0	mísozunk	NA	NA	2744	86243	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.3483066942682158	míslunk	mísozunk	1	ünk	3	16	FALSE	FALSE	NA	NA	TRUE	FALSE	NA	NA	6
nivárzik / nivározik	-0.916290731874155	hungarian-esp_esp_participant_SESSION_2023-06-20_21h25.10.912.csv	2023-06-20T21:25:00Z	60ef5b1cf52939a80af77543	Férfi	2003	13	2	esp trial	11	János imád nivározni, ezért sokat nivárzik. Ti ritkán...	nivároztok	nivárzotok	1	nivárzotok	nivárzotok	TRUE	7355	360937	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.916290731874155	nivárzotok	nivároztok	2	tek	1	54	FALSE	TRUE	low	reversed	FALSE	TRUE	TRUE	FALSE	1
nuroklik / nurokozik	0.7419373447293773	hungarian-esp_esp_participant_SESSION_2023-06-20_19h45.34.709.csv	2023-06-20T19:45:00Z	6102d6a4846fa9b51f427c47	nő	1997	16	2	esp trial	11	János imád nurokozni, ezért sokat nuroklik. Mi ritkán...	nuroklunk	nurokozunk	0	nuroklunk	nurokozunk	FALSE	4696	185589	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.7419373447293773	nuroklunk	nurokozunk	2	ünk	1	5	TRUE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
nyizlik / nyizozik	0.6418538861723947	hungarian-esp_esp_participant_SESSION_2023-06-20_18h46.41.723.csv	2023-06-20T18:46:00Z	5e8aefb03d71b0799a8d0f48	Férfi	1995	19	2	esp trial	11	János imád nyizozni, ezért sokat nyizlik. Mi ritkán...	nyizlunk	nyizozunk	0	nyizlunk	nyizozunk	FALSE	3510	173530	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.6418538861723947	nyizlunk	nyizozunk	1	ünk	1	7	TRUE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
pebzik	0.49247648509779424	hungarian-esp_esp_participant_SESSION_2023-06-19_17h23.34.697.csv	2023-06-19T17:23:00Z	60bf79a315a10bd3d21b3a96	nő	1998	17	2	esp trial	11	Te bizony sokat pebzel. Én is sokat...	pebzem	pebzek	1	pebzek	pebzem	FALSE	5808	117789	lakok_1_low_reversed	lakok/lakom	27	0.49247648509779424	pebzek	pebzem	1	NA	1	21	FALSE	FALSE	low	reversed	FALSE	TRUE	FALSE	FALSE	1
plibzik / plibozik	-0.49247648509779407	hungarian-esp_esp_participant_SESSION_2023-06-20_19h57.35.629.csv	2023-06-20T19:57:00Z	6151b07ac0d164fdd7e53100	férfi	2000	16	2	esp trial	11	János imád plibozni, ezért sokat plibzik. Ti ritkán...	plibzotok	pliboztok	1	pliboztok	plibzotok	FALSE	7997	117809	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.49247648509779407	plibzotok	pliboztok	1	tek	1	49	FALSE	TRUE	low	reversed	FALSE	FALSE	TRUE	TRUE	1
plibzik / plibozik	-0.49247648509779407	hungarian-esp_esp_participant_SESSION_2023-06-20_20h55.58.469.csv	2023-06-20T20:55:00Z	60fd5bfe72f9b6d7779b4691	nő	2000.12.21	13	2	esp trial	11	János imád plibozni, ezért sokat plibzik. Ti ritkán...	plibzotok	pliboztok	1	pliboztok	plibzotok	FALSE	9764	111162	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.49247648509779407	plibzotok	pliboztok	1	tek	1	49	FALSE	TRUE	low	reversed	FALSE	FALSE	TRUE	TRUE	1
praslik	1.4271163556401458	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_12h37.10.182.csv	2023-06-20T12:37:00Z	5f632ea32e85353d93872c67	NA	NA	NA	8	second posttest trial	11	Te bizony sokat praslasz. Én is sokat...	praslom	praslok	1	praslok	NA	NA	2661	86621	lakok_3_high_reversed	lakok/lakom	33	1.4271163556401458	praslok	praslom	1	NA	3	5	TRUE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
préleglik	0.6418538861723947	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h28.38.451.csv	2023-06-20T10:28:00Z	6140ff9c5750f0081ca8d71f	NA	NA	NA	8	second posttest trial	11	Te bizony sokat préleglesz. Én is sokat...	préleglek	préleglem	1	préleglem	NA	NA	7119	183937	lakok_3_high_reversed	lakok/lakom	33	0.6418538861723947	préleglek	préleglem	2	NA	3	19	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	6
prihegszik / prihegedik	-0.1941560144409575	hungarian-esp_esp_participant_SESSION_2023-06-20_18h54.16.43.csv	2023-06-20T18:54:00Z	5d3c6e745602310001bca8aa	nő	1996	18	2	esp trial	11	János imád prihegedni, ezért sokat prihegszik. Ők ritkán...	prihegszenek	prihegednek	0	prihegszenek	prihegednek	FALSE	6292	256175	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.1941560144409575	prihegszenek	prihegednek	2	nek	1	39	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
prihegszik / prihegedik	-0.1941560144409575	hungarian-esp_esp_participant_SESSION_2023-06-20_19h54.21.103.csv	2023-06-20T19:54:00Z	5e8a66381afb2c714058b57b	férfi	1997	11	2	esp trial	11	János imád prihegedni, ezért sokat prihegszik. Ők ritkán...	prihegszenek	prihegednek	1	prihegednek	prihegednek	TRUE	9207	230668	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.1941560144409575	prihegszenek	prihegednek	2	nek	1	39	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE	1
prihegszik / prihegedik	-0.1941560144409575	hungarian-esp_esp_participant_SESSION_2023-06-20_21h18.29.864.csv	2023-06-20T21:18:00Z	6153f8761fb770e105403eaa	férfi	1994	18	2	esp trial	11	János imád prihegedni, ezért sokat prihegszik. Ők ritkán...	prihegszenek	prihegednek	0	prihegszenek	prihegednek	FALSE	10708	296049	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.1941560144409575	prihegszenek	prihegednek	2	nek	1	39	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
prihekszik	-0.1941560144409575	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h13.53.182.csv	2023-06-20T09:13:00Z	5fd7cd077541e708f2a10aed	NA	NA	NA	8	second posttest trial	11	Te bizony sokat prihekszel. Én is sokat...	prihekszek	prihekszem	0	prihekszek	NA	NA	3317	59517	lakok_3_high_reversed	lakok/lakom	33	-0.1941560144409575	prihekszek	prihekszem	2	NA	3	37	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
pugoslik	0.965080896043587	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_09h23.38.663.csv	2023-06-20T09:23:00Z	600e8770316e2671811f49ac	NA	NA	NA	8	second posttest trial	11	Te bizony sokat pugoslasz. Én is sokat...	pugoslok	pugoslom	0	pugoslok	NA	NA	1343	29481	lakok_3_high_reversed	lakok/lakom	33	0.965080896043587	pugoslok	pugoslom	2	NA	3	10	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
ribegszik / ribegedik	-0.2876820724517809	hungarian-esp_esp_participant_SESSION_2023-06-20_21h42.09.839.csv	2023-06-20T21:42:00Z	606b510f116c085254237946	Férfi	2002	14	2	esp trial	11	János imád ribegedni, ezért sokat ribegszik. Ti ritkán...	ribegedtek	ribegszetek	0	ribegedtek	ribegszetek	FALSE	10385	79825	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	-0.2876820724517809	ribegszetek	ribegedtek	2	tek	1	42	FALSE	TRUE	low	reversed	TRUE	FALSE	TRUE	TRUE	1
ribegzik	-0.1941560144409575	hungarian-esp_esp_participant_SESSION_2023-06-19_16h50.46.22.csv	2023-06-19T16:50:00Z	6107aa76ee9845023fb0cb80	nő	1999	17	2	esp trial	11	Te bizony sokat ribegzel. Én is sokat...	ribegzek	ribegzem	1	ribegzem	ribegzem	TRUE	8435	226377	lakok_1_low_reversed	lakok/lakom	27	-0.1941560144409575	ribegzek	ribegzem	2	NA	1	38	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE	1
ribegzik	-0.1941560144409575	hungarian-esp_esp_participant_SESSION_2023-06-19_18h35.41.386.csv	2023-06-19T18:35:00Z	60febbf6684ed23d1eec2db6	nő	1998	17	2	esp trial	11	Te bizony sokat ribegzel. Én is sokat...	ribegzek	ribegzem	1	ribegzem	ribegzem	TRUE	5846	235354	lakok_1_low_reversed	lakok/lakom	27	-0.1941560144409575	ribegzek	ribegzem	2	NA	1	38	FALSE	FALSE	low	reversed	FALSE	FALSE	FALSE	TRUE	1
sojzik	-0.4595323293784402	hungarian-esp_esp_participant_SESSION_2023-06-19_16h41.14.732.csv	2023-06-19T16:41:00Z	600e8770316e2671811f49ac	Férfi	1997	17	2	esp trial	11	Te bizony sokat sojzol. Én is sokat...	sojzok	sojzom	0	sojzok	sojzok	TRUE	3789	117693	lakok_1_low_reversed	lakok/lakom	27	-0.4595323293784402	sojzok	sojzom	1	NA	1	46	FALSE	TRUE	low	reversed	TRUE	TRUE	TRUE	FALSE	1
sojzik	-0.4595323293784402	hungarian-esp_esp_participant_SESSION_2023-06-19_17h17.57.112.csv	2023-06-19T17:17:00Z	5fd7cd077541e708f2a10aed	nő	1994	17	2	esp trial	11	Te bizony sokat sojzol. Én is sokat...	sojzom	sojzok	0	sojzom	sojzok	FALSE	5602	214732	lakok_1_low_reversed	lakok/lakom	27	-0.4595323293784402	sojzok	sojzom	1	NA	1	46	FALSE	TRUE	low	reversed	TRUE	FALSE	TRUE	TRUE	1
spatszik	-0.3483066942682157	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_16h38.46.274.csv	2023-06-20T16:38:00Z	605bb95e25fb0eb3edfe7c73	NA	NA	NA	8	second posttest trial	11	Te bizony sokat spatszol. Én is sokat...	spatszok	spatszom	0	spatszok	NA	NA	3413	191550	lakok_3_high_reversed	lakok/lakom	33	-0.3483066942682157	spatszok	spatszom	1	NA	3	43	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	5
spélszik	0.3483066942682158	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_13h06.15.947.csv	2023-06-20T13:06:00Z	612058b64e8bd208d39fbe68	NA	NA	NA	8	second posttest trial	11	Te bizony sokat spélszel. Én is sokat...	spélszek	spélszem	0	spélszek	NA	NA	2197	95929	lakok_3_high_reversed	lakok/lakom	33	0.3483066942682158	spélszek	spélszem	1	NA	3	25	FALSE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
spöklik / spöközik	0.5978370007556204	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h51.47.417.csv	2023-06-21T11:51:00Z	607b14f74a8418d7b787ce33	NA	NA	NA	8	second posttest trial	11	János imád spöközni, ezért sokat spöklik. Mi ritkán...	spöklünk	spöközünk	0	spöklünk	NA	NA	2384	63442	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.5978370007556204	spöklünk	spöközünk	1	ünk	3	8	TRUE	FALSE	NA	NA	TRUE	TRUE	NA	NA	6
sprigzik / sprigozik	-1.4271163556401458	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h31.31.484.csv	2023-06-21T11:31:00Z	566f3979744e3e0005b63481	NA	NA	NA	8	second posttest trial	11	János imád sprigozni, ezért sokat sprigzik. Ti ritkán...	sprigzotok	sprigoztok	0	sprigzotok	NA	NA	4874	60967	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-1.4271163556401458	sprigzotok	sprigoztok	1	tek	3	54	FALSE	TRUE	NA	NA	TRUE	TRUE	NA	NA	6
spülöklik	0.28768207245178085	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-20_10h48.54.386.csv	2023-06-20T10:48:00Z	608adf0cc8637f7f395352b1	NA	NA	NA	8	second posttest trial	11	Te bizony sokat spülöklesz. Én is sokat...	spülöklöm	spülöklök	1	spülöklök	NA	NA	4182	120503	lakok_3_high_reversed	lakok/lakom	33	0.28768207245178085	spülöklök	spülöklöm	2	NA	3	26	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
sűzlik	0.14310084364067324	hungarian-esp_esp_participant_SESSION_2023-06-19_17h24.12.147.csv	2023-06-19T17:24:00Z	5e1dff99f0b71e166a571d7f	nő	1996	17	2	esp trial	11	Te bizony sokat sűzlesz. Én is sokat...	sűzlöm	sűzlök	0	sűzlöm	sűzlöm	TRUE	7085	135025	lakok_1_low_reversed	lakok/lakom	27	0.14310084364067324	sűzlök	sűzlöm	1	NA	1	29	FALSE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE	1
sztritlik / sztritozik	0.14310084364067324	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_11h01.50.895.csv	2023-06-21T11:01:00Z	6153f8761fb770e105403eaa	NA	NA	NA	8	second posttest trial	11	János imád sztritozni, ezért sokat sztritlik. Ők ritkán...	sztritlanak	sztritoznak	1	sztritoznak	NA	NA	6338	132690	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	0.14310084364067324	sztritlanak	sztritoznak	1	nek	3	25	FALSE	FALSE	NA	NA	FALSE	FALSE	NA	NA	2
tágarzik / tágarozik	-0.06899287148695143	hungarian-esp-sleep-2_esp_participant_SESSION_2023-06-21_13h08.08.328.csv	2023-06-21T13:08:00Z	5e8aefb03d71b0799a8d0f48	NA	NA	NA	8	second posttest trial	11	János imád tágarozni, ezért sokat tágarzik. Mi ritkán...	tágarozunk	tágarzunk	1	tágarzunk	NA	NA	3355	78821	cselekszenek_3_high_reversed	cselekszenek/cselekednek	9	-0.06899287148695143	tágarzunk	tágarozunk	2	ünk	3	36	FALSE	FALSE	NA	NA	FALSE	TRUE	NA	NA	6
tomlik	2.2335922215070942	hungarian-esp_esp_participant_SESSION_2023-06-19_17h16.40.212.csv	2023-06-19T17:16:00Z	60d3acd071e98de7a42743ac	nő	2003	14	2	esp trial	11	Te bizony sokat tomlasz. Én is sokat...	tomlok	tomlom	0	tomlok	tomlom	FALSE	6959	193732	lakok_1_low_reversed	lakok/lakom	27	2.2335922215070942	tomlok	tomlom	1	NA	1	1	TRUE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
trilekszik / trilekedik	0.14310084364067324	hungarian-esp_esp_participant_SESSION_2023-06-20_19h36.31.354.csv	2023-06-20T19:36:00Z	5c7cf1adc8c9920015d0bc60	férfi	1995	21	2	esp trial	11	János imád trilekedni, ezért sokat trilekszik. Ti ritkán...	trilekszetek	trilekedtek	0	trilekszetek	trilekedtek	FALSE	9212	137441	cselekszenek_1_low_reversed	cselekszenek/cselekednek	3	0.14310084364067324	trilekszetek	trilekedtek	2	tek	1	26	FALSE	FALSE	low	reversed	TRUE	TRUE	FALSE	FALSE	1
trilszik	0.28768207245178085	hungarian-esp_esp_participant_SESSION_2023-06-19_17h27.46.511.csv	2023-06-19T17:27:00Z	5df97fcd11d8796fd29e85e3	Férfi	1998	14	2	esp trial	11	Te bizony sokat trilszol. Én is sokat...	trilszom	trilszok	0	trilszom	trilszom	TRUE	5505	154100	lakok_1_low_reversed	lakok/lakom	27	0.28768207245178085	trilszok	trilszom	1	NA	1	27	FALSE	FALSE	low	reversed	TRUE	FALSE	FALSE	TRUE	1
