onset	nucleus	coda	tr	word	target	keep_enough_distance	keep_no_overlap
st	ánc	éd	stáncéd	stáncéd	stáncéd	TRUE	TRUE
ßp	akb	ét	ßpakbét	szpakbét	ßpakbét	TRUE	TRUE
c	íz	e¬	cíze¬	cízely	cíze¬	TRUE	TRUE
¥	arm	éß	¥arméß	nyarmész	¥arméß	TRUE	TRUE
t	íl	ern	tílern	tílern	tílern	TRUE	TRUE
h	ám	ezt	hámezt	hámezt	hámezt	TRUE	FALSE
r	itn	és	ritnés	ritnés	ritnés	TRUE	TRUE
ßp	íml	ég	ßpímlég	szpímlég	ßpímlég	TRUE	TRUE
pl	ók	eg	plókeg	plókeg	plókeg	TRUE	TRUE
r	ajl	ezt	rajlezt	rajlezt	rajlezt	TRUE	FALSE
t	óg	eß	tógeß	tógesz	tógeß	TRUE	TRUE
ç	árv	e¬	çárve¬	csárvely	çárve¬	TRUE	TRUE
kr	an	ef	kranef	kranef	kranef	TRUE	TRUE
c	isk	ét	ciskét	ciskét	ciskét	TRUE	TRUE
k	íz	en	kízen	kízen	kízen	TRUE	TRUE
j	ink	éΩ	jinkéΩ	jinkézs	jinkéΩ	TRUE	TRUE
¥	íß	eg	¥íßeg	nyíszeg	¥íßeg	TRUE	TRUE
l	í¥	erz	lí¥erz	línyerz	lí¥erz	TRUE	TRUE
tr	os	él	trosél	trosél	trosél	TRUE	TRUE
k	urd	e¬	kurde¬	kurdely	kurde¬	TRUE	TRUE
h	up	ef	hupef	hupef	hupef	TRUE	TRUE
n	ikß	e©	nikße©	nikszegy	nikße©	TRUE	FALSE
NA	il	é¥	ilé¥	ilény	ilé¥	FALSE	TRUE
h	adv	em	hadvem	hadvem	hadvem	TRUE	TRUE
z	ínt	es	zíntes	zíntes	zíntes	TRUE	TRUE
br	íp	en	brípen	brípen	brípen	TRUE	TRUE
p	ádv	e¬	pádve¬	pádvely	pádve¬	TRUE	TRUE
t	okß	e©	tokße©	tokszegy	tokße©	TRUE	FALSE
r	up	eßt	rupeßt	rupeszt	rupeßt	FALSE	TRUE
©	ank	ét	©ankét	gyankét	©ankét	FALSE	TRUE
†	urd	él	†urdél	tyurdél	†urdél	TRUE	TRUE
h	orz	és	horzés	horzés	horzés	TRUE	TRUE
h	ost	éj	hostéj	hostéj	hostéj	TRUE	TRUE
gr	ók	éß	grókéß	grókész	grókéß	TRUE	TRUE
kv	urn	eb	kvurneb	kvurneb	kvurneb	TRUE	TRUE
g	omß	ér	gomßér	gomszér	gomßér	TRUE	TRUE
s	onc	ej	soncej	soncej	soncej	TRUE	TRUE
h	a©r	ez	ha©rez	hagyrez	ha©rez	TRUE	FALSE
fl	iç	ér	fliçér	flicsér	fliçér	TRUE	TRUE
ßp	om	él	ßpomél	szpomél	ßpomél	TRUE	TRUE
©	it	er	©iter	gyiter	©iter	FALSE	TRUE
pr	ívf	éß	prívféß	prívfész	prívféß	TRUE	TRUE
Ω	ak	ég	Ωakég	zsakég	Ωakég	TRUE	TRUE
sp	ágn	ét	spágnét	spágnét	spágnét	TRUE	TRUE
f	ímk	elt	fímkelt	fímkelt	fímkelt	TRUE	TRUE
fr	inc	es	frinces	frinces	frinces	TRUE	TRUE
c	imb	ek	cimbek	cimbek	cimbek	TRUE	TRUE
ß	ak	elv	ßakelv	szakelv	ßakelv	TRUE	FALSE
n	ápr	elv	náprelv	náprelv	náprelv	TRUE	TRUE
r	ub	elt	rubelt	rubelt	rubelt	FALSE	TRUE
spr	ub	éj	sprubéj	sprubéj	sprubéj	TRUE	TRUE
d	i©	es	di©es	digyes	di©es	TRUE	TRUE
v	al	eg	valeg	valeg	valeg	FALSE	TRUE
†	oc	ers	†ocers	tyocers	†ocers	TRUE	TRUE
dΩ	ár	ék	dΩárék	dzsárék	dΩárék	TRUE	FALSE
r	ost	év	rostév	rostév	rostév	TRUE	FALSE
ßp	od	elv	ßpodelv	szpodelv	ßpodelv	TRUE	TRUE
sp	al	éc	spaléc	spaléc	spaléc	TRUE	TRUE
¥	orb	éd	¥orbéd	nyorbéd	¥orbéd	TRUE	TRUE
k	ív	erz	kíverz	kíverz	kíverz	TRUE	TRUE
p	iß	enc	pißenc	piszenc	pißenc	TRUE	TRUE
p	az	él	pazél	pazél	pazél	TRUE	TRUE
v	içf	éd	viçféd	vicsféd	viçféd	TRUE	TRUE
h	árm	eßk	hármeßk	hármeszk	hármeßk	TRUE	TRUE
fr	ád	éΩ	frádéΩ	frádézs	frádéΩ	TRUE	TRUE
h	ákß	eg	hákßeg	hákszeg	hákßeg	TRUE	TRUE
f	uk	é¥	fuké¥	fukény	fuké¥	TRUE	TRUE
c	ámj	ég	cámjég	cámjég	cámjég	TRUE	TRUE
h	itn	eg	hitneg	hitneg	hitneg	TRUE	TRUE
ß	ánd	el	ßándel	szándel	ßándel	TRUE	FALSE
k	ót	éc	kótéc	kótéc	kótéc	TRUE	TRUE
©	íß	ép	©íßép	gyíszép	©íßép	TRUE	FALSE
s	akn	ej	saknej	saknej	saknej	TRUE	TRUE
pr	átß	em	prátßem	prátszem	prátßem	TRUE	TRUE
z	ubl	ej	zublej	zublej	zublej	TRUE	TRUE
ßl	ám	e©	ßláme©	szlámegy	ßláme©	TRUE	TRUE
¥	ókl	er	¥ókler	nyókler	¥ókler	FALSE	TRUE
s	ót	é¬	sóté¬	sótély	sóté¬	TRUE	TRUE
©	úfn	ér	©úfnér	gyúfnér	©úfnér	TRUE	TRUE
b	urn	ét	burnét	burnét	burnét	FALSE	TRUE
NA	úsl	ej	úslej	úslej	úslej	TRUE	TRUE
¥	akb	éj	¥akbéj	nyakbéj	¥akbéj	TRUE	FALSE
k	ágn	ér	kágnér	kágnér	kágnér	TRUE	TRUE
sk	inz	ej	skinzej	skinzej	skinzej	TRUE	TRUE
NA	og	éß	ogéß	ogész	ogéß	FALSE	TRUE
r	átß	elv	rátßelv	rátszelv	rátßelv	TRUE	FALSE
dΩ	ink	ec	dΩinkec	dzsinkec	dΩinkec	TRUE	TRUE
sk	árt	en	skárten	skárten	skárten	TRUE	TRUE
b	ajl	éΩ	bajléΩ	bajlézs	bajléΩ	TRUE	TRUE
st	ak	ern	stakern	stakern	stakern	TRUE	TRUE
b	ank	et	banket	banket	banket	FALSE	TRUE
gr	íßl	ét	gríßlét	gríszlét	gríßlét	TRUE	TRUE
dΩ	orn	ek	dΩornek	dzsornek	dΩornek	TRUE	FALSE
r	inz	em	rinzem	rinzem	rinzem	TRUE	TRUE
r	ovd	elt	rovdelt	rovdelt	rovdelt	TRUE	TRUE
kv	ir	e¬	kvire¬	kvirely	kvire¬	TRUE	TRUE
m	ótl	ek	mótlek	mótlek	mótlek	TRUE	TRUE
NA	isk	ezt	iskezt	iskezt	iskezt	TRUE	FALSE
b	uz	és	buzés	buzés	buzés	FALSE	TRUE
NA	up	él	upél	upél	upél	TRUE	TRUE
sm	ogr	éd	smogréd	smogréd	smogréd	TRUE	TRUE
p	oc	év	pocév	pocév	pocév	TRUE	TRUE
fl	ár	ezt	flárezt	flárezt	flárezt	TRUE	TRUE
kv	ánd	éß	kvándéß	kvándész	kvándéß	TRUE	TRUE
p	ißk	eg	pißkeg	piszkeg	pißkeg	FALSE	TRUE
d	íb	éz	díbéz	díbéz	díbéz	TRUE	TRUE
©	ir	ez	©irez	gyirez	©irez	TRUE	TRUE
l	ank	ér	lankér	lankér	lankér	TRUE	TRUE
gr	ízj	e¬	grízje¬	grízjely	grízje¬	TRUE	TRUE
ß	omb	end	ßombend	szombend	ßombend	TRUE	TRUE
¥	ág	éΩ	¥ágéΩ	nyágézs	¥ágéΩ	TRUE	TRUE
fr	ág	eß	frágeß	frágesz	frágeß	TRUE	TRUE
n	aç	ez	naçez	nacsez	naçez	TRUE	FALSE
m	ip	eg	mipeg	mipeg	mipeg	FALSE	TRUE
n	ívf	em	nívfem	nívfem	nívfem	TRUE	TRUE
gr	azb	et	grazbet	grazbet	grazbet	TRUE	TRUE
t	içf	erz	tiçferz	ticsferz	tiçferz	TRUE	TRUE
p	ovj	é¥	povjé¥	povjény	povjé¥	TRUE	TRUE
p	ust	ern	pustern	pustern	pustern	TRUE	TRUE
b	i¬	és	bi¬és	bilyés	bi¬és	FALSE	TRUE
pl	int	éz	plintéz	plintéz	plintéz	TRUE	TRUE
n	uc	éj	nucéj	nucéj	nucéj	TRUE	TRUE
h	ig	ej	higej	higej	higej	TRUE	TRUE
k	olf	en	kolfen	kolfen	kolfen	TRUE	TRUE
sp	í¥	ef	spí¥ef	spínyef	spí¥ef	TRUE	TRUE
br	átk	éΩ	brátkéΩ	brátkézs	brátkéΩ	TRUE	TRUE
ßl	and	éj	ßlandéj	szlandéj	ßlandéj	TRUE	TRUE
s	iz	ét	sizét	sizét	sizét	TRUE	TRUE
t	ú¥k	eg	tú¥keg	túnykeg	tú¥keg	TRUE	TRUE
NA	a†	er	a†er	atyer	a†er	TRUE	TRUE
p	á¥	er	pá¥er	pányer	pá¥er	FALSE	FALSE
k	av	elt	kavelt	kavelt	kavelt	TRUE	TRUE
m	olv	er	molver	molver	molver	TRUE	TRUE
sm	úd	elt	smúdelt	smúdelt	smúdelt	TRUE	TRUE
n	om	eg	nomeg	nomeg	nomeg	TRUE	FALSE
pl	ázn	ed	plázned	plázned	plázned	TRUE	FALSE
sp	it	én	spitén	spitén	spitén	TRUE	TRUE
st	id	é©	stidé©	stidégy	stidé©	TRUE	TRUE
sp	ut	e¬	spute¬	sputely	spute¬	TRUE	TRUE
sm	á¥	ej	smá¥ej	smányej	smá¥ej	TRUE	TRUE
f	ij	é©	fijé©	fijégy	fijé©	TRUE	TRUE
z	áb	én	zábén	zábén	zábén	TRUE	TRUE
kr	apf	ez	krapfez	krapfez	krapfez	TRUE	TRUE
z	óm	ég	zómég	zómég	zómég	TRUE	TRUE
©	ajr	ed	©ajred	gyajred	©ajred	TRUE	TRUE
kl	uß	éd	klußéd	kluszéd	klußéd	TRUE	TRUE
NA	i†	en	i†en	ityen	i†en	FALSE	TRUE
ç	ú¥k	ég	çú¥kég	csúnykég	çú¥kég	TRUE	TRUE
p	ít	ek	pítek	pítek	pítek	TRUE	TRUE
fl	áb	end	flábend	flábend	flábend	TRUE	TRUE
p	aj	év	pajév	pajév	pajév	TRUE	TRUE
sp	i¬	ét	spi¬ét	spilyét	spi¬ét	TRUE	TRUE
v	om	elt	vomelt	vomelt	vomelt	TRUE	TRUE
br	um	eßk	brumeßk	brumeszk	brumeßk	TRUE	TRUE
k	aß	ert	kaßert	kaszert	kaßert	TRUE	TRUE
p	ábf	éß	pábféß	pábfész	pábféß	TRUE	FALSE
k	í¥l	erz	kí¥lerz	kínylerz	kí¥lerz	TRUE	TRUE
