onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap
†	ing	ágl	†ingáglik	tyingáglik	†ingágl	TRUE	TRUE
f	ír	adz	fíradzik	fíradzik	fíradz	TRUE	TRUE
†	iΩ	adz	†iΩadzik	tyizsadzik	†iΩadz	TRUE	TRUE
pr	űt	okl	prűtoklik	prűtoklik	prűtokl	TRUE	TRUE
c	ínl	ek	cínlekik	cínlekik	cínlek	TRUE	TRUE
k	i¥	égß	ki¥égßik	kinyégszik	ki¥égß	TRUE	TRUE
p	al	arz	palarzik	palarzik	palarz	TRUE	TRUE
ß	os	o¥l	ßoso¥lik	szosonylik	ßoso¥l	TRUE	TRUE
ßt	i¥	adz	ßti¥adzik	sztinyadzik	ßti¥adz	TRUE	TRUE
pl	újt	ód	plújtódik	plújtódik	plújtód	TRUE	TRUE
ç	obz	okl	çobzoklik	csobzoklik	çobzokl	TRUE	TRUE
v	ipr	égß	viprégßik	viprégszik	viprégß	TRUE	TRUE
d	idr	en	didrenik	didrenik	didren	TRUE	TRUE
d	alh	akl	dalhaklik	dalhaklik	dalhakl	TRUE	TRUE
h	ém	epß	hémepßik	hémepszik	hémepß	TRUE	TRUE
¥	ifj	áß	¥ifjáßik	nyifjászik	¥ifjáß	TRUE	TRUE
†	as	asl	†asaslik	tyasaslik	†asasl	TRUE	TRUE
Ω	ack	az	Ωackazik	zsackazik	Ωackaz	TRUE	TRUE
bl	í©	ekß	blí©ekßik	blígyekszik	blí©ekß	TRUE	TRUE
pl	ut	o¥l	pluto¥lik	plutonylik	pluto¥l	TRUE	TRUE
†	uml	onl	†umlonlik	tyumlonlik	†umlonl	TRUE	TRUE
d	elh	ejl	delhejlik	delhejlik	delhejl	TRUE	TRUE
g	az	ak	gazakik	gazakik	gazak	TRUE	TRUE
ßt	ac	akz	ßtacakzik	sztacakzik	ßtacakz	TRUE	TRUE
d	ár	áß	dáráßik	dárászik	dáráß	TRUE	TRUE
tr	ér	ékz	trérékzik	trérékzik	trérékz	TRUE	TRUE
br	ik	ajl	brikajlik	brikajlik	brikajl	TRUE	TRUE
NA	urn	onl	urnonlik	urnonlik	urnonl	TRUE	TRUE
sp	ifj	éß	spifjéßik	spifjészik	spifjéß	TRUE	TRUE
NA	az	ak	azakik	azakik	azak	TRUE	TRUE
f	a¥	ajl	fa¥ajlik	fanyajlik	fa¥ajl	TRUE	TRUE
j	ór	osl	jóroslik	jóroslik	jórosl	TRUE	TRUE
©	átl	asl	©átlaslik	gyátlaslik	©átlasl	TRUE	TRUE
†	á¬	arz	†á¬arzik	tyályarzik	†á¬arz	TRUE	TRUE
n	őr	őd	nőrődik	nőrődik	nőrőd	TRUE	TRUE
h	ér	ejl	hérejlik	hérejlik	hérejl	TRUE	TRUE
j	urh	úd	jurhúdik	jurhúdik	jurhúd	TRUE	TRUE
g	e†h	eng	ge†hengik	getyhengik	ge†heng	TRUE	TRUE
b	ikr	en	bikrenik	bikrenik	bikren	TRUE	TRUE
b	és	erß	béserßik	béserszik	béserß	TRUE	TRUE
d	áts	arz	dátsarzik	dátsarzik	dátsarz	TRUE	TRUE
sk	ár	ánz	skáránzik	skáránzik	skáránz	TRUE	TRUE
z	árm	adz	zármadzik	zármadzik	zármadz	TRUE	FALSE
NA	é¥k	étl	é¥kétlik	énykétlik	é¥kétl	TRUE	TRUE
NA	ajt	ak	ajtakik	ajtakik	ajtak	TRUE	TRUE
s	am	á¬l	samá¬lik	samálylik	samá¬l	TRUE	TRUE
f	is	egz	fisegzik	fisegzik	fisegz	TRUE	TRUE
bl	i©	amz	bli©amzik	bligyamzik	bli©amz	TRUE	TRUE
h	ot	ód	hotódik	hotódik	hotód	FALSE	TRUE
l	irt	agß	lirtagßik	lirtagszik	lirtagß	TRUE	TRUE
ß	ikr	agß	ßikragßik	szikragszik	ßikragß	TRUE	TRUE
sk	orn	uz	skornuzik	skornuzik	skornuz	TRUE	TRUE
sm	av	á¥l	smavá¥lik	smaványlik	smavá¥l	TRUE	TRUE
bl	ét	edz	blétedzik	blétedzik	blétedz	TRUE	TRUE
bl	ás	á¥z	blásá¥zik	blásányzik	blásá¥z	TRUE	TRUE
bl	elh	ed	blelhedik	blelhedik	blelhed	TRUE	TRUE
Ω	ig	á¥l	Ωigá¥lik	zsigánylik	Ωigá¥l	TRUE	TRUE
sp	epr	ek	speprekik	speprekik	speprek	TRUE	TRUE
c	énh	ékz	cénhékzik	cénhékzik	cénhékz	TRUE	TRUE
tr	öz	őrz	trözőrzik	trözőrzik	trözőrz	TRUE	TRUE
sn	ás	az	snásazik	snásazik	snásaz	TRUE	TRUE
s	ant	aml	santamlik	santamlik	santaml	TRUE	TRUE
sk	an	arz	skanarzik	skanarzik	skanarz	TRUE	TRUE
j	ém	ek	jémekik	jémekik	jémek	TRUE	TRUE
©	ih	edz	©ihedzik	gyihedzik	©ihedz	TRUE	TRUE
¥	űr	örl	¥űrörlik	nyűrörlik	¥űrörl	TRUE	TRUE
j	urh	orz	jurhorzik	jurhorzik	jurhorz	TRUE	TRUE
d	ilm	én	dilménik	dilménik	dilmén	TRUE	TRUE
h	eΩg	éß	heΩgéßik	hezsgészik	heΩgéß	TRUE	TRUE
t	akl	áz	taklázik	taklázik	takláz	TRUE	TRUE
m	étk	epß	métkepßik	métkepszik	métkepß	TRUE	TRUE
t	iç	ek	tiçekik	ticsekik	tiçek	TRUE	TRUE
ß	ag	á¬l	ßagá¬lik	szagálylik	ßagá¬l	TRUE	TRUE
v	am	agz	vamagzik	vamagzik	vamagz	TRUE	TRUE
k	orΩ	óz	korΩózik	korzsózik	korΩóz	FALSE	TRUE
l	ar	ak	larakik	larakik	larak	TRUE	TRUE
NA	elh	érß	elhérßik	elhérszik	elhérß	TRUE	TRUE
f	uks	osl	fuksoslik	fuksoslik	fuksosl	TRUE	TRUE
c	ad	iz	cadizik	cadizik	cadiz	TRUE	TRUE
ç	ond	űdz	çondűdzik	csondűdzik	çondűdz	TRUE	TRUE
r	ürk	őz	rürkőzik	rürkőzik	rürkőz	FALSE	TRUE
n	ír	egz	níregzik	níregzik	níregz	TRUE	TRUE
k	űn	os	kűnosik	kűnosik	kűnos	TRUE	TRUE
t	int	akß	tintakßik	tintakszik	tintakß	TRUE	TRUE
sn	ár	at	snáratik	snáratik	snárat	TRUE	TRUE
c	orn	úd	cornúdik	cornúdik	cornúd	TRUE	TRUE
c	érz	erß	cérzerßik	cérzerszik	cérzerß	TRUE	TRUE
ç	í¥l	ágl	çí¥láglik	csínyláglik	çí¥lágl	TRUE	TRUE
z	ámp	ánz	zámpánzik	zámpánzik	zámpánz	TRUE	TRUE
©	ac	agß	©acagßik	gyacagszik	©acagß	TRUE	TRUE
†	űn	öd	†űnödik	tyűnödik	†űnöd	TRUE	TRUE
b	int	á¥z	bintá¥zik	bintányzik	bintá¥z	TRUE	TRUE
j	ikr	ánz	jikránzik	jikránzik	jikránz	TRUE	TRUE
bl	eh	ekß	blehekßik	blehekszik	blehekß	TRUE	TRUE
t	alk	apß	talkapßik	talkapszik	talkapß	TRUE	TRUE
bl	ajt	ád	blajtádik	blajtádik	blajtád	TRUE	TRUE
ç	emp	éz	çempézik	csempézik	çempéz	FALSE	TRUE
br	ukl	oz	bruklozik	bruklozik	brukloz	TRUE	TRUE
t	ik	at	tikatik	tikatik	tikat	TRUE	TRUE
v	eml	en	vemlenik	vemlenik	vemlen	TRUE	TRUE
t	e†	egl	te†eglik	tetyeglik	te†egl	TRUE	TRUE
h	ép	én	hépénik	hépénik	hépén	TRUE	FALSE
h	üt	üß	hütüßik	hütüszik	hütüß	TRUE	TRUE
k	ejl	iz	kejlizik	kejlizik	kejliz	TRUE	TRUE
p	ap	aml	papamlik	papamlik	papaml	TRUE	TRUE
j	alt	áΩl	jaltáΩlik	jaltázslik	jaltáΩl	TRUE	TRUE
z	iml	ajl	zimlajlik	zimlajlik	zimlajl	TRUE	TRUE
k	ét	égß	kétégßik	kétégszik	kétégß	TRUE	TRUE
sn	ezd	en	snezdenik	snezdenik	snezden	TRUE	TRUE
©	ifj	egß	©ifjegßik	gyifjegszik	©ifjegß	TRUE	TRUE
ßt	olf	úd	ßtolfúdik	sztolfúdik	ßtolfúd	TRUE	TRUE
sn	én	ed	snénedik	snénedik	snéned	TRUE	TRUE
r	of	onl	rofonlik	rofonlik	rofonl	TRUE	TRUE
ßt	oc	űz	ßtocűzik	sztocűzik	ßtocűz	TRUE	TRUE
h	a†	akß	ha†akßik	hatyakszik	ha†akß	TRUE	TRUE
NA	úk	orz	úkorzik	úkorzik	úkorz	TRUE	TRUE
ß	ámp	árz	ßámpárzik	számpárzik	ßámpárz	TRUE	TRUE
sm	ón	o¥l	smóno¥lik	smónonylik	smóno¥l	TRUE	TRUE
tr	u©	onl	tru©onlik	trugyonlik	tru©onl	TRUE	TRUE
NA	öls	örl	ölsörlik	ölsörlik	ölsörl	TRUE	TRUE
©	ótl	ódz	©ótlódzik	gyótlódzik	©ótlódz	TRUE	TRUE
Ω	ant	az	Ωantazik	zsantazik	Ωantaz	TRUE	TRUE
NA	at	ágl	atáglik	atáglik	atágl	TRUE	TRUE
pl	őzk	üß	plőzküßik	plőzküszik	plőzküß	TRUE	FALSE
m	irt	áß	mirtáßik	mirtászik	mirtáß	TRUE	FALSE
fl	av	apß	flavapßik	flavapszik	flavapß	TRUE	TRUE
p	ukd	uz	pukduzik	pukduzik	pukduz	TRUE	TRUE
ß	ud	űz	ßudűzik	szudűzik	ßudűz	TRUE	TRUE
tr	ét	ékz	trétékzik	trétékzik	trétékz	TRUE	TRUE
s	üh	üd	sühüdik	sühüdik	sühüd	TRUE	TRUE
g	ing	epß	gingepßik	gingepszik	gingepß	TRUE	TRUE
sk	ir	éß	skiréßik	skirészik	skiréß	TRUE	TRUE
d	am	ágz	damágzik	damágzik	damágz	TRUE	TRUE
sn	elç	éz	snelçézik	snelcsézik	snelçéz	TRUE	TRUE
g	őg	őrz	gőgőrzik	gőgőrzik	gőgőrz	TRUE	TRUE
p	ark	agß	parkagßik	parkagszik	parkagß	TRUE	TRUE
fl	ír	esl	flíreslik	flíreslik	flíresl	TRUE	TRUE
pl	er	egl	plereglik	plereglik	pleregl	TRUE	TRUE
z	ajt	áz	zajtázik	zajtázik	zajtáz	TRUE	TRUE
j	emp	égß	jempégßik	jempégszik	jempégß	TRUE	TRUE
m	ig	ádz	migádzik	migádzik	migádz	TRUE	FALSE
pr	ón	uz	prónuzik	prónuzik	prónuz	TRUE	TRUE
k	ig	asl	kigaslik	kigaslik	kigasl	TRUE	TRUE
r	a©	adz	ra©adzik	ragyadzik	ra©adz	TRUE	FALSE
tr	on	o¥l	trono¥lik	trononylik	trono¥l	TRUE	TRUE
Ω	iml	egz	Ωimlegzik	zsimlegzik	Ωimlegz	TRUE	TRUE
k	ágt	ádz	kágtádzik	kágtádzik	kágtádz	TRUE	TRUE
¥	emp	ékz	¥empékzik	nyempékzik	¥empékz	TRUE	TRUE
pl	eß	én	pleßénik	pleszénik	pleßén	TRUE	FALSE
z	et	érß	zetérßik	zetérszik	zetérß	TRUE	TRUE
fl	örz	üß	flörzüßik	flörzüszik	flörzüß	TRUE	TRUE
ç	arj	atl	çarjatlik	csarjatlik	çarjatl	TRUE	TRUE
sn	ib	á¥l	snibá¥lik	snibánylik	snibá¥l	TRUE	TRUE
sn	o†	űdz	sno†űdzik	snotyűdzik	sno†űdz	TRUE	TRUE
j	ágt	á¬l	jágtá¬lik	jágtálylik	jágtá¬l	TRUE	TRUE
NA	úd	ódz	údódzik	údódzik	údódz	TRUE	TRUE
f	érk	es	férkesik	férkesik	férkes	TRUE	FALSE
©	uml	ud	©umludik	gyumludik	©umlud	TRUE	TRUE
NA	irk	en	irkenik	irkenik	irken	TRUE	TRUE
j	ar	at	jaratik	jaratik	jarat	TRUE	FALSE
l	ütk	űdz	lütkűdzik	lütkűdzik	lütkűdz	TRUE	TRUE
bl	ik	eng	blikengik	blikengik	blikeng	TRUE	TRUE
ç	ult	úd	çultúdik	csultúdik	çultúd	TRUE	TRUE
ç	ih	akß	çihakßik	csihakszik	çihakß	TRUE	TRUE
pl	as	akß	plasakßik	plasakszik	plasakß	TRUE	TRUE
m	ar	árz	marárzik	marárzik	marárz	TRUE	TRUE
pr	ojt	uz	projtuzik	projtuzik	projtuz	TRUE	TRUE
pr	év	ekß	prévekßik	prévekszik	prévekß	TRUE	TRUE
pr	iç	áz	priçázik	pricsázik	priçáz	TRUE	TRUE
t	ond	űz	tondűzik	tondűzik	tondűz	TRUE	TRUE
sk	ölt	őz	sköltőzik	sköltőzik	sköltőz	TRUE	TRUE
f	érz	ek	férzekik	férzekik	férzek	TRUE	TRUE
bl	a©	amz	bla©amzik	blagyamzik	bla©amz	TRUE	TRUE
t	ér	éß	téréßik	térészik	téréß	TRUE	FALSE
j	aj	akz	jajakzik	jajakzik	jajakz	TRUE	TRUE
t	oh	úd	tohúdik	tohúdik	tohúd	TRUE	TRUE
s	ors	okl	sorsoklik	sorsoklik	sorsokl	TRUE	TRUE
Ω	uçk	orz	Ωuçkorzik	zsucskorzik	Ωuçkorz	TRUE	TRUE
b	í¥l	adz	bí¥ladzik	bínyladzik	bí¥ladz	TRUE	TRUE
r	oç	úd	roçúdik	rocsúdik	roçúd	FALSE	TRUE
m	irt	én	mirténik	mirténik	mirtén	TRUE	FALSE
b	ißt	esl	bißteslik	biszteslik	bißtesl	TRUE	TRUE
g	ul	ódz	gulódzik	gulódzik	gulódz	FALSE	TRUE
h	í¥l	ajl	hí¥lajlik	hínylajlik	hí¥lajl	TRUE	TRUE
†	ért	égß	†értégßik	tyértégszik	†értégß	TRUE	TRUE
n	iç	eng	niçengik	nicsengik	niçeng	TRUE	FALSE
¥	űv	osl	¥űvoslik	nyűvoslik	¥űvosl	TRUE	TRUE
k	ing	eml	kingemlik	kingemlik	kingeml	TRUE	TRUE
p	ag	atl	pagatlik	pagatlik	pagatl	TRUE	TRUE
ç	e¥	iz	çe¥izik	csenyizik	çe¥iz	TRUE	TRUE
c	ódl	úd	códlúdik	códlúdik	códlúd	TRUE	TRUE
p	omb	oz	pombozik	pombozik	pomboz	FALSE	TRUE
d	on	ód	donódik	donódik	donód	FALSE	TRUE
g	ind	egß	gindegßik	gindegszik	gindegß	TRUE	TRUE
b	uçk	úz	buçkúzik	bucskúzik	buçkúz	FALSE	TRUE
f	űr	óz	fűrózik	fűrózik	fűróz	TRUE	TRUE
sm	e©	éz	sme©ézik	smegyézik	sme©éz	TRUE	TRUE
h	átl	ajl	hátlajlik	hátlajlik	hátlajl	TRUE	TRUE
f	orj	ód	forjódik	forjódik	forjód	TRUE	TRUE
z	on	úz	zonúzik	zonúzik	zonúz	TRUE	TRUE
sk	aj	ánz	skajánzik	skajánzik	skajánz	TRUE	TRUE
