lemma	xpostag	corpus_size	lemma_freq	v1	v2	vh
érés	[/N][Nom]	8570080167	48495	é	é	front
tepsi	[/N][Nom]	8570080167	158396	e	i	front
leltár	[/N][Nom]	8570080167	44094	e	á	mixed
belföld	[/N][Nom]	8570080167	85153	e	ö	front
glükóz	[/N][Nom]	8570080167	29537	ü	ó	mixed
nagyböjt	[/N][Nom]	8570080167	25674	a	ö	mixed
tímár	[/N][Nom]	8570080167	21458	í	á	mixed
folklór	[/N][Nom]	8570080167	29193	o	ó	back
népdal	[/N][Nom]	8570080167	70448	é	a	mixed
kuplung	[/N][Nom]	8570080167	33390	u	u	back
érzet	[/N][Nom]	8570080167	140393	é	e	front
összkép	[/N][Nom]	8570080167	56314	ö	é	front
folyam	[/N][Nom]	8570080167	48874	o	a	back
kuruc	[/N][Nom]	8570080167	28276	u	u	back
létra	[/N][Nom]	8570080167	56405	é	a	mixed
eskü	[/N][Nom]	8570080167	80325	e	ü	front
műszak	[/N][Nom]	8570080167	61524	ű	a	mixed
bravúr	[/N][Nom]	8570080167	66475	a	ú	back
penész	[/N][Nom]	8570080167	26302	e	é	front
terra	[/N][Nom]	8570080167	26306	e	a	mixed
fülke	[/N][Nom]	8570080167	57535	ü	e	front
daru	[/N][Nom]	8570080167	41143	a	u	back
charta	[/N][Nom]	8570080167	32287	a	a	back
fagylalt	[/N][Nom]	8570080167	48012	a	a	back
puding	[/N][Nom]	8570080167	45949	u	i	mixed
hányad	[/N][Nom]	8570080167	156118	á	a	back
büdzsé	[/N][Nom]	8570080167	50978	ü	é	front
nyújtás	[/N][Nom]	8570080167	252917	ú	á	back
trágya	[/N][Nom]	8570080167	41394	á	a	back
szécsi	[/N][Nom]	8570080167	19841	é	i	front
bacon	[/N][Nom]	8570080167	29848	a	o	back
pia	[/N][Nom]	8570080167	33474	i	a	mixed
vektor	[/N][Nom]	8570080167	44716	e	o	mixed
poszter	[/N][Nom]	8570080167	49599	o	e	mixed
korsó	[/N][Nom]	8570080167	34903	o	ó	back
tréfa	[/N][Nom]	8570080167	52141	é	a	mixed
kagyló	[/N][Nom]	8570080167	63858	a	ó	back
repce	[/N][Nom]	8570080167	26933	e	e	front
nagyság	[/N][Nom]	8570080167	308464	a	á	back
dajka	[/N][Nom]	8570080167	32003	a	a	back
pasztell	[/N][Nom]	8570080167	22351	a	e	mixed
mocsok	[/N][Nom]	8570080167	41391	o	o	back
zebra	[/N][Nom]	8570080167	49092	e	a	mixed
veréb	[/N][Nom]	8570080167	34740	e	é	front
kölni	[/N][Nom]	8570080167	23093	ö	i	front
tárcsa	[/N][Nom]	8570080167	50453	á	a	back
hátlap	[/N][Nom]	8570080167	66220	á	a	back
vonzás	[/N][Nom]	8570080167	45476	o	á	back
szili	[/N][Nom]	8570080167	24326	i	i	front
bíbor	[/N][Nom]	8570080167	26954	í	o	mixed
karbon	[/N][Nom]	8570080167	22014	a	o	back
úttest	[/N][Nom]	8570080167	56993	ú	e	mixed
belvíz	[/N][Nom]	8570080167	29936	e	í	front
lenmag	[/N][Nom]	8570080167	30078	e	a	mixed
székház	[/N][Nom]	8570080167	103569	é	á	mixed
szelvény	[/N][Nom]	8570080167	62797	e	é	front
bambusz	[/N][Nom]	8570080167	26784	a	u	back
kárpit	[/N][Nom]	8570080167	39893	á	i	mixed
kajak	[/N][Nom]	8570080167	32519	a	a	back
koldus	[/N][Nom]	8570080167	40352	o	u	back
ideg	[/N][Nom]	8570080167	99469	i	e	front
tölgyfa	[/N][Nom]	8570080167	28934	ö	a	mixed
tűzvész	[/N][Nom]	8570080167	29512	ű	é	front
kérő	[/N][Nom]	8570080167	87817	é	ő	front
fátyol	[/N][Nom]	8570080167	49227	á	o	back
titkos	[/N][Nom]	8570080167	379970	i	o	mixed
rabló	[/N][Nom]	8570080167	47898	a	ó	back
ihlet	[/N][Nom]	8570080167	108042	i	e	front
ikrek	[/N][Nom]	8570080167	21612	i	e	front
fontos	[/N][Nom]	8570080167	7714055	o	o	back
óvszer	[/N][Nom]	8570080167	41045	ó	e	mixed
rozsda	[/N][Nom]	8570080167	25093	o	a	back
papucs	[/N][Nom]	8570080167	53397	a	u	back
bakó	[/N][Nom]	8570080167	19027	a	ó	back
lőszer	[/N][Nom]	8570080167	57547	ő	e	front
gyógyír	[/N][Nom]	8570080167	33152	ó	í	mixed
végtag	[/N][Nom]	8570080167	95377	é	a	mixed
puska	[/N][Nom]	8570080167	62753	u	a	back
trafó	[/N][Nom]	8570080167	36360	a	ó	back
felni	[/N][Nom]	8570080167	57025	e	i	front
folsav	[/N][Nom]	8570080167	29657	o	a	back
tasak	[/N][Nom]	8570080167	48420	a	a	back
füge	[/N][Nom]	8570080167	31306	ü	e	front
alkusz	[/N][Nom]	8570080167	28557	a	u	back
szuka	[/N][Nom]	8570080167	29501	u	a	back
szanyi	[/N][Nom]	8570080167	22103	a	i	mixed
véglet	[/N][Nom]	8570080167	70211	é	e	front
csárda	[/N][Nom]	8570080167	35257	á	a	back
táltos	[/N][Nom]	8570080167	28052	á	o	back
zárlat	[/N][Nom]	8570080167	31133	á	a	back
sámán	[/N][Nom]	8570080167	36021	á	á	back
bálna	[/N][Nom]	8570080167	39949	á	a	back
akna	[/N][Nom]	8570080167	53567	a	a	back
lepke	[/N][Nom]	8570080167	42525	e	e	front
hattyú	[/N][Nom]	8570080167	33210	a	ú	back
atlasz	[/N][Nom]	8570080167	32491	a	a	back
képtár	[/N][Nom]	8570080167	35256	é	á	mixed
ezer	[/N][Nom]	8570080167	3116435	e	e	front
donor	[/N][Nom]	8570080167	34657	o	o	back
hifi	[/N][Nom]	8570080167	28922	i	i	front
tized	[/N][Nom]	8570080167	44484	i	e	front
romlás	[/N][Nom]	8570080167	107533	o	á	back
kétely	[/N][Nom]	8570080167	66765	é	e	front
szeder	[/N][Nom]	8570080167	25766	e	e	front
vegyszer	[/N][Nom]	8570080167	91831	e	e	front
födém	[/N][Nom]	8570080167	38029	ö	é	front
mecset	[/N][Nom]	8570080167	46122	e	e	front
bocsi	[/N][Nom]	8570080167	42493	o	i	mixed
ivás	[/N][Nom]	8570080167	39735	i	á	mixed
szívás	[/N][Nom]	8570080167	23843	í	á	mixed
kalóz	[/N][Nom]	8570080167	55246	a	ó	back
iker	[/N][Nom]	8570080167	83330	i	e	front
hurok	[/N][Nom]	8570080167	42237	u	o	back
teve	[/N][Nom]	8570080167	36665	e	e	front
jéghegy	[/N][Nom]	8570080167	26196	é	e	front
unit	[/N][Nom]	8570080167	21778	u	i	mixed
mustár	[/N][Nom]	8570080167	40646	u	á	back
rapid	[/N][Nom]	8570080167	27090	a	i	mixed
gonosz	[/N][Nom]	8570080167	367524	o	o	back
kéreg	[/N][Nom]	8570080167	49001	é	e	front
bástya	[/N][Nom]	8570080167	48868	á	a	back
opus	[/N][Nom]	8570080167	22289	o	u	back
mászás	[/N][Nom]	8570080167	33466	á	á	back
lakat	[/N][Nom]	8570080167	35547	a	a	back
mázsa	[/N][Nom]	8570080167	23227	á	a	back
karnagy	[/N][Nom]	8570080167	31029	a	a	back
köcsög	[/N][Nom]	8570080167	24430	ö	ö	front
csóka	[/N][Nom]	8570080167	21262	ó	a	back
gépész	[/N][Nom]	8570080167	22613	é	é	front
biznisz	[/N][Nom]	8570080167	33547	i	i	front
gardrób	[/N][Nom]	8570080167	34672	a	ó	back
baki	[/N][Nom]	8570080167	39446	a	i	mixed
lektor	[/N][Nom]	8570080167	30785	e	o	mixed
nyaklánc	[/N][Nom]	8570080167	47377	a	á	back
plafon	[/N][Nom]	8570080167	51210	a	o	back
cigi	[/N][Nom]	8570080167	54208	i	i	front
sánta	[/N][Nom]	8570080167	32184	á	a	back
kárász	[/N][Nom]	8570080167	22083	á	á	back
summa	[/N][Nom]	8570080167	24498	u	a	back
bodza	[/N][Nom]	8570080167	23084	o	a	back
babos	[/N][Nom]	8570080167	34505	a	o	back
körkép	[/N][Nom]	8570080167	29456	ö	é	front
hiszti	[/N][Nom]	8570080167	33694	i	i	front
lazac	[/N][Nom]	8570080167	31397	a	a	back
gamma	[/N][Nom]	8570080167	19899	a	a	back
szőrzet	[/N][Nom]	8570080167	36113	ő	e	front
horog	[/N][Nom]	8570080167	58166	o	o	back
kökény	[/N][Nom]	8570080167	19516	ö	é	front
szegény	[/N][Nom]	8570080167	703310	e	é	front
kömény	[/N][Nom]	8570080167	30964	ö	é	front
fotel	[/N][Nom]	8570080167	70961	o	e	mixed
bulvár	[/N][Nom]	8570080167	22129	u	á	back
csalán	[/N][Nom]	8570080167	26663	a	á	back
margó	[/N][Nom]	8570080167	37853	a	ó	back
bugyi	[/N][Nom]	8570080167	53264	u	i	mixed
szúnyog	[/N][Nom]	8570080167	54082	ú	o	back
ásvány	[/N][Nom]	8570080167	70214	á	á	back
másság	[/N][Nom]	8570080167	37204	á	á	back
pingvin	[/N][Nom]	8570080167	30559	i	i	front
turul	[/N][Nom]	8570080167	20754	u	u	back
szónok	[/N][Nom]	8570080167	38276	ó	o	back
súgó	[/N][Nom]	8570080167	30708	ú	ó	back
mellék	[/N][Nom]	8570080167	26850	e	é	front
fenék	[/N][Nom]	8570080167	143314	e	é	front
köret	[/N][Nom]	8570080167	65391	ö	e	front
hangfal	[/N][Nom]	8570080167	45050	a	a	back
diszkó	[/N][Nom]	8570080167	36225	i	ó	mixed
kernel	[/N][Nom]	8570080167	27121	e	e	front
erdész	[/N][Nom]	8570080167	30313	e	é	front
meszes	[/N][Nom]	8570080167	19036	e	e	front
polyák	[/N][Nom]	8570080167	16995	o	á	back
júdás	[/N][Nom]	8570080167	22527	ú	á	back
mérföld	[/N][Nom]	8570080167	50761	é	ö	front
huszti	[/N][Nom]	8570080167	20216	u	i	mixed
szólás	[/N][Nom]	8570080167	40550	ó	á	back
varjú	[/N][Nom]	8570080167	36332	a	ú	back
szigor	[/N][Nom]	8570080167	39928	i	o	mixed
bukta	[/N][Nom]	8570080167	23393	u	a	back
eke	[/N][Nom]	8570080167	28656	e	e	front
könyök	[/N][Nom]	8570080167	52742	ö	ö	front
csuda	[/N][Nom]	8570080167	29186	u	a	back
ciklon	[/N][Nom]	8570080167	25512	i	o	mixed
vodka	[/N][Nom]	8570080167	33030	o	a	back
kozmosz	[/N][Nom]	8570080167	27823	o	o	back
homlok	[/N][Nom]	8570080167	119622	o	o	back
pasa	[/N][Nom]	8570080167	20569	a	a	back
ókor	[/N][Nom]	8570080167	59782	ó	o	back
morál	[/N][Nom]	8570080167	31800	o	á	back
fűrész	[/N][Nom]	8570080167	29352	ű	é	front
csomó	[/N][Nom]	8570080167	279056	o	ó	back
kormos	[/N][Nom]	8570080167	24597	o	o	back
vegyész	[/N][Nom]	8570080167	23378	e	é	front
cement	[/N][Nom]	8570080167	25428	e	e	front
halak	[/N][Nom]	8570080167	19905	a	a	back
hentes	[/N][Nom]	8570080167	31200	e	e	front
mellény	[/N][Nom]	8570080167	45541	e	é	front
csukló	[/N][Nom]	8570080167	77234	u	ó	back
prímás	[/N][Nom]	8570080167	22958	í	á	mixed
támasz	[/N][Nom]	8570080167	52139	á	a	back
cserje	[/N][Nom]	8570080167	43751	e	e	front
medál	[/N][Nom]	8570080167	38545	e	á	mixed
pálma	[/N][Nom]	8570080167	40429	á	a	back
masszőr	[/N][Nom]	8570080167	29147	a	ő	mixed
lumen	[/N][Nom]	8570080167	19534	u	e	mixed
delfin	[/N][Nom]	8570080167	44721	e	i	front
szekta	[/N][Nom]	8570080167	36951	e	a	mixed
szponzor	[/N][Nom]	8570080167	74938	o	o	back
kőzet	[/N][Nom]	8570080167	59283	ő	e	front
holttest	[/N][Nom]	8570080167	103546	o	e	mixed
mirigy	[/N][Nom]	8570080167	41019	i	i	front
vágány	[/N][Nom]	8570080167	55448	á	á	back
duda	[/N][Nom]	8570080167	24459	u	a	back
póker	[/N][Nom]	8570080167	22273	ó	e	mixed
tender	[/N][Nom]	8570080167	51039	e	e	front
szabi	[/N][Nom]	8570080167	29572	a	i	mixed
epe	[/N][Nom]	8570080167	25306	e	e	front
gyurma	[/N][Nom]	8570080167	31871	u	a	back
szoprán	[/N][Nom]	8570080167	19986	o	á	back
grófnő	[/N][Nom]	8570080167	23351	ó	ő	mixed
bűnös	[/N][Nom]	8570080167	220449	ű	ö	front
padlás	[/N][Nom]	8570080167	55496	a	á	back
migrén	[/N][Nom]	8570080167	26342	i	é	front
vessző	[/N][Nom]	8570080167	51290	e	ő	front
humusz	[/N][Nom]	8570080167	24175	u	u	back
nyugta	[/N][Nom]	8570080167	42494	u	a	back
giga	[/N][Nom]	8570080167	20042	i	a	mixed
kifli	[/N][Nom]	8570080167	40489	i	i	front
varró	[/N][Nom]	8570080167	20482	a	ó	back
végbél	[/N][Nom]	8570080167	27166	é	é	front
filter	[/N][Nom]	8570080167	28881	i	e	front
véka	[/N][Nom]	8570080167	16501	é	a	mixed
türkiz	[/N][Nom]	8570080167	18036	ü	i	front
csúszda	[/N][Nom]	8570080167	37402	ú	a	back
kupak	[/N][Nom]	8570080167	46553	u	a	back
loki	[/N][Nom]	8570080167	22216	o	i	mixed
közjó	[/N][Nom]	8570080167	26460	ö	ó	mixed
csontváz	[/N][Nom]	8570080167	39333	o	á	back
varázs	[/N][Nom]	8570080167	85315	a	á	back
profi	[/N][Nom]	8570080167	559840	o	i	mixed
bankár	[/N][Nom]	8570080167	34840	a	á	back
presztízs	[/N][Nom]	8570080167	50016	e	í	front
moha	[/N][Nom]	8570080167	26811	o	a	back
kelés	[/N][Nom]	8570080167	29601	e	é	front
tájkép	[/N][Nom]	8570080167	40998	á	é	mixed
neon	[/N][Nom]	8570080167	19253	e	o	mixed
mangán	[/N][Nom]	8570080167	20282	a	á	back
relé	[/N][Nom]	8570080167	28413	e	é	front
kvartett	[/N][Nom]	8570080167	26413	a	e	mixed
mutáns	[/N][Nom]	8570080167	25703	u	á	back
bátor	[/N][Nom]	8570080167	644018	á	o	back
bróker	[/N][Nom]	8570080167	27705	ó	e	mixed
flakon	[/N][Nom]	8570080167	53793	a	o	back
tenyér	[/N][Nom]	8570080167	139202	e	é	front
jóslat	[/N][Nom]	8570080167	59511	ó	a	back
mentség	[/N][Nom]	8570080167	44118	e	é	front
pulyka	[/N][Nom]	8570080167	27003	u	a	back
bojler	[/N][Nom]	8570080167	25309	o	e	mixed
hímzés	[/N][Nom]	8570080167	36692	í	é	front
derű	[/N][Nom]	8570080167	37952	e	ű	front
lobbi	[/N][Nom]	8570080167	22985	o	i	mixed
bolond	[/N][Nom]	8570080167	108557	o	o	back
mártás	[/N][Nom]	8570080167	61019	á	á	back
kassza	[/N][Nom]	8570080167	69198	a	a	back
bohém	[/N][Nom]	8570080167	24956	o	é	mixed
bajusz	[/N][Nom]	8570080167	45911	a	u	back
korda	[/N][Nom]	8570080167	50365	o	a	back
fűtő	[/N][Nom]	8570080167	18606	ű	ő	front
mackó	[/N][Nom]	8570080167	26251	a	ó	back
kóla	[/N][Nom]	8570080167	35827	ó	a	back
számjegy	[/N][Nom]	8570080167	52798	á	e	mixed
műbőr	[/N][Nom]	8570080167	19414	ű	ő	front
pakli	[/N][Nom]	8570080167	59965	a	i	mixed
párbaj	[/N][Nom]	8570080167	39285	á	a	back
tenor	[/N][Nom]	8570080167	20736	e	o	mixed
bélyeg	[/N][Nom]	8570080167	86501	é	e	front
zsákmány	[/N][Nom]	8570080167	57575	á	á	back
képző	[/N][Nom]	8570080167	70776	é	ő	front
foton	[/N][Nom]	8570080167	33598	o	o	back
köpeny	[/N][Nom]	8570080167	49926	ö	e	front
szárnyas	[/N][Nom]	8570080167	62439	á	a	back
beat	[/N][Nom]	8570080167	16614	e	a	mixed
kender	[/N][Nom]	8570080167	21884	e	e	front
néprajz	[/N][Nom]	8570080167	22371	é	a	mixed
szitu	[/N][Nom]	8570080167	28401	i	u	mixed
kefe	[/N][Nom]	8570080167	38182	e	e	front
hinta	[/N][Nom]	8570080167	30398	i	a	mixed
nonszensz	[/N][Nom]	8570080167	16551	o	e	mixed
páncél	[/N][Nom]	8570080167	48853	á	é	mixed
lótusz	[/N][Nom]	8570080167	17111	ó	u	back
lottó	[/N][Nom]	8570080167	27332	o	ó	back
segéd	[/N][Nom]	8570080167	36487	e	é	front
higany	[/N][Nom]	8570080167	21563	i	a	mixed
laktóz	[/N][Nom]	8570080167	21765	a	ó	back
bolgár	[/N][Nom]	8570080167	116165	o	á	back
hadtest	[/N][Nom]	8570080167	24591	a	e	mixed
pótdíj	[/N][Nom]	8570080167	29071	ó	í	mixed
cérna	[/N][Nom]	8570080167	30678	é	a	mixed
komposzt	[/N][Nom]	8570080167	30761	o	o	back
virsli	[/N][Nom]	8570080167	32762	i	i	front
tollas	[/N][Nom]	8570080167	15671	o	a	back
bibi	[/N][Nom]	8570080167	16221	i	i	front
jogrend	[/N][Nom]	8570080167	33941	o	e	mixed
fejléc	[/N][Nom]	8570080167	80399	e	é	front
szkenner	[/N][Nom]	8570080167	27709	e	e	front
mérő	[/N][Nom]	8570080167	77369	é	ő	front
zsálya	[/N][Nom]	8570080167	20920	á	a	back
poggyász	[/N][Nom]	8570080167	35890	o	á	back
pálca	[/N][Nom]	8570080167	51045	á	a	back
négyszög	[/N][Nom]	8570080167	26164	é	ö	front
csokis	[/N][Nom]	8570080167	47756	o	i	mixed
mami	[/N][Nom]	8570080167	20434	a	i	mixed
rosta	[/N][Nom]	8570080167	24927	o	a	back
gombos	[/N][Nom]	8570080167	25318	o	o	back
étvágy	[/N][Nom]	8570080167	92486	é	á	mixed
szakáll	[/N][Nom]	8570080167	52048	a	á	back
hólyag	[/N][Nom]	8570080167	34162	ó	a	back
hajsza	[/N][Nom]	8570080167	22216	a	a	back
ponyva	[/N][Nom]	8570080167	31490	o	a	back
fagypont	[/N][Nom]	8570080167	14849	a	o	back
lecsó	[/N][Nom]	8570080167	35742	e	ó	mixed
pasas	[/N][Nom]	8570080167	19654	a	a	back
makett	[/N][Nom]	8570080167	42231	a	e	mixed
érdem	[/N][Nom]	8570080167	247274	é	e	front
rakat	[/N][Nom]	8570080167	16132	a	a	back
balzsam	[/N][Nom]	8570080167	30806	a	a	back
rákos	[/N][Nom]	8570080167	91814	á	o	back
síkság	[/N][Nom]	8570080167	36602	í	á	mixed
idom	[/N][Nom]	8570080167	38456	i	o	mixed
nézés	[/N][Nom]	8570080167	47289	é	é	front
ebből	[/N][Nom]	8570080167	35042	e	ő	front
bosnyák	[/N][Nom]	8570080167	37037	o	á	back
tökmag	[/N][Nom]	8570080167	23671	ö	a	mixed
szedés	[/N][Nom]	8570080167	155749	e	é	front
névsor	[/N][Nom]	8570080167	74387	é	o	mixed
cirkó	[/N][Nom]	8570080167	17021	i	ó	mixed
pedál	[/N][Nom]	8570080167	41759	e	á	mixed
herpesz	[/N][Nom]	8570080167	18893	e	e	front
skanzen	[/N][Nom]	8570080167	26458	a	e	mixed
bisztró	[/N][Nom]	8570080167	26645	i	ó	mixed
földrész	[/N][Nom]	8570080167	47324	ö	é	front
pisa	[/N][Nom]	8570080167	16190	i	a	mixed
turi	[/N][Nom]	8570080167	16213	u	i	mixed
puli	[/N][Nom]	8570080167	20006	u	i	mixed
portás	[/N][Nom]	8570080167	23303	o	á	back
csapágy	[/N][Nom]	8570080167	36142	a	á	back
gyanta	[/N][Nom]	8570080167	29444	a	a	back
etap	[/N][Nom]	8570080167	41247	e	a	mixed
patkó	[/N][Nom]	8570080167	20527	a	ó	back
nagyúr	[/N][Nom]	8570080167	24990	a	ú	back
pogány	[/N][Nom]	8570080167	107583	o	á	back
hívó	[/N][Nom]	8570080167	45917	í	ó	mixed
étlap	[/N][Nom]	8570080167	65113	é	a	mixed
viasz	[/N][Nom]	8570080167	32021	i	a	mixed
bakancs	[/N][Nom]	8570080167	43481	a	a	back
fenyves	[/N][Nom]	8570080167	28385	e	e	front
kupac	[/N][Nom]	8570080167	32271	u	a	back
baka	[/N][Nom]	8570080167	19798	a	a	back
értés	[/N][Nom]	8570080167	53567	é	é	front
kurzor	[/N][Nom]	8570080167	26255	u	o	back
lapát	[/N][Nom]	8570080167	67313	a	á	back
puma	[/N][Nom]	8570080167	16491	u	a	back
csengő	[/N][Nom]	8570080167	50398	e	ő	front
gyújtás	[/N][Nom]	8570080167	26420	ú	á	back
méhész	[/N][Nom]	8570080167	30838	é	é	front
petri	[/N][Nom]	8570080167	24797	e	i	front
gyártmány	[/N][Nom]	8570080167	35032	á	á	back
közöny	[/N][Nom]	8570080167	28338	ö	ö	front
fonó	[/N][Nom]	8570080167	21108	o	ó	back
lábfej	[/N][Nom]	8570080167	49429	á	e	mixed
kenőcs	[/N][Nom]	8570080167	35955	e	ő	front
szökés	[/N][Nom]	8570080167	39464	ö	é	front
légtér	[/N][Nom]	8570080167	67905	é	é	front
jobbágy	[/N][Nom]	8570080167	42086	o	á	back
vigasz	[/N][Nom]	8570080167	47559	i	a	mixed
metszés	[/N][Nom]	8570080167	39640	e	é	front
sprinter	[/N][Nom]	8570080167	16058	i	e	front
tápszer	[/N][Nom]	8570080167	41980	á	e	mixed
paplan	[/N][Nom]	8570080167	25631	a	a	back
koma	[/N][Nom]	8570080167	36135	o	a	back
geci	[/N][Nom]	8570080167	25302	e	i	front
nyüzsgés	[/N][Nom]	8570080167	26964	ü	é	front
visszhang	[/N][Nom]	8570080167	69631	i	a	mixed
kapor	[/N][Nom]	8570080167	27520	a	o	back
borjú	[/N][Nom]	8570080167	31044	o	ú	back
kínzás	[/N][Nom]	8570080167	40236	í	á	mixed
sirály	[/N][Nom]	8570080167	23806	i	á	mixed
jegyár	[/N][Nom]	8570080167	34933	e	á	mixed
zsarnok	[/N][Nom]	8570080167	23378	a	o	back
konkoly	[/N][Nom]	8570080167	15402	o	o	back
hüvelyk	[/N][Nom]	8570080167	17116	ü	e	front
mártír	[/N][Nom]	8570080167	46193	á	í	mixed
puffer	[/N][Nom]	8570080167	21029	u	e	mixed
rítus	[/N][Nom]	8570080167	44227	í	u	mixed
menhely	[/N][Nom]	8570080167	41019	e	e	front
szovjet	[/N][Nom]	8570080167	340921	o	e	mixed
solymár	[/N][Nom]	8570080167	17631	o	á	back
névjegy	[/N][Nom]	8570080167	46729	é	e	front
ütő	[/N][Nom]	8570080167	28601	ü	ő	front
finta	[/N][Nom]	8570080167	12932	i	a	mixed
cserkész	[/N][Nom]	8570080167	31405	e	é	front
termény	[/N][Nom]	8570080167	52503	e	é	front
nettó	[/N][Nom]	8570080167	411586	e	ó	mixed
címlap	[/N][Nom]	8570080167	112448	í	a	mixed
szöglet	[/N][Nom]	8570080167	45155	ö	e	front
vívó	[/N][Nom]	8570080167	29361	í	ó	mixed
nyerges	[/N][Nom]	8570080167	22180	e	e	front
díva	[/N][Nom]	8570080167	20183	í	a	mixed
fúrás	[/N][Nom]	8570080167	33573	ú	á	back
nyéki	[/N][Nom]	8570080167	14433	é	i	front
zsaru	[/N][Nom]	8570080167	29545	a	u	back
darázs	[/N][Nom]	8570080167	29793	a	á	back
tapasz	[/N][Nom]	8570080167	26381	a	a	back
fogkő	[/N][Nom]	8570080167	17456	o	ő	mixed
alig	[/N][Nom]	8570080167	1392634	a	i	mixed
sulyok	[/N][Nom]	8570080167	15498	u	o	back
kisbusz	[/N][Nom]	8570080167	34458	i	u	mixed
roller	[/N][Nom]	8570080167	22986	o	e	mixed
lakbér	[/N][Nom]	8570080167	31978	a	é	mixed
antant	[/N][Nom]	8570080167	14316	a	a	back
kilincs	[/N][Nom]	8570080167	42079	i	i	front
tarja	[/N][Nom]	8570080167	20761	a	a	back
kása	[/N][Nom]	8570080167	29917	á	a	back
mocsár	[/N][Nom]	8570080167	53176	o	á	back
tüzér	[/N][Nom]	8570080167	18177	ü	é	front
bőrönd	[/N][Nom]	8570080167	59897	ő	ö	front
tücsök	[/N][Nom]	8570080167	22195	ü	ö	front
zakó	[/N][Nom]	8570080167	33037	a	ó	back
tömlő	[/N][Nom]	8570080167	31040	ö	ő	front
ajak	[/N][Nom]	8570080167	228746	a	a	back
mélypont	[/N][Nom]	8570080167	76843	é	o	mixed
burok	[/N][Nom]	8570080167	44990	u	o	back
testrész	[/N][Nom]	8570080167	96906	e	é	front
borda	[/N][Nom]	8570080167	49013	o	a	back
pára	[/N][Nom]	8570080167	38261	á	a	back
röhej	[/N][Nom]	8570080167	12917	ö	e	front
tüske	[/N][Nom]	8570080167	36167	ü	e	front
bunda	[/N][Nom]	8570080167	50618	u	a	back
függés	[/N][Nom]	8570080167	32783	ü	é	front
bűvész	[/N][Nom]	8570080167	19147	ű	é	front
donna	[/N][Nom]	8570080167	13088	o	a	back
szerzés	[/N][Nom]	8570080167	45387	e	é	front
kráter	[/N][Nom]	8570080167	30791	á	e	mixed
osztás	[/N][Nom]	8570080167	32535	o	á	back
bonbon	[/N][Nom]	8570080167	34505	o	o	back
pestis	[/N][Nom]	8570080167	20971	e	i	front
zagyva	[/N][Nom]	8570080167	19732	a	a	back
palánk	[/N][Nom]	8570080167	23675	a	á	back
köszvény	[/N][Nom]	8570080167	17305	ö	é	front
patron	[/N][Nom]	8570080167	33770	a	o	back
anti	[/N][Nom]	8570080167	28729	a	i	mixed
latin	[/N][Nom]	8570080167	248375	a	i	mixed
bubi	[/N][Nom]	8570080167	17003	u	i	mixed
hársfa	[/N][Nom]	8570080167	17185	á	a	back
kenu	[/N][Nom]	8570080167	25463	e	u	mixed
öltöny	[/N][Nom]	8570080167	47761	ö	ö	front
borsos	[/N][Nom]	8570080167	47811	o	o	back
zsemle	[/N][Nom]	8570080167	31632	e	e	front
üreg	[/N][Nom]	8570080167	55334	ü	e	front
vívás	[/N][Nom]	8570080167	21754	í	á	mixed
erős	[/N][Nom]	8570080167	2942245	e	ő	front
proton	[/N][Nom]	8570080167	24351	o	o	back
emlő	[/N][Nom]	8570080167	25883	e	ő	front
szabás	[/N][Nom]	8570080167	48862	a	á	back
gokart	[/N][Nom]	8570080167	17560	o	a	back
nikkel	[/N][Nom]	8570080167	14914	i	e	front
hangnem	[/N][Nom]	8570080167	59986	a	e	mixed
betyár	[/N][Nom]	8570080167	25110	e	á	mixed
párduc	[/N][Nom]	8570080167	18714	á	u	back
csikó	[/N][Nom]	8570080167	25705	i	ó	mixed
fogsor	[/N][Nom]	8570080167	28394	o	o	back
apó	[/N][Nom]	8570080167	14676	a	ó	back
járőr	[/N][Nom]	8570080167	36272	á	ő	mixed
szózat	[/N][Nom]	8570080167	23572	ó	a	back
viszály	[/N][Nom]	8570080167	29828	i	á	mixed
csiszár	[/N][Nom]	8570080167	11991	i	á	mixed
barom	[/N][Nom]	8570080167	32255	a	o	back
ered	[/N][Nom]	8570080167	256869	e	e	front
póráz	[/N][Nom]	8570080167	44508	ó	á	back
ciszta	[/N][Nom]	8570080167	26833	i	a	mixed
póni	[/N][Nom]	8570080167	23691	ó	i	mixed
járgány	[/N][Nom]	8570080167	37050	á	á	back
gettó	[/N][Nom]	8570080167	32918	e	ó	mixed
forgás	[/N][Nom]	8570080167	36925	o	á	back
vizsla	[/N][Nom]	8570080167	20226	i	a	mixed
metán	[/N][Nom]	8570080167	16497	e	á	mixed
sóhaj	[/N][Nom]	8570080167	33804	ó	a	back
lepény	[/N][Nom]	8570080167	24871	e	é	front
vakság	[/N][Nom]	8570080167	27248	a	á	back
szirtes	[/N][Nom]	8570080167	13066	i	e	front
boltos	[/N][Nom]	8570080167	20585	o	o	back
színes	[/N][Nom]	8570080167	758239	í	e	front
smaragd	[/N][Nom]	8570080167	14928	a	a	back
fekély	[/N][Nom]	8570080167	29310	e	é	front
lányka	[/N][Nom]	8570080167	24455	á	a	back
dandár	[/N][Nom]	8570080167	23624	a	á	back
fráter	[/N][Nom]	8570080167	13052	á	e	mixed
igaz	[/N][Nom]	8570080167	2866947	i	a	mixed
