form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	suffix	vowel	base	base_tr
travelnak	7	travel	[/N][Dat]	hotelban/hotelben	38590	8570080167	travelnek	215	0.03703703703703703	-3.295836866004329	nak	e	travel	travel
vaneknak	7	vanek	[/N][Dat]	hotelban/hotelben	3321	8570080167	vaneknek	14	0.5333333333333333	-0.6286086594223742	nak	e	vanek	vanek
walletban	7	wallet	[/N][Ine]	hotelban/hotelben	3400	8570080167	walletben	85	0.09302325581395347	-2.374905754573672	ban	e	wallet	wallet
zagrebban	7	zagreb	[/N][Ine]	hotelban/hotelben	5783	8570080167	zagrebben	38	0.20512820512820512	-1.5841201044498106	ban	e	zagreb	zagreb
zahernak	7	zaher	[/N][Dat]	hotelban/hotelben	130	8570080167	zahernek	2	2.6666666666666665	0.9808292530117262	nak	e	zaher	zaher
acehban	6	aceh	[/N][Ine]	hotelban/hotelben	673	8570080167	acehben	33	0.2058823529411765	-1.580450375560848	ban	e	aceh	aceh
alennak	6	alen	[/N][Dat]	hotelban/hotelben	3707	8570080167	alennek	115	0.0603448275862069	-2.8076800420510515	nak	e	alen	alen
alexba	6	alex	[/N][Ill]	hotelban/hotelben	80586	8570080167	alexbe	72	0.0958904109589041	-2.344549292093078	NA	e	alex	alex
alexnál	6	alex	[/N][Ade]	hotelban/hotelben	80586	8570080167	alexnél	82	0.08433734939759036	-2.472930458741285	nál	e	alex	alex
andernak	6	ander	[/N][Dat]	hotelban/hotelben	2623	8570080167	andernek	12	0.5384615384615384	-0.6190392084062235	nak	e	ander	ander
angersba	6	angers	[/N][Ill]	hotelban/hotelben	1114	8570080167	angersbe	11	0.5833333333333334	-0.5389965007326869	NA	e	angers	angers
aspenban	6	aspen	[/N][Ine]	hotelban/hotelben	1782	8570080167	aspenben	216	0.03225806451612903	-3.4339872044851463	ban	e	aspen	aspen
aspenban	6	aspen	[/N][Ine]	hotelban/hotelben	1782	8570080167	aspen	47	0.14583333333333334	-1.9252908618525777	ban	e	aspen	aspen
bagettba	6	bagett	[/N][Ill]	hotelban/hotelben	8695	8570080167	bagettbe	86	0.08045977011494253	-2.5199979695992702	NA	e	bagett	bagett
balestra	6	balest	[/N][Subl]	hotelban/hotelben	917	8570080167	balestre	24	0.28	-1.272965675812887	NA	e	balest	balest
bannernak	6	banner	[/N][Dat]	hotelban/hotelben	32596	8570080167	bannernek	181	0.03846153846153846	-3.258096538021482	nak	e	banner	banner
bartellban	6	bartell	[/N][Ine]	hotelban/hotelben	227	8570080167	bartellben	12	0.5384615384615384	-0.6190392084062235	ban	e	bartell	bartell
basszernál	6	basszer	[/N][Ade]	hotelban/hotelben	5568	8570080167	basszernél	1	3.5	1.252762968495368	nál	e	basszer	basßer
bayernban	6	bayern	[/N][Ine]	hotelban/hotelben	4457	8570080167	bayernben	391	0.01785714285714285	-4.02535169073515	ban	e	bayern	bayern
bayernban	6	bayern	[/N][Ine]	hotelban/hotelben	4457	8570080167	bayern	2	2.3333333333333335	0.8472978603872037	ban	e	bayern	bayern
bovecban	6	bovec	[/N][Ine]	hotelban/hotelben	878	8570080167	bovecben	137	0.05072463768115942	-2.981343536101891	ban	e	bovec	bovec
brókernak	6	bróker	[/N][Dat]	hotelban/hotelben	27705	8570080167	brókernek	719	0.00972222222222222	-4.633341062954788	nak	e	bróker	bróker
burekba	6	burek	[/N][Ill]	hotelban/hotelben	1898	8570080167	burekbe	11	0.5833333333333334	-0.5389965007326869	NA	e	burek	burek
carmennak	6	carmen	[/N][Dat]	hotelban/hotelben	19839	8570080167	carmennek	321	0.0217391304347826	-3.828641396489095	nak	e	carmen	carmen
casselban	6	cassel	[/N][Ine]	hotelban/hotelben	2225	8570080167	casselben	47	0.14583333333333334	-1.9252908618525777	ban	e	cassel	cassel
cutterban	6	cutter	[/N][Ine]	hotelban/hotelben	1554	8570080167	cutterben	3	1.75	0.5596157879354227	ban	e	cutter	cutter
doverba	6	dover	[/N][Ill]	hotelban/hotelben	3992	8570080167	doverbe	199	0.035	-3.3524072174927233	NA	e	dover	dover
drukkernak	6	drukker	[/N][Dat]	hotelban/hotelben	34067	8570080167	drukkernek	536	0.01303538175046555	-4.3400879454535515	nak	e	drukker	drukker
fosseynak	6	fossey	[/N][Dat]	hotelban/hotelben	501	8570080167	fosseynek	1	3.5	1.252762968495368	nak	e	fossey	fossey
fraternak	6	frater	[/N][Dat]	hotelban/hotelben	861	8570080167	fraternek	3	1.75	0.5596157879354227	nak	e	frater	frater
fószerra	6	fószer	[/N][Subl]	hotelban/hotelben	4007	8570080167	fószerre	25	0.2692307692307692	-1.312186388966169	NA	e	fószer	fóßer
gluténnál	6	glutén	[/N][Ade]	hotelban/hotelben	33858	8570080167	gluténnél	1	3.5	1.252762968495368	nál	é	glutén	glutén
hanemba	6	hanem	[/N][Ill]	hotelban/hotelben	7447795	8570080167	hanembe	2	2.3333333333333335	0.8472978603872037	NA	e	hanem	hanem
hospetban	6	hospet	[/N][Ine]	hotelban/hotelben	58	8570080167	hospetben	24	0.28	-1.272965675812887	ban	e	hospet	hospet
jatéknak	6	jaték	[/N][Dat]	hotelban/hotelben	968	8570080167	jaték	1	3.5	1.252762968495368	nak	é	jaték	jaték
jatéknak	6	jaték	[/N][Dat]	hotelban/hotelben	968	8570080167	jatéknek	1	3.5	1.252762968495368	nak	é	jaték	jaték
jocelynnak	6	jocelyn	[/N][Dat]	hotelban/hotelben	1105	8570080167	jocelynnek	3	1.75	0.5596157879354227	nak	e	jocelyn	joce¬n
kaerban	6	kaer	[/N][Ine]	hotelban/hotelben	212	8570080167	kaerben	11	0.5833333333333334	-0.5389965007326869	ban	e	kaer	kaer
karennak	6	karen	[/N][Dat]	hotelban/hotelben	16608	8570080167	karennek	156	0.04458598726114649	-3.1103356562929947	nak	e	karen	karen
klozetnak	6	klozet	[/N][Dat]	hotelban/hotelben	993	8570080167	klozetnek	10	0.6363636363636364	-0.45198512374305727	nak	e	klozet	klozet
kollernak	6	koller	[/N][Dat]	hotelban/hotelben	13243	8570080167	kollernek	59	0.11666666666666668	-2.1484344131667874	nak	e	koller	koller
kopekba	6	kopek	[/N][Ill]	hotelban/hotelben	1166	8570080167	kopekbe	13	0.5	-0.6931471805599453	NA	e	kopek	kopek
kukkerba	6	kukker	[/N][Ill]	hotelban/hotelben	1077	8570080167	kukkerbe	14	0.4666666666666667	-0.7621400520468967	NA	e	kukker	kukker
kukkernak	6	kukker	[/N][Dat]	hotelban/hotelben	1077	8570080167	kukkernek	20	0.3333333333333333	-1.0986122886681098	nak	e	kukker	kukker
kóserra	6	kóser	[/Adj][Subl]	hotelban/hotelben	13540	8570080167	kóserre	5	1.1666666666666667	0.15415067982725836	NA	e	kóser	kóser
lovelynak	6	lovely	[/N][Dat]	hotelban/hotelben	4403	8570080167	lovelynek	2	2.3333333333333335	0.8472978603872037	nak	e	lovely	love¬
lutherban	6	luther	[/N][Ine]	hotelban/hotelben	56954	8570080167	lutherben	84	0.08235294117647059	-2.496741107435003	ban	e	luther	luther
maceszban	6	macesz	[/N][Ine]	hotelban/hotelben	2035	8570080167	maceszben	2	2.3333333333333335	0.8472978603872037	ban	e	macesz	maceß
majtényban	6	majtény	[/N][Ine]	hotelban/hotelben	178	8570080167	majtényben	1	3.5	1.252762968495368	ban	é	majtény	majté¥
maleknál	6	malek	[/N][Ade]	hotelban/hotelben	366	8570080167	maleknél	1	3.5	1.252762968495368	nál	e	malek	malek
moneyban	6	money	[/N][Ine]	hotelban/hotelben	19181	8570080167	moneyben	6	1	0	ban	e	money	money
mosesnak	6	moses	[/N][Dat]	hotelban/hotelben	5079	8570080167	mosesnek	73	0.0945945945945946	-2.3581549441488563	nak	e	moses	moses
muskéknak	6	muskék	[/N][Dat]	hotelban/hotelben	149	8570080167	muskék	1	3.5	1.252762968495368	nak	é	muskék	muskék
nuggetsnak	6	nuggets	[/N][Dat]	hotelban/hotelben	3298	8570080167	nuggetsnek	40	0.17073170731707318	-1.7676619176489945	nak	e	nuggets	nuggets
ovszerban	6	ovszer	[/N][Ine]	hotelban/hotelben	893	8570080167	ovszerben	16	0.4117647058823529	-0.8873031950009028	ban	e	ovszer	ovßer
pajeszba	6	pajesz	[/N][Ill]	hotelban/hotelben	1346	8570080167	pajeszbe	1	3.5	1.252762968495368	NA	e	pajesz	pajeß
pajszernak	6	pajszer	[/N][Dat]	hotelban/hotelben	1498	8570080167	pajszernek	16	0.4117647058823529	-0.8873031950009028	nak	e	pajszer	pajßer
pakettba	6	pakett	[/N][Ill]	hotelban/hotelben	2400	8570080167	pakettbe	21	0.3181818181818182	-1.1451323043030026	NA	e	pakett	pakett
pakettban	6	pakett	[/N][Ine]	hotelban/hotelben	2400	8570080167	pakettben	9	0.7	-0.35667494393873245	ban	e	pakett	pakett
pancserra	6	pancser	[/Adj][Subl]	hotelban/hotelben	5888	8570080167	pancserre	12	0.5384615384615384	-0.6190392084062235	NA	e	pancser	pançer
parszekra	6	parszek	[/N][Subl]	hotelban/hotelben	482	8570080167	parszekre	80	0.08641975308641975	-2.4485390056171257	NA	e	parszek	parßek
pasztellba	6	pasztell	[/N][Ill]	hotelban/hotelben	22351	8570080167	pasztellbe	52	0.1320754716981132	-2.0243817644968085	NA	e	pasztell	paßtell
pavelnak	6	pavel	[/N][Dat]	hotelban/hotelben	10796	8570080167	pavelnek	60	0.11475409836065574	-2.164963715117998	nak	e	pavel	pavel
playernak	6	player	[/N][Dat]	hotelban/hotelben	37137	8570080167	playernek	371	0.01881720430107527	-3.972983705217833	nak	e	player	player
pokerban	6	poker	[/N][Ine]	hotelban/hotelben	6739	8570080167	pokerben	60	0.11475409836065574	-2.164963715117998	ban	e	poker	poker
poszterra	6	poszter	[/N][Subl]	hotelban/hotelben	49599	8570080167	poszterre	979	0.00714285714285714	-4.941642422609305	NA	e	poszter	poßter
powerban	6	power	[/N][Ine]	hotelban/hotelben	108836	8570080167	powerben	85	0.08139534883720931	-2.5084371471981943	ban	e	power	power
pradésban	6	pradés	[/N][Ine]	hotelban/hotelben	333	8570080167	pradésben	8	0.7777777777777778	-0.25131442828090605	ban	é	pradés	pradés
projektnak	6	projekt	[/N][Dat]	hotelban/hotelben	2236203	8570080167	projektnek	27187	2.5746652935118434e-4	-8.264620829411216	nak	e	projekt	projekt
págernak	6	páger	[/N][Dat]	hotelban/hotelben	4290	8570080167	págernek	12	0.5384615384615384	-0.6190392084062235	nak	e	páger	páger
páleszba	6	pálesz	[/N][Ill]	hotelban/hotelben	2031	8570080167	páleszbe	7	0.875	-0.13353139262452263	NA	e	pálesz	páleß
pálesznak	6	pálesz	[/N][Dat]	hotelban/hotelben	2031	8570080167	pálesznek	12	0.5384615384615384	-0.6190392084062235	nak	e	pálesz	páleß
páleszra	6	pálesz	[/N][Subl]	hotelban/hotelben	2031	8570080167	páleszre	21	0.3181818181818182	-1.1451323043030026	NA	e	pálesz	páleß
púderra	6	púder	[/N][Subl]	hotelban/hotelben	19636	8570080167	púderre	228	0.03056768558951965	-3.4878118544989265	NA	e	púder	púder
rochernak	6	rocher	[/N][Dat]	hotelban/hotelben	4734	8570080167	rochernek	6	1	0	nak	e	rocher	rocher
rocketsban	6	rockets	[/N][Ine]	hotelban/hotelben	6267	8570080167	rocketsben	19	0.35	-1.0498221244986778	ban	e	rockets	rockets
rocketsnál	6	rockets	[/N][Ade]	hotelban/hotelben	6267	8570080167	rocketsnél	129	0.05384615384615385	-2.921624301400269	nál	e	rockets	rockets
rosterra	6	roster	[/N][Subl]	hotelban/hotelben	1374	8570080167	rosterre	218	0.0319634703196347	-3.4431615807611875	NA	e	roster	roster
russellnál	6	russell	[/N][Ade]	hotelban/hotelben	21995	8570080167	russellnél	31	0.21875	-1.5198257537444133	nál	e	russell	russell
rágesban	6	ráges	[/N][Ine]	hotelban/hotelben	34	8570080167	rágesben	7	0.875	-0.13353139262452263	ban	e	ráges	ráges
ráhelban	6	ráhel	[/N][Ine]	hotelban/hotelben	9374	8570080167	ráhelben	1	3.5	1.252762968495368	ban	e	ráhel	ráhel
sawyernak	6	sawyer	[/N][Dat]	hotelban/hotelben	4609	8570080167	sawyernek	96	0.07216494845360824	-2.62880082944807	nak	e	sawyer	sawyer
schaffernak	6	schaffer	[/N][Dat]	hotelban/hotelben	3019	8570080167	schaffernek	33	0.2058823529411765	-1.580450375560848	nak	e	schaffer	schaffer
showderban	6	showder	[/N][Ine]	hotelban/hotelben	11237	8570080167	showderben	119	0.05833333333333333	-2.841581593726733	ban	e	showder	showder
smasszerra	6	smasszer	[/N][Subl]	hotelban/hotelben	1467	8570080167	smasszerre	7	0.875	-0.13353139262452263	NA	e	smasszer	smasßer
smokerban	6	smoker	[/N][Ine]	hotelban/hotelben	581	8570080167	smokerben	118	0.0588235294117647	-2.833213344056216	ban	e	smoker	smoker
sparheltnak	6	sparhelt	[/N][Dat]	hotelban/hotelben	4765	8570080167	sparheltnek	31	0.21875	-1.5198257537444133	nak	e	sparhelt	sparhelt
sumérnál	6	sumér	[/Adj][Ade]	hotelban/hotelben	13314	8570080167	sumérnél	3	1.75	0.5596157879354227	nál	é	sumér	sumér
sussexban	6	sussex	[/N][Ine]	hotelban/hotelben	2194	8570080167	sussexben	91	0.07608695652173914	-2.575878427993727	ban	e	sussex	sussex
suszterra	6	suszter	[/N][Subl]	hotelban/hotelben	6878	8570080167	suszterre	20	0.3333333333333333	-1.0986122886681098	NA	e	suszter	sußter
szkanderba	6	szkander	[/N][Ill]	hotelban/hotelben	3569	8570080167	szkanderbe	8	0.7777777777777778	-0.25131442828090605	NA	e	szkander	ßkander
szkanderra	6	szkander	[/N][Subl]	hotelban/hotelben	3569	8570080167	szkanderre	28	0.2413793103448276	-1.421385680931161	NA	e	szkander	ßkander
thamelban	6	thamel	[/N][Ine]	hotelban/hotelben	293	8570080167	thamelben	28	0.2413793103448276	-1.421385680931161	ban	e	thamel	thamel
tonerra	6	toner	[/N][Subl]	hotelban/hotelben	11641	8570080167	tonerre	202	0.03448275862068965	-3.367295829986474	NA	e	toner	toner
towernak	6	tower	[/N][Dat]	hotelban/hotelben	21225	8570080167	towernek	69	0.1	-2.3025850929940455	nak	e	tower	tower
travelnál	6	travel	[/N][Ade]	hotelban/hotelben	38590	8570080167	travelnél	218	0.0319634703196347	-3.4431615807611875	nál	e	travel	travel
volnernak	6	volner	[/N][Dat]	hotelban/hotelben	9747	8570080167	volnernek	48	0.14285714285714285	-1.9459101490553137	nak	e	volner	volner
adenba	5	aden	[/N][Ill]	hotelban/hotelben	1674	8570080167	adenbe	42	0.13953488372093023	-1.9694406464655072	NA	e	aden	aden
afterba	5	after	[/N][Ill]	hotelban/hotelben	23973	8570080167	afterbe	16	0.35294117647058826	-1.041453874828161	NA	e	after	after
alekra	5	alek	[/N][Subl]	hotelban/hotelben	324	8570080167	alekre	2	2	0.6931471805599453	NA	e	alek	alek
algerban	5	alger	[/N][Ine]	hotelban/hotelben	340	8570080167	algerben	5	1	0	ban	e	alger	alger
alkesznál	5	alkesz	[/N][Ade]	hotelban/hotelben	4290	8570080167	alkesznél	4	1.2	0.1823215567939546	nál	e	alkesz	alkeß
amperban	5	amper	[/N][Ine]	hotelban/hotelben	8498	8570080167	amperben	203	0.02941176470588235	-3.5263605246161616	ban	e	amper	amper
andrésra	5	andrés	[/N][Subl]	hotelban/hotelben	4813	8570080167	andrésre	2	2	0.6931471805599453	NA	é	andrés	andrés
apehnak	5	apeh	[/Adj][Dat]	hotelban/hotelben	44058	8570080167	apehnek	1	3	1.0986122886681098	nak	e	apeh	apeh
apehra	5	apeh	[/N][Subl]	hotelban/hotelben	44058	8570080167	apehre	4	1.2	0.1823215567939546	NA	e	apeh	apeh
appellra	5	appell	[/N][Subl]	hotelban/hotelben	286	8570080167	appellre	12	0.4615384615384616	-0.7731898882334817	NA	e	appell	appell
arlesba	5	arles	[/N][Ill]	hotelban/hotelben	824	8570080167	arlesbe	5	1	0	NA	e	arles	arles
artnernak	5	artner	[/N][Dat]	hotelban/hotelben	3917	8570080167	artnernek	14	0.4	-0.916290731874155	nak	e	artner	artner
ascherra	5	ascher	[/N][Subl]	hotelban/hotelben	6983	8570080167	ascherre	21	0.2727272727272727	-1.2992829841302609	NA	e	ascher	ascher
babettnak	5	babett	[/N][Dat]	hotelban/hotelben	4375	8570080167	babettnek	95	0.0625	-2.772588722239781	nak	e	babett	babett
balekban	5	balek	[/N][Ine]	hotelban/hotelben	13062	8570080167	balekben	2	2	0.6931471805599453	ban	e	balek	balek
bayernba	5	bayern	[/N][Ill]	hotelban/hotelben	4457	8570080167	bayernbe	102	0.05825242718446602	-2.842969519001581	NA	e	bayern	bayern
blanesban	5	blanes	[/N][Ine]	hotelban/hotelben	341	8570080167	blanesben	12	0.4615384615384616	-0.7731898882334817	ban	e	blanes	blanes
bowlesnak	5	bowles	[/N][Dat]	hotelban/hotelben	732	8570080167	bowlesnek	2	2	0.6931471805599453	nak	e	bowles	bowles
bozenban	5	bozen	[/N][Ine]	hotelban/hotelben	634	8570080167	bozenben	41	0.14285714285714285	-1.9459101490553137	ban	e	bozen	bozen
bozenban	5	bozen	[/N][Ine]	hotelban/hotelben	634	8570080167	bozen	3	1.5	0.4054651081081644	ban	e	bozen	bozen
brókernál	5	bróker	[/N][Ade]	hotelban/hotelben	27705	8570080167	brókernél	803	0.00746268656716417	-4.897839799950911	nál	e	bróker	bróker
bundesban	5	bundes	[/N][Ine]	hotelban/hotelben	373	8570080167	bundesben	19	0.3	-1.203972804325936	ban	e	bundes	bundes
bágernál	5	báger	[/N][Ade]	hotelban/hotelben	1283	8570080167	bágernél	2	2	0.6931471805599453	nál	e	báger	báger
caennál	5	caen	[/N][Ade]	hotelban/hotelben	1411	8570080167	caennél	4	1.2	0.1823215567939546	nál	e	caen	caen
chanelba	5	chanel	[/N][Ill]	hotelban/hotelben	19256	8570080167	chanelbe	38	0.15384615384615383	-1.8718021769015911	NA	e	chanel	chanel
chanelban	5	chanel	[/N][Ine]	hotelban/hotelben	19256	8570080167	chanelben	188	0.03174603174603174	-3.4499875458315876	ban	e	chanel	chanel
comesnak	5	comes	[/N][Dat]	hotelban/hotelben	5664	8570080167	comesnek	90	0.06593406593406594	-2.7191000372887952	nak	e	comes	comes
cutlerban	5	cutler	[/N][Ine]	hotelban/hotelben	2120	8570080167	cutlerben	18	0.3157894736842105	-1.1526795099383855	ban	e	cutler	cutler
doménra	5	domén	[/N][Subl]	hotelban/hotelben	8366	8570080167	doménre	147	0.04054054054054054	-3.20545280453606	NA	é	domén	domén
donnerban	5	donner	[/N][Ine]	hotelban/hotelben	1930	8570080167	donnerben	24	0.24	-1.4271163556401458	ban	e	donner	donner
dovernál	5	dover	[/N][Ade]	hotelban/hotelben	3992	8570080167	dovernél	78	0.0759493670886076	-2.5776883832389665	nál	e	dover	dover
dugeszban	5	dugesz	[/N][Ine]	hotelban/hotelben	60	8570080167	dugeszben	4	1.2	0.1823215567939546	ban	e	dugesz	dugeß
fajdeknak	5	fajdek	[/N][Dat]	hotelban/hotelben	369	8570080167	fajdek	3	1.5	0.4054651081081644	nak	e	fajdek	fajdek
fajdeknak	5	fajdek	[/N][Dat]	hotelban/hotelben	369	8570080167	fajdeknek	1	3	1.0986122886681098	nak	e	fajdek	fajdek
fallernak	5	faller	[/N][Dat]	hotelban/hotelben	3160	8570080167	fallernek	5	1	0	nak	e	faller	faller
farelnak	5	farel	[/N][Dat]	hotelban/hotelben	173	8570080167	farelnek	43	0.13636363636363635	-1.9924301646902065	nak	e	farel	farel
floresban	5	flores	[/N][Ine]	hotelban/hotelben	3817	8570080167	floresben	13	0.42857142857142855	-0.8472978603872037	ban	e	flores	flores
folderban	5	folder	[/N][Ine]	hotelban/hotelben	5302	8570080167	folderben	258	0.02316602316602316	-3.765068592471483	ban	e	folder	folder
fosternak	5	foster	[/N][Dat]	hotelban/hotelben	12116	8570080167	fosternek	217	0.02752293577981651	-3.592735593561034	nak	e	foster	foster
frankelba	5	frankel	[/N][Ill]	hotelban/hotelben	6998	8570080167	frankelbe	11	0.5	-0.6931471805599453	NA	e	frankel	frankel
fuelban	5	fuel	[/N][Ine]	hotelban/hotelben	4328	8570080167	fuelben	2	2	0.6931471805599453	ban	e	fuel	fuel
gamernak	5	gamer	[/N][Dat]	hotelban/hotelben	32975	8570080167	gamernek	598	0.01001669449081803	-4.603502128887395	nak	e	gamer	gamer
gaméknak	5	gamék	[/N][Dat]	hotelban/hotelben	90	8570080167	gamék	2	2	0.6931471805599453	nak	é	gamék	gamék
gangesznak	5	gangesz	[/N][Dat]	hotelban/hotelben	5185	8570080167	gangesznek	50	0.1176470588235294	-2.1400661634962708	nak	e	gangesz	gangeß
gátérra	5	gátér	[/N][Subl]	hotelban/hotelben	902	8570080167	gátérre	7	0.75	-0.2876820724517809	NA	é	gátér	gátér
hacseknak	5	hacsek	[/N][Dat]	hotelban/hotelben	1284	8570080167	hacseknek	12	0.4615384615384616	-0.7731898882334817	nak	e	hacsek	haçek
hapeknak	5	hapek	[/N][Dat]	hotelban/hotelben	155	8570080167	hapek	1	3	1.0986122886681098	nak	e	hapek	hapek
harerban	5	harer	[/N][Ine]	hotelban/hotelben	73	8570080167	harerben	1	3	1.0986122886681098	ban	e	harer	harer
harkernak	5	harker	[/N][Dat]	hotelban/hotelben	845	8570080167	harkernek	3	1.5	0.4054651081081644	nak	e	harker	harker
honvednak	5	honved	[/N][Dat]	hotelban/hotelben	335	8570080167	honvednek	3	1.5	0.4054651081081644	nak	e	honved	honved
horezmba	5	horezm	[/N][Ill]	hotelban/hotelben	173	8570080167	horezmbe	1	3	1.0986122886681098	NA	e	horezm	horezm
hradecba	5	hradec	[/N][Ill]	hotelban/hotelben	1468	8570080167	hradecbe	2	2	0.6931471805599453	NA	e	hradec	hradec
hradecban	5	hradec	[/N][Ine]	hotelban/hotelben	1468	8570080167	hradecben	25	0.2307692307692308	-1.466337068793427	ban	e	hradec	hradec
husserlnak	5	husserl	[/N][Dat]	hotelban/hotelben	2682	8570080167	husserlnek	65	0.09090909090909093	-2.3978952727983707	nak	e	husserl	husserl
hádeszban	5	hádesz	[/N][Ine]	hotelban/hotelben	182	8570080167	hádeszben	21	0.2727272727272727	-1.2992829841302609	ban	e	hádesz	hádeß
hádésban	5	hádés	[/N][Ine]	hotelban/hotelben	31	8570080167	hádésben	1	3	1.0986122886681098	ban	é	hádés	hádés
háttérnak	5	háttér	[/N][Dat]	hotelban/hotelben	1176278	8570080167	háttérnek	5864	0.00102301790281329	-6.884998291859521	nak	é	háttér	háttér
jaceknak	5	jacek	[/N][Dat]	hotelban/hotelben	2605	8570080167	jacek	29	0.2	-1.6094379124341005	nak	e	jacek	jacek
jaceknak	5	jacek	[/N][Dat]	hotelban/hotelben	2605	8570080167	jaceknek	21	0.2727272727272727	-1.2992829841302609	nak	e	jacek	jacek
kabelban	5	kabel	[/N][Ine]	hotelban/hotelben	7375	8570080167	kabelben	68	0.08695652173913043	-2.4423470353692043	ban	e	kabel	kabel
kanzenban	5	kanzen	[/N][Ine]	hotelban/hotelben	21	8570080167	kanzen	1	3	1.0986122886681098	ban	e	kanzen	kanzen
kartelban	5	kartel	[/N][Ine]	hotelban/hotelben	442	8570080167	kartelben	28	0.20689655172413793	-1.575536360758419	ban	e	kartel	kartel
kartellra	5	kartell	[/N][Subl]	hotelban/hotelben	13348	8570080167	kartellre	98	0.06060606060606061	-2.803360380906535	NA	e	kartell	kartell
knowlesnak	5	knowles	[/N][Dat]	hotelban/hotelben	1422	8570080167	knowlesnek	2	2	0.6931471805599453	nak	e	knowles	knowles
kommentban	5	komment	[/N][Ine]	hotelban/hotelben	266988	8570080167	kommentben	29640	2.0242232043453324e-4	-8.505154347804481	ban	e	komment	komment
kvartettra	5	kvartett	[/N][Subl]	hotelban/hotelben	26413	8570080167	kvartettre	193	0.03092783505154639	-3.4760986898352733	NA	e	kvartett	kvartett
kádesban	5	kádes	[/N][Ine]	hotelban/hotelben	276	8570080167	kádesben	31	0.1875	-1.6739764335716716	ban	e	kádes	kádes
ladderba	5	ladder	[/N][Ill]	hotelban/hotelben	1662	8570080167	ladderbe	30	0.1935483870967742	-1.642227735257091	NA	e	ladder	ladder
lamernak	5	lamer	[/N][Dat]	hotelban/hotelben	919	8570080167	lamernek	22	0.2608695652173913	-1.3437347467010947	nak	e	lamer	lamer
lódenban	5	lóden	[/N][Ine]	hotelban/hotelben	235	8570080167	lódenben	11	0.5	-0.6931471805599453	ban	e	lóden	lóden
mahlerra	5	mahler	[/N][Subl]	hotelban/hotelben	11551	8570080167	mahlerre	71	0.08333333333333333	-2.4849066497880004	NA	e	mahler	mahler
makettnál	5	makett	[/N][Ade]	hotelban/hotelben	42231	8570080167	makettnél	143	0.04166666666666666	-3.1780538303479458	nál	e	makett	makett
mankernak	5	manker	[/N][Dat]	hotelban/hotelben	246	8570080167	mankernek	1	3	1.0986122886681098	nak	e	manker	manker
maresznak	5	maresz	[/N][Dat]	hotelban/hotelben	1607	8570080167	maresznek	1	3	1.0986122886681098	nak	e	maresz	mareß
marketnak	5	market	[/N][Dat]	hotelban/hotelben	49807	8570080167	marketnek	162	0.03680981595092025	-3.3019907315787074	nak	e	market	market
mayernál	5	mayer	[/N][Ade]	hotelban/hotelben	28000	8570080167	mayernél	68	0.08695652173913043	-2.4423470353692043	nál	e	mayer	mayer
mayerra	5	mayer	[/N][Subl]	hotelban/hotelben	28000	8570080167	mayerre	21	0.2727272727272727	-1.2992829841302609	NA	e	mayer	mayer
mladennak	5	mladen	[/N][Dat]	hotelban/hotelben	1622	8570080167	mladennek	6	0.8571428571428571	-0.15415067982725836	nak	e	mladen	mladen
molettnak	5	molett	[/Adj][Dat]	hotelban/hotelben	8596	8570080167	molettnek	79	0.075	-2.5902671654458267	nak	e	molett	molett
motelra	5	motel	[/N][Subl]	hotelban/hotelben	13960	8570080167	motelre	36	0.16216216216216217	-1.8191584434161696	NA	e	motel	motel
muterba	5	muter	[/N][Ill]	hotelban/hotelben	2713	8570080167	muterbe	1	3	1.0986122886681098	NA	e	muter	muter
nasszernak	5	nasszer	[/N][Dat]	hotelban/hotelben	3345	8570080167	nasszernek	23	0.25	-1.3862943611198906	nak	e	nasszer	nasßer
noelnak	5	noel	[/N][Dat]	hotelban/hotelben	12773	8570080167	noelnek	242	0.02469135802469135	-3.7013019741124937	nak	e	noel	noel
obszcénba	5	obszcén	[/Adj][Ill]	hotelban/hotelben	12289	8570080167	obszcénbe	3	1.5	0.4054651081081644	NA	é	obszcén	obßcén
operban	5	oper	[/N][Ine]	hotelban/hotelben	3873	8570080167	operben	223	0.02678571428571428	-3.619886582626985	ban	e	oper	oper
pancsernál	5	pancser	[/Adj][Ade]	hotelban/hotelben	5888	8570080167	pancsernél	1	3	1.0986122886681098	nál	e	pancser	pançer
parkernál	5	parker	[/N][Ade]	hotelban/hotelben	27581	8570080167	parkernél	67	0.08823529411764706	-2.4277482359480516	nál	e	parker	parker
partnerban	5	partner	[/N][Ine]	hotelban/hotelben	1270201	8570080167	partnerben	1008	0.00594648166501486	-5.124955551125554	ban	e	partner	partner
patentban	5	patent	[/N][Ine]	hotelban/hotelben	16682	8570080167	patentben	12	0.4615384615384616	-0.7731898882334817	ban	e	patent	patent
patentra	5	patent	[/Adj][Subl]	hotelban/hotelben	16682	8570080167	patentre	2	2	0.6931471805599453	NA	e	patent	patent
payernak	5	payer	[/N][Dat]	hotelban/hotelben	2817	8570080167	payernek	6	0.8571428571428571	-0.15415067982725836	nak	e	payer	payer
plakettnak	5	plakett	[/N][Dat]	hotelban/hotelben	13783	8570080167	plakettnek	49	0.12	-2.120263536200091	nak	e	plakett	plakett
